rank	locus	zl3b_line	manual_workshop_translation_de	notes
1	f100v.13	chos ctharal	Trockenansatz-Charge: rohe Blatt-/Krautfraktion I.	Nominaler P-Labelblock; ctharal als CTH-Krautfraktion plus Roh-/Fraktionsmarker gelesen.
2	f103v.11	qokeedy olkeeshy qoky qokal shed	Erhitze den Holzdrogenansatz bis zur Endstufe, weiche ihn leicht ein, erhitze Rohstoff I zunächst leicht und schließe das Einweichen auf Mittelstufe ab.	olkeeshy bindet Holzdroge, vollständiges Erhitzen und leichtes Einweichen; keine zusätzliche Flüssigkeit eingesetzt.
3	f15r.14	otcho kchy chol daiin ar ytol dor dom	Kalt-Trockenansatz aus leicht erhitztem Trockengut, Stufe III; erste Fraktion. Kühle hiervon den Drogenstoff; miss eine Portion und eine Handvoll Ansatz ab.	ytol als anaphorischer Kühlbefehl am Drogenstoff; Portion und Handvoll sind durch dor beziehungsweise dom lizenziert.
4	f17v.17	qoain sar she dol qopchaiin cthor	Nimm zwei Teile der ersten angefeuchteten Samenfraktion als Materialmaß; nimm drei Teile getrocknetes Pulverpräparat und eine Portion Krautdroge.	qopchaiin als q-Befehl plus Trockenpulver plus Wert III; beide Mengen stehen sichtbar in den Karten.
5	f20r.6	choees okchor qotol cheey daiin chy choiin daiin	Charge vollständig getrockneten Ansatzes: eine Portion heiß-trockene Droge im Ansatz; kaltes Material, vollständig getrocknet auf Stufe III; leicht getrocknete Zubereitungsform III, ebenfalls Stufe III.	Nominale Herbal-Aufzählung; choees als vollständig getrocknete Ansatzcharge.
6	f20v.11	okoiin chey ol chory	Heiße Ansatzform III: bis zur Mittelstufe getrockneter Grundansatz mit Pflanzenteil in Grundform.	okoiin als heißer Ansatz in Zubereitungsform III, nicht als zusätzliche Menge.
7	f22r.13	dchor dy dain qockhy ykol okain	Miss einen Pflanzenteil ab und schließe den Posten auf Stufe II. Bereite einen Arzneikompositum-Ansatz in Grundstufe und erhitze hiervon den Drogenstoff bis Stufe II.	ykol als konkreter anaphorischer Heizbefehl; dchor liefert das Messobjekt.
8	f22v.7	ychor chor qokchol chory	Nimm hiervon den Pflanzenteil: Pflanzenteil mit heiß-trockenem Drogenmaterial, in Grundform.	ychor als anaphorischer Entnahmebefehl; die übrigen Formen bleiben nominale Stoffangaben.
9	f24r.13	oees ol s chey chcth s ar	Endstufen-Charge aus Grundansatz und Saatgut, bis zur Mittelstufe getrocknet; trockne die Krautdroge; erste Saatgutfraktion.	chcth als ausführbares Trocknen der CTH-Krautdroge; s ar bleibt nominale Saatgutfraktion I.
10	f24v.7	ycheol daid dar olom	Vom getrockneten Drogenstoff die zweite Dosis abmessen und abschließen; danach die erste Fraktion und eine Handvoll Holzdroge im Ansatz.	daid als Messwert II mit terminalem Abschluss; Handvoll ausschließlich durch olom.
