unit_order	unit_id	page	register	group_count	finite_source_program	selected_controlled_vocabulary_de	unrestricted_nouns
1	H1	f10r	HERBAL_ARTICLE	14	PLANT>ROOT>WATER>VESSEL>EXTRACT>PORTION>DRINK_OR_PRODUCT>RESIDUE	Bildpflanze; Wurzel; Wasser; Gefäß; Auszug; örtliche Portion; Endprodukt; Rückstand	NONE
2	H2	f10r	HERBAL_ARTICLE	24	PLANT>SHOOT>LEAF>CLOTH>EXTRACT>PORTION>OIL_BINDER>VESSEL>OUTER_APPLICATION	Bildpflanze; junger Spross; Blatt; Tuch; Auszug; örtliche Portion; Träger; Gefäß; Auftrag	NONE
3	H3	f11r	HERBAL_ARTICLE	17	PLANT>FLOWER>LEAF>EXTRACTION_MEDIUM>CLOTH>EXTRACT>DRINK_OR_PRODUCT>OIL_BINDER>OUTER_APPLICATION	Bildpflanze; Blüte; Blatt; Auszugsmedium; Tuch; Auszug; Endprodukt; Träger; Auftrag	NONE
4	H4	f55v	HERBAL_ARTICLE	18	PLANT>LEAF>EXTRACTION_MEDIUM>VESSEL>CLOTH>EXTRACT>HONEY_BINDER>OUTER_APPLICATION	Bildpflanze; Blatt; Auszugsmedium; Gefäß; Tuch; Auszug; Binder; Auftrag	NONE
5	H5	f56r	HERBAL_ARTICLE	27	PLANT>HERB>WATER>EXTRACTION_MEDIUM>CLOTH>EXTRACT>HONEY_BINDER>DRINK_OR_PRODUCT>OUTER_APPLICATION	Bildpflanze; Kraut; Wasser; Auszugsmedium; Tuch; Auszug; Binder; Endprodukt; Auftrag	NONE
6	B1	f81v	BIO_STATION_RECORD	66	FIGURE_WORKPIECE>BASIN>STATION>WASH_LIQUID>ADDITIVE>TEMPERATURE>DURATION>BODY_WORK_AREA>OUTLET>FILTER	Badende; Becken; Beckenstation; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Ablauf; Filtern	NONE
7	B2	f82r	BIO_STATION_RECORD	62	FIGURE_WORKPIECE>BASIN>STATION>OPENING>INLET>OUTLET>RUN>WASH_LIQUID>ADDITIVE>TEMPERATURE>DURATION>BODY_WORK_AREA>IMMERSION>FILTER	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	NONE
8	B3	f83r	BIO_STATION_RECORD	86	FIGURE_WORKPIECE>BASIN>STATION>OPENING>OUTLET>RUN>RECEIVER>WASH_LIQUID>TEMPERATURE>DURATION>BODY_WORK_AREA>FILTER	Badende; Becken; Beckenstation; Öffnung; Ablauf; Flüssigkeitslauf; Auffanggefäß; Waschflüssigkeit; Temperatur; Dauer; örtliche Stelle; Filtern	NONE
9	B4	f83r	BIO_STATION_RECORD	47	FIGURE_WORKPIECE>BASIN>STATION>OPENING>INLET>OUTLET>RUN>WASH_LIQUID>BIO_CLOTH>TEMPERATURE>DURATION>BODY_WORK_AREA>FILTER	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Tuch; Temperatur; Dauer; örtliche Stelle; Filtern	NONE
10	B5	f83r	BIO_STATION_RECORD	11	STATION>OPENING>OUTLET>RUN>WASH_LIQUID>TEMPERATURE>DURATION>BODY_WORK_AREA	Beckenstation; Öffnung; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Temperatur; Dauer; örtliche Stelle	NONE
11	B6	f83r	BIO_STATION_RECORD	9	STATION>OPENING>INLET>RUN>WASH_LIQUID>BIO_CLOTH>BODY_WORK_AREA>FILTER	Beckenstation; Öffnung; Einlass; Flüssigkeitslauf; Waschflüssigkeit; Tuch; örtliche Stelle; Filtern	NONE
12	A1	f67r2	ASTRO_INSTRUMENT	190	WHEEL>SECTOR>STAR_PLACE>CONDITION_PLACE>RING_TEXT>LOCAL_LABEL>CALENDAR_VALUE>CELESTIAL_VALUE>NAMESPACE	Himmelsrad; Himmelssektor; Sternplatz; Himmelsbedingung; Ringrubrik; Himmelslabel; Kalenderwert; Himmelswert; örtlicher Instrumentenschlüssel	NONE
13	A2	f68r1	ASTRO_INSTRUMENT	65	PANEL>STAR_PLACE>MANSION_PLACE>LOCAL_LABEL>CELESTIAL_VALUE>NAMESPACE	Sternpaneel; Sternplatz; 28er Platz; Himmelslabel; Himmelswert; örtlicher Instrumentenschlüssel	NONE
14	A3	f69v	ASTRO_INSTRUMENT	140	ROSETTE>MANSION_PLACE>RING_TEXT>LOCAL_LABEL>CALENDAR_VALUE>WEATHER_VALUE>LIGHT_VALUE>PLANET_VALUE>QUALITY_VALUE>NAMESPACE	Rosetteninstrument; 28er Platz; Ringrubrik; Himmelslabel; Kalenderwert; Witterungswert; Lichtwert; Zeitwert; Qualitätswert; örtlicher Instrumentenschlüssel	NONE
