unified_serial	register	page	unit_or_locus	source_group_identity	visible_identity	owner_or_namespace	construction_or_address	current_short_reading	content_layer	finite_source_unit	allowed_source_program	free_master_noun_allowed	selected_source_vocabulary	content_selection_status
1	HERBAL_PROSE	f10r	H1-S001	E001	dchey	H1	C01	Setze die gelernte Fachkarte: Wurzel als aktueller Posten.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H1	PLANT>ROOT>WATER>VESSEL>EXTRACT>PORTION>DRINK_OR_PRODUCT>RESIDUE	NO	Bildpflanze; Wurzel; Wasser; Gefäß; Auszug; örtliche Portion; Endprodukt; Rückstand	FINITE_SELECTED_LEXICON
2	HERBAL_PROSE	f10r	H1-S001	E002	cthoor	H1	C05	Führe es aus dem Vorrat oder am Ansatz aus: Ansatz bereit.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H1	PLANT>ROOT>WATER>VESSEL>EXTRACT>PORTION>DRINK_OR_PRODUCT>RESIDUE	NO	Bildpflanze; Wurzel; Wasser; Gefäß; Auszug; örtliche Portion; Endprodukt; Rückstand	FINITE_SELECTED_LEXICON
3	HERBAL_PROSE	f10r	H1-S001	E003	char	H1	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: aus dem Ansatz.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H1	PLANT>ROOT>WATER>VESSEL>EXTRACT>PORTION>DRINK_OR_PRODUCT>RESIDUE	NO	Bildpflanze; Wurzel; Wasser; Gefäß; Auszug; örtliche Portion; Endprodukt; Rückstand	FINITE_SELECTED_LEXICON
4	HERBAL_PROSE	f10r	H1-S001	E004	chty	H1	C06	Führe es in der angegebenen Portion oder Stufe aus: Teil abtrennen.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H1	PLANT>ROOT>WATER>VESSEL>EXTRACT>PORTION>DRINK_OR_PRODUCT>RESIDUE	NO	Bildpflanze; Wurzel; Wasser; Gefäß; Auszug; örtliche Portion; Endprodukt; Rückstand	FINITE_SELECTED_LEXICON
5	HERBAL_PROSE	f10r	H1-S001	E005	os	H1	C01	Setze die gelernte Fachkarte: Mischgefäß.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H1	PLANT>ROOT>WATER>VESSEL>EXTRACT>PORTION>DRINK_OR_PRODUCT>RESIDUE	NO	Bildpflanze; Wurzel; Wasser; Gefäß; Auszug; örtliche Portion; Endprodukt; Rückstand	FINITE_SELECTED_LEXICON
6	HERBAL_PROSE	f10r	H1-S001	E006	chair	H1	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: Wasserzulauf.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H1	PLANT>ROOT>WATER>VESSEL>EXTRACT>PORTION>DRINK_OR_PRODUCT>RESIDUE	NO	Bildpflanze; Wurzel; Wasser; Gefäß; Auszug; örtliche Portion; Endprodukt; Rückstand	FINITE_SELECTED_LEXICON
7	HERBAL_PROSE	f10r	H1-S001	E007	otytchol	H1	C02	Danach oder in demselben Gang: naechsten Teilposten weiterfuehren.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H1	PLANT>ROOT>WATER>VESSEL>EXTRACT>PORTION>DRINK_OR_PRODUCT>RESIDUE	NO	Bildpflanze; Wurzel; Wasser; Gefäß; Auszug; örtliche Portion; Endprodukt; Rückstand	FINITE_SELECTED_LEXICON
8	HERBAL_PROSE	f10r	H1-S001	E008	oky	H1	C07	Führe es mit diesem laufenden Posten aus: aktuellen Posten ansetzen.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H1	PLANT>ROOT>WATER>VESSEL>EXTRACT>PORTION>DRINK_OR_PRODUCT>RESIDUE	NO	Bildpflanze; Wurzel; Wasser; Gefäß; Auszug; örtliche Portion; Endprodukt; Rückstand	FINITE_SELECTED_LEXICON
9	HERBAL_PROSE	f10r	H1-S001	E009	daiin	H1	C10	Setze Maß, Portion oder Stufe: Sollmaß.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H1	PLANT>ROOT>WATER>VESSEL>EXTRACT>PORTION>DRINK_OR_PRODUCT>RESIDUE	NO	Bildpflanze; Wurzel; Wasser; Gefäß; Auszug; örtliche Portion; Endprodukt; Rückstand	FINITE_SELECTED_LEXICON
10	HERBAL_PROSE	f10r	H1-S001	E010	etyd	H1	C10	Setze Maß, Portion oder Stufe: kleiner Restteil.	VISIBLE_PLANT_OWNER_PLUS_WORKSHOP_DICTIONARY_PLUS_MASTER_ARTICLE	H1	PLANT>ROOT>WATER>VESSEL>EXTRACT>PORTION>DRINK_OR_PRODUCT>RESIDUE	NO	Bildpflanze; Wurzel; Wasser; Gefäß; Auszug; örtliche Portion; Endprodukt; Rückstand	FINITE_SELECTED_LEXICON
