root	old_value_de	pass1018_value_de	register	occurrence_count	representative_page	representative_statement_id	representative_surface	representative_recipe	visible_owner_or_namespace_de	pass1018_local_expansion_de	representative_statement_translation_de	decision
Y	AKTIVER POSTEN	AKTIVER POSTEN	HERBAL	238	f10r	P1009-S001	dy	Y	zweiknolliges blauköpfiges Heilkraut	AKTIVER POSTEN mit dem sichtbaren Besitzer	Vom gezeigten Wurzelstock den bezeichneten Posten nehmen, nach Maß setzen, halten und weitergeben; den Arbeitsgang schließen.	KEEP_PORTABLE_CORE
Y	AKTIVER POSTEN	AKTIVER POSTEN	BIOLOGICAL	734	f75r	P1009-S072	chedy	CHD+Y	großes Bad-/Stationsblatt mit dreieckiger Insel	AKTIVER POSTEN mit dem sichtbaren Besitzer	In der lokalen Szene „großes Bad-/Stationsblatt mit dreieckiger Insel“: danach; den Posten geben, umsetzen, setzen und halten; vom bezeichneten Ausgang; in Grad I/II; schließen.	KEEP_PORTABLE_CORE
Y	AKTIVER POSTEN	AKTIVER POSTEN	CELESTIAL	173	f67r2	P1009-S032	y	Y	zwei getrennte Himmelsräder und Tabelle	AKTIVER POSTEN mit dem sichtbaren Besitzer	Im Himmels-Namensraum „zwei getrennte Himmelsräder und Tabelle“: danach; am Ansatz; eine Portion nach Maß setzen, wählen, geben, markieren, einsetzen und nehmen; vom bezeichneten Ausgang und zum bezeichneten Ort; in Grad I; auf der bezeichneten Arbeitsstufe; mit der lokalen Kennung; bis zur sichtbaren Grenze führen.	KEEP_PORTABLE_CORE
Y	AKTIVER POSTEN	AKTIVER POSTEN	PHARMA	193	f88r	P1009-S590	shy	Y	sechzehn Drogenposten und drei Gefäßansätze	AKTIVER POSTEN mit dem sichtbaren Besitzer	Bei der Posten- oder Gefäßgruppe „sechzehn Drogenposten und drei Gefäßansätze“: danach; am Ansatz; eine Portion nach Maß halten, nehmen, einstellen, fortsetzen, geben, markieren, setzen und wählen; vom bezeichneten Ausgang, über die bezeichnete Verbindung und zum bezeichneten Ort; in Grad I/II/III; mit der lokalen Kennung; bis zur sichtbaren Grenze führen.	KEEP_PORTABLE_CORE
OK	SETZEN	SETZEN	HERBAL	73	f10r	P1009-S001	oky	OK+Y	zweiknolliges blauköpfiges Heilkraut	SETZEN mit dem sichtbaren Besitzer	Vom gezeigten Wurzelstock den bezeichneten Posten nehmen, nach Maß setzen, halten und weitergeben; den Arbeitsgang schließen.	KEEP_PORTABLE_CORE
OK	SETZEN	SETZEN	BIOLOGICAL	454	f75r	P1009-S075	qokeedy	OK+EE+DY	großes Bad-/Stationsblatt mit dreieckiger Insel	SETZEN mit dem sichtbaren Besitzer	An der oberen Stationsgruppe eine Portion nach Maß setzen, im zweiten Grad halten, lokal weitergeben und schließen.	KEEP_PORTABLE_CORE
OK	SETZEN	SETZEN	CELESTIAL	76	f68r1	P1009-S044	okeey	OK+EE+Y	mehrteilige Sternstellentafel	SETZEN mit dem sichtbaren Besitzer	Im Himmels-Namensraum „mehrteilige Sternstellentafel“: am Ansatz; den Eintrag nehmen, einsetzen, geben, halten, setzen, markieren und fortsetzen; vom bezeichneten Ausgang und zum bezeichneten Ort; in Grad I/II; auf der bezeichneten Arbeitsstufe; mit der lokalen Kennung; bis zur sichtbaren Grenze führen.	KEEP_PORTABLE_CORE
OK	SETZEN	SETZEN	PHARMA	86	f88r	P1009-S592	qokeey	OK+EE+Y	sechzehn Drogenposten und drei Gefäßansätze	SETZEN mit dem sichtbaren Besitzer	Bei der Posten- oder Gefäßgruppe „sechzehn Drogenposten und drei Gefäßansätze“: danach; am Ansatz; den Posten nach Maß wählen, nehmen, setzen, fortsetzen, geben, halten und markieren; über die bezeichnete Verbindung und zum bezeichneten Ort; in Grad I/II; mit der lokalen Kennung; bis zur sichtbaren Grenze führen.	KEEP_PORTABLE_CORE
OL	FORTSETZEN	FORTSETZEN	HERBAL	83	f10r	P1009-S001	chol	OL	zweiknolliges blauköpfiges Heilkraut	FORTSETZEN mit dem sichtbaren Besitzer	Vom gezeigten Wurzelstock den bezeichneten Posten nehmen, nach Maß setzen, halten und weitergeben; den Arbeitsgang schließen.	KEEP_PORTABLE_CORE
OL	FORTSETZEN	FORTSETZEN	BIOLOGICAL	302	f75r	P1009-S076	ol	OL	großes Bad-/Stationsblatt mit dreieckiger Insel	FORTSETZEN mit dem sichtbaren Besitzer	In der lokalen Szene „großes Bad-/Stationsblatt mit dreieckiger Insel“: eine Portion halten, geben, nehmen, markieren und fortsetzen; vom bezeichneten Ausgang; in Grad I/II; schließen.	KEEP_PORTABLE_CORE
OL	FORTSETZEN	FORTSETZEN	CELESTIAL	60	f67r2	P1009-S037	chol	OL	zwei getrennte Himmelsräder und Tabelle	FORTSETZEN mit dem sichtbaren Besitzer	Im Himmels-Namensraum „zwei getrennte Himmelsräder und Tabelle“: am Ansatz; den Eintrag nach Maß fortsetzen, setzen und einstellen; auf der bezeichneten Arbeitsstufe; mit der lokalen Kennung; bis zur sichtbaren Grenze führen.	KEEP_PORTABLE_CORE
OL	FORTSETZEN	FORTSETZEN	PHARMA	118	f88r	P1009-S592	ol	OL	sechzehn Drogenposten und drei Gefäßansätze	FORTSETZEN mit dem sichtbaren Besitzer	Bei der Posten- oder Gefäßgruppe „sechzehn Drogenposten und drei Gefäßansätze“: danach; am Ansatz; den Posten nach Maß wählen, nehmen, setzen, fortsetzen, geben, halten und markieren; über die bezeichnete Verbindung und zum bezeichneten Ort; in Grad I/II; mit der lokalen Kennung; bis zur sichtbaren Grenze führen.	KEEP_PORTABLE_CORE
OT	DANACH	DANACH	HERBAL	45	f10r	P1009-S001	qotchy	OT+Y	zweiknolliges blauköpfiges Heilkraut	DANACH mit dem sichtbaren Besitzer	Vom gezeigten Wurzelstock den bezeichneten Posten nehmen, nach Maß setzen, halten und weitergeben; den Arbeitsgang schließen.	KEEP_PORTABLE_CORE
OT	DANACH	DANACH	BIOLOGICAL	152	f75r	P1009-S172	otedy	OT+E+DY	großes Bad-/Stationsblatt mit dreieckiger Insel	DANACH mit dem sichtbaren Besitzer	In der lokalen Szene „großes Bad-/Stationsblatt mit dreieckiger Insel“: danach; den Posten weiterführen; in Grad I; schließen.	KEEP_PORTABLE_CORE
OT	DANACH	DANACH	CELESTIAL	85	f71v	P1009-S045	oteey	OT+EE+Y	erste lokale Figuren-/Sternringgruppe	DANACH mit dem sichtbaren Besitzer	Im Himmels-Namensraum „erste lokale Figuren-/Sternringgruppe“: danach; den Eintrag nach Maß halten, einsetzen, einstellen, geben und nehmen; vom bezeichneten Ausgang und zum bezeichneten Ort; in Grad I/II; mit der lokalen Kennung; schließen.	KEEP_PORTABLE_CORE
OT	DANACH	DANACH	PHARMA	24	f88v	P1009-S601	otol	OT+OL	zweite Gefaess-/Zutatengruppe	DANACH mit dem sichtbaren Besitzer	Bei der Posten- oder Gefäßgruppe „zweite Gefaess-/Zutatengruppe“: danach; am Ansatz; den Posten geben, nehmen, fortsetzen und halten; in Grad I/II; mit der lokalen Kennung; schließen.	KEEP_PORTABLE_CORE
AL	ZIELORT	ZIELORT	HERBAL	28	f18r	P1009-S019	dal	AL	große abgebildete Blütenpflanze	ZIELORT mit dem sichtbaren Besitzer	Beim Bildbesitzer „große abgebildete Blütenpflanze“: danach; am Ansatz; eine Portion nach Maß geben, fortsetzen, nehmen, einstellen und setzen; vom bezeichneten Ausgang und zum bezeichneten Ort; in Grad I; mit der lokalen Kennung; bis zur sichtbaren Grenze führen.	KEEP_PORTABLE_CORE
AL	ZIELORT	ZIELORT	BIOLOGICAL	169	f75r	P1009-S090	qokal	OK+AL	großes Bad-/Stationsblatt mit dreieckiger Insel	ZIELORT mit dem sichtbaren Besitzer	In der lokalen Szene „großes Bad-/Stationsblatt mit dreieckiger Insel“: den Posten setzen und halten; vom bezeichneten Ausgang und zum bezeichneten Ort; in Grad I; schließen.	KEEP_PORTABLE_CORE
AL	ZIELORT	ZIELORT	CELESTIAL	72	f67r2	P1009-S032	dal	AL	zwei getrennte Himmelsräder und Tabelle	ZIELORT mit dem sichtbaren Besitzer	Im Himmels-Namensraum „zwei getrennte Himmelsräder und Tabelle“: danach; am Ansatz; eine Portion nach Maß setzen, wählen, geben, markieren, einsetzen und nehmen; vom bezeichneten Ausgang und zum bezeichneten Ort; in Grad I; auf der bezeichneten Arbeitsstufe; mit der lokalen Kennung; bis zur sichtbaren Grenze führen.	KEEP_PORTABLE_CORE
AL	ZIELORT	ZIELORT	PHARMA	43	f88r	P1009-S590	dal	AL	sechzehn Drogenposten und drei Gefäßansätze	ZIELORT mit dem sichtbaren Besitzer	Bei der Posten- oder Gefäßgruppe „sechzehn Drogenposten und drei Gefäßansätze“: danach; am Ansatz; eine Portion nach Maß halten, nehmen, einstellen, fortsetzen, geben, markieren, setzen und wählen; vom bezeichneten Ausgang, über die bezeichnete Verbindung und zum bezeichneten Ort; in Grad I/II/III; mit der lokalen Kennung; bis zur sichtbaren Grenze führen.	KEEP_PORTABLE_CORE
CH	NEHMEN	NEHMEN	HERBAL	171	f10r	P1009-S002	chor	CH+OR	zweiknolliges blauköpfiges Heilkraut	NEHMEN mit dem sichtbaren Besitzer	Danach weitere sichtbare Teile wählen, portionsweise nach Maß in den Ansatz setzen, halten und fortsetzen; der Arbeitsgang bleibt offen.	KEEP_PORTABLE_CORE
CH	NEHMEN	NEHMEN	BIOLOGICAL	237	f75r	P1009-S081	chckhy	CH+K+Y	großes Bad-/Stationsblatt mit dreieckiger Insel	NEHMEN mit dem sichtbaren Besitzer	In der lokalen Szene „großes Bad-/Stationsblatt mit dreieckiger Insel“: eine Portion halten, nehmen, geben und setzen; über die bezeichnete Verbindung; in Grad I; mit der lokalen Kennung; schließen.	KEEP_PORTABLE_CORE
CH	NEHMEN	NEHMEN	CELESTIAL	91	f68r1	P1009-S042	cheor	CH+E+O+R	mehrteilige Sternstellentafel	NEHMEN mit dem sichtbaren Besitzer	Im Himmels-Namensraum „mehrteilige Sternstellentafel“: danach; am Ansatz; den Eintrag halten, setzen, nehmen, einstellen, einsetzen, fortsetzen, markieren und wählen; über die bezeichnete Verbindung und zum bezeichneten Ort; in Grad I/II/III; schließen.	KEEP_PORTABLE_CORE
CH	NEHMEN	NEHMEN	PHARMA	148	f88r	P1009-S590	cheol	CH+E+O+L	sechzehn Drogenposten und drei Gefäßansätze	NEHMEN mit dem sichtbaren Besitzer	Bei der Posten- oder Gefäßgruppe „sechzehn Drogenposten und drei Gefäßansätze“: danach; am Ansatz; eine Portion nach Maß halten, nehmen, einstellen, fortsetzen, geben, markieren, setzen und wählen; vom bezeichneten Ausgang, über die bezeichnete Verbindung und zum bezeichneten Ort; in Grad I/II/III; mit der lokalen Kennung; bis zur sichtbaren Grenze führen.	KEEP_PORTABLE_CORE
SH	HALTEN	HALTEN	HERBAL	35	f10r	P1009-S001	shor	SH+OR	zweiknolliges blauköpfiges Heilkraut	HALTEN mit dem sichtbaren Besitzer	Vom gezeigten Wurzelstock den bezeichneten Posten nehmen, nach Maß setzen, halten und weitergeben; den Arbeitsgang schließen.	KEEP_PORTABLE_CORE
SH	HALTEN	HALTEN	BIOLOGICAL	365	f75r	P1009-S072	shedy	SH+E+DY	großes Bad-/Stationsblatt mit dreieckiger Insel	HALTEN mit dem sichtbaren Besitzer	In der lokalen Szene „großes Bad-/Stationsblatt mit dreieckiger Insel“: danach; den Posten geben, umsetzen, setzen und halten; vom bezeichneten Ausgang; in Grad I/II; schließen.	KEEP_PORTABLE_CORE
SH	HALTEN	HALTEN	CELESTIAL	45	f68r1	P1009-S043	cheey	SH+EE+Y	mehrteilige Sternstellentafel	HALTEN mit dem sichtbaren Besitzer	Im Himmels-Namensraum „mehrteilige Sternstellentafel“: den Eintrag halten, nehmen und einstellen; in Grad I/II; schließen.	KEEP_PORTABLE_CORE
SH	HALTEN	HALTEN	PHARMA	57	f88r	P1009-S594	cheey	SH+EE+Y	sechzehn Drogenposten und drei Gefäßansätze	HALTEN mit dem sichtbaren Besitzer	Bei der Posten- oder Gefäßgruppe „sechzehn Drogenposten und drei Gefäßansätze“: am Ansatz; den Posten nach Maß setzen, fortsetzen, halten, geben, nehmen, wählen, markieren und einstellen; vom bezeichneten Ausgang, über die bezeichnete Verbindung und zum bezeichneten Ort; in Grad I/II/III; auf der bezeichneten Arbeitsstufe; mit der lokalen Kennung; offen weiterführen.	KEEP_PORTABLE_CORE
AR	AUSGANG	AUSGANG	HERBAL	38	f10r	P1009-S002	dar	D_ADDR+AR	zweiknolliges blauköpfiges Heilkraut	AUSGANG mit dem sichtbaren Besitzer	Danach weitere sichtbare Teile wählen, portionsweise nach Maß in den Ansatz setzen, halten und fortsetzen; der Arbeitsgang bleibt offen.	KEEP_PORTABLE_CORE
AR	AUSGANG	AUSGANG	BIOLOGICAL	138	f75r	P1009-S072	qokar	OK+AR	großes Bad-/Stationsblatt mit dreieckiger Insel	AUSGANG mit dem sichtbaren Besitzer	In der lokalen Szene „großes Bad-/Stationsblatt mit dreieckiger Insel“: danach; den Posten geben, umsetzen, setzen und halten; vom bezeichneten Ausgang; in Grad I/II; schließen.	KEEP_PORTABLE_CORE
AR	AUSGANG	AUSGANG	CELESTIAL	54	f67r2	P1009-S032	ar	AR	zwei getrennte Himmelsräder und Tabelle	AUSGANG mit dem sichtbaren Besitzer	Im Himmels-Namensraum „zwei getrennte Himmelsräder und Tabelle“: danach; am Ansatz; eine Portion nach Maß setzen, wählen, geben, markieren, einsetzen und nehmen; vom bezeichneten Ausgang und zum bezeichneten Ort; in Grad I; auf der bezeichneten Arbeitsstufe; mit der lokalen Kennung; bis zur sichtbaren Grenze führen.	KEEP_PORTABLE_CORE
AR	AUSGANG	AUSGANG	PHARMA	24	f88r	P1009-S590	dar	D_ADDR+AR	sechzehn Drogenposten und drei Gefäßansätze	AUSGANG mit dem sichtbaren Besitzer	Bei der Posten- oder Gefäßgruppe „sechzehn Drogenposten und drei Gefäßansätze“: danach; am Ansatz; eine Portion nach Maß halten, nehmen, einstellen, fortsetzen, geben, markieren, setzen und wählen; vom bezeichneten Ausgang, über die bezeichnete Verbindung und zum bezeichneten Ort; in Grad I/II/III; mit der lokalen Kennung; bis zur sichtbaren Grenze führen.	KEEP_PORTABLE_CORE
K	GEBEN	GEBEN	HERBAL	73	f11r	P1009-S004	kchol	K+OL	blühender dreikroniger Sodenstock	GEBEN mit dem sichtbaren Besitzer	Einen weiteren sichtbaren Teil nach Maß nehmen, dem Ansatz geben, halten und im Folgegang fortsetzen; der Arbeitsgang bleibt offen.	KEEP_PORTABLE_CORE
K	GEBEN	GEBEN	BIOLOGICAL	223	f75r	P1009-S081	chckhy	CH+K+Y	großes Bad-/Stationsblatt mit dreieckiger Insel	GEBEN mit dem sichtbaren Besitzer	In der lokalen Szene „großes Bad-/Stationsblatt mit dreieckiger Insel“: eine Portion halten, nehmen, geben und setzen; über die bezeichnete Verbindung; in Grad I; mit der lokalen Kennung; schließen.	KEEP_PORTABLE_CORE
K	GEBEN	GEBEN	CELESTIAL	42	f71v	P1009-S045	keey	K+EE+Y	erste lokale Figuren-/Sternringgruppe	GEBEN mit dem sichtbaren Besitzer	Im Himmels-Namensraum „erste lokale Figuren-/Sternringgruppe“: danach; den Eintrag nach Maß halten, einsetzen, einstellen, geben und nehmen; vom bezeichneten Ausgang und zum bezeichneten Ort; in Grad I/II; mit der lokalen Kennung; schließen.	KEEP_PORTABLE_CORE
K	GEBEN	GEBEN	PHARMA	70	f88r	P1009-S590	qockhey	O+CH+K+E+Y	sechzehn Drogenposten und drei Gefäßansätze	GEBEN mit dem sichtbaren Besitzer	Bei der Posten- oder Gefäßgruppe „sechzehn Drogenposten und drei Gefäßansätze“: danach; am Ansatz; eine Portion nach Maß halten, nehmen, einstellen, fortsetzen, geben, markieren, setzen und wählen; vom bezeichneten Ausgang, über die bezeichnete Verbindung und zum bezeichneten Ort; in Grad I/II/III; mit der lokalen Kennung; bis zur sichtbaren Grenze führen.	KEEP_PORTABLE_CORE
AIIN	MASS	WERT	HERBAL	66	f10r	P1009-S001	daiin	AIIN	zweiknolliges blauköpfiges Heilkraut	Maß- oder Dosiswert	Vom gezeigten Wurzelstock den bezeichneten Posten nehmen, nach Maß setzen, halten und weitergeben; den Arbeitsgang schließen.	REVISE_PORTABLE_CORE
AIIN	MASS	WERT	BIOLOGICAL	158	f75r	P1009-S179	okaiin	OK+AIIN	großes Bad-/Stationsblatt mit dreieckiger Insel	Einstell- oder Arbeitswert	In der lokalen Szene „großes Bad-/Stationsblatt mit dreieckiger Insel“: den Posten nach Maß setzen; in Grad I; schließen.	REVISE_PORTABLE_CORE
AIIN	MASS	WERT	CELESTIAL	71	f67r2	P1009-S032	daiin	AIIN	zwei getrennte Himmelsräder und Tabelle	Tabellen- oder Positionswert	Im Himmels-Namensraum „zwei getrennte Himmelsräder und Tabelle“: danach; am Ansatz; eine Portion nach Maß setzen, wählen, geben, markieren, einsetzen und nehmen; vom bezeichneten Ausgang und zum bezeichneten Ort; in Grad I; auf der bezeichneten Arbeitsstufe; mit der lokalen Kennung; bis zur sichtbaren Grenze führen.	REVISE_PORTABLE_CORE
AIIN	MASS	WERT	PHARMA	76	f88r	P1009-S590	daiin	AIIN	sechzehn Drogenposten und drei Gefäßansätze	Mengen- oder Ansatzwert	Bei der Posten- oder Gefäßgruppe „sechzehn Drogenposten und drei Gefäßansätze“: danach; am Ansatz; eine Portion nach Maß halten, nehmen, einstellen, fortsetzen, geben, markieren, setzen und wählen; vom bezeichneten Ausgang, über die bezeichnete Verbindung und zum bezeichneten Ort; in Grad I/II/III; mit der lokalen Kennung; bis zur sichtbaren Grenze führen.	REVISE_PORTABLE_CORE
S	WÄHLEN	WÄHLEN	HERBAL	30	f11r	P1009-S004	s	S	blühender dreikroniger Sodenstock	WÄHLEN mit dem sichtbaren Besitzer	Einen weiteren sichtbaren Teil nach Maß nehmen, dem Ansatz geben, halten und im Folgegang fortsetzen; der Arbeitsgang bleibt offen.	KEEP_PORTABLE_CORE
S	WÄHLEN	WÄHLEN	BIOLOGICAL	116	f75r	P1009-S099	sain	S+AIN	großes Bad-/Stationsblatt mit dreieckiger Insel	WÄHLEN mit dem sichtbaren Besitzer	In der lokalen Szene „großes Bad-/Stationsblatt mit dreieckiger Insel“: eine Portion wählen, geben, halten, setzen und fortsetzen; zum bezeichneten Ort; in Grad I; schließen.	KEEP_PORTABLE_CORE
