root	old_value_de	pass1018_value_de	decision	composition_role	running_mentions	register_count	register_occurrence_counts	cross_register_reading_de	reason_de	forward_rule_de
Y	AKTIVER POSTEN	AKTIVER POSTEN	KEEP	REFERENT_TAIL	1390	4	HERBAL:238|BIOLOGICAL:734|CELESTIAL:173|PHARMA:193	HERBAL=AKTIVER POSTEN mit dem sichtbaren Besitzer | BIOLOGICAL=AKTIVER POSTEN mit dem sichtbaren Besitzer | CELESTIAL=AKTIVER POSTEN mit dem sichtbaren Besitzer | PHARMA=AKTIVER POSTEN mit dem sichtbaren Besitzer	Der kurze Wert bleibt in allen vier Registern als dieselbe Kernhandlung oder Relation lesbar.	Schließe die lokale Form mit dem aktuell gemeinten Posten; Y ist kein Schlusszeichen.
OK	SETZEN	SETZEN	KEEP	ACTION_HEAD	690	4	HERBAL:73|BIOLOGICAL:454|CELESTIAL:76|PHARMA:86	HERBAL=SETZEN mit dem sichtbaren Besitzer | BIOLOGICAL=SETZEN mit dem sichtbaren Besitzer | CELESTIAL=SETZEN mit dem sichtbaren Besitzer | PHARMA=SETZEN mit dem sichtbaren Besitzer	Der kurze Wert bleibt in allen vier Registern als dieselbe Kernhandlung oder Relation lesbar.	Setze den rechts folgenden Posten, Grad, die Menge oder Adresse in Gang.
OL	FORTSETZEN	FORTSETZEN	KEEP	CONTINUATION_FRAME	573	4	HERBAL:83|BIOLOGICAL:302|CELESTIAL:60|PHARMA:118	HERBAL=FORTSETZEN mit dem sichtbaren Besitzer | BIOLOGICAL=FORTSETZEN mit dem sichtbaren Besitzer | CELESTIAL=FORTSETZEN mit dem sichtbaren Besitzer | PHARMA=FORTSETZEN mit dem sichtbaren Besitzer	Der kurze Wert bleibt in allen vier Registern als dieselbe Kernhandlung oder Relation lesbar.	Führe die rechts folgende Handlung oder den allein stehenden aktiven Gang fort.
OT	DANACH	DANACH	KEEP	NEXT_FRAME	306	4	HERBAL:45|BIOLOGICAL:152|CELESTIAL:85|PHARMA:24	HERBAL=DANACH mit dem sichtbaren Besitzer | BIOLOGICAL=DANACH mit dem sichtbaren Besitzer | CELESTIAL=DANACH mit dem sichtbaren Besitzer | PHARMA=DANACH mit dem sichtbaren Besitzer	Der kurze Wert bleibt in allen vier Registern als dieselbe Kernhandlung oder Relation lesbar.	Lies die rechts folgende Handlung, Adresse oder den Grad als nächsten Schritt.
AL	ZIELORT	ZIELORT	KEEP	TARGET_TAIL	315	4	HERBAL:28|BIOLOGICAL:169|CELESTIAL:72|PHARMA:43	HERBAL=ZIELORT mit dem sichtbaren Besitzer | BIOLOGICAL=ZIELORT mit dem sichtbaren Besitzer | CELESTIAL=ZIELORT mit dem sichtbaren Besitzer | PHARMA=ZIELORT mit dem sichtbaren Besitzer	Der kurze Wert bleibt in allen vier Registern als dieselbe Kernhandlung oder Relation lesbar.	Binde die vorherige Handlung an den bezeichneten Zielort.
CH	NEHMEN	NEHMEN	KEEP	ACTION_HEAD	709	4	HERBAL:171|BIOLOGICAL:237|CELESTIAL:91|PHARMA:148	HERBAL=NEHMEN mit dem sichtbaren Besitzer | BIOLOGICAL=NEHMEN mit dem sichtbaren Besitzer | CELESTIAL=NEHMEN mit dem sichtbaren Besitzer | PHARMA=NEHMEN mit dem sichtbaren Besitzer	Der kurze Wert bleibt in allen vier Registern als dieselbe Kernhandlung oder Relation lesbar.	Nimm den rechts bezeichneten Posten, die Menge, Adresse oder Folgehandlung.
SH	HALTEN	HALTEN	KEEP	ACTION_HEAD	503	4	HERBAL:35|BIOLOGICAL:365|CELESTIAL:45|PHARMA:57	HERBAL=HALTEN mit dem sichtbaren Besitzer | BIOLOGICAL=HALTEN mit dem sichtbaren Besitzer | CELESTIAL=HALTEN mit dem sichtbaren Besitzer | PHARMA=HALTEN mit dem sichtbaren Besitzer	Der kurze Wert bleibt in allen vier Registern als dieselbe Kernhandlung oder Relation lesbar.	Halte den rechts bezeichneten Posten oder Ansatz im folgenden Grad.
AR	AUSGANG	AUSGANG	KEEP	SOURCE_TAIL	257	4	HERBAL:38|BIOLOGICAL:138|CELESTIAL:54|PHARMA:24	HERBAL=AUSGANG mit dem sichtbaren Besitzer | BIOLOGICAL=AUSGANG mit dem sichtbaren Besitzer | CELESTIAL=AUSGANG mit dem sichtbaren Besitzer | PHARMA=AUSGANG mit dem sichtbaren Besitzer	Der kurze Wert bleibt in allen vier Registern als dieselbe Kernhandlung oder Relation lesbar.	Binde die vorherige Handlung an den bezeichneten Ausgang; keine Richtung erfinden.
K	GEBEN	GEBEN	KEEP	TRANSFER_HEAD_OR_BRIDGE	415	4	HERBAL:73|BIOLOGICAL:223|CELESTIAL:42|PHARMA:70	HERBAL=GEBEN mit dem sichtbaren Besitzer | BIOLOGICAL=GEBEN mit dem sichtbaren Besitzer | CELESTIAL=GEBEN mit dem sichtbaren Besitzer | PHARMA=GEBEN mit dem sichtbaren Besitzer	Der kurze Wert bleibt in allen vier Registern als dieselbe Kernhandlung oder Relation lesbar.	Gib den rechts bezeichneten Posten weiter oder verbinde zwei Handlungsteile durch Übergabe.
AIIN	MASS	WERT	REVISE	QUANTITY_TAIL	371	4	HERBAL:66|BIOLOGICAL:158|CELESTIAL:71|PHARMA:76	HERBAL=Maß- oder Dosiswert | BIOLOGICAL=Einstell- oder Arbeitswert | CELESTIAL=Tabellen- oder Positionswert | PHARMA=Mengen- oder Ansatzwert	MASS ist in Pflanzen-/Pharmakontexten gut, aber in Himmels- und Stationsregistern zu stofflich; WERT deckt Dosis, Einstellung und Tabellenwert.	Lies die vorherige Handlung nach dem vorgegebenen Maß.
S	WÄHLEN	WÄHLEN	KEEP	CHOICE_HEAD	240	4	HERBAL:30|BIOLOGICAL:116|CELESTIAL:44|PHARMA:46	HERBAL=WÄHLEN mit dem sichtbaren Besitzer | BIOLOGICAL=WÄHLEN mit dem sichtbaren Besitzer | CELESTIAL=WÄHLEN mit dem sichtbaren Besitzer | PHARMA=WÄHLEN mit dem sichtbaren Besitzer	Der kurze Wert bleibt in allen vier Registern als dieselbe Kernhandlung oder Relation lesbar.	Wähle den rechts bezeichneten Posten, die Portion oder Adresse.
