joint_tuple_id	surfaces	old_value_de	new_value_de	reason
259b2b3b0bf859882e2c	dchedy|schedy|tchedy	überführen; Schluss	umsetzen; Schluss	COMPONENT_INVARIANCE
5e8441397e7c0faf042b	chedchy	dies überführen	dies umsetzen	COMPONENT_INVARIANCE
7d2404c835b10a2c06af	okair	Laufflüssigkeit in Gang setzen	Wasser in Gang setzen	COMPONENT_INVARIANCE
b154ff779abe5f196c80	schedair	Laufflüssigkeit weiterführen	Wasser weiterfuehren	COMPONENT_INVARIANCE
8aedd154964a78e555d6	dairydy	Laufflüssigkeit abschließen	Wasserlauf schliessen	COMPONENT_INVARIANCE
4de12cf322dfb76ded1e	otchedy|qotchedy	Folgeüberführung; Schluss	danach umsetzen; Schluss	COMPONENT_INVARIANCE
d788d8d72d41b25a3c71	chealror	Ansatz an der Stelle auffangen	Ansatz an der Stelle abkuehlen	COMPONENT_INVARIANCE
98bdc4244c84cbef3321	rsheal	Waschflüssigkeit an die Stelle	an der Stelle kurz abkuehlen	COMPONENT_INVARIANCE
9247e38d29c79a0d2fa5	cheeety	voll spülen	dies vollstaendig fuellen	COMPONENT_INVARIANCE
fcc1deda9e24ec268eb0	daiiin	zweite Stufe	zweite Stufe	UNIQUE_AIIIN_HAS_NO_PRODUCTIVE_SISTER_CARD
