card_no	joint_tuple_id	surfaces	events	source_composition	normalized_components	slot_signature	endpoint	small_value_de	composition_source	licensed_by_manual
BIOC001	7db18b2f0fb7ed0fcfd3	qokedy	8	OK+E+DY	OK+E+DY	FRAME>GRADE>ENDPOINT	CLOSED	kurz ansetzen; Schluss	B1_DICTIONARY	YES
BIOC002	b5fcea1eaed06b2f2291	okaiin|qokaiin	8	OK+AIIN	OK+AIIN	FRAME>ARGUMENT	OPEN	bemessen	B1_DICTIONARY	YES
BIOC003	22fb87a5a83e5c3fb510	kair	1	K+AIR	K+AIR	OPERATION>ARGUMENT	OPEN	Wasser zufuehren	PASS448	YES
BIOC004	308e8ea2d5d190c498e8	okal|qokal	5	OK+AL	OK+AL	FRAME>ARGUMENT	OPEN	an die Stelle setzen	B1_DICTIONARY	YES
BIOC006	dcda95c81a5460feb191	cheol|ol|qol|sol|tol	16	OL	OL	FRAME	OPEN	fortsetzen	B1_DICTIONARY	YES
BIOC007	9da1b6ac2c929daea697	chkain|kain	3	K+AIN	K+AIN	OPERATION>ARGUMENT	OPEN	eine Portion	B1_DICTIONARY	YES
BIOC008	94df4847b7b16c98394a	olkain|qolkain	2	OL+K+AIN	OL+K+AIN	FRAME>OPERATION>ARGUMENT	OPEN	weitere Portion	B1_DICTIONARY	YES
BIOC009	dd0ecaf5e27d81befffc	al|chal|cheal|dal|sal|tal	9	AL	AL	ARGUMENT	OPEN	Stelle	B1_DICTIONARY	YES
BIOC010	1496a731803a9f48d2e1	rol	1	R+OL	R+OL	OPERATION>FRAME	OPEN	weiter abkuehlen	PASS448	YES
BIOC011	0f18de177ed7c878bf95	dl	2	L	L	OPERATION	OPEN	weiterfuehren	PASS448	YES
BIOC012	dec401773c1f0347793d	olor	1	OL+OR	OL+OR	FRAME>ARGUMENT	OPEN	weiterer Ansatz	B1_DICTIONARY	YES
BIOC013	4eab1841ed655c20a348	sheckhal	1	SH+E+CKH+AL	SH+E+CKH+AL	OPERATION>GRADE>OPERATION>ARGUMENT	OPEN	kurz an der Durchlassstelle	B1_DICTIONARY	YES
BIOC014	2f1c5e56e8f0ff459065	aiin|daiin|saiin	11	AIIN	AIIN	ARGUMENT	OPEN	Mass	B1_DICTIONARY	YES
BIOC015	93f69c38fdedee1598e9	qokeedal	1	OK+EE+D+AL	OK+EE+AL	FRAME>GRADE>ARGUMENT	OPEN	länger an der Stelle halten	B1_DICTIONARY	YES
BIOC016	2cc8bb3c2af19607888f	chckhy|shckhy	4	CKH+Y	CKH+Y	OPERATION>ARGUMENT	OPEN	durchführen	B1_DICTIONARY	YES
BIOC017	259b2b3b0bf859882e2c	dchedy|schedy|tchedy	4	CHED+DY	CHD+DY	OPERATION>ENDPOINT	CLOSED	umsetzen; Schluss	B1_DICTIONARY	YES
BIOC018	54e32e9c1414b20640e9	sshkchdy	1	SH+K+CHD+DY	SH+K+CHD+DY	OPERATION>OPERATION>OPERATION>ENDPOINT	CLOSED	gebuendelt umsetzen; Schluss	PASS448	YES
BIOC019	6f7ff8287eddf4da9fdb	chdy|chedy	10	CHED+Y	CHD+Y	OPERATION>ARGUMENT	OPEN	dies umsetzen	B1_DICTIONARY	YES
BIOC020	bc4f1f5c006c74a4d26d	cheedy|shedy|tedy	12	SH+E+DY	SHED+DY	OPERATION>ENDPOINT	CLOSED	kurz absetzen; Schluss	B1_DICTIONARY	YES
BIOC021	28ffbc88b97772a75f1e	olchedy|qolchedy	3	OL+CHED+DY	OL+CHD+DY	FRAME>OPERATION>ENDPOINT	CLOSED	weiterführen; Schluss	B1_DICTIONARY	YES
BIOC022	1645e612504fcef59ced	okain|qokain	7	OK+AIN	OK+AIN	FRAME>ARGUMENT	OPEN	eine Portion zugeben	PASS449	YES
BIOC023	4da0f0f7b5fc7ac20067	ral	1	R+AL	R+AL	OPERATION>ARGUMENT	OPEN	an der Stelle abkuehlen	PASS448	YES
BIOC024	87411f84689b4f93a303	qokchdy	3	OK+CHD+DY	OK+CHD+DY	FRAME>OPERATION>ENDPOINT	CLOSED	Ansatz umsetzen; Schluss	PASS449	YES
BIOC025	b921a237be883a820352	chey|dy|sy	9	Y	Y	ARGUMENT	OPEN	dies	B1_DICTIONARY	YES
BIOC026	d904bf7b044dd3922781	cheky	3	CHK+E+Y	CHK+E+Y	OPERATION>GRADE>ARGUMENT	OPEN	kurz wärmen	B1_DICTIONARY	YES
BIOC027	276a7c2d74d1143446f4	qoky	7	OK+Y	OK+Y	FRAME>ARGUMENT	OPEN	verwende dies	B1_DICTIONARY	YES
BIOC028	be0974b366c981dc1eef	lsho	1	LSH+O	LSH+O	OPERATION>FRAME	OPEN	Waschgang	PASS448	YES
BIOC029	08bd5ca0c2ad137a056d	okey|qokey	2	OK+E+Y	OK+E+Y	FRAME>GRADE>ARGUMENT	OPEN	kurz ansetzen	B1_DICTIONARY	YES
BIOC030	2e7e89e0bd12b999c280	lshedy	2	LSH+E+DY	LSH+E+DY	OPERATION>GRADE>ENDPOINT	CLOSED	Waschgang; Schluss	PASS448	YES
BIOC031	c205570c49d4d93c23d3	qolky	1	OLK+Y	SOLK+Y	OPERATION>ARGUMENT	OPEN	dies auffangen	PASS448	YES
BIOC032	433713294b25b0a12f66	lchedal	1	L+CHED+AL	L+CHD+AL	OPERATION>OPERATION>ARGUMENT	OPEN	zum Auslass führen	B1_DICTIONARY	YES
BIOC033	b6b654722e55729cc947	otar	1	OT+AR	OT+AR	FRAME>ARGUMENT	OPEN	danach von dort	B1_DICTIONARY	YES
BIOC034	a7af89ab31ce5e247395	ytey	1	Y+T+E+Y	T+E+Y	OPERATION>GRADE>ARGUMENT	OPEN	dies kurz fuellen	PASS449	YES
BIOC035	07913ef9b1fb773cd325	okchedy|qokchedy	2	OK+CHED+DY	OK+CHD+DY	FRAME>OPERATION>ENDPOINT	CLOSED	Ansatz umsetzen; Schluss	PASS449	YES
BIOC036	0275fbf14e07935b0a45	okeey|qokeey	7	OK+EE+Y	OK+EE+Y	FRAME>GRADE>ARGUMENT	OPEN	länger ansetzen	B1_DICTIONARY	YES
BIOC037	a06244ef1f2b37ca44c1	teol	1	E+OL	E+OL	GRADE>FRAME	OPEN	kurz fortsetzen	PASS448	YES
BIOC038	d225b7a7b95da7aee437	dchdy	1	CHD+DY	CHD+DY	OPERATION>ENDPOINT	CLOSED	umsetzen; Schluss	PASS448	YES
BIOC039	b38d70daefd663d74625	ly	1	L+Y	L+Y	OPERATION>ARGUMENT	OPEN	dies fuehren	PASS448	YES
BIOC040	74c76d589d44120f647b	dsheol	1	SH+E+OL	SH+E+OL	OPERATION>GRADE>FRAME	OPEN	kurz halten	B1_DICTIONARY	YES
BIOC041	2c82523794dcb7d2b343	oiiin|soiiin	2	O+IIN	O+IIN	FRAME>ARGUMENT	OPEN	Sollstand	B1_DICTIONARY	YES
BIOC042	3b70942557b3a40e8030	olkeedy|solkeedy	3	SOLK+EE+DY	SOLK+EE+DY	OPERATION>GRADE>ENDPOINT	CLOSED	länger auffangen; Schluss	B1_DICTIONARY	YES
BIOC043	d68bc8de3bcee09db23c	shckhedy	3	SH+CKHE+DY	SH+CKHE+DY	OPERATION>OPERATION>ENDPOINT	CLOSED	seihen; Schluss	B1_DICTIONARY	YES
BIOC044	7d25241b0e56c836372a	qokeedy	10	OK+EE+DY	OK+EE+DY	FRAME>GRADE>ENDPOINT	CLOSED	länger ansetzen; Schluss	B2_GRADE	YES
BIOC045	f329f2051370174e9a38	lcheckhy	1	L+CHE+CKH+Y	L+CKH+Y	OPERATION>OPERATION>ARGUMENT	OPEN	dies zum Durchlass führen	B2_DIRECTION	YES
BIOC046	ba8142680851f24c9ff2	lched	1	L+CHED	L+CHD	OPERATION>OPERATION	OPEN	hinausführen	B2_DIRECTION	YES
BIOC047	c1db6b0a28d5cbb5d3d2	lcheckhedy	1	L+CHE+CKHE+DY	L+CKHE+DY	OPERATION>OPERATION>ENDPOINT	CLOSED	hinaus seihen; Schluss	B2_DIRECTION	YES
BIOC048	4a7a6326ac95a8809302	qokaly	1	OK+AL+Y	OK+AL+Y	FRAME>ARGUMENT>ARGUMENT	OPEN	dies an die Stelle setzen	B2_DIRECTION	YES
BIOC049	2d2e37ccb2dacc53ee5a	solkaiin	1	SOLK+AIIN	SOLK+AIIN	OPERATION>ARGUMENT	OPEN	Auffangmass	PASS448	YES
BIOC050	a8f891de626fc00028e9	octheol	1	O+CTH+E+OL	O+CTH+E+OL	FRAME>STATE>GRADE>FRAME	OPEN	kurz bereit fortsetzen	PASS449	YES
BIOC051	f0db6d30cd34f4cb2a4d	chkeey	1	CHK+EE+Y	CHK+EE+Y	OPERATION>GRADE>ARGUMENT	OPEN	dies länger wärmen	B2_GRADE	YES
BIOC052	04a3877f0fc81b7597c9	ldy	2	L+DY	L+DY	OPERATION>ENDPOINT	CLOSED	abführen; Schluss	B2_FINAL	YES
BIOC053	5d5e0b288cf36864ed9d	oteey	2	OT+EE+Y	OT+EE+Y	FRAME>GRADE>ARGUMENT	OPEN	nächsten Posten länger halten	B2_GRADE	YES
BIOC054	c1913ec4ff84148da6d3	sheckhy	1	SH+E+CKH+Y	SH+E+CKH+Y	OPERATION>GRADE>OPERATION>ARGUMENT	OPEN	dies kurz durchführen	B2_PREDICTED_SEED	YES
BIOC055	cbb42a4fe68068325d6b	dshedy	1	SH+E+DY	SH+E+DY	OPERATION>GRADE>ENDPOINT	CLOSED	kurz halten; Schluss	PASS448	YES
BIOC056	54d0e228ca346110af05	otaiin|sotaiin	3	OT+AIIN	OT+AIIN	FRAME>ARGUMENT	OPEN	nächstes Maß	B2_FINAL	YES
BIOC057	3ae9a121ba0045b913e8	qokar	1	OK+AR	OK+AR	FRAME>ARGUMENT	OPEN	von dort einsetzen	B2_FINAL	YES
BIOC058	daa1347f456415fe8737	solshedy	1	OL+SH+E+DY	OL+SH+E+DY	FRAME>OPERATION>GRADE>ENDPOINT	CLOSED	mit dem Vorigen kurz absetzen; Schluss	B2_FINAL	YES
BIOC059	5eff216ba51fbfb21f22	ls	1	L+S	LS	OPERATION	OPEN	abfuehren	PASS448	YES
BIOC061	0ab57b7166de99db3a55	lchy	1	L+CH+Y	L+CH+Y	OPERATION>OPERATION>ARGUMENT	OPEN	dies abziehen	B2_LIQUID	YES
BIOC062	6b89d6dd70635bc60fe0	qcthey|shcthey	2	CTH+E+Y	CTH+E+Y	STATE>GRADE>ARGUMENT	OPEN	dies kurz bereithalten	B2_GRADE	YES
BIOC063	5fca8fc3dee57e1d8c1f	lcheey	1	L+CHE+EE+Y	L+EE+Y	OPERATION>GRADE>ARGUMENT	OPEN	dies länger abziehen	B2_LIQUID	YES
BIOC064	d25110e0d8488927278f	qokeeedy	1	OK+EEE+DY	OK+EEE+DY	FRAME>GRADE>ENDPOINT	CLOSED	vollständig ansetzen; Schluss	B2_GRADE	YES
BIOC065	de7321bface5628e35d6	lchedy	8	L+CHED+DY	L+CHD+DY	OPERATION>OPERATION>ENDPOINT	CLOSED	hinausführen; Schluss	B2_FINAL	YES
BIOC066	29e0eb222ef2fb99523a	lar	1	L+AR	L+AR	OPERATION>ARGUMENT	OPEN	von dort abführen	B2_LIQUID	YES
BIOC067	d4a31dbcf1ed6d9e5aa9	tshey	1	SH+E+Y	SH+E+Y	OPERATION>GRADE>ARGUMENT	OPEN	dies kurz halten	PASS448	YES
BIOC068	0f15effeca7ab10bb026	lchedar	1	L+CHED+AR	L+CHD+AR	OPERATION>OPERATION>ARGUMENT	OPEN	von dort hinausführen	B2_DIRECTION	YES
BIOC070	65df3cd9e59060042d47	pchedy	1	P+CHED+DY	P+CHD+DY	OPERATION>OPERATION>ENDPOINT	CLOSED	hineinführen; Schluss	B2_DIRECTION	YES
BIOC071	98bdc4244c84cbef3321	rsheal	1	RSHE+AL	R+SH+E+AL	OPERATION>OPERATION>GRADE>ARGUMENT	OPEN	an der Stelle kurz abkuehlen	B2_LIQUID	YES
BIOC072	78b3b3140714da19090d	daldy	1	AL+DY	AL+DY	ARGUMENT>ENDPOINT	CLOSED	an der Stelle schliessen	PASS448	YES
BIOC073	7f68f60279efe6b28cd7	rshedy	1	R+SHED+DY	R+SHED+DY	OPERATION>OPERATION>ENDPOINT	CLOSED	abkuehlen und absetzen; Schluss	PASS448	YES
BIOC074	ff178343c18e287ce3b7	qoteedy	2	OT+EE+DY	OT+EE+DY	FRAME>GRADE>ENDPOINT	CLOSED	nächsten Schritt länger halten; Schluss	B2_GRADE	YES
BIOC075	f2af6326898fb5b490a4	lochedy	1	L+O+CHED+DY	L+O+CHD+DY	OPERATION>FRAME>OPERATION>ENDPOINT	CLOSED	hinausführen; Schluss	B2_DIRECTION	YES
BIOC076	90bcf0a9ec0ef56399e6	otal|qotal	3	OT+AL	OT+AL	FRAME>ARGUMENT	OPEN	Folgestelle	B3	YES
BIOC077	a84fbe3ad380df345b97	chkeedy	1	CHK+EE+DY	CHK+EE+DY	OPERATION>GRADE>ENDPOINT	CLOSED	länger wärmen; Schluss	B3	YES
BIOC078	5e8441397e7c0faf042b	chedchy	1	CHED+Y	CHD+Y	OPERATION>ARGUMENT	OPEN	dies umsetzen	B3	YES
BIOC079	ba540da978ea132f6da5	pchedal	1	P+CHED+AL	P+CHD+AL	OPERATION>OPERATION>ARGUMENT	OPEN	an der Stelle hineinführen	B3	YES
BIOC080	c45ebac60774620561e2	otedy	2	OT+E+DY	OT+E+DY	FRAME>GRADE>ENDPOINT	CLOSED	kurzer Folgeschritt; Schluss	B3	YES
BIOC081	348e81ba084c5acdb32b	shecthedchy	1	SH+E+CTH+ED+CHY	SH+E+CTH+CHD+Y	OPERATION>GRADE>STATE>OPERATION>ARGUMENT	OPEN	dies kurz bereit umsetzen	PASS449	YES
BIOC082	0bdc8b6db811b4e67a63	chary	1	AR+Y	AR+Y	ARGUMENT>ARGUMENT	OPEN	dies aus der Quelle nehmen	PASS448	YES
BIOC083	7a4bb8136330ee4e6e56	or|sor	2	S+OR	OR	ARGUMENT	OPEN	Ansatz	B3	YES
BIOC084	7d2404c835b10a2c06af	okair	1	OK+AIR	OK+AIR	FRAME>ARGUMENT	OPEN	Wasser in Gang setzen	B3	YES
BIOC085	03626ca94cb17800d767	sheedy	1	SH+EE+DY	SH+EE+DY	OPERATION>GRADE>ENDPOINT	CLOSED	länger absetzen; Schluss	B3	YES
BIOC086	2b7fa918d1b2f5c656e3	lo	1	L+O	L+O	OPERATION>FRAME	OPEN	hinausfuehren	PASS448	YES
BIOC087	db167f8e9b53eefb58f8	qokshedy	1	OK+SH+E+DY	OK+SH+E+DY	FRAME>OPERATION>GRADE>ENDPOINT	CLOSED	kurz absetzen; Schluss	B3	YES
BIOC088	e0b630cb1b5df5e7105b	checthy|shcthy	4	CTH+Y	CTH+Y	STATE>ARGUMENT	OPEN	bereit	B3	YES
BIOC089	abb23e5e6936b4147f76	shedal	2	SHED+AL	SHED+AL	OPERATION>ARGUMENT	OPEN	an der Stelle absetzen	B3	YES
BIOC090	cb57b696b815fdef9cb7	shecthy	1	SH+E+CTH+Y	SH+E+CTH+Y	OPERATION>GRADE>STATE>ARGUMENT	OPEN	dies kurz bereit halten	PASS448	YES
BIOC091	2bc2ed2630dbdaaa6b59	dalchdy	1	D+AL+CHED+DY	AL+CHD+DY	ARGUMENT>OPERATION>ENDPOINT	CLOSED	an der Stelle überführen; Schluss	B3	YES
BIOC092	4de12cf322dfb76ded1e	otchedy|qotchedy	2	OT+CHED+DY	OT+CHD+DY	FRAME>OPERATION>ENDPOINT	CLOSED	danach umsetzen; Schluss	B3	YES
BIOC093	342c3f0777337648f4b3	cheedar	1	EE+D+AR	EE+AR	GRADE>ARGUMENT	OPEN	laenger aus der Quelle fuehren	PASS448	YES
BIOC094	d72f71baff01cd0a0406	chldaiin	1	L+D+AIIN	L+AIIN	OPERATION>ARGUMENT	OPEN	Abfuehrmass	PASS448	YES
BIOC095	d788d8d72d41b25a3c71	chealror	1	AL+R+OR	AL+R+OR	ARGUMENT>OPERATION>ARGUMENT	OPEN	Ansatz an der Stelle abkuehlen	PASS448	YES
BIOC096	9247e38d29c79a0d2fa5	cheeety	1	EEE+T+Y	EEE+T+Y	GRADE>OPERATION>ARGUMENT	OPEN	dies vollstaendig fuellen	PASS450_T_REPAIR	YES
BIOC097	b154ff779abe5f196c80	schedair	1	S+CHED+AIR	CHD+AIR	OPERATION>ARGUMENT	OPEN	Wasser weiterfuehren	B3	YES
BIOC098	d784b2abcaf1a3703de2	chedain	1	CHED+AIN	CHD+AIN	OPERATION>ARGUMENT	OPEN	eine Portion überführen	B3	YES
BIOC099	1779decef17481ec2853	qotedaiin	1	OT+E+AIIN	OT+E+AIIN	FRAME>GRADE>ARGUMENT	OPEN	kurzes Folgemaß	B3	YES
BIOC100	80ebbbbf238eee9f0aef	chety	1	T+Y	T+Y	OPERATION>ARGUMENT	OPEN	dies fuellen	PASS449	YES
BIOC101	7811a7daff25d476e28d	olsaly	1	OL+S+AL+Y	OL+AL+Y	FRAME>ARGUMENT>ARGUMENT	OPEN	dies an der Stelle fortsetzen	B3	YES
BIOC102	e2eb77ca9d9e1a8ba29a	qolchey	1	OL+CHE+Y	OL+Y	FRAME>ARGUMENT	OPEN	dies weiterführen	B4	YES
BIOC103	faf321940aed922846a9	otchey	1	OT+CHEY	OT+Y	FRAME>ARGUMENT	OPEN	nächster Posten	B4	YES
BIOC104	eb2e4bc143f623ee03ac	qokylddy	1	OK+Y+LDDY	OK+Y+LDDY	FRAME>ARGUMENT>ENDPOINT	CLOSED	dies befestigen; Schluss	B4	YES
BIOC106	2c1a5fd92b9e3c762242	cheeky	1	CHK+EE+Y	CHK+EE+Y	OPERATION>GRADE>ARGUMENT	OPEN	dies länger wärmen	B4	YES
BIOC107	92e43836d82f98bf02d3	sheey	1	SH+EE+Y	SH+EE+Y	OPERATION>GRADE>ARGUMENT	OPEN	dies länger halten	B4	YES
BIOC108	1b1ffdd869fb1429ad03	oldy	1	OL+DY	OL+DY	FRAME>ENDPOINT	CLOSED	fortsetzen; Schluss	B4	YES
BIOC109	daf32e6db9e04413ce7f	okeeol	1	OK+EE+OL	OK+EE+OL	FRAME>GRADE>FRAME	OPEN	länger fortsetzen	B4	YES
BIOC110	b958a512ca6a3559e86e	lkedy	1	L+K+E+DY	L+K+E+DY	OPERATION>OPERATION>GRADE>ENDPOINT	CLOSED	kurz abführen; Schluss	B4	YES
BIOC111	232195d6ff2f326322f7	qokol	1	OK+OL	OK+OL	FRAME>FRAME	OPEN	Fortsetzung einsetzen	B4	YES
BIOC112	ecce30bc8dcc400bf2c8	qockhey	1	O+CKH+E+Y	O+CKH+E+Y	FRAME>OPERATION>GRADE>ARGUMENT	OPEN	dies kurz durchführen	B4	YES
BIOC113	8aedd154964a78e555d6	dairydy	1	D+AIR+Y+DY	AIR+Y+DY	ARGUMENT>ARGUMENT>ENDPOINT	CLOSED	Wasserlauf schliessen	B4	YES
BIOC114	21ed2873b71e57269c08	chckhal	1	CH+CKH+AL	CH+CKH+AL	OPERATION>OPERATION>ARGUMENT	OPEN	Durchlassstelle	B4	YES
BIOC115	42cdc187d5b9ffc60063	solkey	1	SOLK+E+Y	SOLK+E+Y	OPERATION>GRADE>ARGUMENT	OPEN	kurz auffangen	B4	YES
BIOC116	883a6708116c342cb10b	skar	1	K+AR	K+AR	OPERATION>ARGUMENT	OPEN	aus dem Vorrat zufuehren	PASS448	YES
BIOC117	601b77449028deed39de	otchdy	1	OT+CHD+DY	OT+CHD+DY	FRAME>OPERATION>ENDPOINT	CLOSED	danach umsetzen; Schluss	B56	YES
BIOC119	00d8ebe3c68294eeac39	chdal	1	CHD+AL	CHD+AL	OPERATION>ARGUMENT	OPEN	an der Stelle umsetzen	B56	YES
BIOC121	1bfd786e6b8b63734a59	solkeey	1	SOLK+EE+Y	SOLK+EE+Y	OPERATION>GRADE>ARGUMENT	OPEN	laenger auffangen	B56	YES
BIOC123	3e9c7f217843b588489d	raly	1	RAL+Y	R+AL+Y	OPERATION>ARGUMENT>ARGUMENT	OPEN	dies abkuehlen	B56	YES
BIOC124	97ddca78c9ebcc956d04	ldalor	1	L_TRANSFER+AL+OR	L+AL+OR	OPERATION>ARGUMENT>ARGUMENT	OPEN	Ansatz zur Stelle fuehren	B56	YES
