component	role	value_de	support_cards	teaching_status
AIIN	ARGUMENT	Mass	6	RECURRING_COMPONENT
AIN	ARGUMENT	Portion	4	RECURRING_COMPONENT
AIR	ARGUMENT	Wasser	4	RECURRING_COMPONENT
AL	ARGUMENT	Stelle	19	RECURRING_COMPONENT
AR	ARGUMENT	Quelle oder Vorrat	7	RECURRING_COMPONENT
CH	OPERATION	abziehen	2	RECURRING_COMPONENT
CHD	OPERATION	umsetzen	22	RECURRING_COMPONENT
CHK	OPERATION	waermen	4	RECURRING_COMPONENT
CKH	OPERATION	Durchlass	6	RECURRING_COMPONENT
CKHE	OPERATION	seihen	2	RECURRING_COMPONENT
CTH	STATE	bereit	5	RECURRING_COMPONENT
DY	ENDPOINT	Schluss	33	RECURRING_COMPONENT
E	GRADE	kurz	23	RECURRING_COMPONENT
EE	GRADE	laenger	15	RECURRING_COMPONENT
EEE	GRADE	vollstaendig	2	RECURRING_COMPONENT
IIN	ARGUMENT	Sollstufe	1	LEARNED_BOUND_SIGN
K	OPERATION	zufuehren	6	RECURRING_COMPONENT
L	OPERATION	fuehren	17	RECURRING_COMPONENT
LDDY	ENDPOINT	befestigen und schliessen	1	LEARNED_BOUND_SIGN
LS	OPERATION	abfuehren	1	LEARNED_BOUND_SIGN
LSH	OPERATION	Waschgang	2	RECURRING_COMPONENT
O	FRAME	Arbeitszustand	6	RECURRING_COMPONENT
OK	FRAME	ansetzen	19	RECURRING_COMPONENT
OL	FRAME	fortsetzen	14	RECURRING_COMPONENT
OR	ARGUMENT	Ansatz	4	RECURRING_COMPONENT
OT	FRAME	danach oder naechster	10	RECURRING_COMPONENT
P	OPERATION	hinein	2	RECURRING_COMPONENT
R	OPERATION	abkuehlen	6	RECURRING_COMPONENT
SH	OPERATION	halten	14	RECURRING_COMPONENT
SHED	OPERATION	absetzen	3	RECURRING_COMPONENT
SOLK	OPERATION	auffangen	5	RECURRING_COMPONENT
T	OPERATION	fuellen	3	RECURRING_COMPONENT
Y	ARGUMENT	dieser laufende Posten	37	RECURRING_COMPONENT
