held_collection	n	role_positives	relation_positives	source_auc	role_plus_relation_auc	gain_bits
allen	339	33	27	0.7719610636277303	0.7683998100664767	6.9901403305153735
arundel	342	13	21	0.8188696039163329	0.8135291499777481	2.864066361642813
bacon	208	7	11	0.7268112598061837	0.7212736502076603	7.9990217589291746
barring	213	7	18	0.7575498575498576	0.7581196581196581	6.784269362229992
basire	184	6	18	0.7975234270414994	0.8015394912985274	1.3387167956463628
bentham	908	44	67	0.7946297052194438	0.7930857011020995	20.841370823537318
brereto	273	15	28	0.7969387755102041	0.8010204081632653	2.7005414155260894
browne	153	2	14	0.8252826310380267	0.8314491264131552	0.9557573748614487
brysket	556	29	33	0.8142418448345791	0.8130250883596963	6.759267080663847
cecil	296	13	29	0.7215549528606483	0.7149683585173705	7.444452041884546
cely	209	15	24	0.8072072072072072	0.8101351351351351	3.6316881823226765
chamber	340	15	38	0.753485535029627	0.7555768560474033	7.029216159981161
charles	380	15	33	0.8414112304602218	0.8426338311064536	5.1111690087297745
clerk	438	30	32	0.8006465517241379	0.7981065270935961	11.921975296824854
cliffo	405	38	39	0.8011069076642847	0.7953621970015413	1.61883138045215
conway	223	9	19	0.8537151702786377	0.8519091847265222	-1.0925610998461508
corie	347	16	34	0.7461003570757376	0.7435632399924826	10.644694157850154
cornwal	245	9	30	0.8071317829457364	0.8054263565891473	-1.4740882889805107
cosin	212	6	13	0.7471975260919984	0.7402396598376498	8.756144485033943
cromwel	314	12	42	0.7823004201680672	0.7876400560224089	1.5340006900235608
derby	338	16	42	0.8305180180180181	0.8355855855855856	-3.0427626503894487
duppa	292	12	22	0.8065656565656566	0.8127946127946128	5.170323607748088
edmonde	436	15	26	0.7908067542213884	0.7929643527204503	10.848586503811518
elyot	266	8	29	0.8188563945875164	0.823803288229303	1.7802530248918629
essex	250	11	18	0.758860153256705	0.7617337164750958	8.546072736070926
ferrar	336	19	23	0.8519238783164328	0.8505347964995138	2.226021828287415
ffaring	448	20	45	0.8360628618693134	0.8379376895505928	-1.2155532020222495
fitzher	286	15	15	0.8681426814268143	0.8733087330873309	2.543383813772394
fleming	193	8	10	0.7617486338797814	0.7639344262295082	7.641962360814446
fox	181	10	20	0.7742236024844721	0.781055900621118	2.646636501986009
gardin	656	34	45	0.823240589198036	0.8221494817239499	12.461874759252709
haddock	214	8	12	0.808993399339934	0.8238448844884488	5.6311217217300396
hamilto	333	18	38	0.8173951828724353	0.8159678858162355	1.376635061965203
harley	222	6	28	0.8917525773195877	0.8941458026509573	-5.546512206352034
hart	870	36	80	0.793876582278481	0.7901424050632911	11.557286265456867
harvey	301	15	22	0.7504072987943956	0.7562724014336918	10.223547568494666
hasting	392	22	31	0.7872397462246448	0.7871503887052096	5.687635183559337
hatton	404	14	35	0.8173441734417344	0.816105303910182	4.6466108770419225
henry8	266	13	23	0.8262658794059761	0.824655573447844	-0.49878102241082445
henslo	178	8	20	0.8056962025316455	0.8066455696202531	0.7519974826707028
holles	345	12	34	0.7894836391148099	0.7955362209192358	3.9699852502187127
hoskyns	238	8	18	0.8217171717171717	0.8247474747474748	3.9999299834449005
hutton	132	5	17	0.8112531969309463	0.8122762148337596	0.28018509810581094
jones	252	12	20	0.8747844827586206	0.8728448275862069	-0.9172011778141638
jonson	377	17	20	0.8030812324929972	0.8016806722689076	9.220960032166829
knyvett	164	8	21	0.7728937728937729	0.7725607725607726	3.286166861358396
leycest	177	6	12	0.8151515151515152	0.8106060606060606	2.367455064233006
lisle	210	1	20	0.8063157894736842	0.8060526315789474	3.9109207517015108
marchal	281	13	33	0.7335043988269795	0.7350928641251222	8.179625254293597
marvell	286	9	18	0.8349917081260365	0.832089552238806	4.157176620428302
minette	205	9	16	0.7896825396825397	0.7943121693121693	5.119364147466754
more	844	42	68	0.7730063674954518	0.7711491813220134	21.97785422324182
origin1	421	23	40	0.7780183727034121	0.7753937007874016	8.143698979241549
origin2	337	19	29	0.8011643528884909	0.8026197939991043	6.298962444445635
origin3	219	10	23	0.7850488021295474	0.7828305235137534	5.74538753542258
osborne	229	11	21	0.8237179487179487	0.8287545787545788	1.9037108618787641
oxinde	276	6	22	0.7952755905511811	0.7909806728704366	2.380587028808506
paget	494	19	33	0.8246236771182541	0.8209426148688621	8.757716528740843
parkhur	273	5	18	0.8348583877995642	0.8376906318082789	2.016187741287979
paston	319	24	24	0.7556497175141242	0.7344632768361582	7.898681344440234
pastonk	281	9	20	0.7908045977011494	0.789080459770115	4.91520797733213
pepys	684	29	51	0.7652014992410866	0.7634048880215594	14.604119709687438
petty	175	10	16	0.8278301886792453	0.8286163522012578	1.797799368940531
plumpto	283	23	27	0.8156828703703703	0.8185763888888888	3.30066255073487
pory	453	15	27	0.791775343418536	0.7870805077377847	7.67514998946919
prideau	219	13	18	0.8432835820895522	0.8499170812603648	0.8953632582007884
rerum	714	61	65	0.8145075263719331	0.8161431788550433	6.556110591524828
royal1	228	10	15	0.6694835680751173	0.6754303599374022	11.785948910443395
royal2	224	6	13	0.8064163324826832	0.8220925993437842	2.8542595931288304
rutland	612	29	55	0.8245144442630977	0.8228823241390566	4.759520041504089
shillin	628	27	64	0.8070700354609929	0.8060172872340425	4.366703850220517
signet	357	26	24	0.7595095095095095	0.761011011011011	13.53215557544874
smyth	278	8	28	0.809	0.8055714285714286	1.1328966532926472
stiffke	272	8	29	0.8081453100610189	0.8136795799631049	2.8519636878180847
stockwe	262	11	23	0.7853374567946152	0.7869747134800801	3.1261998922406775
stonor	408	22	43	0.746543485186365	0.7450143357757247	9.068074326337353
stuart	151	8	10	0.7964539007092198	0.8042553191489362	4.316935036423274
tixall	168	6	11	0.7869137232194557	0.7967573827446439	4.582546843349142
versteg	328	15	30	0.8	0.8016778523489932	1.7116611254292877
wentwor	220	7	24	0.7948554421768708	0.8010204081632653	2.230188107662414
wesa	325	10	29	0.8217614165890028	0.8229263746505125	3.9804791170772233
wharton	122	7	12	0.8295454545454546	0.8356060606060606	2.67042766588677
willoug	240	11	26	0.8278217109992811	0.8276419841840402	-1.1585395391248312
wyatt	360	20	26	0.7570244127130354	0.7552970981114694	9.064323113876469
