role	domain	available_rows	positives	negatives	gold_source
COORDINATOR	COREMA	0	0	0	UNAVAILABLE
COORDINATOR	PCEEC2	27518	2347	25171	PCEEC2_PARSE
ALTERNATIVE_OR	COREMA	27349	6035	21314	COREMA_EDITOR_GRAPH
ALTERNATIVE_OR	PCEEC2	27518	2347	25171	PCEEC2_PARSE
REF_ANAPHORA	COREMA	27349	11502	15847	COREMA_EDITOR_GRAPH
REF_ANAPHORA	PCEEC2	0	0	0	UNAVAILABLE
UNTIL_STATE_GATE	COREMA	27349	11039	16310	COREMA_EDITOR_GRAPH
UNTIL_STATE_GATE	PCEEC2	27518	11634	15884	PCEEC2_PARSE
POLARITY_EXCLUSION	COREMA	27349	13085	14264	COREMA_EDITOR_GRAPH
POLARITY_EXCLUSION	PCEEC2	27518	26577	941	PCEEC2_PARSE
FUNCTION_WORD	COREMA	0	0	0	UNAVAILABLE
FUNCTION_WORD	PCEEC2	27518	3215	24303	PCEEC2_PARSE
