edition	candidate	source_row_a	source_row_b	locus_a	locus_b	expected_equal	observed_equal	status
ZL3b	F00	1	2	f69v.4	f69v.5	0	?	UNKNOWN
ZL3b	F00	1	3	f69v.4	f69v.6	0	?	UNKNOWN
ZL3b	F00	1	4	f69v.4	f69v.7	0	?	UNKNOWN
ZL3b	F00	1	5	f69v.4	f69v.8	0	?	UNKNOWN
ZL3b	F00	1	6	f69v.4	f69v.9	0	?	UNKNOWN
ZL3b	F00	1	7	f69v.4	f69v.10	0	?	UNKNOWN
ZL3b	F00	1	8	f69v.4	f69v.11	0	?	UNKNOWN
ZL3b	F00	1	9	f69v.4	f69v.12	0	?	UNKNOWN
ZL3b	F00	1	10	f69v.4	f69v.13	0	?	UNKNOWN
ZL3b	F00	1	11	f69v.4	f69v.14	0	?	UNKNOWN
ZL3b	F00	1	12	f69v.4	f69v.15	0	?	UNKNOWN
ZL3b	F00	1	13	f69v.4	f69v.16	0	?	UNKNOWN
ZL3b	F00	1	14	f69v.4	f69v.17	0	?	UNKNOWN
ZL3b	F00	1	15	f69v.4	f69v.18	0	?	UNKNOWN
ZL3b	F00	1	16	f69v.4	f69v.19	0	?	UNKNOWN
ZL3b	F00	1	17	f69v.4	f69v.20	0	?	UNKNOWN
ZL3b	F00	1	18	f69v.4	f69v.21	0	?	UNKNOWN
ZL3b	F00	1	19	f69v.4	f69v.22	0	?	UNKNOWN
ZL3b	F00	1	20	f69v.4	f69v.23	0	?	UNKNOWN
ZL3b	F00	1	21	f69v.4	f69v.24	0	?	UNKNOWN
ZL3b	F00	1	23	f69v.4	f69v.26	0	?	UNKNOWN
ZL3b	F00	1	24	f69v.4	f69v.27	0	?	UNKNOWN
ZL3b	F00	1	25	f69v.4	f69v.28	0	?	UNKNOWN
ZL3b	F00	1	26	f69v.4	f69v.29	0	?	UNKNOWN
ZL3b	F00	1	27	f69v.4	f69v.30	0	?	UNKNOWN
ZL3b	F00	1	28	f69v.4	f69v.31	0	?	UNKNOWN
ZL3b	F00	2	3	f69v.5	f69v.6	0	?	UNKNOWN
ZL3b	F00	2	4	f69v.5	f69v.7	0	?	UNKNOWN
