locus	page	section	currier	source_lattice_paths	selected_source	literal_decoded	normalized_plaintext_or_record	confidence	alternative_analysis	uncertainty_reason
f100r.1	f100r	P	A	f100r.1|P01	chosaroshol	OUT_OF_SCOPE_NONPROSE :: chosaroshol	OUT_OF_SCOPE_NONPROSE :: chosaroshol	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.10	f100r	P	A	f100r.10|P01	dakocth	OUT_OF_SCOPE_NONPROSE :: dakocth	OUT_OF_SCOPE_NONPROSE :: dakocth	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.11	f100r	P	A	f100r.11|P01|f100r.11|P02|f100r.11|P03	sofal	OUT_OF_SCOPE_NONPROSE :: sofal	OUT_OF_SCOPE_NONPROSE :: sofal	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.12	f100r	P	A	f100r.12|P01|f100r.12|P02|f100r.12|P03	pcheol sheod qocpheeckhy shodol cthdaoto ch qeos sheey chcthso s	LINE_INITIAL=p :: BODY=cheol sheod qocpheeckhy shodol cthdaoto ch qeos sheey chcthso s	LINE_INITIAL=p :: BODY=cheol sheod qocpheeckhy shodol cthdaoto ch qeos sheey chcthso s	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.13	f100r	P	A	f100r.13|P01|f100r.13|P02|f100r.13|P03	dsheor cthey qokeey oteey ykeeodain sorary daiin daiin deeamshol	LINE_INITIAL=x :: BODY=sheor cthey qokeey oteey ykeeodain sorary daiin daiin deeamshol	LINE_INITIAL=x :: BODY=sheor cthey qokeey oteey ykeeodain sorary daiin daiin deeamshol	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.14	f100r	P	A	f100r.14|P01|f100r.14|P02|f100r.14|P03	shor chkeey qoteey qokeody qoteold qokeol so raiin otal ykecho	LINE_INITIAL=w :: BODY=hor chkeey qoteey qokeody qoteold qokeol so raiin otal ykecho	LINE_INITIAL=w :: BODY=hor chkeey qoteey qokeody qoteold qokeol so raiin otal ykecho	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.15	f100r	P	A	f100r.15|P01|f100r.15|P02|f100r.15|P03	dcheor shol qokeeol chor chol qokeeody dareu	LINE_INITIAL=x :: BODY=cheor shol qokeeol chor chol qokeeody dareu	LINE_INITIAL=x :: BODY=cheor shol qokeeol chor chol qokeeody dareu	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.16	f100r	P	A	f100r.16|P01	okeeos	OUT_OF_SCOPE_NONPROSE :: okeeos	OUT_OF_SCOPE_NONPROSE :: okeeos	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.17	f100r	P	A	f100r.17|P01	shockhey	OUT_OF_SCOPE_NONPROSE :: shockhey	OUT_OF_SCOPE_NONPROSE :: shockhey	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.18	f100r	P	A	f100r.18|P01	orol	OUT_OF_SCOPE_NONPROSE :: orol	OUT_OF_SCOPE_NONPROSE :: orol	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
