source_unit	latent_or_plaintext_unit	mapping_probability	context_restriction	occurrences	counterexamples
a	b	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	FIRST_MODELED_SIGN_OF_CONFIRMED_PROSE_PHYSICAL_LINE_ONLY	10	matched anonymous channel is shorter; supported mapping is restart-unstable
b	a	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	FIRST_MODELED_SIGN_OF_CONFIRMED_PROSE_PHYSICAL_LINE_ONLY	0	matched anonymous channel is shorter; supported mapping is restart-unstable
c	d	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	FIRST_MODELED_SIGN_OF_CONFIRMED_PROSE_PHYSICAL_LINE_ONLY	154	matched anonymous channel is shorter; supported mapping is restart-unstable
d	x	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	FIRST_MODELED_SIGN_OF_CONFIRMED_PROSE_PHYSICAL_LINE_ONLY	618	matched anonymous channel is shorter; supported mapping is restart-unstable
e	k	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	FIRST_MODELED_SIGN_OF_CONFIRMED_PROSE_PHYSICAL_LINE_ONLY	5	matched anonymous channel is shorter; supported mapping is restart-unstable
f	m	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	FIRST_MODELED_SIGN_OF_CONFIRMED_PROSE_PHYSICAL_LINE_ONLY	35	matched anonymous channel is shorter; supported mapping is restart-unstable
g	a	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	FIRST_MODELED_SIGN_OF_CONFIRMED_PROSE_PHYSICAL_LINE_ONLY	0	matched anonymous channel is shorter; supported mapping is restart-unstable
h	a	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	FIRST_MODELED_SIGN_OF_CONFIRMED_PROSE_PHYSICAL_LINE_ONLY	0	matched anonymous channel is shorter; supported mapping is restart-unstable
i	a	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	FIRST_MODELED_SIGN_OF_CONFIRMED_PROSE_PHYSICAL_LINE_ONLY	0	matched anonymous channel is shorter; supported mapping is restart-unstable
j	a	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	FIRST_MODELED_SIGN_OF_CONFIRMED_PROSE_PHYSICAL_LINE_ONLY	0	matched anonymous channel is shorter; supported mapping is restart-unstable
k	t	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	FIRST_MODELED_SIGN_OF_CONFIRMED_PROSE_PHYSICAL_LINE_ONLY	103	matched anonymous channel is shorter; supported mapping is restart-unstable
l	q	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	FIRST_MODELED_SIGN_OF_CONFIRMED_PROSE_PHYSICAL_LINE_ONLY	69	matched anonymous channel is shorter; supported mapping is restart-unstable
m	a	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	FIRST_MODELED_SIGN_OF_CONFIRMED_PROSE_PHYSICAL_LINE_ONLY	0	matched anonymous channel is shorter; supported mapping is restart-unstable
n	a	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	FIRST_MODELED_SIGN_OF_CONFIRMED_PROSE_PHYSICAL_LINE_ONLY	0	matched anonymous channel is shorter; supported mapping is restart-unstable
o	y	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	FIRST_MODELED_SIGN_OF_CONFIRMED_PROSE_PHYSICAL_LINE_ONLY	548	matched anonymous channel is shorter; supported mapping is restart-unstable
p	p	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	FIRST_MODELED_SIGN_OF_CONFIRMED_PROSE_PHYSICAL_LINE_ONLY	379	matched anonymous channel is shorter; supported mapping is restart-unstable
q	j	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	FIRST_MODELED_SIGN_OF_CONFIRMED_PROSE_PHYSICAL_LINE_ONLY	526	matched anonymous channel is shorter; supported mapping is restart-unstable
r	f	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	FIRST_MODELED_SIGN_OF_CONFIRMED_PROSE_PHYSICAL_LINE_ONLY	12	matched anonymous channel is shorter; supported mapping is restart-unstable
s	w	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	FIRST_MODELED_SIGN_OF_CONFIRMED_PROSE_PHYSICAL_LINE_ONLY	606	matched anonymous channel is shorter; supported mapping is restart-unstable
t	v	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	FIRST_MODELED_SIGN_OF_CONFIRMED_PROSE_PHYSICAL_LINE_ONLY	384	matched anonymous channel is shorter; supported mapping is restart-unstable
u	a	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	FIRST_MODELED_SIGN_OF_CONFIRMED_PROSE_PHYSICAL_LINE_ONLY	0	matched anonymous channel is shorter; supported mapping is restart-unstable
v	a	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	FIRST_MODELED_SIGN_OF_CONFIRMED_PROSE_PHYSICAL_LINE_ONLY	0	matched anonymous channel is shorter; supported mapping is restart-unstable
x	c	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	FIRST_MODELED_SIGN_OF_CONFIRMED_PROSE_PHYSICAL_LINE_ONLY	1	matched anonymous channel is shorter; supported mapping is restart-unstable
y	h	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	FIRST_MODELED_SIGN_OF_CONFIRMED_PROSE_PHYSICAL_LINE_ONLY	585	matched anonymous channel is shorter; supported mapping is restart-unstable
z	a	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	FIRST_MODELED_SIGN_OF_CONFIRMED_PROSE_PHYSICAL_LINE_ONLY	0	matched anonymous channel is shorter; supported mapping is restart-unstable
