latent_item	occurrences	interpretation
::	5386	ANONYMOUS_OR_LITERAL_EXPLORATORY
OUT_OF_SCOPE_NONPROSE	1351	ANONYMOUS_OR_LITERAL_EXPLORATORY
daiin	701	ANONYMOUS_OR_LITERAL_EXPLORATORY
LINE_INITIAL=x	618	ANONYMOUS_OR_LITERAL_EXPLORATORY
LINE_INITIAL=w	606	ANONYMOUS_OR_LITERAL_EXPLORATORY
LINE_INITIAL=h	585	ANONYMOUS_OR_LITERAL_EXPLORATORY
LINE_INITIAL=y	548	ANONYMOUS_OR_LITERAL_EXPLORATORY
LINE_INITIAL=j	526	ANONYMOUS_OR_LITERAL_EXPLORATORY
ol	507	ANONYMOUS_OR_LITERAL_EXPLORATORY
chedy	490	ANONYMOUS_OR_LITERAL_EXPLORATORY
aiin	461	ANONYMOUS_OR_LITERAL_EXPLORATORY
shedy	417	ANONYMOUS_OR_LITERAL_EXPLORATORY
LINE_INITIAL=v	384	ANONYMOUS_OR_LITERAL_EXPLORATORY
LINE_INITIAL=p	379	ANONYMOUS_OR_LITERAL_EXPLORATORY
ar	369	ANONYMOUS_OR_LITERAL_EXPLORATORY
chol	367	ANONYMOUS_OR_LITERAL_EXPLORATORY
or	343	ANONYMOUS_OR_LITERAL_EXPLORATORY
chey	333	ANONYMOUS_OR_LITERAL_EXPLORATORY
dar	289	ANONYMOUS_OR_LITERAL_EXPLORATORY
qokeedy	281	ANONYMOUS_OR_LITERAL_EXPLORATORY
qokeey	277	ANONYMOUS_OR_LITERAL_EXPLORATORY
shey	269	ANONYMOUS_OR_LITERAL_EXPLORATORY
qokedy	253	ANONYMOUS_OR_LITERAL_EXPLORATORY
al	248	ANONYMOUS_OR_LITERAL_EXPLORATORY
qokain	248	ANONYMOUS_OR_LITERAL_EXPLORATORY
BODY=aiin	247	ANONYMOUS_OR_LITERAL_EXPLORATORY
dy	245	ANONYMOUS_OR_LITERAL_EXPLORATORY
qokaiin	243	ANONYMOUS_OR_LITERAL_EXPLORATORY
s	240	ANONYMOUS_OR_LITERAL_EXPLORATORY
dal	240	ANONYMOUS_OR_LITERAL_EXPLORATORY
chor	211	ANONYMOUS_OR_LITERAL_EXPLORATORY
okaiin	204	ANONYMOUS_OR_LITERAL_EXPLORATORY
qokal	181	ANONYMOUS_OR_LITERAL_EXPLORATORY
okeey	176	ANONYMOUS_OR_LITERAL_EXPLORATORY
cheey	171	ANONYMOUS_OR_LITERAL_EXPLORATORY
shol	164	ANONYMOUS_OR_LITERAL_EXPLORATORY
dain	164	ANONYMOUS_OR_LITERAL_EXPLORATORY
cheol	161	ANONYMOUS_OR_LITERAL_EXPLORATORY
otedy	161	ANONYMOUS_OR_LITERAL_EXPLORATORY
LINE_INITIAL=d	154	ANONYMOUS_OR_LITERAL_EXPLORATORY
chy	153	ANONYMOUS_OR_LITERAL_EXPLORATORY
qokar	152	ANONYMOUS_OR_LITERAL_EXPLORATORY
chdy	152	ANONYMOUS_OR_LITERAL_EXPLORATORY
otaiin	150	ANONYMOUS_OR_LITERAL_EXPLORATORY
okal	149	ANONYMOUS_OR_LITERAL_EXPLORATORY
sheey	147	ANONYMOUS_OR_LITERAL_EXPLORATORY
otar	147	ANONYMOUS_OR_LITERAL_EXPLORATORY
chckhy	144	ANONYMOUS_OR_LITERAL_EXPLORATORY
