language	page	physical_folio	locus	chunk_index	fragment	length	run_support	run_fraction	units
latin	f103r	f103	f103r.45	8	caesar	6	5	0.8333333333333334	l t ar y
latin	f115r	f115	f115r.11	11	caesar	6	5	0.8333333333333334	l or y
latin	f116r	f116	f116r.1	7	caesar	6	5	0.8333333333333334	or l l or y
latin	f81v	f81	f81v.15	8	caesar	6	5	0.8333333333333334	l t ar y
latin	f114r	f114	f114r.15	3	esar	4	5	0.8333333333333334	C od ar y
latin	f114r	f114	f114r.9	10	ibus	4	5	0.8333333333333334	o ar or ol d
latin	f28r	f28	f28r.3	6	esar	4	5	0.8333333333333334	t C od ar
middle_high_german	f23r	f23	f23r.1	0	geschach	8	6	1.0	p y d C d o m
middle_high_german	f30v	f30	f30v.3	7	geschach	8	6	1.0	C t o y
middle_high_german	f103r	f103	f103r.5	0	geschach	8	5	0.8333333333333334	p o C ar al
middle_high_german	f108r	f108	f108r.40	8	geschach	8	5	0.8333333333333334	C K o m
middle_high_german	f113r	f113	f113r.11	3	geschach	8	5	0.8333333333333334	C ok eol Se o
middle_high_german	f113r	f113	f113r.5	8	geschach	8	5	0.8333333333333334	C d o
middle_high_german	f113v	f113	f113v.1	10	geschach	8	5	0.8333333333333334	C s o m oky
middle_high_german	f113v	f113	f113v.33	9	geschach	8	5	0.8333333333333334	o f C r
middle_high_german	f114r	f114	f114r.10	1	geschach	8	5	0.8333333333333334	C d o daN
middle_high_german	f115v	f115	f115v.19	3	geschach	8	5	0.8333333333333334	C ot o
middle_high_german	f115v	f115	f115v.2	0	geschach	8	5	0.8333333333333334	yk E o C ody
middle_high_german	f30r	f30	f30r.10	4	geschach	8	5	0.8333333333333334	C T o
middle_high_german	f30r	f30	f30r.5	0	geschach	8	5	0.8333333333333334	C ok o
middle_high_german	f45r	f45	f45r.1	8	geschach	8	5	0.8333333333333334	o f C ar
middle_high_german	f45v	f45	f45v.1	1	geschach	8	5	0.8333333333333334	C k o
middle_high_german	f47v	f47	f47v.6	3	geschach	8	5	0.8333333333333334	d o C od
middle_high_german	f85r2	f85	f85r2.24	1	geschach	8	5	0.8333333333333334	o C ar
middle_high_german	f90r1	f90	f90r1.6	4	geschach	8	5	0.8333333333333334	ok e os C s o
middle_high_german	f88r	f88	f88r.7	0	vrouuue	7	5	0.8333333333333334	d or Se o y
middle_high_german	f45v	f45	f45v.5	6	sprach	6	5	0.8333333333333334	d ol p y
middle_high_german	f1r	f1	f1r.23	0	gesch	5	6	1.0	y d o I
middle_high_german	f1r	f1	f1r.26	0	gesch	5	6	1.0	d Ce o
middle_high_german	f1r	f1	f1r.3	5	gesch	5	6	1.0	T o ar y
