language	model_kind	config	seed	unit	category	output	train_occurrences	held_occurrences
latin	destroyed	primary_42L_4D_34S_7N_11W	211	ol	W	unqee	1825	712
latin	destroyed	primary_42L_4D_34S_7N_11W	211	y	W	eess	1554	554
latin	destroyed	primary_42L_4D_34S_7N_11W	211	C	S	tes	1445	711
latin	destroyed	primary_42L_4D_34S_7N_11W	211	ar	S	se	1423	766
latin	destroyed	primary_42L_4D_34S_7N_11W	211	or	W	ouqd	1322	535
latin	destroyed	primary_42L_4D_34S_7N_11W	211	s	W	nno	1322	486
latin	destroyed	primary_42L_4D_34S_7N_11W	211	aN	S	see	1169	556
latin	destroyed	primary_42L_4D_34S_7N_11W	211	d	W	qodu	1144	597
latin	destroyed	primary_42L_4D_34S_7N_11W	211	o	S	ess	1126	609
latin	destroyed	primary_42L_4D_34S_7N_11W	211	ok	L	s	1084	625
latin	destroyed	primary_42L_4D_34S_7N_11W	211	ot	W	eses	1033	689
latin	destroyed	primary_42L_4D_34S_7N_11W	211	k	W	dquo	1025	478
latin	destroyed	primary_42L_4D_34S_7N_11W	211	al	S	ses	915	476
latin	destroyed	primary_42L_4D_34S_7N_11W	211	S	S	ees	910	439
latin	destroyed	primary_42L_4D_34S_7N_11W	211	t	W	onn	883	359
latin	destroyed	primary_42L_4D_34S_7N_11W	211	Ce	N		866	609
latin	destroyed	primary_42L_4D_34S_7N_11W	211	qok	N		862	444
latin	destroyed	primary_42L_4D_34S_7N_11W	211	daN	W	iqu	844	387
latin	destroyed	primary_42L_4D_34S_7N_11W	211	Cedy	S	et	732	448
latin	destroyed	primary_42L_4D_34S_7N_11W	211	qot	L	t	727	353
latin	destroyed	primary_42L_4D_34S_7N_11W	211	e	S	ese	699	453
latin	destroyed	primary_42L_4D_34S_7N_11W	211	Cy	S	est	671	212
latin	destroyed	primary_42L_4D_34S_7N_11W	211	E	L	e	669	497
latin	destroyed	primary_42L_4D_34S_7N_11W	211	l	W	iisp	666	524
latin	destroyed	primary_42L_4D_34S_7N_11W	211	ody	S	ste	608	272
latin	destroyed	primary_42L_4D_34S_7N_11W	211	dy	S	tse	603	204
latin	destroyed	primary_42L_4D_34S_7N_11W	211	aI	S	te	597	414
latin	destroyed	primary_42L_4D_34S_7N_11W	211	p	W	udqo	572	338
latin	destroyed	primary_42L_4D_34S_7N_11W	211	Se	S	set	570	260
latin	destroyed	primary_42L_4D_34S_7N_11W	211	Col	S	ni	522	188
latin	destroyed	primary_42L_4D_34S_7N_11W	211	Cey	S	non	521	264
latin	destroyed	primary_42L_4D_34S_7N_11W	211	Ey	S	uis	505	370
latin	destroyed	primary_42L_4D_34S_7N_11W	211	ey	S	iis	498	259
latin	destroyed	primary_42L_4D_34S_7N_11W	211	Edy	L	e	469	312
latin	destroyed	primary_42L_4D_34S_7N_11W	211	edy	S	ius	446	253
latin	destroyed	primary_42L_4D_34S_7N_11W	211	od	S	sse	445	222
latin	destroyed	primary_42L_4D_34S_7N_11W	211	Sedy	S	qui	418	173
latin	destroyed	primary_42L_4D_34S_7N_11W	211	am	S	isu	408	242
latin	destroyed	primary_42L_4D_34S_7N_11W	211	olk	L	s	402	152
latin	destroyed	primary_42L_4D_34S_7N_11W	211	yk	L	s	396	149
latin	destroyed	primary_42L_4D_34S_7N_11W	211	Cor	S	sui	376	100
latin	destroyed	primary_42L_4D_34S_7N_11W	211	yt	N		375	90
latin	destroyed	primary_42L_4D_34S_7N_11W	211	r	L	a	374	250
latin	destroyed	primary_42L_4D_34S_7N_11W	211	qo	S	tsi	371	233
latin	destroyed	primary_42L_4D_34S_7N_11W	211	Co	S	es	364	121
latin	destroyed	primary_42L_4D_34S_7N_11W	211	dal	S	siu	362	174
latin	destroyed	primary_42L_4D_34S_7N_11W	211	T	N		344	121
latin	destroyed	primary_42L_4D_34S_7N_11W	211	dar	S	aut	341	227
latin	destroyed	primary_42L_4D_34S_7N_11W	211	Cdy	S	nno	331	167
latin	destroyed	primary_42L_4D_34S_7N_11W	211	a	S	ers	278	128
latin	destroyed	primary_42L_4D_34S_7N_11W	211	Ky	L	a	273	120
latin	destroyed	primary_42L_4D_34S_7N_11W	211	ai	L	t	264	143
latin	destroyed	primary_42L_4D_34S_7N_11W	211	air	D	ii	254	210
latin	destroyed	primary_42L_4D_34S_7N_11W	211	Ty	L	p	251	74
latin	destroyed	primary_42L_4D_34S_7N_11W	211	K	L	s	250	98
latin	destroyed	primary_42L_4D_34S_7N_11W	211	Sey	S	itu	236	148
latin	destroyed	primary_42L_4D_34S_7N_11W	211	N	L	e	222	88
latin	destroyed	primary_42L_4D_34S_7N_11W	211	f	N		220	104
latin	destroyed	primary_42L_4D_34S_7N_11W	211	ky	L	e	204	69
latin	destroyed	primary_42L_4D_34S_7N_11W	211	So	S	ire	201	76
latin	destroyed	primary_42L_4D_34S_7N_11W	211	qokaI	L	l	201	74
latin	destroyed	primary_42L_4D_34S_7N_11W	211	i	L	e	199	118
latin	destroyed	primary_42L_4D_34S_7N_11W	211	op	N		198	110
latin	destroyed	primary_42L_4D_34S_7N_11W	211	Sol	D	ee	195	51
latin	destroyed	primary_42L_4D_34S_7N_11W	211	qokaN	L	l	190	72
latin	destroyed	primary_42L_4D_34S_7N_11W	211	qokEdy	L	l	189	105
latin	destroyed	primary_42L_4D_34S_7N_11W	211	qokal	L	m	187	41
latin	destroyed	primary_42L_4D_34S_7N_11W	211	qokedy	D	cc	185	62
latin	destroyed	primary_42L_4D_34S_7N_11W	211	CE	L	t	178	98
latin	destroyed	primary_42L_4D_34S_7N_11W	211	Sy	S	uti	173	68
latin	destroyed	primary_42L_4D_34S_7N_11W	211	eol	S	eat	173	75
latin	destroyed	primary_42L_4D_34S_7N_11W	211	q	L	t	173	71
latin	destroyed	primary_42L_4D_34S_7N_11W	211	CEy	S	da	171	113
latin	destroyed	primary_42L_4D_34S_7N_11W	211	Ceol	L	a	167	77
latin	destroyed	primary_42L_4D_34S_7N_11W	211	daI	L	a	165	148
latin	destroyed	primary_42L_4D_34S_7N_11W	211	os	S	tia	164	86
latin	destroyed	primary_42L_4D_34S_7N_11W	211	qol	L	t	158	45
latin	destroyed	primary_42L_4D_34S_7N_11W	211	lk	L	s	156	249
latin	destroyed	primary_42L_4D_34S_7N_11W	211	qokEy	L	l	149	134
latin	destroyed	primary_42L_4D_34S_7N_11W	211	okaN	L	a	144	92
latin	destroyed	primary_42L_4D_34S_7N_11W	211	okal	L	c	143	52
latin	destroyed	primary_42L_4D_34S_7N_11W	211	m	L	e	138	80
latin	destroyed	primary_42L_4D_34S_7N_11W	211	otal	L	a	130	48
latin	destroyed	primary_42L_4D_34S_7N_11W	211	oky	D	nn	129	44
latin	destroyed	primary_42L_4D_34S_7N_11W	211	oty	L	c	127	48
latin	destroyed	primary_42L_4D_34S_7N_11W	211	P	N		107	66
latin	destroyed	primary_42L_4D_34S_7N_11W	211	n	L	t	86	37
latin	destroyed	primary_42L_4D_34S_7N_11W	211	g	L	c	73	38
latin	destroyed	primary_42L_4D_34S_7N_11W	211	F	L	p	35	13
latin	destroyed	primary_42L_4D_34S_7N_11W	211	I	L	u	18	9
latin	destroyed	primary_42L_4D_34S_7N_11W	211	x	L	p	14	11
latin	destroyed	primary_42L_4D_34S_7N_11W	211	b	L	o	12	3
latin	destroyed	primary_42L_4D_34S_7N_11W	211	j	L	u	7	3
latin	destroyed	primary_42L_4D_34S_7N_11W	211	u	L	p	5	3
latin	destroyed	primary_42L_4D_34S_7N_11W	211	c	L	c	4	1
latin	destroyed	primary_42L_4D_34S_7N_11W	211	h	L	i	2	1
latin	destroyed	primary_42L_4D_34S_7N_11W	211	z	L	c	2	1
latin	destroyed	primary_42L_4D_34S_7N_11W	211	v	L	l	1	0
latin	destroyed	primary_42L_4D_34S_7N_11W	229	ol	W	non	1825	712
latin	destroyed	primary_42L_4D_34S_7N_11W	229	y	W	unqee	1554	554
latin	destroyed	primary_42L_4D_34S_7N_11W	229	C	S	es	1445	711
latin	destroyed	primary_42L_4D_34S_7N_11W	229	ar	S	ese	1423	766
latin	destroyed	primary_42L_4D_34S_7N_11W	229	or	W	duqo	1322	535
latin	destroyed	primary_42L_4D_34S_7N_11W	229	s	W	oqdu	1322	486
latin	destroyed	primary_42L_4D_34S_7N_11W	229	aN	W	dqou	1169	556
latin	destroyed	primary_42L_4D_34S_7N_11W	229	d	W	sees	1144	597
latin	destroyed	primary_42L_4D_34S_7N_11W	229	o	S	sse	1126	609
latin	destroyed	primary_42L_4D_34S_7N_11W	229	ok	S	ess	1084	625
latin	destroyed	primary_42L_4D_34S_7N_11W	229	ot	S	ets	1033	689
latin	destroyed	primary_42L_4D_34S_7N_11W	229	k	S	ses	1025	478
latin	destroyed	primary_42L_4D_34S_7N_11W	229	al	S	se	915	476
latin	destroyed	primary_42L_4D_34S_7N_11W	229	S	S	tse	910	439
latin	destroyed	primary_42L_4D_34S_7N_11W	229	t	L	s	883	359
latin	destroyed	primary_42L_4D_34S_7N_11W	229	Ce	S	see	866	609
latin	destroyed	primary_42L_4D_34S_7N_11W	229	qok	S	sii	862	444
latin	destroyed	primary_42L_4D_34S_7N_11W	229	daN	W	umc	844	387
latin	destroyed	primary_42L_4D_34S_7N_11W	229	Cedy	S	non	732	448
latin	destroyed	primary_42L_4D_34S_7N_11W	229	qot	S	sui	727	353
latin	destroyed	primary_42L_4D_34S_7N_11W	229	e	L	e	699	453
latin	destroyed	primary_42L_4D_34S_7N_11W	229	Cy	S	isi	671	212
latin	destroyed	primary_42L_4D_34S_7N_11W	229	E	L	e	669	497
latin	destroyed	primary_42L_4D_34S_7N_11W	229	l	W	eses	666	524
latin	destroyed	primary_42L_4D_34S_7N_11W	229	ody	S	ste	608	272
latin	destroyed	primary_42L_4D_34S_7N_11W	229	dy	W	cum	603	204
latin	destroyed	primary_42L_4D_34S_7N_11W	229	aI	S	est	597	414
latin	destroyed	primary_42L_4D_34S_7N_11W	229	p	N		572	338
latin	destroyed	primary_42L_4D_34S_7N_11W	229	Se	S	ees	570	260
latin	destroyed	primary_42L_4D_34S_7N_11W	229	Col	S	onn	522	188
latin	destroyed	primary_42L_4D_34S_7N_11W	229	Cey	S	tes	521	264
latin	destroyed	primary_42L_4D_34S_7N_11W	229	Ey	L	e	505	370
latin	destroyed	primary_42L_4D_34S_7N_11W	229	ey	L	e	498	259
latin	destroyed	primary_42L_4D_34S_7N_11W	229	Edy	L	i	469	312
latin	destroyed	primary_42L_4D_34S_7N_11W	229	edy	L	e	446	253
latin	destroyed	primary_42L_4D_34S_7N_11W	229	od	L	s	445	222
latin	destroyed	primary_42L_4D_34S_7N_11W	229	Sedy	S	iis	418	173
latin	destroyed	primary_42L_4D_34S_7N_11W	229	am	S	ius	408	242
latin	destroyed	primary_42L_4D_34S_7N_11W	229	olk	L	s	402	152
latin	destroyed	primary_42L_4D_34S_7N_11W	229	yk	L	s	396	149
latin	destroyed	primary_42L_4D_34S_7N_11W	229	Cor	S	nno	376	100
latin	destroyed	primary_42L_4D_34S_7N_11W	229	yt	L	t	375	90
latin	destroyed	primary_42L_4D_34S_7N_11W	229	r	S	is	374	250
latin	destroyed	primary_42L_4D_34S_7N_11W	229	qo	W	esse	371	233
latin	destroyed	primary_42L_4D_34S_7N_11W	229	Co	S	rte	364	121
latin	destroyed	primary_42L_4D_34S_7N_11W	229	dal	W	suis	362	174
latin	destroyed	primary_42L_4D_34S_7N_11W	229	T	L	s	344	121
latin	destroyed	primary_42L_4D_34S_7N_11W	229	dar	S	rei	341	227
latin	destroyed	primary_42L_4D_34S_7N_11W	229	Cdy	S	te	331	167
latin	destroyed	primary_42L_4D_34S_7N_11W	229	a	S	tis	278	128
latin	destroyed	primary_42L_4D_34S_7N_11W	229	Ky	L	t	273	120
latin	destroyed	primary_42L_4D_34S_7N_11W	229	ai	L	e	264	143
latin	destroyed	primary_42L_4D_34S_7N_11W	229	air	S	et	254	210
latin	destroyed	primary_42L_4D_34S_7N_11W	229	Ty	L	p	251	74
latin	destroyed	primary_42L_4D_34S_7N_11W	229	K	L	s	250	98
latin	destroyed	primary_42L_4D_34S_7N_11W	229	Sey	S	isu	236	148
latin	destroyed	primary_42L_4D_34S_7N_11W	229	N	L	t	222	88
latin	destroyed	primary_42L_4D_34S_7N_11W	229	f	N		220	104
latin	destroyed	primary_42L_4D_34S_7N_11W	229	ky	L	d	204	69
latin	destroyed	primary_42L_4D_34S_7N_11W	229	So	D	ii	201	76
latin	destroyed	primary_42L_4D_34S_7N_11W	229	qokaI	S	nei	201	74
latin	destroyed	primary_42L_4D_34S_7N_11W	229	i	L	n	199	118
latin	destroyed	primary_42L_4D_34S_7N_11W	229	op	N		198	110
latin	destroyed	primary_42L_4D_34S_7N_11W	229	Sol	S	itu	195	51
latin	destroyed	primary_42L_4D_34S_7N_11W	229	qokaN	D	nn	190	72
latin	destroyed	primary_42L_4D_34S_7N_11W	229	qokEdy	D	xx	189	105
latin	destroyed	primary_42L_4D_34S_7N_11W	229	qokal	L	a	187	41
latin	destroyed	primary_42L_4D_34S_7N_11W	229	qokedy	L	c	185	62
latin	destroyed	primary_42L_4D_34S_7N_11W	229	CE	L	a	178	98
latin	destroyed	primary_42L_4D_34S_7N_11W	229	Sy	S	esi	173	68
latin	destroyed	primary_42L_4D_34S_7N_11W	229	eol	L	i	173	75
latin	destroyed	primary_42L_4D_34S_7N_11W	229	q	L	i	173	71
latin	destroyed	primary_42L_4D_34S_7N_11W	229	CEy	S	rie	171	113
latin	destroyed	primary_42L_4D_34S_7N_11W	229	Ceol	S	in	167	77
latin	destroyed	primary_42L_4D_34S_7N_11W	229	daI	S	uti	165	148
latin	destroyed	primary_42L_4D_34S_7N_11W	229	os	D	ss	164	86
latin	destroyed	primary_42L_4D_34S_7N_11W	229	qol	L	a	158	45
latin	destroyed	primary_42L_4D_34S_7N_11W	229	lk	L	t	156	249
latin	destroyed	primary_42L_4D_34S_7N_11W	229	qokEy	L	l	149	134
latin	destroyed	primary_42L_4D_34S_7N_11W	229	okaN	L	q	144	92
latin	destroyed	primary_42L_4D_34S_7N_11W	229	okal	L	a	143	52
latin	destroyed	primary_42L_4D_34S_7N_11W	229	m	L	o	138	80
latin	destroyed	primary_42L_4D_34S_7N_11W	229	otal	L	a	130	48
latin	destroyed	primary_42L_4D_34S_7N_11W	229	oky	L	t	129	44
latin	destroyed	primary_42L_4D_34S_7N_11W	229	oty	L	a	127	48
latin	destroyed	primary_42L_4D_34S_7N_11W	229	P	L	t	107	66
latin	destroyed	primary_42L_4D_34S_7N_11W	229	n	L	i	86	37
latin	destroyed	primary_42L_4D_34S_7N_11W	229	g	N		73	38
latin	destroyed	primary_42L_4D_34S_7N_11W	229	F	N		35	13
latin	destroyed	primary_42L_4D_34S_7N_11W	229	I	N		18	9
latin	destroyed	primary_42L_4D_34S_7N_11W	229	x	L	c	14	11
latin	destroyed	primary_42L_4D_34S_7N_11W	229	b	L	d	12	3
latin	destroyed	primary_42L_4D_34S_7N_11W	229	j	N		7	3
latin	destroyed	primary_42L_4D_34S_7N_11W	229	u	L	i	5	3
latin	destroyed	primary_42L_4D_34S_7N_11W	229	c	L	p	4	1
latin	destroyed	primary_42L_4D_34S_7N_11W	229	h	L	i	2	1
latin	destroyed	primary_42L_4D_34S_7N_11W	229	z	L	d	2	1
latin	destroyed	primary_42L_4D_34S_7N_11W	229	v	L	m	1	0
latin	destroyed	primary_42L_4D_34S_7N_11W	247	ol	W	onn	1825	712
latin	destroyed	primary_42L_4D_34S_7N_11W	247	y	W	non	1554	554
latin	destroyed	primary_42L_4D_34S_7N_11W	247	C	W	unqee	1445	711
latin	destroyed	primary_42L_4D_34S_7N_11W	247	ar	S	se	1423	766
latin	destroyed	primary_42L_4D_34S_7N_11W	247	or	W	dqou	1322	535
latin	destroyed	primary_42L_4D_34S_7N_11W	247	s	W	umc	1322	486
latin	destroyed	primary_42L_4D_34S_7N_11W	247	aN	S	ess	1169	556
latin	destroyed	primary_42L_4D_34S_7N_11W	247	d	S	sii	1144	597
latin	destroyed	primary_42L_4D_34S_7N_11W	247	o	S	tes	1126	609
latin	destroyed	primary_42L_4D_34S_7N_11W	247	ok	S	ese	1084	625
latin	destroyed	primary_42L_4D_34S_7N_11W	247	ot	S	sui	1033	689
latin	destroyed	primary_42L_4D_34S_7N_11W	247	k	S	es	1025	478
latin	destroyed	primary_42L_4D_34S_7N_11W	247	al	W	esse	915	476
latin	destroyed	primary_42L_4D_34S_7N_11W	247	S	S	ses	910	439
latin	destroyed	primary_42L_4D_34S_7N_11W	247	t	S	sse	883	359
latin	destroyed	primary_42L_4D_34S_7N_11W	247	Ce	W	muc	866	609
latin	destroyed	primary_42L_4D_34S_7N_11W	247	qok	S	ees	862	444
latin	destroyed	primary_42L_4D_34S_7N_11W	247	daN	W	quod	844	387
latin	destroyed	primary_42L_4D_34S_7N_11W	247	Cedy	S	onn	732	448
latin	destroyed	primary_42L_4D_34S_7N_11W	247	qot	S	set	727	353
latin	destroyed	primary_42L_4D_34S_7N_11W	247	e	L	s	699	453
latin	destroyed	primary_42L_4D_34S_7N_11W	247	Cy	S	est	671	212
latin	destroyed	primary_42L_4D_34S_7N_11W	247	E	N		669	497
latin	destroyed	primary_42L_4D_34S_7N_11W	247	l	W	uqi	666	524
latin	destroyed	primary_42L_4D_34S_7N_11W	247	ody	S	ius	608	272
latin	destroyed	primary_42L_4D_34S_7N_11W	247	dy	W	isbi	603	204
latin	destroyed	primary_42L_4D_34S_7N_11W	247	aI	S	uis	597	414
latin	destroyed	primary_42L_4D_34S_7N_11W	247	p	N		572	338
latin	destroyed	primary_42L_4D_34S_7N_11W	247	Se	W	atueq	570	260
latin	destroyed	primary_42L_4D_34S_7N_11W	247	Col	S	tse	522	188
latin	destroyed	primary_42L_4D_34S_7N_11W	247	Cey	S	nno	521	264
latin	destroyed	primary_42L_4D_34S_7N_11W	247	Ey	L	t	505	370
latin	destroyed	primary_42L_4D_34S_7N_11W	247	ey	L	s	498	259
latin	destroyed	primary_42L_4D_34S_7N_11W	247	Edy	L	t	469	312
latin	destroyed	primary_42L_4D_34S_7N_11W	247	edy	L	s	446	253
latin	destroyed	primary_42L_4D_34S_7N_11W	247	od	S	tsi	445	222
latin	destroyed	primary_42L_4D_34S_7N_11W	247	Sedy	S	non	418	173
latin	destroyed	primary_42L_4D_34S_7N_11W	247	am	S	tis	408	242
latin	destroyed	primary_42L_4D_34S_7N_11W	247	olk	L	e	402	152
latin	destroyed	primary_42L_4D_34S_7N_11W	247	yk	L	e	396	149
latin	destroyed	primary_42L_4D_34S_7N_11W	247	Cor	S	in	376	100
latin	destroyed	primary_42L_4D_34S_7N_11W	247	yt	L	e	375	90
latin	destroyed	primary_42L_4D_34S_7N_11W	247	r	S	ree	374	250
latin	destroyed	primary_42L_4D_34S_7N_11W	247	qo	S	rte	371	233
latin	destroyed	primary_42L_4D_34S_7N_11W	247	Co	S	te	364	121
latin	destroyed	primary_42L_4D_34S_7N_11W	247	dal	S	siu	362	174
latin	destroyed	primary_42L_4D_34S_7N_11W	247	T	S	ii	344	121
latin	destroyed	primary_42L_4D_34S_7N_11W	247	dar	S	et	341	227
latin	destroyed	primary_42L_4D_34S_7N_11W	247	Cdy	S	iis	331	167
