page	physical_folio	locus	chunk_index	section	units	decoded_seed_11	decoded_seed_29	decoded_seed_47	decoded_seed_71	decoded_seed_89	decoded_seed_107
f1r	f1	f1r.1	0	T	f a Cy s	eere legiones	icum proeliis	eique possent	itus galliae	ites propter	tant omnibus
f1r	f1	f1r.1	1	T	yk al	s navibus	s finibus	qui	mis galliam	ess nostris	e civitates
f1r	f1	f1r.1	2	T	ar	helvetii	tum	caesar	castris	exercitum	caesarem
f1r	f1	f1r.1	3	T	a t aN	e legatos tum	i proelium qui	icum	i caesaris cum	icum	ttum
f1r	f1	f1r.1	4	T	Sol	ac	ii	sar	que	ii	se
f1r	f1	f1r.1	5	T	S or y	con longius caesar	essent hostibus exercitum	legatos omnibus caesaris	navibus caesar nostrorum	ter legatis omnibus	auxilium caesari exercitum
f1r	f1	f1r.1	6	T	T r e s	aesnos legiones	etur proeliis	apro possent	sbus galliae	sdei propter	eiter omnibus
f1r	f1	f1r.1	7	T	y	caesar	exercitum	caesaris	nostrorum	omnibus	exercitum
f1r	f1	f1r.1	8	T	k or	helvetios longius	haeduorum hostibus	gallorum omnibus	ari caesar	proeliis legatis	possent caesari
f1r	f1	f1r.1	9	T	Sol dy	acque	iirem	sarmis	quequo	iiquo	seres
f1r	f1	f1r.2	0	T	s or y	legiones longius caesar	proeliis hostibus exercitum	possent omnibus caesaris	galliae caesar nostrorum	propter legatis omnibus	omnibus caesari exercitum
f1r	f1	f1r.2	1	T	K ar	s helvetii	etum	e caesar	s castris	s exercitum	e caesarem
f1r	f1	f1r.2	2	T	or y	longius caesar	hostibus exercitum	omnibus caesaris	caesar nostrorum	legatis omnibus	caesari exercitum
f1r	f1	f1r.2	3	T	k air	helvetios a	haeduorum a	gallorum ita	aria	proeliis e	possent t
f1r	f1	f1r.2	4	T	C t aN	habebat legatos tum	civitates proelium qui	nostrorum cum	legiones caesaris cum	caesare cum	castris tum
f1r	f1	f1r.2	5	T	S ar	con helvetii	essent tum	legatos caesar	navibus castris	ter exercitum	auxilium caesarem
f1r	f1	f1r.2	6	T	a s e	e legiones	i proeliis	i possent	i galliae	i propter i	t omnibus ter
f1r	f1	f1r.2	7	T	T ar	aes helvetii	etum	a caesar	s castris	s exercitum	e caesarem
f1r	f1	f1r.2	8	T	T ar d a n	aes helvetii exercitum et	etum exercitus is	a caesar celeriter in	s castris civitates in	s exercitum quibus id	e caesarem haeduorum to
f1r	f1	f1r.3	0	T	s y ai i r	legiones caesar sinos	proeliis exercitum intur	possent caesaris supro	galliae nostrorum eibus	propter omnibus inde	omnibus exercitum iii
f1r	f1	f1r.3	1	T	Se ky	quot	itia	trai	verus	que	peri
f1r	f1	f1r.3	2	T	or	longius	hostibus	omnibus	caesar	legatis	caesari
f1r	f1	f1r.3	3	T	yk aN	stum	squi	cum	miscum	esscum	etum
f1r	f1	f1r.3	4	T	S od	conter	essent ari	legatos per	navibus e	terari	auxilium re
f1r	f1	f1r.3	5	T	T o ar y	aes civitates helvetii caesar	e legiones tum exercitum	a legiones caesar caesaris	s omnibus castris nostrorum	s haeduorum exercitum omnibus	e helvetii caesarem exercitum
f1r	f1	f1r.3	6	T	T e s	aes legiones	e proeliis	a possent	s galliae	si propter	eter omnibus
f1r	f1	f1r.3	7	T	dar aN	atum	misqui	decum	anicum	rescum	quatum
f1r	f1	f1r.3	8	T	s y	legiones caesar	proeliis exercitum	possent caesaris	galliae nostrorum	propter omnibus	omnibus exercitum
f1r	f1	f1r.4	0	T	s o N	legiones civitates e	proeliis legiones t	possent legiones e	galliae omnibus t	propter haeduorum t	omnibus helvetii s
f1r	f1	f1r.4	1	T	ot Ey	vene	cont	iis	peri	pare	int
f1r	f1	f1r.4	2	T	ot e os r ol oty	ventnos omnibus d	contertur castris a	tpro haeduorum m	peratibus caesarem m	parinisde exercitus c	interai exercitus c
f1r	f1	f1r.4	3	T	T i ar daN	aesi helvetii qua	entumest	au caesar non	si castris rem	sn exercitum qui	ei caesarem et
f1r	f1	f1r.4	4	T	okaN	a	c	c	l	l	a
