page	physical_folio	split	locus	line_number	section	language	hand	eva_clean	ivtff_raw
f1r	f1	held	f1r.1	1	T	A	1	fachys ykal ar ataiin shol shory cthres y kor sholdy	<%>fachys.ykal.ar.ataiin.shol.shory.[cth:oto]res.y.kor.sholdy<!@254;>
f1r	f1	held	f1r.2	2	T	A	1	sory ckhar or y kair chtaiin shar ase cthar cthar dan	sory.ckhar.or,y.kair.chtaiin.shar.ase.cthar.cthar,dan
f1r	f1	held	f1r.3	3	T	A	1	syaiir sheky or ykaiin shod cthoary cthes daraiin sy	syaiir.sheky.or.ykaiin.shod.cthoary.cthes.daraiin.sy
f1r	f1	held	f1r.4	4	T	A	1	soiin oteey oteos roloty cthiar daiin okaiin or okan	soiin.oteey.oteo[s:r],roloty.cthiar,daiin.okaiin.or.okan
f1r	f1	held	f1r.5	5	T	A	1	sair y chear cthaiin cphar cfhaiin	sair,y.chear.cthaiin.cphar.cfhaiin
f1r	f1	held	f1r.6	6	T	A	1	ydaraishy	ydaraishy<$>
f1r	f1	held	f1r.7	7	T	A	1	odar shol cphoy oydar sh s cfhoaiin shodary	<%><!@252;>odar.{c'y}.shol.cphoy.oydar.sh.s.cfhoaiin.shodary
f1r	f1	held	f1r.8	8	T	A	1	yshey shody okchoy otchol chocthy os chy dain chor kos	yshey.shody.okchoy.otchol.chocthy.os,chy.dain.chor.kos
f1r	f1	held	f1r.9	9	T	A	1	daiin shos cfhol shody	daiin.shos.cfhol.shody
f1r	f1	held	f1r.10	10	T	A	1	dain os teody	dain.os.teody<$>
f1r	f1	held	f1r.11	11	T	A	1	ydain cphesaiin ols cphey ytain shoshy cphodal es	<%><!@253;>ydain.cphesaiin.ols.cphey.ytain.shoshy.cphodal,es
f1r	f1	held	f1r.12	12	T	A	1	oksho kshoy otairin oteol okan shodain sckhey daiin	oksho.kshoy.otairin.oteol.okan.shodain.sckhey.daiin
f1r	f1	held	f1r.13	13	T	A	1	shoy ckhey kodaiin cphy cphodaiils cthey sho oldain d	shoy.ckhey.kodaiin.cphy.cphodaiils.cthey.sho.oldain.d
f1r	f1	held	f1r.14	14	T	A	1	dain oiin chol odaiin chodain chdy okain dn cthy kod	dain.oiin.chol.odaiin.chodain.chdy.ok[a:o]in.d?n.cthy.kod
f1r	f1	held	f1r.15	15	T	A	1	daiin shckhey eo r char shey kol chol chol kor chal	daiin.shckhey.{ck}eo.r.char.shey.kol.chol.chol.kor.chal
f1r	f1	held	f1r.16	16	T	A	1	sho chol shodan kshy kchy d or chodaiin sho koeam	sho.chol.shodan.kshy.kchy.d.or.chodaiin.sho.koeam
f1r	f1	held	f1r.17	17	T	A	1	ycho tchey chekain sheo pshol dydyd cthy daiy	ycho.tchey.chekain.sheo,pshol.dydyd.cthy.dai[{cto}:@194;]y
f1r	f1	held	f1r.18	18	T	A	1	yto shol she kodshey cphealy dar ain dain ckhyds	yto.shol.she.kodshey.cphealy.dar,ain.dain.ckhyds
f1r	f1	held	f1r.19	19	T	A	1	dchar shcthaiin okaiir chey chy tol cthols dloo	dchar.shcthaiin.okaiir.chey.@192;chy.@130;tol.cthols.dlo{ct}o
f1r	f1	held	f1r.20	20	T	A	1	shok chor chey dain ckhey	shok.chor.chey.dain.ckhey
f1r	f1	held	f1r.21	21	T	A	1	otol daiiin	otol.daiiin<$>
f1r	f1	held	f1r.22	22	T	A	1	cpho shaiin shokcheey chol tshodeesy shey pydeey cha ro dar	<%>cpho.shaiin.shokcheey.chol.tshodeesy.shey.pydeey.cha.ro,dar
f1r	f1	held	f1r.23	23	T	A	1	ydoin chol dain cthal dar shear kaiin dar shey cthar	ydoin.chol.dain.cthal.dar.shear.kaiin.dar.shey.cthar
f1r	f1	held	f1r.24	24	T	A	1	cho o kaiin shoaiin okol daiin far cthol daiin ctholdar	cho.?o.kaiin.shoaiin.okol.daiin.far.cthol.daiin.ctholdar
