page	physical_folio	locus	chunk_index	section	units	decoded_seed_11	decoded_seed_29	decoded_seed_47	decoded_seed_71	decoded_seed_89	decoded_seed_107
f1r	f1	f1r.1	0	T	f a Cy s	gen geriten	teich ritter	nidaz geschehen	eals mohte	iuue vrouuuen	isdes enmohte
f1r	f1	f1r.1	1	T	yk al	gel uuolde	man	schoene	s uuider	sein	muoste
f1r	f1	f1r.1	2	T	ar	uuaere	geschiht	der	ritter	durch	uuaere
f1r	f1	f1r.1	3	T	a t aN	ere gesehen	eund	iund	e durch ich	ischiht	sder
f1r	f1	f1r.1	4	T	Sol	mir	iu	ane	ze	z	her
f1r	f1	f1r.1	5	T	S or y	der geuuan geschach	ungemach uuolde vrouuuen	geschiht vrouuue begunde	uua guoten vrouuuen	ich uuaere geschiht	ritter sinen sprach
f1r	f1	f1r.1	6	T	T r e s	gee geriten	gesien ritter	rsiher geschehen	st mohte	sz vrouuuen	nrein enmohte
f1r	f1	f1r.1	7	T	y	geschach	vrouuuen	begunde	vrouuuen	geschiht	sprach
f1r	f1	f1r.1	8	T	k or	uue geuuan	vrouuue uuolde	under vrouuue	geriten guoten	geuuan uuaere	uuol sinen
f1r	f1	f1r.1	9	T	Sol dy	mirich	iunen	aneuue	zeste	zen	herere
f1r	f1	f1r.2	0	T	s or y	geriten geuuan geschach	ritter uuolde vrouuuen	geschehen vrouuue begunde	mohte guoten vrouuuen	vrouuuen uuaere geschiht	enmohte sinen sprach
f1r	f1	f1r.2	1	T	K ar	e uuaere	i geschiht	lder	i ritter	z durch	en uuaere
f1r	f1	f1r.2	2	T	or y	geuuan geschach	uuolde vrouuuen	vrouuue begunde	guoten vrouuuen	uuaere geschiht	sinen sprach
f1r	f1	f1r.2	3	T	k air	uuet	vrouuue ane	under vil	geriten von	geuuan e	uuol han
f1r	f1	f1r.2	4	T	C t aN	gesellen ere gesehen	cunegin und	vrouuuen und	geschehen durch ich	geschach schiht	geschach der
f1r	f1	f1r.2	5	T	S ar	der uuaere	ungemach geschiht	geschiht der	uua ritter	ich durch	ritter uuaere
f1r	f1	f1r.2	6	T	a s e	geriten	e ritter	i geschehen her	e mohte t	i vrouuuen	s enmohte ein
f1r	f1	f1r.2	7	T	T ar	ge uuaere	ges geschiht	rder	s ritter	s durch	n uuaere
f1r	f1	f1r.2	8	T	T ar d a n	ge uuaere sprach n	ges geschiht schoene ez	rder sprach in	s ritter uuolde er	s durch ritter in	n uuaere vrouuue si
f1r	f1	f1r.3	0	T	s y ai i r	geriten geschach uue	ritter vrouuuen menien	geschehen begunde ensi	mohte vrouuuen ir	vrouuuen geschiht alz	enmohte sprach iar
f1r	f1	f1r.3	1	T	Se ky	gese	uuaz	mant	gere	derden	sint
f1r	f1	f1r.3	2	T	or	geuuan	uuolde	vrouuue	guoten	uuaere	sinen
f1r	f1	f1r.3	3	T	yk aN	gel gesehen	und	und	sich	siht	der
f1r	f1	f1r.3	4	T	S od	deride	ungemach	geschiht ich	uuaer	ichant	ritter e
f1r	f1	f1r.3	5	T	T o ar y	ge vrouuuen uuaere geschach	ges geschach geschiht vrouuuen	r geschach der begunde	s geschach ritter vrouuuen	s geschehen durch geschiht	n geschehen uuaere sprach
f1r	f1	f1r.3	6	T	T e s	ge geriten	ges ritter	rher geschehen	st mohte	s vrouuuen	nein enmohte
f1r	f1	f1r.3	7	T	dar aN	den gesehen	zeund	getund	entich	alsiht	eder
f1r	f1	f1r.3	8	T	s y	geriten geschach	ritter vrouuuen	geschehen begunde	mohte vrouuuen	vrouuuen geschiht	enmohte sprach
f1r	f1	f1r.4	0	T	s o N	geriten vrouuuen und	ritter geschach e	geschehen geschach z	mohte geschach n	vrouuuen geschehen n	enmohte geschehen n
f1r	f1	f1r.4	1	T	ot Ey	sin	ermir	diu	ersten	gere	von
f1r	f1	f1r.4	2	T	ot e os r ol oty	site ritter e	ernien sprach n	heresi enmohte t	erste sprach n	geristz enmohte z	einer uuolde z
f1r	f1	f1r.4	3	T	T i ar daN	ge uuaere er	gesen geschiht han	rndergen	sr ritter des	sl durch des	na uuaere die
f1r	f1	f1r.4	4	T	okaN	t	z	t	n	t	z
f1r	f1	f1r.4	5	T	or	geuuan	uuolde	vrouuue	guoten	uuaere	sinen
f1r	f1	f1r.4	6	T	ok a n	gern	gesellen ez	in	geser	uuaren in	si
f1r	f1	f1r.5	0	T	s air y	geriten t geschach	ritter ane vrouuuen	geschehen vil begunde	mohte von vrouuuen	vrouuuen e geschiht	enmohte han sprach
f1r	f1	f1r.5	1	T	Ce ar	geschiht uuaere	ber geschiht	gesehen der	ritter	durch	sch uuaere
f1r	f1	f1r.5	2	T	T aN	ge gesehen	gesund	rund	sich	siht	nder
f1r	f1	f1r.5	3	T	P ar	i uuaere	i geschiht	lder	s ritter	z durch	r uuaere
f1r	f1	f1r.5	4	T	F aN	s gesehen	aund	sund	sich	siht	zder
f1r	f1	f1r.6	0	T	y dar ai Sy	geschach denuut	vrouuuen zemget	begunde geteim	vrouuuen entiter	geschiht alsat	sprach eiten
f1r	f1	f1r.7	0	T	od ar	ide uuaere	geschiht	ichder	er ritter	ant durch	e uuaere
f1r	f1	f1r.7	1	T	Sol	mir	iu	ane	ze	z	her
f1r	f1	f1r.7	2	T	P o y	i vrouuuen geschach	i geschach vrouuuen	l geschach begunde	s geschach vrouuuen	z geschehen geschiht	r geschehen sprach
f1r	f1	f1r.7	3	T	o y dar	vrouuuen geschach den	geschach vrouuuen ze	geschach begunde get	geschach vrouuuen ent	geschehen geschiht als	geschehen sprach e
f1r	f1	f1r.7	4	T	S	der	ungemach	geschiht	uua	ich	ritter
f1r	f1	f1r.7	5	T	s	geriten	ritter	geschehen	mohte	vrouuuen	enmohte
f1r	f1	f1r.7	6	T	F o aN	s vrouuuen gesehen	a geschach und	s geschach und	s geschach ich	s geschehen iht	z geschehen der
f1r	f1	f1r.7	7	T	S od ar y	deride uuaere geschach	ungemach geschiht vrouuuen	geschiht ichder begunde	uuaer ritter vrouuuen	ichant durch geschiht	ritter e uuaere sprach
f1r	f1	f1r.8	0	T	y Sey	geschach t	vrouuuen e	begunde ez	vrouuuen im	geschiht e	sprach sol
f1r	f1	f1r.8	1	T	S ody	derten	ungemach in	geschiht zen	uuaein	icheit	ritter iht
f1r	f1	f1r.8	2	T	ok Co y	germin geschach	gesellen ein vrouuuen	uua begunde	gesuue vrouuuen	uuaren si geschiht	uua sprach
f1r	f1	f1r.8	3	T	ot Col	sisch	erher	dar	ersmin	germit	dar
f1r	f1	f1r.8	4	T	Co Ty	mine	eint	uuat	uuen	siso	uuat
f1r	f1	f1r.8	5	T	os Cy	tgen	nich	edaz	eals	istuue	edes
f1r	f1	f1r.8	6	T	daI	z	t	e	z	sol	e
f1r	f1	f1r.8	7	T	Cor	die	ben	mit	sin	und	vil
f1r	f1	f1r.8	8	T	k os	uuet	vrouuue n	under e	geriten e	geuuan ist	uuol e
f1r	f1	f1r.9	0	T	daN	er	han	gen	des	des	die
f1r	f1	f1r.9	1	T	So s	ist geriten	sol ritter	e geschehen	e mohte	mir vrouuuen	hie enmohte
f1r	f1	f1r.9	2	T	F ol	s ritter	a sprach	s enmohte	s sprach	s enmohte	z uuolde
f1r	f1	f1r.9	3	T	S ody	derten	ungemach in	geschiht zen	uuaein	icheit	ritter iht
f1r	f1	f1r.10	0	T	daI	z	t	e	z	sol	e
