replay_id	surface	content_class	observed_route	observed_reading_de	source_reading_de	ordered_recipe_trace	recipe_support_tier	recipe_support_rank	running_event_count	running_page_count	bounded_shell_match	replay_pass
G469-E001	oteeeon	PICTURED_PLANT	EXACT_KNOWN_LABEL	DANACH · [PFLANZENNAME:eeeon]	DANACH · [PFLANZENNAME:eeeon]	OT	OUTSIDE_BOUNDED_SHELL_ATLAS	0	0	0	NO	YES
G469-E002	oiil	PICTURED_PLANT	EXACT_KNOWN_LABEL	[PFLANZENNAME:oiil]	[PFLANZENNAME:oiil]	NONE	OUTSIDE_BOUNDED_SHELL_ATLAS	0	0	0	NO	YES
G469-E003	arom	STAR_BEARING_RING_POSITION	EXACT_KNOWN_LABEL	AUSGANG · [STERNSTELLENNAME:om]	AUSGANG · [STERNSTELLENNAME:om]	AR	OUTSIDE_BOUNDED_SHELL_ATLAS	0	0	0	NO	YES
G469-E004	chfaly	STAR_BEARING_RING_POSITION	EXACT_KNOWN_LABEL	[STERNSTELLENNAME:chf] · ZIELORT · POSTEN	[STERNSTELLENNAME:chf] · ZIELORT · POSTEN	AL+Y	RUNNING_EXACT_RECIPE	19	9	7	NO	YES
G469-E005	okolar	STAR_BEARING_RING_POSITION	EXACT_KNOWN_LABEL	SETZEN · FORTSETZEN · AUSGANG	SETZEN · FORTSETZEN · AUSGANG	OK+OL+AR	ADDRESS_FULL_FORMULA_ONLY	85	0	0	NO	YES
G469-E006	otchody	STAR_BEARING_RING_POSITION	EXACT_KNOWN_LABEL	DANACH · [STERNSTELLENNAME:chody]	DANACH · [STERNSTELLENNAME:chody]	OT	OUTSIDE_BOUNDED_SHELL_ATLAS	0	0	0	NO	YES
G469-E007	alcphy	STAR_BEARING_RING_POSITION	EXACT_KNOWN_LABEL	ZIELORT · NEHMEN · EINSETZEN · POSTEN	ZIELORT · NEHMEN · EINSETZEN · POSTEN	AL+CH+P+Y	ADDRESS_FULL_FORMULA_ONLY	82	0	0	NO	YES
G469-E008	okaraiin	STAR_BEARING_RING_POSITION	EXACT_KNOWN_LABEL	SETZEN · AUSGANG · WERT	SETZEN · AUSGANG · WERT	OK+AR+AIIN	ADDRESS_FULL_FORMULA_ONLY	80	0	0	NO	YES
G469-E009	opalar	STAR_BEARING_RING_POSITION	EXACT_KNOWN_LABEL	[STERNSTELLENNAME:op] · ZIELORT · AUSGANG	[STERNSTELLENNAME:op] · ZIELORT · AUSGANG	AL+AR	ADDRESS_HYBRID_SHELL_ONLY	97	0	0	NO	YES
G469-E010	opalor	STAR_BEARING_RING_POSITION	EXACT_KNOWN_LABEL	[STERNSTELLENNAME:op] · ZIELORT · EINHEIT	[STERNSTELLENNAME:op] · ZIELORT · EINHEIT	AL+OR	RUNNING_EXACT_RECIPE	31	3	3	NO	YES
G469-E011	ofaom	STAR_BEARING_RING_POSITION	EXACT_KNOWN_LABEL	AUSFÜHRUNG · HIER · [STERNSTELLENNAME:aom]	AUSFÜHRUNG · HIER · [STERNSTELLENNAME:aom]	O+LOCAL_CHAR_F	OUTSIDE_BOUNDED_SHELL_ATLAS	0	0	0	NO	YES
