physical_page	book_stage	unit_role_de	concrete_function_de	events	productive_compositions	learned_formula_cards	local_nomenclator_or_addresses	page_reading_de
f10r	I_STOFF	Pflanzenartikel A	Gezeichnetes Kraut auswählen, Teile entnehmen und bis zur Brauchbarkeit verarbeiten	92	51	41	0	Vom gezeigten Kraut werden nacheinander Teile entnommen, in mehreren Gängen verarbeitet und bis zum gebrauchsfertigen Zustand geführt. Weitere Teile werden nach Sollmaß bereitgestellt und durch einen Durchlass weitergegeben. Der erste große Arbeitsgang schließt; der zweite bleibt als Fortsetzung offen.
f11r	I_STOFF	Pflanzenartikel B	Pflanzenteil halten, Portion abtrennen und in einen zweiten Zug überführen	59	32	27	0	Halte die bezeichneten Pflanzenteile, entnimm davon Portionen, gib sie in den Ansatz und arbeite sie weiter. Nach erneutem Halten wird ein Teil getrennt oder umgeleitet; der erste Zug schließt, der zweite Artikelzug bleibt offen.
f13r	I_STOFF	Pflanzenartikel C	Fünf kurze Zubereitungsgänge für den gezeichneten Stoff	77	47	30	0	Bereite den Ansatz, setze das bezeichnete Material ein und entnimm die benötigten Teile. Gib nach Sollmaß zu, halte den Posten, führe ihn durch den angegebenen Gang und schließe vier kurze Arbeitsschritte. Ein letzter Zusatz- und Ansatzschritt bleibt zur Fortsetzung offen.
f55v	I_STOFF	Pflanzenartikel D	Mehrere Stoffportionen ansetzen, versetzen und durch einen Durchlass geben	106	51	55	0	Setze die Pflanzenzubereitung an und gib ihre Bestandteile in mehreren notierten Portionen zu. Stelle, behandle und versetze den Ansatz zwischen den angegebenen Stellen; entnimm zwischendurch Proben und führe sie durch den Durchlass. Vier Teilgänge schließen, der lange Hauptgang bleibt offen.
f56r	I_STOFF	Pflanzenartikel E	Wiederholt kleine Anteile entnehmen und stufenweise neu ansetzen	105	59	46	0	Entnimm aus dem gezeigten Pflanzenmaterial wiederholt kleine Anteile und setze sie in mehreren Stufen neu an. Gib weitere Anteile zu, halte und prüfe einzelne Züge und führe das Arbeitsgut zur nächsten Stelle. Zwei große Gänge schließen; der letzte bleibt als anschließende Verwendung offen.
f75r	III_ANWENDUNG	großes Bad-/Stationsblatt	Viele örtliche Kurzaufträge an Figuren, Becken und grünen Stationen	418	159	249	10	Arbeite die gezeigten Bade- und Stationsposten zellenweise ab: ansetzen, kurz oder länger halten, zur nächsten Stelle umsetzen, dort neu ansetzen und den jeweiligen Schritt schließen. Entnahme, Zugabe, Auffangen und Absetzen erscheinen als lokale Varianten. Fast jede Zelle ist ein eigener kleiner Arbeitsauftrag, nicht Teil eines einzigen langen Satzes.
f81v	III_ANWENDUNG	gemeinsames Badfeld	Posten zugeben, halten, über eine Verbindung weiterführen und neu ansetzen	255	118	135	2	Setze den jeweiligen Posten an der gezeigten Station an, gib die bezeichnete Menge zu und halte sie für die notierte Stufe. Führe das Arbeitsgut danach über den nächsten Lauf, setze es dort neu an und lass einzelne Züge absetzen. Die Seite ist eine Folge geschlossener Anwendungs- und Transferzellen.
f82r	III_ANWENDUNG	mehrere Bad- und Leitungsstationen	Lokal wählen, ansetzen, markieren, durch Anschluss führen und auffangen	291	126	152	13	Wähle an jeder dargestellten Station den aktiven Posten, setze ihn an, markiere seinen Zustand und führe ihn über Anschluss oder Durchlass weiter. Wiederhole Zugabe, Halten und Umsetzen gemäß der örtlichen Zeichnung; fange einzelne Ausgänge auf. Fast alle Stationszellen schließen für sich.
f83r	III_ANWENDUNG	Variantenatlas der Stationen	Viele örtliche Ausführungsvarianten ohne einen einzigen Gesamtkreislauf	345	165	176	4	Diese Seite verzeichnet viele kurze Varianten desselben Stationsbetriebs: auswählen, ansetzen, halten, umsetzen, am neuen Ort wieder ansetzen und schließlich absetzen oder auffangen. Die sichtbaren Becken und Verbindungen bestimmen jeweils den Besitzer; der Text liefert die lokale Handlung und Stufe. Es gibt keinen einzigen durchgehenden Kreislauf, sondern viele abgeschlossene Varianten.
f67r2	IV_ZEIT_UND_AUSWAHL	zwei Himmelsräder und Tabelle	Ring- oder Tabellenposten auswählen und einer Stelle oder Stufe zuordnen	190	91	35	64	Wähle den bezeichneten Ring- oder Tabellenposten, führe die für ihn eingetragene Operation aus und wechsle zur zugeordneten Stelle oder Stufe. Wiederholtes Auswählen, Einstellen und Kennzeichnen spricht eine Nachschlagetafel, nicht eine fortlaufende Pflanzen- oder Badrezeptur. Nur wenige Blöcke schließen ausdrücklich.
f68r1	IV_ZEIT_UND_AUSWAHL	mehrteilige Sternstellentafel	Lokalen Eintrag einer markierten Sternstelle zuordnen	65	25	6	34	Entnimm oder wähle den bezeichneten Eintrag, führe seine lokale Anweisung aus und ordne ihn der markierten Sternstelle zu. Die drei Textblöcke begleiten räumliche Stationen; sie ergeben keine feste Umlaufrichtung und keine Verbindung zur benachbarten 28er-Seite.
f69v	IV_ZEIT_UND_AUSWAHL	drei getrennte Himmelsverzeichnisse	Örtliche Himmelsplätze nach Klasse und Wert nachschlagen	140	0	0	140	Die Seite hat drei getrennte Adressräume. Das linke Rad besitzt 28 lokale Plätze; die beiden anderen Räder haben eigene Klassen und Einträge. Die Karten ergeben keine lineare 28-Schritt-Anweisung.
f70v	IV_ZEIT_UND_AUSWAHL	Widder- und Fischring	Figurenplatz nach Reihe, Grad, Quelle und Ziel aufsuchen	218	0	0	218	Die Ringtexte bezeichnen Figurenplätze des Widderrads: Reihe, Klasse, nächster Platz, Grad, Quell- oder Zielstelle und lokaler Wert. AIR bedeutet hier Ringlauf, nicht Wasser. Die Ringtexte bezeichnen die Plätze und Unterplätze des Fischpaars, wählen die jeweilige Reihe und tragen Grad oder Wert ein. Auch hier sind die Karten Adressen, keine Werkstattverben.
