rule_id	surface	composition	visible_tail	whole_extension	family	expected_v64_gloss_de	selected_v65_gloss_de	product_rival_de	expected_positions	action_licensed	basis
F001	ar	AR_FRACTION_I		NONE	NAKED_R_LADDER	Drogenfraktion I	Drogenfraktion I	Ansatzfraktion I	2	0	Nackte erste Stufe der r-Leiter.
F002	aiir	AIIR_FRACTION_III		NONE	NAKED_R_LADDER	Drogenfraktion III	Drogenfraktion III	Ansatzfraktion III	1	0	Nackte dritte Stufe der r-Leiter.
F003	oar	O_PREP+AR_FRACTION_I		NONE	O_PREP_R_LADDER	erster Drogenauszug	Fraktion I des Ansatzes	Drogenauszug I	1	0	O-Rahmen plus Fraktion I; Auszug bleibt Rivale ohne Abziehmerkmal.
F004	oair	O_PREP+AIR_FRACTION_II		NONE	O_PREP_R_LADDER	zweite Ansatzfraktion	Fraktion II des Ansatzes	Auszugsfraktion II	1	0	O-Rahmen plus zweite Stufe derselben r-Leiter.
F005	odar	O_PREP+D_MEASURE+AR_FRACTION_I		NONE	O_PREP_MEASURE	erste Ansatzfraktion abmessen	Fraktion I des Ansatzes abmessen	erste Auszugsfraktion abmessen	2	1	O-Rahmen plus bereits gebundener Messkopf und Fraktion I.
F006	okar	O_PREP+K_HOT+AR_FRACTION_I		NONE	O_PREP_TEMPERATURE_R_LADDER	erster heißer Drogenauszug	Fraktion I des heißen Ansatzes	heißer Drogenauszug I	2	0	Heißqualifikator verändert die Temperatur, nicht den Fraktionskopf.
F007	otar	O_PREP+T_COLD+AR_FRACTION_I		NONE	O_PREP_TEMPERATURE_R_LADDER	erster Kaltauszug der Droge	Fraktion I des kalten Ansatzes	kalter Drogenauszug I	1	0	Kaltqualifikator verändert die Temperatur, nicht den Fraktionskopf.
F008	otair	O_PREP+T_COLD+AIR_FRACTION_II		NONE	O_PREP_TEMPERATURE_R_LADDER	zweiter Kaltauszug der Droge	Fraktion II des kalten Ansatzes	kalter Drogenauszug II	2	0	AIR bleibt Stufe II neben OTAR Stufe I.
F009	otarar	O_PREP+T_COLD+AR_FRACTION_I+AR_FRACTION_I		SECOND_AR_RECURSIVE_SUBFRACTION	O_PREP_DERIVED_FRACTION	erste Unterfraktion der kalten Ansatzfraktion I	erste Unterfraktion der Fraktion I des kalten Ansatzes	Unterfraktion I des kalten Drogenauszugs I	1	0	Das zweite AR wird rekursiv als Unterfraktion gelesen; es ist kein neuer Stamm.
F010	otardy	O_PREP+T_COLD+AR_FRACTION_I	dy	EXACT_OTARDY_FINISHED_RESULT_TAIL	O_PREP_DERIVED_FRACTION	fertige erste kalte Ansatzfraktion	fertige Fraktion I des kalten Ansatzes	fertiger kalter Drogenauszug I	1	0	Fertig ist ein exact-whole Resultatschwanz und kein exportierter freier DY-Wert.
F011	olkar	O_PREP+L_WOOD+K_HOT+AR_FRACTION_I		NONE	O_PREP_MATERIAL_R_LADDER	erster heißer Holzauszug	Fraktion I des heißen Holzansatzes	heißer Holzauszug I	16	0	Materialkopf Holz plus Hitze plus Fraktion I; Genitiv erhält die Klammerung.
F012	olkaiir	O_PREP+L_WOOD+K_HOT+AIIR_FRACTION_III		NONE	O_PREP_MATERIAL_R_LADDER	dritter heißer Holzauszug	Fraktion III des heißen Holzansatzes	heißer Holzauszug III	1	0	Gleicher Material- und Temperaturkopf mit Stufe III.
F013	qokar	QO_FRAME+K_HOT+AR_FRACTION_I		NONE	QO_TEMPERATURE_R_LADDER	heiße Drogenfraktion I	heiße Drogenfraktion I	heißer Drogenauszug I	6	0	Nominale QO-Schwester; kein zusätzliches Verb und kein Ansatzimport.
F014	qotar	QO_FRAME+T_COLD+AR_FRACTION_I		NONE	QO_TEMPERATURE_R_LADDER	kalte Drogenfraktion I	kalte Drogenfraktion I	kalter Drogenauszug I	2	0	Nominale QO-Schwester; kein zusätzliches Verb und kein Ansatzimport.
F015	qodar	QO_FRAME+D_MEASURE+AR_FRACTION_I		NONE	QO_ACTION_R_LADDER	die erste Ansatzfraktion abmessen	Fraktion I abmessen	erste Ansatz- oder Auszugsfraktion abmessen	1	1	QO trägt hier den bereits gebundenen Aktionsordinal, aber keinen freien Ansatzwert.
F016	qokaiir	QO_FRAME+K_HOT+AIIR_FRACTION_III		EXACT_QOKAIIR_ACTION_OVERRIDE	QO_ACTION_R_LADDER	nimm die dritte erhitzte Drogenfraktion	nimm die heiße Drogenfraktion III	nimm den dritten heißen Drogenauszug	1	1	Exact-whole action override; AIIR bleibt Stufe III und QO wird nicht in nominale Schwestern exportiert.
