target_surface	channel	denominator	view	omitted_physical_folio	fixed_selected_sign	target_uncentered_delta	k12_exact_median	target_centered_delta	target_bilateral	all_12_controls_bilateral	robust_controls_after_drop	fold_success
cheol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	PAIR_STABLE	f100r	-1	-1/8	-2/63	-47/504	1	1	12	1
cheol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	PAIR_STABLE	f103r	-1	-1/7	-2/63	-1/9	1	1	12	1
cheol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	PAIR_STABLE	f108r	-1	-5/24	-11/224	-107/672	1	1	12	1
cheol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	PAIR_STABLE	f108v	-1	-1/14	-1/56	-3/56	1	1	12	1
cheol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	PAIR_STABLE	f113r	-1	-1/21	-11/224	1/672	1	1	12	0
cheol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	PAIR_STABLE	f113v	-1	-1/24	-1/72	-1/36	1	1	12	1
cheol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	PAIR_STABLE	f114v	-1	-1/8	-2/63	-47/504	1	1	12	1
cheol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	PAIR_STABLE	f49r	-1	-1/14	-2/63	-5/126	1	1	12	1
cheol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	PAIR_STABLE	f76v	-1	-1/24	-37/504	2/63	1	1	12	0
cheol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	PAIR_STABLE	f79r	-1	-1/24	-2/63	-5/504	1	1	12	1
cheol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	PAIR_STABLE	f83v	-1	-1/7	-1/72	-65/504	1	1	12	1
cheol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	PAIR_STABLE	f87r	-1	-1/24	-2/63	-5/504	1	1	12	1
cheol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	PAIR_STABLE	f88r	-1	-1/21	-2/63	-1/63	1	1	12	1
cheol	C2_GDT739_NARROW_PROJECTED	ALL_OPPORTUNITIES	PAIR_STABLE	f100r	-1	-77/16008	1/630	-10753/1680840	1	1	12	1
cheol	C2_GDT739_NARROW_PROJECTED	ALL_OPPORTUNITIES	PAIR_STABLE	f100v	-1	-7/1395	1/630	-43/6510	1	1	12	1
cheol	C2_GDT739_NARROW_PROJECTED	ALL_OPPORTUNITIES	PAIR_STABLE	f102v	-1	-13/2580	0/1	-13/2580	1	1	12	1
cheol	C2_GDT739_NARROW_PROJECTED	ALL_OPPORTUNITIES	PAIR_STABLE	f103r	-1	-175/16376	281/171360	-4323707/350773920	1	1	12	1
cheol	C2_GDT739_NARROW_PROJECTED	ALL_OPPORTUNITIES	PAIR_STABLE	f103v	-1	-27/5518	281/171360	-3088639/472782240	1	1	12	1
cheol	C2_GDT739_NARROW_PROJECTED	ALL_OPPORTUNITIES	PAIR_STABLE	f104r	-1	-77/16008	1/630	-10753/1680840	1	1	12	1
cheol	C2_GDT739_NARROW_PROJECTED	ALL_OPPORTUNITIES	PAIR_STABLE	f104v	-1	-5/1012	281/171360	-285293/43354080	1	1	12	1
cheol	C2_GDT739_NARROW_PROJECTED	ALL_OPPORTUNITIES	PAIR_STABLE	f106r	-1	-5/1012	1/630	-2081/318780	1	1	12	1
