target_surface	channel	denominator	view	omitted_control_surface	fixed_selected_sign	target_uncentered_delta_unchanged	k11_exact_median_sorted_position_6	recomputed_centered_delta	eleven_controls_scoreable	fold_success
cheol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	RAW	shol	-1	-27/220	-1/112	-701/6160	1	1
cheol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	RAW	al	-1	-27/220	-1/9	-23/1980	1	1
cheol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	RAW	sheol	-1	-27/220	-1/112	-701/6160	1	1
cheol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	RAW	qokal	-1	-27/220	-1/9	-23/1980	1	1
cheol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	RAW	dal	-1	-27/220	-1/112	-701/6160	1	1
cheol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	RAW	dol	-1	-27/220	-1/9	-23/1980	1	1
cheol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	RAW	chol	-1	-27/220	-1/112	-701/6160	1	1
cheol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	RAW	okol	-1	-27/220	-1/112	-701/6160	1	1
cheol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	RAW	sol	-1	-27/220	-1/9	-23/1980	1	1
cheol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	RAW	qotol	-1	-27/220	-1/9	-23/1980	1	1
cheol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	RAW	okeol	-1	-27/220	-1/112	-701/6160	1	1
cheol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	RAW	cthol	-1	-27/220	-1/9	-23/1980	1	1
cheol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	PAIR_STABLE	shol	-1	-5/56	-1/36	-31/504	1	1
cheol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	PAIR_STABLE	al	-1	-5/56	-1/28	-3/56	1	1
cheol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	PAIR_STABLE	sheol	-1	-5/56	-1/36	-31/504	1	1
cheol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	PAIR_STABLE	qokal	-1	-5/56	-1/28	-3/56	1	1
cheol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	PAIR_STABLE	dal	-1	-5/56	-1/36	-31/504	1	1
cheol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	PAIR_STABLE	dol	-1	-5/56	-1/28	-3/56	1	1
cheol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	PAIR_STABLE	chol	-1	-5/56	-1/36	-31/504	1	1
cheol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	PAIR_STABLE	okol	-1	-5/56	-1/36	-31/504	1	1
cheol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	PAIR_STABLE	sol	-1	-5/56	-1/28	-3/56	1	1
cheol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	PAIR_STABLE	qotol	-1	-5/56	-1/28	-3/56	1	1
cheol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	PAIR_STABLE	okeol	-1	-5/56	-1/36	-31/504	1	1
cheol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	PAIR_STABLE	cthol	-1	-5/56	-1/28	-3/56	1	1
cheol	C2_GDT739_NARROW_PROJECTED	ALL_OPPORTUNITIES	RAW	shol	-1	-1/94	0/1	-1/94	1	1
cheol	C2_GDT739_NARROW_PROJECTED	ALL_OPPORTUNITIES	RAW	al	-1	-1/94	0/1	-1/94	1	1
cheol	C2_GDT739_NARROW_PROJECTED	ALL_OPPORTUNITIES	RAW	sheol	-1	-1/94	0/1	-1/94	1	1
cheol	C2_GDT739_NARROW_PROJECTED	ALL_OPPORTUNITIES	RAW	qokal	-1	-1/94	0/1	-1/94	1	1
cheol	C2_GDT739_NARROW_PROJECTED	ALL_OPPORTUNITIES	RAW	dal	-1	-1/94	0/1	-1/94	1	1
cheol	C2_GDT739_NARROW_PROJECTED	ALL_OPPORTUNITIES	RAW	dol	-1	-1/94	0/1	-1/94	1	1
cheol	C2_GDT739_NARROW_PROJECTED	ALL_OPPORTUNITIES	RAW	chol	-1	-1/94	0/1	-1/94	1	1
cheol	C2_GDT739_NARROW_PROJECTED	ALL_OPPORTUNITIES	RAW	okol	-1	-1/94	0/1	-1/94	1	1
cheol	C2_GDT739_NARROW_PROJECTED	ALL_OPPORTUNITIES	RAW	sol	-1	-1/94	0/1	-1/94	1	1
cheol	C2_GDT739_NARROW_PROJECTED	ALL_OPPORTUNITIES	RAW	qotol	-1	-1/94	0/1	-1/94	1	1
cheol	C2_GDT739_NARROW_PROJECTED	ALL_OPPORTUNITIES	RAW	okeol	-1	-1/94	0/1	-1/94	1	1
