surface	source_reading_id	working_model_level	v99r7_spoken_default_de	axis_tags	macro_tags	unconditional_global_export_allowed	gdt734_composition_semantic_credit	gdt734_component_export_allowed	gdt806_semantic_credit	gdt806_renderer_license
a	a#GLOBAL	W2_PROVISIONAL_WORKING	je, zu gleichen Teilen	PART	CARRIER	1	0	0	0	0
aiin	aiin#1	W2_PROVISIONAL_WORKING	Menge III	AMOUNT	SCALAR	1	0	0	0	0
aiindy	aiindy#1	W2_PROVISIONAL_WORKING	drei fertig abgeteilte Teile	PART|CLOSE	CARRIER|PROCESS	1	0	0	0	0
ail	ail#GLOBAL	W2_PROVISIONAL_WORKING	Rohstoffklasse II	VALUE|MATERIAL	CARRIER|SCALAR	1	0	0	0	0
akaiin	akaiin#GLOBAL	W2_PROVISIONAL_WORKING	heiße Rohstoffportion, Stufe III	HOT|AMOUNT|VALUE|MATERIAL	CARRIER|QUALITY|SCALAR	1	0	0	0	0
al	al#1	W2_PROVISIONAL_WORKING	Material I	MATERIAL	CARRIER	1	0	0	0	0
alam	alam#GLOBAL	W3_SOLID_WORKING_THEORY	ein Maß Rohdroge I	AMOUNT|MATERIAL	CARRIER|SCALAR	1	0	0	0	0
alchdy	alchdy#GLOBAL	W2_PROVISIONAL_WORKING	Rohdroge I trocknen und fertigstellen	DRY|MATERIAL|PROCESS|CLOSE	CARRIER|PROCESS|QUALITY	1	0	0	0	0
alchedy	alchedy#GLOBAL	W3_SOLID_WORKING_THEORY	Rohdroge I bis zur Mittelstufe trocknen und fertigstellen	DRY|VALUE|MATERIAL|PROCESS|CLOSE	CARRIER|PROCESS|QUALITY|SCALAR	1	0	0	0	0
alchey	alchey#GLOBAL	W2_PROVISIONAL_WORKING	Rohstoff I, trocken in der Gradmitte	DRY|VALUE|MATERIAL	CARRIER|QUALITY|SCALAR	1	0	0	0	0
aldy	aldy#GLOBAL	W3_SOLID_WORKING_THEORY	Rohstoffklasse I, abgeschlossen	VALUE|MATERIAL|CLOSE	CARRIER|PROCESS|SCALAR	1	0	0	0	0
aly	aly#GLOBAL	W2_PROVISIONAL_WORKING	Rohstoffklasse I, Grundform	VALUE|MATERIAL	CARRIER|SCALAR	1	0	0	0	0
ar	ar#1	W2_PROVISIONAL_WORKING	Drogenanteil I	PART|MATERIAL	CARRIER	1	0	0	0	0
arain	arain#GLOBAL	W3_SOLID_WORKING_THEORY	zwei Teile des Drogenanteils I	PART|MATERIAL	CARRIER	1	0	0	0	0
aral	aral#GLOBAL	W3_SOLID_WORKING_THEORY	Rohdrogenfraktion I	PART|MATERIAL	CARRIER	1	0	0	0	0
aram	aram#GLOBAL	W3_SOLID_WORKING_THEORY	ein Maß der ersten Drogenfraktion	AMOUNT|PART|MATERIAL	CARRIER|SCALAR	1	0	0	0	0
aror	aror#1	W2_PROVISIONAL_WORKING	ein Teil aus Anteil I	PART	CARRIER	1	0	0	0	0
ary	ary#GLOBAL	W3_SOLID_WORKING_THEORY	Drogenfraktion I, abgeschlossen	PART|MATERIAL|CLOSE	CARRIER|PROCESS	1	0	0	0	0
as	as#GLOBAL	W2_PROVISIONAL_WORKING	ein gleicher Teil der Arzneispecies	PART	CARRIER	1	0	0	0	0
cham	cham#GLOBAL	W3_SOLID_WORKING_THEORY	ein Maß Trockendroge	DRY|AMOUNT|MATERIAL	CARRIER|QUALITY|SCALAR	1	0	0	0	0
chckhal	chckhal#GLOBAL	W3_SOLID_WORKING_THEORY	trockenes Arzneikompositum, Rohstoffform I	DRY|MATERIAL|PREPARATION	CARRIER|QUALITY	1	0	0	0	0
chckhan	chckhan#GLOBAL	W2_PROVISIONAL_WORKING	trockenes Arzneikompositum auf Stufe I	DRY|VALUE|PREPARATION	CARRIER|QUALITY|SCALAR	1	0	0	0	0
chckhd	chckhd#GLOBAL	W2_PROVISIONAL_WORKING	trockenes Arzneikompositum, abgeschlossen	DRY|PREPARATION|CLOSE	CARRIER|PROCESS|QUALITY	1	0	0	0	0
chckhdy	chckhdy#1	W2_PROVISIONAL_WORKING	trockenes Arzneikompositum, Anfangsstufe erreicht	DRY|VALUE|PREPARATION	CARRIER|QUALITY|SCALAR	1	0	0	0	0
chckhedy	chckhedy#GLOBAL	W3_SOLID_WORKING_THEORY	Arzneikompositum: trocken, Gradmitte, abgeschlossen	DRY|VALUE|PREPARATION|CLOSE	CARRIER|PROCESS|QUALITY|SCALAR	1	0	0	0	0
chckheey	chckheey#GLOBAL	W2_PROVISIONAL_WORKING	Arzneikompositum: trocken, Gradende	DRY|VALUE|PREPARATION	CARRIER|QUALITY|SCALAR	1	0	0	0	0
chckhey	chckhey#GLOBAL	W3_SOLID_WORKING_THEORY	Arzneikompositum: trocken, Gradmitte	DRY|VALUE|PREPARATION	CARRIER|QUALITY|SCALAR	1	0	0	0	0
chckhy	chckhy#V84_1	W2_PROVISIONAL_WORKING	trockene Mischung, Anfangsstufe	DRY|VALUE|PREPARATION	CARRIER|QUALITY|SCALAR	1	0	0	0	0
chcphedy	chcphedy#GLOBAL	W3_SOLID_WORKING_THEORY	Arzneikompositum bis zur Mittelstufe trocknen und abschließen	DRY|VALUE|PREPARATION|PROCESS	CARRIER|PROCESS|QUALITY|SCALAR	1	0	0	0	0
