target_surface	channel	denominator	view	folds	successes	required_successes	pass
cheol	C2_GDT739_NARROW_PROJECTED	ALL_OPPORTUNITIES	PAIR_STABLE	12	12	10	1
cheol	C2_GDT739_NARROW_PROJECTED	ALL_OPPORTUNITIES	RAW	12	12	10	1
cheol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	PAIR_STABLE	12	12	10	1
cheol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	RAW	12	12	10	1
cheol	C3_GDT734_GLOBAL_RESIDUAL	ALL_OPPORTUNITIES	PAIR_STABLE	12	12	10	1
cheol	C3_GDT734_GLOBAL_RESIDUAL	ALL_OPPORTUNITIES	RAW	12	6	10	0
cheol	C3_GDT734_GLOBAL_RESIDUAL	MAPPED_CONTACTS	PAIR_STABLE	12	6	10	0
cheol	C3_GDT734_GLOBAL_RESIDUAL	MAPPED_CONTACTS	RAW	12	6	10	0
okal	C2_GDT739_NARROW_PROJECTED	ALL_OPPORTUNITIES	PAIR_STABLE	12	12	10	1
okal	C2_GDT739_NARROW_PROJECTED	ALL_OPPORTUNITIES	RAW	12	12	10	1
okal	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	PAIR_STABLE	12	12	10	1
okal	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	RAW	12	12	10	1
okal	C3_GDT734_GLOBAL_RESIDUAL	ALL_OPPORTUNITIES	PAIR_STABLE	12	12	10	1
okal	C3_GDT734_GLOBAL_RESIDUAL	ALL_OPPORTUNITIES	RAW	12	12	10	1
okal	C3_GDT734_GLOBAL_RESIDUAL	MAPPED_CONTACTS	PAIR_STABLE	12	12	10	1
okal	C3_GDT734_GLOBAL_RESIDUAL	MAPPED_CONTACTS	RAW	12	12	10	1
ol	C2_GDT739_NARROW_PROJECTED	ALL_OPPORTUNITIES	PAIR_STABLE	12	12	10	1
ol	C2_GDT739_NARROW_PROJECTED	ALL_OPPORTUNITIES	RAW	12	12	10	1
ol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	PAIR_STABLE	12	12	10	1
ol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	RAW	12	6	10	0
ol	C3_GDT734_GLOBAL_RESIDUAL	ALL_OPPORTUNITIES	PAIR_STABLE	12	12	10	1
ol	C3_GDT734_GLOBAL_RESIDUAL	ALL_OPPORTUNITIES	RAW	12	12	10	1
ol	C3_GDT734_GLOBAL_RESIDUAL	MAPPED_CONTACTS	PAIR_STABLE	12	12	10	1
ol	C3_GDT734_GLOBAL_RESIDUAL	MAPPED_CONTACTS	RAW	12	12	10	1
otal	C2_GDT739_NARROW_PROJECTED	ALL_OPPORTUNITIES	PAIR_STABLE	12	12	10	1
otal	C2_GDT739_NARROW_PROJECTED	ALL_OPPORTUNITIES	RAW	12	12	10	1
otal	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	PAIR_STABLE	12	12	10	1
otal	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	RAW	12	12	10	1
otal	C3_GDT734_GLOBAL_RESIDUAL	ALL_OPPORTUNITIES	PAIR_STABLE	12	12	10	1
otal	C3_GDT734_GLOBAL_RESIDUAL	ALL_OPPORTUNITIES	RAW	12	12	10	1
otal	C3_GDT734_GLOBAL_RESIDUAL	MAPPED_CONTACTS	PAIR_STABLE	12	6	10	0
otal	C3_GDT734_GLOBAL_RESIDUAL	MAPPED_CONTACTS	RAW	12	6	10	0
qokeol	C2_GDT739_NARROW_PROJECTED	ALL_OPPORTUNITIES	PAIR_STABLE	12	12	10	1
qokeol	C2_GDT739_NARROW_PROJECTED	ALL_OPPORTUNITIES	RAW	12	12	10	1
qokeol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	PAIR_STABLE	12	0	10	0
qokeol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	RAW	12	0	10	0
qokeol	C3_GDT734_GLOBAL_RESIDUAL	ALL_OPPORTUNITIES	PAIR_STABLE	12	12	10	1
qokeol	C3_GDT734_GLOBAL_RESIDUAL	ALL_OPPORTUNITIES	RAW	12	12	10	1
qokeol	C3_GDT734_GLOBAL_RESIDUAL	MAPPED_CONTACTS	PAIR_STABLE	12	12	10	1
qokeol	C3_GDT734_GLOBAL_RESIDUAL	MAPPED_CONTACTS	RAW	12	12	10	1
qokol	C2_GDT739_NARROW_PROJECTED	ALL_OPPORTUNITIES	PAIR_STABLE	12	6	10	0
qokol	C2_GDT739_NARROW_PROJECTED	ALL_OPPORTUNITIES	RAW	12	6	10	0
qokol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	PAIR_STABLE	12	12	10	1
qokol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	RAW	12	12	10	1
qokol	C3_GDT734_GLOBAL_RESIDUAL	ALL_OPPORTUNITIES	PAIR_STABLE	12	12	10	1
qokol	C3_GDT734_GLOBAL_RESIDUAL	ALL_OPPORTUNITIES	RAW	12	12	10	1
qokol	C3_GDT734_GLOBAL_RESIDUAL	MAPPED_CONTACTS	PAIR_STABLE	12	12	10	1
qokol	C3_GDT734_GLOBAL_RESIDUAL	MAPPED_CONTACTS	RAW	12	12	10	1
