contact_id	subject_kind	subject_surface	occurrence_id	source_selector	physical_folio	locus	token_index	side	neighbor_surface	pair_sequence_stable_all_three	assigned_disjoint_channel	channel_axis_tags	channel_macro_tags	global652_mapped	global652_axis_tags	global652_macro_tags	semantic_credit	renderer_license	component_export_credit
G806-C00001	TARGET	qokeol	GDT800-O0001	f100r	f100r	f100r.14	6	L1	qoteold	0	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00002	TARGET	qokeol	GDT800-O0001	f100r	f100r	f100r.14	6	R1	so	1	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00003	TARGET	otal	GDT800-O0002	f100r	f100r	f100r.14	9	L1	raiin	1	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00004	TARGET	otal	GDT800-O0002	f100r	f100r	f100r.14	9	R1	ykeeeo	0	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00005	TARGET	cheol	GDT800-O0015	f100r	f100r	f100r.24	9	L1	sai	1	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00006	TARGET	cheol	GDT800-O0015	f100r	f100r	f100r.24	9	R1	raiin	0	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00007	TARGET	cheol	GDT800-O0018	f100r	f100r	f100r.25	8	L1	cheky	1	C3_GDT734_GLOBAL_RESIDUAL	HOT|DRY|VALUE|PROCESS	PROCESS|QUALITY|SCALAR	1	HOT|DRY|VALUE|PROCESS	PROCESS|QUALITY|SCALAR	0	0	0
G806-C00008	TARGET	cheol	GDT800-O0018	f100r	f100r	f100r.25	8	R1	cheockhy	1	C3_GDT734_GLOBAL_RESIDUAL	DRY|VALUE|PREPARATION	CARRIER|QUALITY|SCALAR	1	DRY|VALUE|PREPARATION	CARRIER|QUALITY|SCALAR	0	0	0
G806-C00009	TARGET	qokeol	GDT800-O0021	f100r	f100r	f100r.26	7	L1	olchor	0	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00010	TARGET	qokeol	GDT800-O0021	f100r	f100r	f100r.26	7	R1	okeeol	0	C2_GDT739_NARROW_PROJECTED	HOT|MATERIAL|PREPARATION	CARRIER|QUALITY	1	HOT|MATERIAL|PREPARATION	CARRIER|QUALITY	0	0	0
G806-C00011	TARGET	cheol	GDT800-O0025	f100r	f100r	f100r.27	2	L1	chol	1	C3_GDT734_GLOBAL_RESIDUAL	DRY	QUALITY	1	DRY	QUALITY	0	0	0
G806-C00012	TARGET	cheol	GDT800-O0025	f100r	f100r	f100r.27	2	R1	cho	1	C2_GDT739_NARROW_PROJECTED	DRY|PREPARATION	CARRIER|QUALITY	1	DRY|PREPARATION	CARRIER|QUALITY	0	0	0
G806-C00013	TARGET	ol	GDT800-O0027	f100v	f100v	f100v.15	4	L1	dair	0	C3_GDT734_GLOBAL_RESIDUAL	PART	CARRIER	1	PART	CARRIER	0	0	0
G806-C00014	TARGET	ol	GDT800-O0027	f100v	f100v	f100v.15	4	R1	cheol	0	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00015	TARGET	cheol	GDT800-O0028	f100v	f100v	f100v.15	5	L1	ol	0	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00016	TARGET	cheol	GDT800-O0028	f100v	f100v	f100v.15	5	R1	qoolkeey	1	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00017	TARGET	qokeol	GDT800-O0030	f100v	f100v	f100v.15	9	L1	cheey	1	C3_GDT734_GLOBAL_RESIDUAL	DRY|VALUE	QUALITY|SCALAR	1	DRY|VALUE	QUALITY|SCALAR	0	0	0
