target_surface	channel	denominator	l1_raw_contacts	l1_raw_folios	l1_stable_contacts	l1_stable_folios	r1_raw_contacts	r1_raw_folios	r1_stable_contacts	r1_stable_folios	stable_union_folios	stable_robust_capacity	expected_exact_capacity_pass
cheol	C1_EXACT_LOCAL	MAPPED_CONTACTS	1	1	1	1	1	1	0	0	1	0	1
cheol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	10	8	8	6	11	11	7	7	13	1	1
cheol	C3_GDT734_GLOBAL_RESIDUAL	MAPPED_CONTACTS	42	34	31	26	49	36	33	27	42	1	1
cheol	GDT734_GLOBAL652_SENSITIVITY	MAPPED_CONTACTS	53	39	40	31	61	43	40	30	46	1	1
cheol	ALL_CHANNEL_NUMERATORS	ALL_OPPORTUNITIES	141	70	90	54	141	70	94	60	63	1	1
otal	C1_EXACT_LOCAL	MAPPED_CONTACTS	0	0	0	0	0	0	0	0	0	0	1
otal	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	12	10	10	8	7	6	6	6	12	1	1
otal	C3_GDT734_GLOBAL_RESIDUAL	MAPPED_CONTACTS	50	32	34	23	37	26	30	23	32	1	1
otal	GDT734_GLOBAL652_SENSITIVITY	MAPPED_CONTACTS	62	37	44	27	44	31	36	28	36	1	1
otal	ALL_CHANNEL_NUMERATORS	ALL_OPPORTUNITIES	117	56	79	39	117	56	75	39	48	1	1
okal	C1_EXACT_LOCAL	MAPPED_CONTACTS	0	0	0	0	0	0	0	0	0	0	1
okal	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	14	13	6	6	9	7	7	5	10	1	1
okal	C3_GDT734_GLOBAL_RESIDUAL	MAPPED_CONTACTS	60	40	42	31	48	38	28	24	42	1	1
okal	GDT734_GLOBAL652_SENSITIVITY	MAPPED_CONTACTS	74	49	48	35	57	44	35	28	46	1	1
okal	ALL_CHANNEL_NUMERATORS	ALL_OPPORTUNITIES	122	62	69	43	122	62	73	47	52	1	1
ol	C1_EXACT_LOCAL	MAPPED_CONTACTS	0	0	0	0	2	2	2	2	2	0	1
ol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	34	21	27	20	47	33	30	26	37	1	1
ol	C3_GDT734_GLOBAL_RESIDUAL	MAPPED_CONTACTS	178	70	122	52	191	69	118	51	69	1	1
ol	GDT734_GLOBAL652_SENSITIVITY	MAPPED_CONTACTS	212	77	149	59	240	78	150	61	77	1	1
ol	ALL_CHANNEL_NUMERATORS	ALL_OPPORTUNITIES	462	104	285	82	462	104	265	84	92	1	1
qokeol	C1_EXACT_LOCAL	MAPPED_CONTACTS	0	0	0	0	0	0	0	0	0	0	1
qokeol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	2	2	2	2	4	4	3	3	5	1	1
qokeol	C3_GDT734_GLOBAL_RESIDUAL	MAPPED_CONTACTS	11	6	7	4	12	9	8	6	8	1	1
qokeol	GDT734_GLOBAL652_SENSITIVITY	MAPPED_CONTACTS	13	8	9	6	16	13	11	9	12	1	1
qokeol	ALL_CHANNEL_NUMERATORS	ALL_OPPORTUNITIES	38	25	21	16	38	25	26	19	22	1	1
qokol	C1_EXACT_LOCAL	MAPPED_CONTACTS	0	0	0	0	1	1	1	1	1	0	1
qokol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	5	5	3	3	6	6	4	4	7	1	1
qokol	C3_GDT734_GLOBAL_RESIDUAL	MAPPED_CONTACTS	35	29	27	23	37	29	27	25	35	1	1
qokol	GDT734_GLOBAL652_SENSITIVITY	MAPPED_CONTACTS	40	32	30	25	44	31	32	26	37	1	1
qokol	ALL_CHANNEL_NUMERATORS	ALL_OPPORTUNITIES	87	51	56	39	87	51	61	39	46	1	1
