passage_id	target_surface	source_selector	physical_folio	locus	token_index	exact_five_window	full_zl3b_line	left_surface	left_channel	left_axis_tags	left_macro_tags	candidate_a_de	candidate_b_de	right_surface	right_channel	right_axis_tags	right_macro_tags	gdt806_decision	selection_score	display_only	semantic_credit	renderer_license	confirmed_plaintext	confirmed_lexeme	component_export_credit
G806-P01	cheol	f100r	f100r	f100r.25	8	olcheol cheky cheol cheockhy okeol	sheor qkeeody chol daiin ctheol olcheol cheky cheol cheockhy okeol	cheky	C3_GDT734_GLOBAL_RESIDUAL	HOT|DRY|VALUE|PROCESS	PROCESS|QUALITY|SCALAR	Stoff-/Zubereitungseintrag	Qualitäts-/Zustandsangabe	cheockhy	C3_GDT734_GLOBAL_RESIDUAL	DRY|VALUE|PREPARATION	CARRIER|QUALITY|SCALAR	UNRESOLVED_RIVAL	27	1	0	0	0	0	0
G806-P02	cheol	f106r	f106r	f106r.11	3	sar aiin cheol aiin cheokey	sar aiin cheol aiin cheokey raiin chokar cholky okeees aiin okeey lchg	aiin	C3_GDT734_GLOBAL_RESIDUAL	AMOUNT	SCALAR	Stoff-/Zubereitungseintrag	Qualitäts-/Zustandsangabe	aiin	C3_GDT734_GLOBAL_RESIDUAL	AMOUNT	SCALAR	UNRESOLVED_RIVAL	27	1	0	0	0	0	0
G806-P03	otal	f107v	f107v	f107v.13	5	ockheody qokair otal qokaiin otal	ycheey qokain ockheody qokair otal qokaiin otal shoy qokaiin dalam	qokair	C2_GDT739_NARROW_PROJECTED	HOT|PART|PROCESS	CARRIER|PROCESS|QUALITY	Ausgangsansatz oder Stoffzubereitung	Qualitäts-/Zustandsangabe	qokaiin	C3_GDT734_GLOBAL_RESIDUAL	HOT|VALUE	QUALITY|SCALAR	UNRESOLVED_RIVAL	27	1	0	0	0	0	0
G806-P04	otal	f108r	f108r	f108r.2	6	qokeor shedy otal otaiin otedy	qokeedy chokedy chockhed qokeor shedy otal otaiin otedy qokechy ofchdy qody	shedy	C3_GDT734_GLOBAL_RESIDUAL	MOIST|VALUE	QUALITY|SCALAR	Ausgangsansatz oder Stoffzubereitung	Qualitäts-/Zustandsangabe	otaiin	C3_GDT734_GLOBAL_RESIDUAL	COLD|VALUE|PREPARATION	CARRIER|QUALITY|SCALAR	UNRESOLVED_RIVAL	27	1	0	0	0	0	0
G806-P05	okal	f105v	f105v	f105v.16	9	cpheor aiin okal chodaiin otaiin	daiin cheey dal chl okair aiin cpheor aiin okal chodaiin otaiin opaiim	aiin	C3_GDT734_GLOBAL_RESIDUAL	AMOUNT	SCALAR	Kennstellen-/Registereintrag	Ansatz-/Materialeintrag	chodaiin	C3_GDT734_GLOBAL_RESIDUAL	DRY|AMOUNT|VALUE|PREPARATION	CARRIER|QUALITY|SCALAR	UNRESOLVED_RIVAL	27	1	0	0	0	0	0
G806-P06	okal	f106v	f106v	f106v.23	5	shar chor okal chdy chol	ol kalol shar chor okal chdy chol chedy qotaiin or aiin okeedy qokain	chor	C3_GDT734_GLOBAL_RESIDUAL	PART	CARRIER	Kennstellen-/Registereintrag	Ansatz-/Materialeintrag	chdy	C3_GDT734_GLOBAL_RESIDUAL	DRY|VALUE	QUALITY|SCALAR	UNRESOLVED_RIVAL	27	1	0	0	0	0	0
G806-P07	ol	f100v	f100v	f100v.21	3	soral okor ol choy ly	soral okor ol choy ly araroy okar cheeeal cheokeol orey	okor	C3_GDT734_GLOBAL_RESIDUAL	HOT|AMOUNT|MATERIAL|PREPARATION	CARRIER|QUALITY|SCALAR	allgemeine Grundmasse/Zubereitung	behandeltes und gemessenes Medium; Identität offen	choy	C3_GDT734_GLOBAL_RESIDUAL	DRY|PREPARATION	CARRIER|QUALITY	UNRESOLVED_RIVAL	27	1	0	0	0	0	0
G806-P08	ol	f103v	f103v	f103v.37	3	olshey qokain ol shey qokeshe	olshey qokain ol shey qokeshe lsheok shdy qcphey chetydar	qokain	C3_GDT734_GLOBAL_RESIDUAL	HOT|VALUE	QUALITY|SCALAR	allgemeine Grundmasse/Zubereitung	behandeltes und gemessenes Medium; Identität offen	shey	C3_GDT734_GLOBAL_RESIDUAL	MOIST|VALUE	QUALITY|SCALAR	UNRESOLVED_RIVAL	27	1	0	0	0	0	0
G806-P09	qokeol	f102v1	f102v	f102v1.9	3	teody ckheey qokeol sheky qockheor	teody ckheey qokeol sheky qockheor or cheo rchol qoteor dar	ckheey	C3_GDT734_GLOBAL_RESIDUAL	VALUE|PREPARATION	CARRIER|SCALAR	Behandlungs-/Erwärmungsfeld	behandelte oder erhitzte Zubereitung	sheky	C3_GDT734_GLOBAL_RESIDUAL	HOT|MOIST|VALUE|PROCESS	PROCESS|QUALITY|SCALAR	UNRESOLVED_RIVAL	27	1	0	0	0	0	0
G806-P10	qokeol	f99v	f99v	f99v.11	4	choty qokchol qokeol okoldy qoldy	okoiin choty qokchol qokeol okoldy qoldy toly daiin	qokchol	C3_GDT734_GLOBAL_RESIDUAL	HOT|DRY|MATERIAL	CARRIER|QUALITY	Behandlungs-/Erwärmungsfeld	behandelte oder erhitzte Zubereitung	okoldy	C3_GDT734_GLOBAL_RESIDUAL	HOT|MATERIAL|PREPARATION|CLOSE	CARRIER|PROCESS|QUALITY	UNRESOLVED_RIVAL	27	1	0	0	0	0	0
G806-P11	qokol	f104v	f104v	f104v.20	8	qotcheedy qotchedy qokol chor chorol	or sheeo lcheedy qokeey qochey qotcheedy qotchedy qokol chor chorol chdar otam	qotchedy	C3_GDT734_GLOBAL_RESIDUAL	COLD|DRY|VALUE	QUALITY|SCALAR	Behandlungs-/Abschlussfeld	behandelte Zubereitung oder Stofffeld	chor	C3_GDT734_GLOBAL_RESIDUAL	PART	CARRIER	UNRESOLVED_RIVAL	27	1	0	0	0	0	0
G806-P12	qokol	f114v	f114v	f114v.15	6	chaiin qokod qokol cheedy qotody	ochedain chedy okal chaiin qokod qokol cheedy qotody cheol kchedy ldy	qokod	C3_GDT734_GLOBAL_RESIDUAL	HOT|PREPARATION|PROCESS	CARRIER|PROCESS|QUALITY	Behandlungs-/Abschlussfeld	behandelte Zubereitung oder Stofffeld	cheedy	C2_GDT739_NARROW_PROJECTED	DRY|VALUE|CLOSE	PROCESS|QUALITY|SCALAR	UNRESOLVED_RIVAL	27	1	0	0	0	0	0
