target_surface	channel	denominator	folds	successes	required_successes	exact_gate	pass
cheol	C2_GDT739_NARROW_PROJECTED	ALL_OPPORTUNITIES	63	58	51	58*5>=4*63	1
cheol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	13	11	11	11*5>=4*13	1
cheol	C3_GDT734_GLOBAL_RESIDUAL	ALL_OPPORTUNITIES	63	0	51	0*5>=4*63	0
cheol	C3_GDT734_GLOBAL_RESIDUAL	MAPPED_CONTACTS	42	0	34	0*5>=4*42	0
okal	C2_GDT739_NARROW_PROJECTED	ALL_OPPORTUNITIES	52	52	42	52*5>=4*52	1
okal	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	10	10	8	10*5>=4*10	1
okal	C3_GDT734_GLOBAL_RESIDUAL	ALL_OPPORTUNITIES	52	52	42	52*5>=4*52	1
okal	C3_GDT734_GLOBAL_RESIDUAL	MAPPED_CONTACTS	42	42	34	42*5>=4*42	1
ol	C2_GDT739_NARROW_PROJECTED	ALL_OPPORTUNITIES	92	0	74	0*5>=4*92	0
ol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	37	0	30	0*5>=4*37	0
ol	C3_GDT734_GLOBAL_RESIDUAL	ALL_OPPORTUNITIES	92	0	74	0*5>=4*92	0
ol	C3_GDT734_GLOBAL_RESIDUAL	MAPPED_CONTACTS	69	0	56	0*5>=4*69	0
otal	C2_GDT739_NARROW_PROJECTED	ALL_OPPORTUNITIES	48	48	39	48*5>=4*48	1
otal	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	12	12	10	12*5>=4*12	1
otal	C3_GDT734_GLOBAL_RESIDUAL	ALL_OPPORTUNITIES	48	0	39	0*5>=4*48	0
otal	C3_GDT734_GLOBAL_RESIDUAL	MAPPED_CONTACTS	32	0	26	0*5>=4*32	0
qokeol	C2_GDT739_NARROW_PROJECTED	ALL_OPPORTUNITIES	22	22	18	22*5>=4*22	1
qokeol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	5	0	4	0*5>=4*5	0
qokeol	C3_GDT734_GLOBAL_RESIDUAL	ALL_OPPORTUNITIES	22	1	18	1*5>=4*22	0
qokeol	C3_GDT734_GLOBAL_RESIDUAL	MAPPED_CONTACTS	8	0	7	0*5>=4*8	0
qokol	C2_GDT739_NARROW_PROJECTED	ALL_OPPORTUNITIES	46	2	37	2*5>=4*46	0
qokol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	7	0	6	0*5>=4*7	0
qokol	C3_GDT734_GLOBAL_RESIDUAL	ALL_OPPORTUNITIES	46	0	37	0*5>=4*46	0
qokol	C3_GDT734_GLOBAL_RESIDUAL	MAPPED_CONTACTS	35	0	28	0*5>=4*35	0
