target_surface	channel	denominator	view	candidate_a	candidate_b	target_uncentered_delta	target_uncentered_decimal	k12_exact_median	k12_exact_median_decimal	target_centered_delta	target_centered_decimal	selected_by_centered_sign	selected_sign	uncentered_centered_same_nonzero_sign	uncentered_margin_ge_1_20	centered_margin_ge_1_20	all_12_controls_bilateral	robust_stable_controls	required_robust_controls_pass	oriented_rank_of_13_ties_against	rank_le_3	control_deltas
cheol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	RAW	CHEOL-MAT	CHEOL-QUAL	-27/220	-0.122727272727	-121/2016	-0.0600198412698	-6953/110880	-0.0627074314574	CHEOL-QUAL	-1	1	1	1	1	12	1	5	0	shol:-1/4|al:-1/112|sheol:-1/9|qokal:7/34|dal:-9/80|dol:1/6|chol:-51/184|okol:-3/4|sol:1/2|qotol:1/15|okeol:-2/5|cthol:0/1
cheol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	PAIR_STABLE	CHEOL-MAT	CHEOL-QUAL	-5/56	-0.0892857142857	-2/63	-0.031746031746	-29/504	-0.0575396825397	CHEOL-QUAL	-1	1	1	1	1	12	1	6	0	shol:-1/3|al:-1/36|sheol:-1/6|qokal:1/6|dal:-1/28|dol:1/8|chol:-13/51|okol:-3/4|sol:2/3|qotol:3/20|okeol:-1/4|cthol:0/1
cheol	C2_GDT739_NARROW_PROJECTED	ALL_OPPORTUNITIES	RAW	CHEOL-MAT	CHEOL-QUAL	-1/94	-0.0106382978723	0/1	0	-1/94	-0.0106382978723	CHEOL-QUAL	-1	1	0	0	1	12	1	6	0	shol:-5/326|al:1/204|sheol:-1/60|qokal:7/360|dal:0/1|dol:1/76|chol:-6/343|okol:-3/53|sol:1/57|qotol:0/1|okeol:-1/22|cthol:0/1
cheol	C2_GDT739_NARROW_PROJECTED	ALL_OPPORTUNITIES	PAIR_STABLE	CHEOL-MAT	CHEOL-QUAL	-41/8460	-0.0048463356974	1/630	0.0015873015873	-127/19740	-0.0064336372847	CHEOL-QUAL	-1	1	0	0	1	12	1	6	0	shol:-337/13640|al:109/15351|sheol:-1/38|qokal:1/72|dal:0/1|dol:1/88|chol:-185/9912|okol:-37/456|sol:97/1230|qotol:1/175|okeol:-1/27|cthol:1/315
cheol	C3_GDT734_GLOBAL_RESIDUAL	MAPPED_CONTACTS	RAW	CHEOL-MAT	CHEOL-QUAL	-85/588	-0.144557823129	-433/3276	-0.132173382173	-71/5733	-0.0123844409559	CHEOL-QUAL	-1	1	1	0	1	12	1	7	0	shol:-43/1008|al:-2581/5767|sheol:-29/136|qokal:-7/78|dal:-241/4623|dol:-49/744|chol:-308/4321|okol:-129/380|sol:-13/72|qotol:-11/63|okeol:-81/308|cthol:11/300
cheol	C3_GDT734_GLOBAL_RESIDUAL	MAPPED_CONTACTS	PAIR_STABLE	CHEOL-MAT	CHEOL-QUAL	-91/682	-0.133431085044	-22769/138600	-0.164278499278	12049/390600	0.0308474142345	CHEOL-MAT	1	0	1	0	1	12	1	7	0	shol:-329/5160|al:-2185/5096|sheol:-221/966|qokal:-97/900|dal:-43/798|dol:-27/368|chol:-585/7844|okol:-21/68|sol:-31/120|qotol:-17/77|okeol:-49/180|cthol:7/110
cheol	C3_GDT734_GLOBAL_RESIDUAL	ALL_OPPORTUNITIES	RAW	CHEOL-MAT	CHEOL-QUAL	-5/94	-0.0531914893617	-191/3344	-0.0571172248804	617/157168	0.00392573551868	CHEOL-MAT	1	0	1	0	1	12	1	7	0	shol:-9/326|al:-1/6|sheol:-4/45|qokal:-7/180|dal:-4/191|dol:-7/152|chol:-10/343|okol:-13/106|sol:-8/57|qotol:-4/43|okeol:-3/44|cthol:2/51
cheol	C3_GDT734_GLOBAL_RESIDUAL	ALL_OPPORTUNITIES	PAIR_STABLE	CHEOL-MAT	CHEOL-QUAL	-133/2820	-0.0471631205674	-157/2100	-0.0747619047619	227/8225	0.0275987841945	CHEOL-MAT	1	0	0	0	1	12	1	5	0	shol:-53/1240|al:-5377/30702|sheol:-11/114|qokal:-71/2034|dal:-1/15|dol:-5/88|chol:-271/9912|okol:-169/1368|sol:-22/205|qotol:-29/350|okeol:-17/189|cthol:13/315
cheol	GDT734_GLOBAL652_SENSITIVITY	MAPPED_CONTACTS	RAW	CHEOL-MAT	CHEOL-QUAL	-445/3233	-0.137643055985	-82400267/900243560	-0.0915310818774	-134208320989/2910487429480	-0.0461119741077	CHEOL-QUAL	-1	1	1	0	1	12	1	5	0	shol:-387/5822|al:-973/2573|sheol:-631/3404|qokal:-1237/15580|dal:-21/370|dol:-19/330|chol:-2995/28891|okol:-451/1104|sol:-5/64|qotol:-47/391|okeol:-181/608|cthol:43/756
cheol	GDT734_GLOBAL652_SENSITIVITY	MAPPED_CONTACTS	PAIR_STABLE	CHEOL-MAT	CHEOL-QUAL	-1/8	-0.125	-186157/1644500	-0.113199756765	-38811/3289000	-0.011800243235	CHEOL-QUAL	-1	1	1	0	1	12	1	6	0	shol:-24/245|al:-2423/6710|sheol:-167/832|qokal:-36/371|dal:-52/1035|dol:-13/200|chol:-172/1625|okol:-25/63|sol:-61/506|qotol:-67/494|okeol:-23/84|cthol:1/12
