target_reference	subject_kind	subject_surface	channel	denominator	view	candidate_a	candidate_b	a_l1_hits	a_l1_denominator	a_l1_rate	a_r1_hits	a_r1_denominator	a_r1_rate	candidate_a_score	b_l1_hits	b_l1_denominator	b_l1_rate	b_r1_hits	b_r1_denominator	b_r1_rate	candidate_b_score	uncentered_delta_a_minus_b	uncentered_delta_decimal	bilaterally_scoreable
cheol	TARGET	cheol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	RAW	CHEOL-MAT	CHEOL-QUAL	10	10	1/1	2	11	2/11	13/22	7	10	7/10	8	11	8/11	157/220	-27/220	-0.122727272727	1
cheol	K12_CONTROL	shol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	RAW	CHEOL-MAT	CHEOL-QUAL	6	8	3/4	2	10	1/5	19/40	6	8	3/4	7	10	7/10	29/40	-1/4	-0.25	1
cheol	K12_CONTROL	al	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	RAW	CHEOL-MAT	CHEOL-QUAL	14	14	1/1	2	8	1/4	5/8	9	14	9/14	5	8	5/8	71/112	-1/112	-0.00892857142857	1
cheol	K12_CONTROL	sheol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	RAW	CHEOL-MAT	CHEOL-QUAL	8	9	8/9	3	12	1/4	41/72	7	9	7/9	7	12	7/12	49/72	-1/9	-0.111111111111	1
cheol	K12_CONTROL	qokal	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	RAW	CHEOL-MAT	CHEOL-QUAL	14	17	14/17	1	4	1/4	73/136	7	17	7/17	1	4	1/4	45/136	7/34	0.205882352941	1
cheol	K12_CONTROL	dal	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	RAW	CHEOL-MAT	CHEOL-QUAL	8	8	1/1	1	5	1/5	3/5	5	8	5/8	4	5	4/5	57/80	-9/80	-0.1125	1
cheol	K12_CONTROL	dol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	RAW	CHEOL-MAT	CHEOL-QUAL	5	6	5/6	0	2	0/1	5/12	3	6	1/2	0	2	0/1	1/4	1/6	0.166666666667	1
cheol	K12_CONTROL	chol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	RAW	CHEOL-MAT	CHEOL-QUAL	10	23	10/23	3	20	3/20	269/920	17	23	17/23	8	20	2/5	131/230	-51/184	-0.277173913043	1
cheol	K12_CONTROL	okol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	RAW	CHEOL-MAT	CHEOL-QUAL	1	4	1/4	1	4	1/4	1/4	4	4	1/1	4	4	1/1	1/1	-3/4	-0.75	1
cheol	K12_CONTROL	sol	C2_GDT739_NARROW_PROJECTED	MAPPED_CONTACTS	RAW	CHEOL-MAT	CHEOL-QUAL	2	2	1/1	3	5	3/5	4/5	0	2	0/1	3	5	3/5	3/10	1/2	0.5	1
