target_surface	neighbor_rank	control_surface	control_occurrences	individual_covariate_distance	outcome_fields_used_for_matching	replacement_allowed
cheol	1	shol	163	0.865104201592	NONE	0
cheol	2	al	204	1.02924636852	NONE	0
cheol	3	sheol	90	1.05835932921	NONE	0
cheol	4	qokal	180	1.11601819864	NONE	0
cheol	5	dal	191	1.11769441857	NONE	0
cheol	6	dol	76	1.47888722421	NONE	0
cheol	7	chol	343	2.02760704163	NONE	0
cheol	8	okol	53	2.11955386891	NONE	0
cheol	9	sol	57	2.12771829756	NONE	0
cheol	10	qotol	43	2.431118131	NONE	0
cheol	11	okeol	44	2.63858014658	NONE	0
cheol	12	cthol	51	2.77986732601	NONE	0
okal	1	al	204	0.959289510638	NONE	0
okal	2	sheol	90	1.07639004416	NONE	0
okal	3	qokal	180	1.10665166415	NONE	0
okal	4	dol	76	1.20819960721	NONE	0
okal	5	shol	163	1.23677482166	NONE	0
okal	6	dal	191	1.2800262889	NONE	0
okal	7	okol	53	1.90906441133	NONE	0
okal	8	sol	57	2.20977616501	NONE	0
okal	9	qotol	43	2.36659998247	NONE	0
okal	10	chol	343	2.40535790738	NONE	0
okal	11	cthol	51	2.46846921229	NONE	0
okal	12	okeol	44	2.53726383579	NONE	0
ol	1	chol	343	1.1477075759	NONE	0
ol	2	dal	191	1.57588188942	NONE	0
ol	3	shol	163	1.88221443702	NONE	0
ol	4	qokal	180	1.91421911261	NONE	0
ol	5	al	204	1.91559524796	NONE	0
ol	6	sheol	90	2.69764520925	NONE	0
ol	7	dol	76	2.99976449541	NONE	0
ol	8	sol	57	3.65353216419	NONE	0
ol	9	okol	53	3.77465497483	NONE	0
ol	10	qotol	43	4.06586162173	NONE	0
ol	11	sal	37	4.21436048502	NONE	0
ol	12	okeol	44	4.3924796898	NONE	0
otal	1	qokal	180	0.981155263191	NONE	0
otal	2	sheol	90	1.02215214745	NONE	0
otal	3	al	204	1.0429218946	NONE	0
otal	4	dol	76	1.09019229174	NONE	0
otal	5	dal	191	1.42128082004	NONE	0
otal	6	shol	163	1.51610756652	NONE	0
otal	7	okol	53	1.80385600524	NONE	0
otal	8	sol	57	2.12307379771	NONE	0
otal	9	qotol	43	2.22161679918	NONE	0
otal	10	cthol	51	2.35814969595	NONE	0
otal	11	okeol	44	2.47950880422	NONE	0
otal	12	chol	343	2.58460534332	NONE	0
qokeol	1	okeol	44	0.506339214455	NONE	0
qokeol	2	qotol	43	0.973020784876	NONE	0
qokeol	3	tol	34	0.986505506429	NONE	0
qokeol	4	sal	37	0.993854129472	NONE	0
qokeol	5	oteol	26	0.995644654887	NONE	0
qokeol	6	kol	30	1.19895220149	NONE	0
qokeol	7	chl	28	1.32747680699	NONE	0
qokeol	8	okol	53	1.33168093447	NONE	0
qokeol	9	lol	35	1.3330336612	NONE	0
qokeol	10	kal	25	1.46121835438	NONE	0
qokeol	11	otchol	27	1.49697937449	NONE	0
qokeol	12	cthol	51	1.57164921561	NONE	0
qokol	1	sheol	90	0.451119816604	NONE	0
qokol	2	dol	76	0.707977608264	NONE	0
qokol	3	okol	53	1.12424700666	NONE	0
qokol	4	sol	57	1.32299126892	NONE	0
qokol	5	qokal	180	1.37352588576	NONE	0
qokol	6	qotol	43	1.53192072496	NONE	0
qokol	7	shol	163	1.57172546765	NONE	0
qokol	8	dal	191	1.76454990876	NONE	0
qokol	9	al	204	1.80939265333	NONE	0
qokol	10	cthol	51	1.91925087509	NONE	0
qokol	11	tol	34	1.9720237241	NONE	0
qokol	12	okeol	44	2.00012106052	NONE	0
