exercise_id	silent_owner	master_dictation_de	idiom_ids	idiom_count	tuple_count	tuple_sequence	atom_pattern_chain	spoken_idiom_chain_de	memory_owner	memory_active	memory_target	memory_previous	ends_closed	distinct_surface_variants	occurs_in_fixed_statement	occurs_in_prior_dictation	four_surface_copies
X29	PICTURED_PLANT	Setze den aktuellen Pflanzenansatz auf Sollmaß, führe ihn im selben Gang weiter, lasse ihn kurz stehen und schließe.	E03|E12|E16|E04	4	8	7a4bb8136330ee4e6e56 b921a237be883a820352 276a7c2d74d1143446f4 2f1c5e56e8f0ff459065 e8a6105b5c3a6220b440 dcda95c81a5460feb191 dcda95c81a5460feb191 bc4f1f5c006c74a4d26d	OR > Y | OK+Y > AIIN | OT+OL > OL | OL > SHED+E+CLOSE	dieser laufende Ansatz ; den aktuellen Posten auf Sollmaß setzen ; danach im selben Gang weiter ; weiterführen, kurz absetzen und schließen	PICTURED_PLANT	X29:A1	LEER	SET	YES	3	NO	NO	S1_BARE_MASTER:chor chey choky aiin qotchol cheol cheol cheedy | S2_Q_CELL_SCRIBE:chor chey choky aiin qotchol cheol cheol cheedy | S3_S_LINE_SCRIBE:chor shy choky aiin qotchol cheol cheol cheedy | S4_MIXED_COMPACT:or y oky saiin qotchol ol ol tedy
X30	UPPER_PAIRED_BASINS	Bringe die nächste Portion zum Becken, setze sie um, führe sie weiter, halte sie länger und schließe.	E14|E05|E09	3	6	94df4847b7b16c98394a dd0ecaf5e27d81befffc 6f7ff8287eddf4da9fdb dcda95c81a5460feb191 6f7ff8287eddf4da9fdb 7d25241b0e56c836372a	OL+AIN > AL | CHD+Y > OL | CHD+Y > OK+EE+CLOSE	die nächste Portion zum Ziel bringen ; den Posten umsetzen und weiterführen ; umsetzen, länger ansetzen und schließen	UPPER_PAIRED_BASINS	X30:A1	SET	LEER	YES	2	NO	NO	S1_BARE_MASTER:olkain al chdy cheol chdy qokeedy | S2_Q_CELL_SCRIBE:olkain al chdy cheol chdy qokeedy | S3_S_LINE_SCRIBE:olkain al chdy cheol chdy qokeedy | S4_MIXED_COMPACT:olkain al chdy ol chdy qokeedy
X31	CLOTH_FILTER	Nimm diesen Posten nach Sollmaß, bringe ihn zum Tuch, halte ihn länger, setze kurz nach und schließe.	E01|E17|E10	3	6	b921a237be883a820352 2f1c5e56e8f0ff459065 b921a237be883a820352 dd0ecaf5e27d81befffc 0275fbf14e07935b0a45 7db18b2f0fb7ed0fcfd3	Y > AIIN | Y > AL | OK+EE+Y > OK+E+CLOSE	diesen Posten nach Sollmaß nehmen ; den aktuellen Posten zum Ziel bringen ; länger halten, kurz nachsetzen und schließen	CLOTH_FILTER	X31:A1	SET	LEER	YES	4	NO	NO	S1_BARE_MASTER:chey aiin chey al okeey qokedy | S2_Q_CELL_SCRIBE:chey aiin chey al qokeey qokedy | S3_S_LINE_SCRIBE:shy aiin chey al okeey qokedy | S4_MIXED_COMPACT:y aiin y sal qokeey qokedy
X32	LOCAL_POOL_TARGET	Führe den Fortsetzungsansatz weiter, stelle ihn auf Sollmaß, lasse ihn kurz absetzen und schließe.	E15|E13|E04	3	6	dec401773c1f0347793d dcda95c81a5460feb191 dcda95c81a5460feb191 2f1c5e56e8f0ff459065 dcda95c81a5460feb191 bc4f1f5c006c74a4d26d	OL+OR > OL | OL > AIIN | OL > SHED+E+CLOSE	den Fortsetzungsansatz weiterführen ; fortsetzen und auf Sollmaß stellen ; weiterführen, kurz absetzen und schließen	LOCAL_POOL_TARGET	X32:A1	LEER	SET	YES	3	NO	NO	S1_BARE_MASTER:cholor cheol cheol aiin cheol cheedy | S2_Q_CELL_SCRIBE:cholor cheol cheol aiin cheol cheedy | S3_S_LINE_SCRIBE:cholor cheol cheol saiin cheol cheedy | S4_MIXED_COMPACT:olor ol ol aiin ol tedy
X33	CELESTIAL_TABLE	Lies den Sollwert des aktuellen Tabellenpostens, arbeite an derselben Zielstelle weiter und setze den länger gehaltenen Wert erneut ein.	E02|E08|E11	3	6	2f1c5e56e8f0ff459065 b921a237be883a820352 dd0ecaf5e27d81befffc dcda95c81a5460feb191 0275fbf14e07935b0a45 276a7c2d74d1143446f4	AIIN > Y | AL > OL | OK+EE+Y > OK+Y	Sollmaß dieses Postens ; am Ziel weiterarbeiten ; den länger gehaltenen Posten weiter ansetzen	CELESTIAL_TABLE	X33:A1	SET	LEER	NO	3	NO	NO	S1_BARE_MASTER:aiin chey al cheol okeey choky | S2_Q_CELL_SCRIBE:aiin chey al cheol qokeey choky | S3_S_LINE_SCRIBE:aiin chey al cheol okeey choky | S4_MIXED_COMPACT:aiin shy al sol qokeey oky
X34	PICTURED_PLANT	Führe denselben Pflanzenteil um das Sollmaß, gehe danach im gleichen Gang weiter, setze um, halte länger und schließe.	E06|E16|E09	3	7	b921a237be883a820352 2f1c5e56e8f0ff459065 b921a237be883a820352 e8a6105b5c3a6220b440 dcda95c81a5460feb191 6f7ff8287eddf4da9fdb 7d25241b0e56c836372a	Y > AIIN > Y | OT+OL > OL | CHD+Y > OK+EE+CLOSE	denselben Posten um das Sollmaß führen ; danach im selben Gang weiter ; umsetzen, länger ansetzen und schließen	PICTURED_PLANT	X34:A1	LEER	SET	YES	3	NO	NO	S1_BARE_MASTER:chey aiin chey qotchol cheol chdy qokeedy | S2_Q_CELL_SCRIBE:chey aiin chey qotchol cheol chdy qokeedy | S3_S_LINE_SCRIBE:shy aiin chey qotchol cheol chdy qokeedy | S4_MIXED_COMPACT:y aiin shy qotchol ol chdy qokeedy
X35	UPPER_PAIRED_BASINS	Nimm den laufenden Beckenansatz, bringe die nächste Portion zum Ziel, halte länger, setze kurz nach und schließe.	E03|E14|E10	3	6	7a4bb8136330ee4e6e56 b921a237be883a820352 94df4847b7b16c98394a dd0ecaf5e27d81befffc 0275fbf14e07935b0a45 7db18b2f0fb7ed0fcfd3	OR > Y | OL+AIN > AL | OK+EE+Y > OK+E+CLOSE	dieser laufende Ansatz ; die nächste Portion zum Ziel bringen ; länger halten, kurz nachsetzen und schließen	UPPER_PAIRED_BASINS	X35:A1	SET	LEER	YES	4	NO	NO	S1_BARE_MASTER:chor chey olkain al okeey qokedy | S2_Q_CELL_SCRIBE:chor chey olkain al qokeey qokedy | S3_S_LINE_SCRIBE:chor shy olkain al okeey qokedy | S4_MIXED_COMPACT:or y olkain al qokeey qokedy
X36	CLOTH_FILTER	Setze den aktuellen Posten am Tuch auf Sollmaß, führe ihn hindurch weiter, lasse kurz absetzen und schließe.	E12|E05|E04	3	6	276a7c2d74d1143446f4 2f1c5e56e8f0ff459065 6f7ff8287eddf4da9fdb dcda95c81a5460feb191 dcda95c81a5460feb191 bc4f1f5c006c74a4d26d	OK+Y > AIIN | CHD+Y > OL | OL > SHED+E+CLOSE	den aktuellen Posten auf Sollmaß setzen ; den Posten umsetzen und weiterführen ; weiterführen, kurz absetzen und schließen	CLOTH_FILTER	X36:A1	LEER	LEER	YES	2	NO	NO	S1_BARE_MASTER:choky aiin chdy cheol cheol cheedy | S2_Q_CELL_SCRIBE:choky aiin chdy cheol cheol cheedy | S3_S_LINE_SCRIBE:choky aiin chdy cheol cheol cheedy | S4_MIXED_COMPACT:oky saiin chdy ol ol tedy
X37	LOCAL_POOL_TARGET	Führe den Fortsetzungsansatz weiter, halte denselben Posten beim Sollmaß und bringe ihn zum sichtbaren Ziel.	E15|E06|E17	3	7	dec401773c1f0347793d dcda95c81a5460feb191 b921a237be883a820352 2f1c5e56e8f0ff459065 b921a237be883a820352 b921a237be883a820352 dd0ecaf5e27d81befffc	OL+OR > OL | Y > AIIN > Y | Y > AL	den Fortsetzungsansatz weiterführen ; denselben Posten um das Sollmaß führen ; den aktuellen Posten zum Ziel bringen	LOCAL_POOL_TARGET	X37:A1	SET	SET	NO	3	NO	NO	S1_BARE_MASTER:cholor cheol chey aiin chey chey al | S2_Q_CELL_SCRIBE:cholor cheol chey aiin chey chey al | S3_S_LINE_SCRIBE:cholor cheol shy aiin chey chey al | S4_MIXED_COMPACT:olor ol y aiin shy y sal
X38	CELESTIAL_TABLE	Gehe zur folgenden Tabellenzelle, bringe deren Portion an die Zieladresse, setze sie um, halte länger und schließe.	E16|E14|E09	3	6	e8a6105b5c3a6220b440 dcda95c81a5460feb191 94df4847b7b16c98394a dd0ecaf5e27d81befffc 6f7ff8287eddf4da9fdb 7d25241b0e56c836372a	OT+OL > OL | OL+AIN > AL | CHD+Y > OK+EE+CLOSE	danach im selben Gang weiter ; die nächste Portion zum Ziel bringen ; umsetzen, länger ansetzen und schließen	CELESTIAL_TABLE	X38:A1	SET	SET	YES	2	NO	NO	S1_BARE_MASTER:qotchol cheol olkain al chdy qokeedy | S2_Q_CELL_SCRIBE:qotchol cheol olkain al chdy qokeedy | S3_S_LINE_SCRIBE:qotchol cheol olkain al chdy qokeedy | S4_MIXED_COMPACT:qotchol ol olkain al chdy qokeedy
