exercise_id	silent_owner	master_dictation_de	scribe_id	idiom_ids	tuple_sequence	atom_pattern_chain	scribe_surface_sequence	semantic_readback_de	initial_memory	final_memory	meaning_changed	status
X29	PICTURED_PLANT	Setze den aktuellen Pflanzenansatz auf Sollmaß, führe ihn im selben Gang weiter, lasse ihn kurz stehen und schließe.	S1_BARE_MASTER	E03|E12|E16|E04	7a4bb8136330ee4e6e56 b921a237be883a820352 276a7c2d74d1143446f4 2f1c5e56e8f0ff459065 e8a6105b5c3a6220b440 dcda95c81a5460feb191 dcda95c81a5460feb191 bc4f1f5c006c74a4d26d	OR > Y | OK+Y > AIIN | OT+OL > OL | OL > SHED+E+CLOSE	chor chey choky aiin qotchol cheol cheol cheedy	dieser laufende Ansatz ; den aktuellen Posten auf Sollmaß setzen ; danach im selben Gang weiter ; weiterführen, kurz absetzen und schließen	OWNER=PICTURED_PLANT;ACTIVE=X29:A1;TARGET=LEER;PREVIOUS=SET	OWNER=PICTURED_PLANT;ACTIVE=CLOSED;TARGET=LEER;PREVIOUS=SET	NO	NEW_WORKSHOP_EXERCISE_NOT_MANUSCRIPT_TEXT
X29	PICTURED_PLANT	Setze den aktuellen Pflanzenansatz auf Sollmaß, führe ihn im selben Gang weiter, lasse ihn kurz stehen und schließe.	S2_Q_CELL_SCRIBE	E03|E12|E16|E04	7a4bb8136330ee4e6e56 b921a237be883a820352 276a7c2d74d1143446f4 2f1c5e56e8f0ff459065 e8a6105b5c3a6220b440 dcda95c81a5460feb191 dcda95c81a5460feb191 bc4f1f5c006c74a4d26d	OR > Y | OK+Y > AIIN | OT+OL > OL | OL > SHED+E+CLOSE	chor chey choky aiin qotchol cheol cheol cheedy	dieser laufende Ansatz ; den aktuellen Posten auf Sollmaß setzen ; danach im selben Gang weiter ; weiterführen, kurz absetzen und schließen	OWNER=PICTURED_PLANT;ACTIVE=X29:A1;TARGET=LEER;PREVIOUS=SET	OWNER=PICTURED_PLANT;ACTIVE=CLOSED;TARGET=LEER;PREVIOUS=SET	NO	NEW_WORKSHOP_EXERCISE_NOT_MANUSCRIPT_TEXT
X29	PICTURED_PLANT	Setze den aktuellen Pflanzenansatz auf Sollmaß, führe ihn im selben Gang weiter, lasse ihn kurz stehen und schließe.	S3_S_LINE_SCRIBE	E03|E12|E16|E04	7a4bb8136330ee4e6e56 b921a237be883a820352 276a7c2d74d1143446f4 2f1c5e56e8f0ff459065 e8a6105b5c3a6220b440 dcda95c81a5460feb191 dcda95c81a5460feb191 bc4f1f5c006c74a4d26d	OR > Y | OK+Y > AIIN | OT+OL > OL | OL > SHED+E+CLOSE	chor shy choky aiin qotchol cheol cheol cheedy	dieser laufende Ansatz ; den aktuellen Posten auf Sollmaß setzen ; danach im selben Gang weiter ; weiterführen, kurz absetzen und schließen	OWNER=PICTURED_PLANT;ACTIVE=X29:A1;TARGET=LEER;PREVIOUS=SET	OWNER=PICTURED_PLANT;ACTIVE=CLOSED;TARGET=LEER;PREVIOUS=SET	NO	NEW_WORKSHOP_EXERCISE_NOT_MANUSCRIPT_TEXT
X29	PICTURED_PLANT	Setze den aktuellen Pflanzenansatz auf Sollmaß, führe ihn im selben Gang weiter, lasse ihn kurz stehen und schließe.	S4_MIXED_COMPACT	E03|E12|E16|E04	7a4bb8136330ee4e6e56 b921a237be883a820352 276a7c2d74d1143446f4 2f1c5e56e8f0ff459065 e8a6105b5c3a6220b440 dcda95c81a5460feb191 dcda95c81a5460feb191 bc4f1f5c006c74a4d26d	OR > Y | OK+Y > AIIN | OT+OL > OL | OL > SHED+E+CLOSE	or y oky saiin qotchol ol ol tedy	dieser laufende Ansatz ; den aktuellen Posten auf Sollmaß setzen ; danach im selben Gang weiter ; weiterführen, kurz absetzen und schließen	OWNER=PICTURED_PLANT;ACTIVE=X29:A1;TARGET=LEER;PREVIOUS=SET	OWNER=PICTURED_PLANT;ACTIVE=CLOSED;TARGET=LEER;PREVIOUS=SET	NO	NEW_WORKSHOP_EXERCISE_NOT_MANUSCRIPT_TEXT
X30	UPPER_PAIRED_BASINS	Bringe die nächste Portion zum Becken, setze sie um, führe sie weiter, halte sie länger und schließe.	S1_BARE_MASTER	E14|E05|E09	94df4847b7b16c98394a dd0ecaf5e27d81befffc 6f7ff8287eddf4da9fdb dcda95c81a5460feb191 6f7ff8287eddf4da9fdb 7d25241b0e56c836372a	OL+AIN > AL | CHD+Y > OL | CHD+Y > OK+EE+CLOSE	olkain al chdy cheol chdy qokeedy	die nächste Portion zum Ziel bringen ; den Posten umsetzen und weiterführen ; umsetzen, länger ansetzen und schließen	OWNER=UPPER_PAIRED_BASINS;ACTIVE=X30:A1;TARGET=SET;PREVIOUS=LEER	OWNER=UPPER_PAIRED_BASINS;ACTIVE=CLOSED;TARGET=SET;PREVIOUS=LEER	NO	NEW_WORKSHOP_EXERCISE_NOT_MANUSCRIPT_TEXT
X30	UPPER_PAIRED_BASINS	Bringe die nächste Portion zum Becken, setze sie um, führe sie weiter, halte sie länger und schließe.	S2_Q_CELL_SCRIBE	E14|E05|E09	94df4847b7b16c98394a dd0ecaf5e27d81befffc 6f7ff8287eddf4da9fdb dcda95c81a5460feb191 6f7ff8287eddf4da9fdb 7d25241b0e56c836372a	OL+AIN > AL | CHD+Y > OL | CHD+Y > OK+EE+CLOSE	olkain al chdy cheol chdy qokeedy	die nächste Portion zum Ziel bringen ; den Posten umsetzen und weiterführen ; umsetzen, länger ansetzen und schließen	OWNER=UPPER_PAIRED_BASINS;ACTIVE=X30:A1;TARGET=SET;PREVIOUS=LEER	OWNER=UPPER_PAIRED_BASINS;ACTIVE=CLOSED;TARGET=SET;PREVIOUS=LEER	NO	NEW_WORKSHOP_EXERCISE_NOT_MANUSCRIPT_TEXT
X30	UPPER_PAIRED_BASINS	Bringe die nächste Portion zum Becken, setze sie um, führe sie weiter, halte sie länger und schließe.	S3_S_LINE_SCRIBE	E14|E05|E09	94df4847b7b16c98394a dd0ecaf5e27d81befffc 6f7ff8287eddf4da9fdb dcda95c81a5460feb191 6f7ff8287eddf4da9fdb 7d25241b0e56c836372a	OL+AIN > AL | CHD+Y > OL | CHD+Y > OK+EE+CLOSE	olkain al chdy cheol chdy qokeedy	die nächste Portion zum Ziel bringen ; den Posten umsetzen und weiterführen ; umsetzen, länger ansetzen und schließen	OWNER=UPPER_PAIRED_BASINS;ACTIVE=X30:A1;TARGET=SET;PREVIOUS=LEER	OWNER=UPPER_PAIRED_BASINS;ACTIVE=CLOSED;TARGET=SET;PREVIOUS=LEER	NO	NEW_WORKSHOP_EXERCISE_NOT_MANUSCRIPT_TEXT
X30	UPPER_PAIRED_BASINS	Bringe die nächste Portion zum Becken, setze sie um, führe sie weiter, halte sie länger und schließe.	S4_MIXED_COMPACT	E14|E05|E09	94df4847b7b16c98394a dd0ecaf5e27d81befffc 6f7ff8287eddf4da9fdb dcda95c81a5460feb191 6f7ff8287eddf4da9fdb 7d25241b0e56c836372a	OL+AIN > AL | CHD+Y > OL | CHD+Y > OK+EE+CLOSE	olkain al chdy ol chdy qokeedy	die nächste Portion zum Ziel bringen ; den Posten umsetzen und weiterführen ; umsetzen, länger ansetzen und schließen	OWNER=UPPER_PAIRED_BASINS;ACTIVE=X30:A1;TARGET=SET;PREVIOUS=LEER	OWNER=UPPER_PAIRED_BASINS;ACTIVE=CLOSED;TARGET=SET;PREVIOUS=LEER	NO	NEW_WORKSHOP_EXERCISE_NOT_MANUSCRIPT_TEXT
X31	CLOTH_FILTER	Nimm diesen Posten nach Sollmaß, bringe ihn zum Tuch, halte ihn länger, setze kurz nach und schließe.	S1_BARE_MASTER	E01|E17|E10	b921a237be883a820352 2f1c5e56e8f0ff459065 b921a237be883a820352 dd0ecaf5e27d81befffc 0275fbf14e07935b0a45 7db18b2f0fb7ed0fcfd3	Y > AIIN | Y > AL | OK+EE+Y > OK+E+CLOSE	chey aiin chey al okeey qokedy	diesen Posten nach Sollmaß nehmen ; den aktuellen Posten zum Ziel bringen ; länger halten, kurz nachsetzen und schließen	OWNER=CLOTH_FILTER;ACTIVE=X31:A1;TARGET=SET;PREVIOUS=LEER	OWNER=CLOTH_FILTER;ACTIVE=CLOSED;TARGET=SET;PREVIOUS=LEER	NO	NEW_WORKSHOP_EXERCISE_NOT_MANUSCRIPT_TEXT
X31	CLOTH_FILTER	Nimm diesen Posten nach Sollmaß, bringe ihn zum Tuch, halte ihn länger, setze kurz nach und schließe.	S2_Q_CELL_SCRIBE	E01|E17|E10	b921a237be883a820352 2f1c5e56e8f0ff459065 b921a237be883a820352 dd0ecaf5e27d81befffc 0275fbf14e07935b0a45 7db18b2f0fb7ed0fcfd3	Y > AIIN | Y > AL | OK+EE+Y > OK+E+CLOSE	chey aiin chey al qokeey qokedy	diesen Posten nach Sollmaß nehmen ; den aktuellen Posten zum Ziel bringen ; länger halten, kurz nachsetzen und schließen	OWNER=CLOTH_FILTER;ACTIVE=X31:A1;TARGET=SET;PREVIOUS=LEER	OWNER=CLOTH_FILTER;ACTIVE=CLOSED;TARGET=SET;PREVIOUS=LEER	NO	NEW_WORKSHOP_EXERCISE_NOT_MANUSCRIPT_TEXT
X31	CLOTH_FILTER	Nimm diesen Posten nach Sollmaß, bringe ihn zum Tuch, halte ihn länger, setze kurz nach und schließe.	S3_S_LINE_SCRIBE	E01|E17|E10	b921a237be883a820352 2f1c5e56e8f0ff459065 b921a237be883a820352 dd0ecaf5e27d81befffc 0275fbf14e07935b0a45 7db18b2f0fb7ed0fcfd3	Y > AIIN | Y > AL | OK+EE+Y > OK+E+CLOSE	shy aiin chey al okeey qokedy	diesen Posten nach Sollmaß nehmen ; den aktuellen Posten zum Ziel bringen ; länger halten, kurz nachsetzen und schließen	OWNER=CLOTH_FILTER;ACTIVE=X31:A1;TARGET=SET;PREVIOUS=LEER	OWNER=CLOTH_FILTER;ACTIVE=CLOSED;TARGET=SET;PREVIOUS=LEER	NO	NEW_WORKSHOP_EXERCISE_NOT_MANUSCRIPT_TEXT
