statement_id	events	event_ids	owner_zones	card_sequence_de	continuous_reading_de	owner_break_inside_statement
B4-S001	1	E315	B4_ZONE_A_LEFT_AND_UPPER_FLOW	länger ansetzen; Schluss	Länger ansetzen und schließen.	NO
B4-S002	3	E316|E317|E318	B4_ZONE_A_LEFT_AND_UPPER_FLOW	dies weiterführen > länger ansetzen > kurz ansetzen; Schluss	Dies weiterführen, länger ansetzen, dann kurz ansetzen und schließen.	NO
B4-S003	7	E319|E320|E321|E322|E323|E324|E325	B4_ZONE_A_LEFT_AND_UPPER_FLOW	dies umsetzen > Folgestelle > nächster Posten > länger ansetzen > verwende dies > fortsetzen > kurz absetzen; Schluss	Dies umsetzen, an die Folgestelle gehen, den nächsten Posten länger ansetzen, dies verwenden, fortsetzen, kurz absetzen und schließen.	NO
B4-S004	1	E326	B4_ZONE_A_LEFT_AND_UPPER_FLOW	dies befestigen; Schluss	Dies befestigen und schließen.	NO
B4-S005	3	E327|E328|E329	B4_ZONE_A_LEFT_AND_UPPER_FLOW	Tuch > dies umsetzen > länger ansetzen; Schluss	Durch das Tuch führen, dies umsetzen, länger ansetzen und schließen.	NO
B4-S006	1	E330	B4_ZONE_A_LEFT_AND_UPPER_FLOW	seihen; Schluss	Seihen und schließen.	NO
B4-S007	1	E331	B4_ZONE_A_LEFT_AND_UPPER_FLOW	seihen; Schluss	Seihen und schließen.	NO
B4-S008	4	E332|E333|E334|E335	B4_ZONE_A_LEFT_AND_UPPER_FLOW	Mass > dies länger wärmen > dies länger halten > kurz ansetzen; Schluss	Auf Maß bringen, dies länger wärmen und halten, kurz ansetzen und schließen.	NO
B4-S009	1	E336	B4_ZONE_A_LEFT_AND_UPPER_FLOW	kurz absetzen; Schluss	Kurz absetzen und schließen.	NO
B4-S010	1	E337	B4_ZONE_A_LEFT_AND_UPPER_FLOW	fortsetzen; Schluss	Fortsetzen und schließen.	NO
B4-S011	7	E338|E339|E340|E341|E342|E343|E344	B4_ZONE_A_LEFT_AND_UPPER_FLOW	Mass > kurz wärmen > länger fortsetzen > eine Portion zugeben > dies umsetzen > fortsetzen > kurz abführen; Schluss	Auf Maß bringen, kurz wärmen, länger fortsetzen, eine Portion zugeben, dies umsetzen, fortsetzen, kurz abführen und schließen.	NO
B4-S012	1	E345	B4_ZONE_A_LEFT_AND_UPPER_FLOW	hinausführen; Schluss	Hinausführen und schließen.	NO
B4-S013	2	E346|E347	B4_ZONE_A_LEFT_AND_UPPER_FLOW	Fortsetzung einsetzen > kurz absetzen; Schluss	Die Fortsetzung einsetzen, kurz absetzen und schließen.	NO
B4-S014	4	E348|E349|E350|E351	B4_ZONE_A_LEFT_AND_UPPER_FLOW	Ansatz > dies > dies kurz durchführen > Laufflüssigkeit abschließen	Den Ansatz und diesen Posten kurz durchführen, die Laufflüssigkeit abschließen.	NO
B4-S015	6	E352|E353|E354|E355|E356|E357	B4_ZONE_A_LEFT_AND_UPPER_FLOW|B4_ZONE_B_RIGHT_LOWER_FLOW	eine Portion zugeben > Klarauszug > eine Portion > Durchlassstelle > kurz auffangen > hinausführen; Schluss	Eine Portion und den Klarauszug mit einer weiteren Portion zur Durchlassstelle bringen; nach dem Besitzerwechsel kurz auffangen, hinausführen und schließen.	YES
B4-S016	4	E358|E359|E360|E361	B4_ZONE_B_RIGHT_LOWER_FLOW	weitere Portion > Stelle > Ausguss > kurz absetzen; Schluss	Eine weitere Portion an die Stelle und zum Ausguss geben, kurz absetzen und schließen.	NO
