event_id	surface	joint_tuple_id	composition	small_value_de
E337	oldy	1b1ffdd869fb1429ad03	OL+DY	fortsetzen; Schluss
E355	chckhal	21ed2873b71e57269c08	CH+CKH+AL	Durchlassstelle
E346	qokol	232195d6ff2f326322f7	OK+OL	Fortsetzung einsetzen
E333	cheeky	2c1a5fd92b9e3c762242	CHK+EE+Y	dies länger wärmen
E356	solkey	42cdc187d5b9ffc60063	SOLK+E+Y	kurz auffangen
E351	dairydy	8aedd154964a78e555d6	D+AIR+Y+DY	Laufflüssigkeit abschließen
E334	sheey	92e43836d82f98bf02d3	SH+EE+Y	dies länger halten
E344	lkedy	b958a512ca6a3559e86e	L+K+E+DY	kurz abführen; Schluss
E340	okeeol	daf32e6db9e04413ce7f	OK+EE+OL	länger fortsetzen
E316	qolchey	e2eb77ca9d9e1a8ba29a	OL+CHE+Y	dies weiterführen
E326	qokylddy	eb2e4bc143f623ee03ac	OK+Y+LDDY	dies befestigen; Schluss
E350	qockhey	ecce30bc8dcc400bf2c8	O+CKH+E+Y	dies kurz durchführen
E321	otchey	faf321940aed922846a9	OT+CHEY	nächster Posten
