order	event_id	locus	field_id	statement_id	surface	joint_tuple_id	small_value_de	owner_zone	lexicon_source
1	E315	f83r.25	F109	B4-S001	qokeedy	7d25241b0e56c836372a	länger ansetzen; Schluss	B4_ZONE_A_LEFT_AND_UPPER_FLOW	B3_EXACT_CARD_TRANSFER
2	E316	f83r.25	F110	B4-S002	qolchey	e2eb77ca9d9e1a8ba29a	dies weiterführen	B4_ZONE_A_LEFT_AND_UPPER_FLOW	B4_PREDICTED_PRODUCTIVE_COMPOSITION
3	E317	f83r.25	F110	B4-S002	qokeey	0275fbf14e07935b0a45	länger ansetzen	B4_ZONE_A_LEFT_AND_UPPER_FLOW	B3_EXACT_CARD_TRANSFER
4	E318	f83r.25	F110	B4-S002	qokedy	7db18b2f0fb7ed0fcfd3	kurz ansetzen; Schluss	B4_ZONE_A_LEFT_AND_UPPER_FLOW	B3_EXACT_CARD_TRANSFER
5	E319	f83r.25	F111	B4-S003	chedy	6f7ff8287eddf4da9fdb	dies umsetzen	B4_ZONE_A_LEFT_AND_UPPER_FLOW	B3_EXACT_CARD_TRANSFER
6	E320	f83r.25	F111	B4-S003	otal	90bcf0a9ec0ef56399e6	Folgestelle	B4_ZONE_A_LEFT_AND_UPPER_FLOW	B3_EXACT_CARD_TRANSFER
7	E321	f83r.26	F112	B4-S003	otchey	faf321940aed922846a9	nächster Posten	B4_ZONE_A_LEFT_AND_UPPER_FLOW	B4_PREDICTED_PRODUCTIVE_COMPOSITION
8	E322	f83r.26	F112	B4-S003	qokeey	0275fbf14e07935b0a45	länger ansetzen	B4_ZONE_A_LEFT_AND_UPPER_FLOW	B3_EXACT_CARD_TRANSFER
9	E323	f83r.26	F112	B4-S003	qoky	276a7c2d74d1143446f4	verwende dies	B4_ZONE_A_LEFT_AND_UPPER_FLOW	B3_EXACT_CARD_TRANSFER
10	E324	f83r.26	F112	B4-S003	tol	dcda95c81a5460feb191	fortsetzen	B4_ZONE_A_LEFT_AND_UPPER_FLOW	B3_EXACT_CARD_TRANSFER
11	E325	f83r.26	F112	B4-S003	shedy	bc4f1f5c006c74a4d26d	kurz absetzen; Schluss	B4_ZONE_A_LEFT_AND_UPPER_FLOW	B3_EXACT_CARD_TRANSFER
12	E326	f83r.26	F113	B4-S004	qokylddy	eb2e4bc143f623ee03ac	dies befestigen; Schluss	B4_ZONE_A_LEFT_AND_UPPER_FLOW	B4_PREDICTED_PRODUCTIVE_COMPOSITION
13	E327	f83r.27	F114	B4-S005	dain	53cd0637c6820ba5e91f	Tuch	B4_ZONE_A_LEFT_AND_UPPER_FLOW	B4_LOCAL_WHOLE_CARD
14	E328	f83r.27	F114	B4-S005	chedy	6f7ff8287eddf4da9fdb	dies umsetzen	B4_ZONE_A_LEFT_AND_UPPER_FLOW	B3_EXACT_CARD_TRANSFER
15	E329	f83r.27	F114	B4-S005	qokeedy	7d25241b0e56c836372a	länger ansetzen; Schluss	B4_ZONE_A_LEFT_AND_UPPER_FLOW	B3_EXACT_CARD_TRANSFER
16	E330	f83r.27	F115	B4-S006	shckhedy	d68bc8de3bcee09db23c	seihen; Schluss	B4_ZONE_A_LEFT_AND_UPPER_FLOW	B1_EXACT_CARD_TRANSFER
17	E331	f83r.27	F116	B4-S007	shckhedy	d68bc8de3bcee09db23c	seihen; Schluss	B4_ZONE_A_LEFT_AND_UPPER_FLOW	B1_EXACT_CARD_TRANSFER
18	E332	f83r.28	F117	B4-S008	saiin	2f1c5e56e8f0ff459065	Mass	B4_ZONE_A_LEFT_AND_UPPER_FLOW	B3_EXACT_CARD_TRANSFER
19	E333	f83r.28	F117	B4-S008	cheeky	2c1a5fd92b9e3c762242	dies länger wärmen	B4_ZONE_A_LEFT_AND_UPPER_FLOW	B4_PREDICTED_PRODUCTIVE_COMPOSITION
20	E334	f83r.28	F117	B4-S008	sheey	92e43836d82f98bf02d3	dies länger halten	B4_ZONE_A_LEFT_AND_UPPER_FLOW	B4_PREDICTED_PRODUCTIVE_COMPOSITION
21	E335	f83r.28	F117	B4-S008	qokedy	7db18b2f0fb7ed0fcfd3	kurz ansetzen; Schluss	B4_ZONE_A_LEFT_AND_UPPER_FLOW	B3_EXACT_CARD_TRANSFER
22	E336	f83r.28	F118	B4-S009	shedy	bc4f1f5c006c74a4d26d	kurz absetzen; Schluss	B4_ZONE_A_LEFT_AND_UPPER_FLOW	B3_EXACT_CARD_TRANSFER
23	E337	f83r.28	F119	B4-S010	oldy	1b1ffdd869fb1429ad03	fortsetzen; Schluss	B4_ZONE_A_LEFT_AND_UPPER_FLOW	B4_PREDICTED_PRODUCTIVE_COMPOSITION
24	E338	f83r.35	F120	B4-S011	saiin	2f1c5e56e8f0ff459065	Mass	B4_ZONE_A_LEFT_AND_UPPER_FLOW	B3_EXACT_CARD_TRANSFER
25	E339	f83r.35	F120	B4-S011	cheky	d904bf7b044dd3922781	kurz wärmen	B4_ZONE_A_LEFT_AND_UPPER_FLOW	B1_EXACT_CARD_TRANSFER
26	E340	f83r.35	F120	B4-S011	okeeol	daf32e6db9e04413ce7f	länger fortsetzen	B4_ZONE_A_LEFT_AND_UPPER_FLOW	B4_PREDICTED_PRODUCTIVE_COMPOSITION
27	E341	f83r.35	F120	B4-S011	okain	1645e612504fcef59ced	eine Portion zugeben	B4_ZONE_A_LEFT_AND_UPPER_FLOW	B3_EXACT_CARD_TRANSFER
28	E342	f83r.35	F120	B4-S011	chdy	6f7ff8287eddf4da9fdb	dies umsetzen	B4_ZONE_A_LEFT_AND_UPPER_FLOW	B3_EXACT_CARD_TRANSFER
29	E343	f83r.37	F121	B4-S011	sol	dcda95c81a5460feb191	fortsetzen	B4_ZONE_A_LEFT_AND_UPPER_FLOW	B3_EXACT_CARD_TRANSFER
30	E344	f83r.37	F121	B4-S011	lkedy	b958a512ca6a3559e86e	kurz abführen; Schluss	B4_ZONE_A_LEFT_AND_UPPER_FLOW	B4_PREDICTED_PRODUCTIVE_COMPOSITION
31	E345	f83r.37	F122	B4-S012	lchedy	de7321bface5628e35d6	hinausführen; Schluss	B4_ZONE_A_LEFT_AND_UPPER_FLOW	B3_EXACT_CARD_TRANSFER
32	E346	f83r.37	F123	B4-S013	qokol	232195d6ff2f326322f7	Fortsetzung einsetzen	B4_ZONE_A_LEFT_AND_UPPER_FLOW	B4_PREDICTED_PRODUCTIVE_COMPOSITION
33	E347	f83r.37	F123	B4-S013	shedy	bc4f1f5c006c74a4d26d	kurz absetzen; Schluss	B4_ZONE_A_LEFT_AND_UPPER_FLOW	B3_EXACT_CARD_TRANSFER
34	E348	f83r.38	F124	B4-S014	or	7a4bb8136330ee4e6e56	Ansatz	B4_ZONE_A_LEFT_AND_UPPER_FLOW	B3_EXACT_CARD_TRANSFER
35	E349	f83r.38	F124	B4-S014	chey	b921a237be883a820352	dies	B4_ZONE_A_LEFT_AND_UPPER_FLOW	B3_EXACT_CARD_TRANSFER
36	E350	f83r.38	F124	B4-S014	qockhey	ecce30bc8dcc400bf2c8	dies kurz durchführen	B4_ZONE_A_LEFT_AND_UPPER_FLOW	B4_PREDICTED_PRODUCTIVE_COMPOSITION
37	E351	f83r.38	F124	B4-S014	dairydy	8aedd154964a78e555d6	Laufflüssigkeit abschließen	B4_ZONE_A_LEFT_AND_UPPER_FLOW	B4_PREDICTED_PRODUCTIVE_COMPOSITION
38	E352	f83r.39	F125	B4-S015	qokain	1645e612504fcef59ced	eine Portion zugeben	B4_ZONE_A_LEFT_AND_UPPER_FLOW	B3_EXACT_CARD_TRANSFER
39	E353	f83r.39	F125	B4-S015	shey	b5df9126607030b95175	Klarauszug	B4_ZONE_A_LEFT_AND_UPPER_FLOW	B2_EXACT_CARD_TRANSFER
40	E354	f83r.39	F125	B4-S015	kain	9da1b6ac2c929daea697	eine Portion	B4_ZONE_A_LEFT_AND_UPPER_FLOW	B3_EXACT_CARD_TRANSFER
41	E355	f83r.39	F125	B4-S015	chckhal	21ed2873b71e57269c08	Durchlassstelle	B4_ZONE_A_LEFT_AND_UPPER_FLOW	B4_PREDICTED_PRODUCTIVE_COMPOSITION
42	E356	f83r.41	F126	B4-S015	solkey	42cdc187d5b9ffc60063	kurz auffangen	B4_ZONE_B_RIGHT_LOWER_FLOW	B4_PREDICTED_PRODUCTIVE_COMPOSITION
43	E357	f83r.41	F126	B4-S015	lchedy	de7321bface5628e35d6	hinausführen; Schluss	B4_ZONE_B_RIGHT_LOWER_FLOW	B3_EXACT_CARD_TRANSFER
44	E358	f83r.41	F127	B4-S016	qolkain	94df4847b7b16c98394a	weitere Portion	B4_ZONE_B_RIGHT_LOWER_FLOW	B1_EXACT_CARD_TRANSFER
45	E359	f83r.41	F127	B4-S016	dal	dd0ecaf5e27d81befffc	Stelle	B4_ZONE_B_RIGHT_LOWER_FLOW	B3_EXACT_CARD_TRANSFER
46	E360	f83r.44	F128	B4-S016	skar	883a6708116c342cb10b	Ausguss	B4_ZONE_B_RIGHT_LOWER_FLOW	B4_LOCAL_WHOLE_CARD
47	E361	f83r.44	F128	B4-S016	shedy	bc4f1f5c006c74a4d26d	kurz absetzen; Schluss	B4_ZONE_B_RIGHT_LOWER_FLOW	B3_EXACT_CARD_TRANSFER
