event_id	page	statement_id	owner_de	surface	component_recipe	old_action_reading	result_state_rival	selected_process_reading	terminal	target_addressed	selection_reason
E125	f81v	B1-S004	gemeinsame zweireihige Figuren-/Beckenstation	shedy	SHED+DY	ABSETZEN · SCHLUSS	ABGESETZT · SCHLUSS	STEHENLASSEN · SCHLUSS	YES	NO	imperative process plus close; no sediment presupposition
E136	f81v	B1-S008	gemeinsame zweireihige Figuren-/Beckenstation	shedy	SHED+DY	ABSETZEN · SCHLUSS	ABGESETZT · SCHLUSS	STEHENLASSEN · SCHLUSS	YES	NO	imperative process plus close; no sediment presupposition
E155	f81v	B1-S016	gemeinsame zweireihige Figuren-/Beckenstation	cheedy	SHED+DY	ABSETZEN · SCHLUSS	ABGESETZT · SCHLUSS	STEHENLASSEN · SCHLUSS	YES	NO	imperative process plus close; no sediment presupposition
E163	f81v	B1-S019	gemeinsame zweireihige Figuren-/Beckenstation	tedy	SHED+DY	ABSETZEN · SCHLUSS	ABGESETZT · SCHLUSS	STEHENLASSEN · SCHLUSS	YES	NO	imperative process plus close; no sediment presupposition
E192	f82r	B2-S008	mittleres linkes Handgerät mit Inline-Knoten	shedy	SHED+DY	ABSETZEN · SCHLUSS	ABGESETZT · SCHLUSS	STEHENLASSEN · SCHLUSS	YES	NO	imperative process plus close; no sediment presupposition
E225	f82r	B2-S019	kleine Randstationen des unteren Beckens	rshedy	R+SHED+DY	KUEHLEN · ABSETZEN · SCHLUSS	KUEHLEN · ABGESETZT · SCHLUSS	KUEHLEN · STEHENLASSEN · SCHLUSS	YES	NO	imperative process plus close; no sediment presupposition
E255	f83r	B3-S012	untere Randfigur im korbartigen Gefäß	shedy	SHED+DY	ABSETZEN · SCHLUSS	ABGESETZT · SCHLUSS	STEHENLASSEN · SCHLUSS	YES	NO	imperative process plus close; no sediment presupposition
E266	f83r	B3-S018	unverbundener Zwischenbereich	shedy	SHED+DY	ABSETZEN · SCHLUSS	ABGESETZT · SCHLUSS	STEHENLASSEN · SCHLUSS	YES	NO	imperative process plus close; no sediment presupposition
E275	f83r	B3-S021	unverbundener Zwischenbereich	shedal	SHED+AL	ABSETZEN · ZIELSTELLE	ABGESETZT · ZIELSTELLE	STEHENLASSEN · ZIELSTELLE	NO	YES	natural target phrase: at the target let stand
E314	f83r	B3-S034	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	shedy	SHED+DY	ABSETZEN · SCHLUSS	ABGESETZT · SCHLUSS	STEHENLASSEN · SCHLUSS	YES	NO	imperative process plus close; no sediment presupposition
E325	f83r	B4-S003	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	shedy	SHED+DY	ABSETZEN · SCHLUSS	ABGESETZT · SCHLUSS	STEHENLASSEN · SCHLUSS	YES	NO	imperative process plus close; no sediment presupposition
E336	f83r	B4-S009	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	shedy	SHED+DY	ABSETZEN · SCHLUSS	ABGESETZT · SCHLUSS	STEHENLASSEN · SCHLUSS	YES	NO	imperative process plus close; no sediment presupposition
E347	f83r	B4-S013	linke Hauptstation mit offenem Fransenlauf	shedy	SHED+DY	ABSETZEN · SCHLUSS	ABGESETZT · SCHLUSS	STEHENLASSEN · SCHLUSS	YES	NO	imperative process plus close; no sediment presupposition
E361	f83r	B4-S016	rechte Hauptstation mit S-Lauf und Mehrarmknoten	shedy	SHED+DY	ABSETZEN · SCHLUSS	ABGESETZT · SCHLUSS	STEHENLASSEN · SCHLUSS	YES	NO	imperative process plus close; no sediment presupposition
E364	f83r	B5-S003	linke Fransenstation im B5-Nachtrag	shedal	SHED+AL	ABSETZEN · ZIELSTELLE	ABGESETZT · ZIELSTELLE	STEHENLASSEN · ZIELSTELLE	NO	YES	natural target phrase: at the target let stand
