statement_id	page	owner_de	surface_sequence	old_reading_de	revised_reading_de
B1-S004	f81v	gemeinsame zweireihige Figuren-/Beckenstation	chedy ol shedy	Am gemeinsamen zweireihigen Becken: Den laufenden Posten umsetzen; dann weiterarbeiten; dann absetzen lassen; den Schritt schliessen.	Am gemeinsamen zweireihigen Becken: Den laufenden Posten umsetzen; dann weiterarbeiten; dann stehen lassen; den Schritt schliessen.
B1-S008	f81v	gemeinsame zweireihige Figuren-/Beckenstation	chey ol cheky ol shedy	Am gemeinsamen zweireihigen Becken: Den Posten beibehalten und weiterarbeiten, kurz erwaermen, weiterfuehren, absetzen lassen und den Schritt schliessen.	Am gemeinsamen zweireihigen Becken: Den Posten beibehalten und weiterarbeiten, kurz erwaermen, weiterfuehren, stehen lassen und den Schritt schliessen.
B1-S016	f81v	gemeinsame zweireihige Figuren-/Beckenstation	qokal okeey qol cheedy	Am gemeinsamen zweireihigen Becken: Zur Zielstelle ansetzen; dann laenger den laufenden Posten ansetzen; dann weiterarbeiten; dann absetzen lassen; den Schritt schliessen.	Am gemeinsamen zweireihigen Becken: Zur Zielstelle ansetzen; dann laenger den laufenden Posten ansetzen; dann weiterarbeiten; dann stehen lassen; den Schritt schliessen.
B1-S019	f81v	gemeinsame zweireihige Figuren-/Beckenstation	tedy	Am gemeinsamen zweireihigen Becken: Absetzen lassen; den Schritt schliessen.	Am gemeinsamen zweireihigen Becken: Stehen lassen; den Schritt schliessen.
B2-S008	f82r	mittleres linkes Handgerät mit Inline-Knoten	sotaiin qokar shedy	An der linken Mittelstation mit Zwischenknoten: Danach nach Sollmass; dann aus der Quelle ansetzen; dann absetzen lassen; den Schritt schliessen.	An der linken Mittelstation mit Zwischenknoten: Danach nach Sollmass; dann aus der Quelle ansetzen; dann stehen lassen; den Schritt schliessen.
B2-S019	f82r	kleine Randstationen des unteren Beckens	rshedy	An den Randstationen des unteren Beckens: Kuehlen und absetzen lassen; den Schritt schliessen.	An den Randstationen des unteren Beckens: Kuehlen und stehen lassen; den Schritt schliessen.
B3-S012	f83r	untere Randfigur im korbartigen Gefäß	sor shedy	Am unteren Korbgefaess: Den Ansatz absetzen lassen und den Schritt schliessen.	Am unteren Korbgefaess: Den Ansatz stehen lassen und den Schritt schliessen.
B3-S018	f83r	unverbundener Zwischenbereich	shedy	Im bildlich unverbundenen Zwischenabschnitt: Absetzen lassen; den Schritt schliessen.	Im bildlich unverbundenen Zwischenabschnitt: Stehen lassen; den Schritt schliessen.
B3-S021	f83r	unverbundener Zwischenbereich	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	Im bildlich unverbundenen Zwischenabschnitt: Nach Sollmass ansetzen und den Posten bereitet halten. An der Zielstelle nach Sollmass absetzen und kurz bis zur Bereitschaft halten. Den Posten beibehalten, an der Zielstelle erneut bereitet halten, umsetzen und schliessen.	Im bildlich unverbundenen Zwischenabschnitt: Nach Sollmass ansetzen und den Posten bereitet halten. An der Zielstelle nach Sollmass stehen lassen und kurz bis zur Bereitschaft halten. Den Posten beibehalten, an der Zielstelle erneut bereitet halten, umsetzen und schliessen.
B3-S034	f83r	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	soiiin checthy chety otaiin olsaly shedy	Am durch den Bogen verbundenen Hauptpaar: Den Arbeitsgang bis zur Arbeitsstufe fuehren; den Posten bereitet halten und anwenden; danach nach Sollmass an der Zielstelle weiterfuehren, absetzen und schliessen.	Am durch den Bogen verbundenen Hauptpaar: Den Arbeitsgang bis zur Arbeitsstufe fuehren; den Posten bereitet halten und anwenden; danach nach Sollmass an der Zielstelle weiterfuehren, stehen lassen und schliessen.
B4-S003	f83r	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	chedy otal otchey qokeey qoky tol shedy	Am zweiten durch den Bogen verbundenen Hauptpaar: Den Posten umsetzen; danach zur Zielstelle und zum naechsten Posten wechseln; diesen laenger ansetzen, weiter ansetzen, weiterarbeiten, absetzen und schliessen.	Am zweiten durch den Bogen verbundenen Hauptpaar: Den Posten umsetzen; danach zur Zielstelle und zum naechsten Posten wechseln; diesen laenger ansetzen, weiter ansetzen, weiterarbeiten, stehen lassen und schliessen.
B4-S009	f83r	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	shedy	Am zweiten durch den Bogen verbundenen Hauptpaar: Absetzen lassen; den Schritt schliessen.	Am zweiten durch den Bogen verbundenen Hauptpaar: Stehen lassen; den Schritt schliessen.
B4-S013	f83r	linke Hauptstation mit offenem Fransenlauf	qokol shedy	An der linken offenen Randstation: Weiter ansetzen; dann absetzen lassen; den Schritt schliessen.	An der linken offenen Randstation: Weiter ansetzen; dann stehen lassen; den Schritt schliessen.
B4-S016	f83r	rechte Hauptstation mit S-Lauf und Mehrarmknoten	qolkain dal skar shedy	An der rechten S-Lauf-Mehrfachstation: Eine Portion weiter zugeben, an der Zielstelle aus der Quelle nachzugeben, absetzen lassen und schliessen.	An der rechten S-Lauf-Mehrfachstation: Eine Portion weiter zugeben, an der Zielstelle aus der Quelle nachzugeben, stehen lassen und schliessen.
B5-S003	f83r	linke Fransenstation im B5-Nachtrag	shedal dal cheol lol chdal aiin sol daiiin chedy	An der linken offenen Nebenstation: An der Zielstelle absetzen und dort weiterarbeiten; leiten und weiterarbeiten, an der Zielstelle umsetzen, nach Sollmass weiterarbeiten, fuer den zweiten Durchgang bis zur Arbeitsstufe fuehren und den Posten umsetzen.	An der linken offenen Nebenstation: An der Zielstelle stehen lassen und dort weiterarbeiten; leiten und weiterarbeiten, an der Zielstelle umsetzen, nach Sollmass weiterarbeiten, fuer den zweiten Durchgang bis zur Arbeitsstufe fuehren und den Posten umsetzen.
