audit_serial	event_serial	record_unit_id	page	locus	field_id	statement_id	joint_tuple_id	selection_stratum	surface_examples_archive_only	local_or_page_owner	owner_status	legacy_handle_revealed_after_source_freeze	legacy_support_class	exact_literal_layer_from_selected_edition	legacy_context_expansion	occurrence_consistency_class	occurrence_consistency_reason	exact_source_match_row_id	portable_atomic_reading_after_v77	occurrence_audit_action	strongest_contradiction_from_selected_edition	semantic_ceiling
1	3	H1	f10r	f10r.2	F001	H1-S001	4d4559019a961b834aa1	TOP10_RECURRENT_NONCONTROL	char|dar|sar	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	NONE	UNKNOWN_EXEMPLAR_WHOLE_CARD	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:4d4559019a961b834aa1] > [CONTEXT_EXEMPLAR:LOCAL_LINK]	Führe ihn als denselben Arbeitsansatz weiter.	BROAD_CONTEXTUAL	same-post linkage recurs, but merging and deictic source readings vary	NONE	EXEMPLAR_VALUE_UNKNOWN	CONTEXT_EXEMPLAR_ONLY;DO_NOT_EXPORT_THIS_SENTENCE_AS_CARD_MEANING	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Arbeitsansatz.	THIS_ROW_AUDITS_CONTEXTUAL_COHERENCE_ONLY;IT_DOES_NOT_ATTEST_A_WORD_OR_MEANING
2	8	H1	f10r	f10r.2	F001	H1-S001	276a7c2d74d1143446f4	FROZEN_14_CONTROL	choky|oky|qoky	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	ANWENDEN?	EXACT_WORKING_MNEMONIC	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:276a7c2d74d1143446f4] > [CARD:ANWENDEN?] > [CONTEXT_EXEMPLAR:USE]	Gebrauche diesen Auszug innerlich.	BROAD_CONTEXTUAL	use/application recurs, but route and object vary from internal use to external and bath use	NONE	EXEMPLAR_VALUE_UNKNOWN	CONTEXT_EXEMPLAR_ONLY;DO_NOT_EXPORT_THIS_SENTENCE_AS_CARD_MEANING	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Auszug, innerlicher Gebrauch.	THIS_ROW_AUDITS_CONTEXTUAL_COHERENCE_ONLY;IT_DOES_NOT_ATTEST_A_WORD_OR_MEANING
3	9	H1	f10r	f10r.2	F001	H1-S001	2f1c5e56e8f0ff459065	FROZEN_14_CONTROL	aiin|chaiin|daiin|saiin|taiin	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	MASS? + SURFACE_DAIIN_ONLY:VORGABEPARAMETER?	EXACT_MNEMONIC_AND_STRICT_FORMAL_PROMPT	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:2f1c5e56e8f0ff459065] > [CARD:MASS?] > [FORMAL:VORGABEPARAMETER?] > [CONTEXT_EXEMPLAR:DOSE]	Nimm davon das örtlich vorgeschriebene kleine Maß.	HIGH_FORMAL_MIXED	measure/prescription expansion recurs; only the restricted formal channel survives, not MASS as a word	NONE	FORMAL_LABEL_NOT_WORD	FORMAL_USE_ONLY;DO_NOT_READ_AS_WORD	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Dosis.	THIS_ROW_AUDITS_CONTEXTUAL_COHERENCE_ONLY;IT_DOES_NOT_ATTEST_A_WORD_OR_MEANING
4	13	H1	f10r	f10r.5	F002	H1-S002	dcda95c81a5460feb191	FROZEN_14_CONTROL	cheol|chol|ol|qol|sol|tol	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	STRICT_FORMAL_PROMPT_NO_WORD_VALUE	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:dcda95c81a5460feb191] > [FORMAL:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN] > [CONTEXT_EXEMPLAR:LOCAL_LINK]	Führe ihn als denselben laufenden Ansatz fort.	FORMAL_ONLY	active record-state linkage recurs; it supplies no word value	NONE	FORMAL_LABEL_NOT_WORD	FORMAL_USE_ONLY;DO_NOT_READ_AS_WORD	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Arbeitsansatz.	THIS_ROW_AUDITS_CONTEXTUAL_COHERENCE_ONLY;IT_DOES_NOT_ATTEST_A_WORD_OR_MEANING
5	14	H1	f10r	f10r.5	F002	H1-S002	e0b630cb1b5df5e7105b	FROZEN_14_CONTROL	checthy|cthy|shcthy	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	BEREIT?	EXACT_WORKING_MNEMONIC	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:e0b630cb1b5df5e7105b] > [CARD:BEREIT?] > [CONTEXT_EXEMPLAR:STATE_AND_USE]	Sobald er zum Gebrauch bereit ist, gebrauche ihn.	MIXED_CONTEXTUAL	flowering time, readiness, and generic test-state expansions are not one invariant atomic value	NONE	EXEMPLAR_VALUE_UNKNOWN	CONTEXT_EXEMPLAR_ONLY;DO_NOT_EXPORT_THIS_SENTENCE_AS_CARD_MEANING	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Gebrauchsreife.	THIS_ROW_AUDITS_CONTEXTUAL_COHERENCE_ONLY;IT_DOES_NOT_ATTEST_A_WORD_OR_MEANING
6	16	H2	f10r	f10r.6	F003	H2-S001	e0b630cb1b5df5e7105b	FROZEN_14_CONTROL	checthy|cthy|shcthy	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	BEREIT?	EXACT_WORKING_MNEMONIC	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:e0b630cb1b5df5e7105b] > [CARD:BEREIT?] > [CONTEXT_EXEMPLAR:HARVEST_CONDITION]	Sammle sie, wenn sie sich eben öffnen.	MIXED_CONTEXTUAL	flowering time, readiness, and generic test-state expansions are not one invariant atomic value	NONE	EXEMPLAR_VALUE_UNKNOWN	CONTEXT_EXEMPLAR_ONLY;DO_NOT_EXPORT_THIS_SENTENCE_AS_CARD_MEANING	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Erntezeit.	THIS_ROW_AUDITS_CONTEXTUAL_COHERENCE_ONLY;IT_DOES_NOT_ATTEST_A_WORD_OR_MEANING
7	17	H2	f10r	f10r.6	F003	H2-S001	7a4bb8136330ee4e6e56	FROZEN_14_CONTROL	chor|or|shor|sor	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	ANSATZ?	EXACT_WORKING_MNEMONIC	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:7a4bb8136330ee4e6e56] > [CARD:ANSATZ?] > [CONTEXT_EXEMPLAR:LOCAL_LINK]	Führe sie als frischen Ansatz.	BROAD_CONTEXTUAL	active-post/ansatz continuation recurs, but the object and operation are supplied locally	NONE	EXEMPLAR_VALUE_UNKNOWN	CONTEXT_EXEMPLAR_ONLY;DO_NOT_EXPORT_THIS_SENTENCE_AS_CARD_MEANING	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Arbeitsansatz.	THIS_ROW_AUDITS_CONTEXTUAL_COHERENCE_ONLY;IT_DOES_NOT_ATTEST_A_WORD_OR_MEANING
8	20	H2	f10r	f10r.6	F003	H2-S001	b921a237be883a820352	TOP10_RECURRENT_NONCONTROL	chey|chy|dy|shy|sy|y	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	NONE	UNKNOWN_EXEMPLAR_WHOLE_CARD	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:b921a237be883a820352] > [CONTEXT_EXEMPLAR:PREPARATION]	Fange die erste Fraktion auf.	CONTRADICTORY	eighteen expansions include fraction, oil, heat, stirring, storage, use, honey, and deictic portion	NONE	EXEMPLAR_VALUE_UNKNOWN	CONTEXT_EXEMPLAR_ONLY;DO_NOT_EXPORT_THIS_SENTENCE_AS_CARD_MEANING	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Fraktion.	THIS_ROW_AUDITS_CONTEXTUAL_COHERENCE_ONLY;IT_DOES_NOT_ATTEST_A_WORD_OR_MEANING
9	21	H2	f10r	f10r.6	F003	H2-S001	b921a237be883a820352	TOP10_RECURRENT_NONCONTROL	chey|chy|dy|shy|sy|y	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	NONE	UNKNOWN_EXEMPLAR_WHOLE_CARD	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:b921a237be883a820352] > [CONTEXT_EXEMPLAR:MEDIUM]	Gib Olivenöl hinzu.	CONTRADICTORY	eighteen expansions include fraction, oil, heat, stirring, storage, use, honey, and deictic portion	NONE	EXEMPLAR_VALUE_UNKNOWN	CONTEXT_EXEMPLAR_ONLY;DO_NOT_EXPORT_THIS_SENTENCE_AS_CARD_MEANING	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Olivenöl.	THIS_ROW_AUDITS_CONTEXTUAL_COHERENCE_ONLY;IT_DOES_NOT_ATTEST_A_WORD_OR_MEANING
10	22	H2	f10r	f10r.6	F003	H2-S001	2f1c5e56e8f0ff459065	FROZEN_14_CONTROL	aiin|chaiin|daiin|saiin|taiin	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	MASS? + SURFACE_DAIIN_ONLY:VORGABEPARAMETER?	EXACT_WORKING_MNEMONIC	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:2f1c5e56e8f0ff459065] > [CARD:MASS?] > [CONTEXT_EXEMPLAR:DOSE]	Nimm das örtlich vorgeschriebene Maß.	HIGH_FORMAL_MIXED	measure/prescription expansion recurs; only the restricted formal channel survives, not MASS as a word	NONE	FORMAL_LABEL_NOT_WORD	FORMAL_USE_ONLY;DO_NOT_READ_AS_WORD	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Dosis.	THIS_ROW_AUDITS_CONTEXTUAL_COHERENCE_ONLY;IT_DOES_NOT_ATTEST_A_WORD_OR_MEANING
