source_freeze_order	source_key_id	entry_order_within_key	source_language_entry	opaque_code_or_sign	key_identity	archive_shelfmark	date	edition_location	codebook_type	citation	stable_locator	source_sha256	inventory_status
1	LAVINDE_1379_KEY13	1	Matrimonium	ln	Gabriel de Lavinde, Zifera 13 [Anonymi]	Archivio Apostolico Vaticano, Collect. 393, ff.166-181	1379 manual stratum	Aloys Meister 1906, printed p.173, key 13	alphabet plus nomenclator	Aloys Meister, Die Geheimschrift im Dienste der paepstlichen Kurie (1906), p.173	https://archive.org/download/diegeheimschrift00meisgoog/diegeheimschrift00meisgoog.pdf	138d77ec5be897ac80540dfc60066146091f9952e3f91c9a49ccaf474fd3c6e1	FROZEN_BEFORE_CARD_CONTEXT_COMPARISON
2	LAVINDE_1379_KEY13	2	pax	pR	Gabriel de Lavinde, Zifera 13 [Anonymi]	Archivio Apostolico Vaticano, Collect. 393, ff.166-181	1379 manual stratum	Aloys Meister 1906, printed p.173, key 13	alphabet plus nomenclator	Aloys Meister, Die Geheimschrift im Dienste der paepstlichen Kurie (1906), p.173	https://archive.org/download/diegeheimschrift00meisgoog/diegeheimschrift00meisgoog.pdf	138d77ec5be897ac80540dfc60066146091f9952e3f91c9a49ccaf474fd3c6e1	FROZEN_BEFORE_CARD_CONTEXT_COMPARISON
3	LAVINDE_1379_KEY13	3	guerra	pl	Gabriel de Lavinde, Zifera 13 [Anonymi]	Archivio Apostolico Vaticano, Collect. 393, ff.166-181	1379 manual stratum	Aloys Meister 1906, printed p.173, key 13	alphabet plus nomenclator	Aloys Meister, Die Geheimschrift im Dienste der paepstlichen Kurie (1906), p.173	https://archive.org/download/diegeheimschrift00meisgoog/diegeheimschrift00meisgoog.pdf	138d77ec5be897ac80540dfc60066146091f9952e3f91c9a49ccaf474fd3c6e1	FROZEN_BEFORE_CARD_CONTEXT_COMPARISON
4	LAVINDE_1379_KEY13	4	Sequaces sui	br	Gabriel de Lavinde, Zifera 13 [Anonymi]	Archivio Apostolico Vaticano, Collect. 393, ff.166-181	1379 manual stratum	Aloys Meister 1906, printed p.173, key 13	alphabet plus nomenclator	Aloys Meister, Die Geheimschrift im Dienste der paepstlichen Kurie (1906), p.173	https://archive.org/download/diegeheimschrift00meisgoog/diegeheimschrift00meisgoog.pdf	138d77ec5be897ac80540dfc60066146091f9952e3f91c9a49ccaf474fd3c6e1	FROZEN_BEFORE_CARD_CONTEXT_COMPARISON
5	LAVINDE_1379_KEY13	5	Gentes armorum	gm	Gabriel de Lavinde, Zifera 13 [Anonymi]	Archivio Apostolico Vaticano, Collect. 393, ff.166-181	1379 manual stratum	Aloys Meister 1906, printed p.173, key 13	alphabet plus nomenclator	Aloys Meister, Die Geheimschrift im Dienste der paepstlichen Kurie (1906), p.173	https://archive.org/download/diegeheimschrift00meisgoog/diegeheimschrift00meisgoog.pdf	138d77ec5be897ac80540dfc60066146091f9952e3f91c9a49ccaf474fd3c6e1	FROZEN_BEFORE_CARD_CONTEXT_COMPARISON
6	LAVINDE_1379_KEY13	6	Regina	ba	Gabriel de Lavinde, Zifera 13 [Anonymi]	Archivio Apostolico Vaticano, Collect. 393, ff.166-181	1379 manual stratum	Aloys Meister 1906, printed p.173, key 13	alphabet plus nomenclator	Aloys Meister, Die Geheimschrift im Dienste der paepstlichen Kurie (1906), p.173	https://archive.org/download/diegeheimschrift00meisgoog/diegeheimschrift00meisgoog.pdf	138d77ec5be897ac80540dfc60066146091f9952e3f91c9a49ccaf474fd3c6e1	FROZEN_BEFORE_CARD_CONTEXT_COMPARISON
7	LAVINDE_1379_KEY13	7	Imperator	aa	Gabriel de Lavinde, Zifera 13 [Anonymi]	Archivio Apostolico Vaticano, Collect. 393, ff.166-181	1379 manual stratum	Aloys Meister 1906, printed p.173, key 13	alphabet plus nomenclator	Aloys Meister, Die Geheimschrift im Dienste der paepstlichen Kurie (1906), p.173	https://archive.org/download/diegeheimschrift00meisgoog/diegeheimschrift00meisgoog.pdf	138d77ec5be897ac80540dfc60066146091f9952e3f91c9a49ccaf474fd3c6e1	FROZEN_BEFORE_CARD_CONTEXT_COMPARISON
8	LAVINDE_1379_KEY13	8	Rex Ungarie	gb	Gabriel de Lavinde, Zifera 13 [Anonymi]	Archivio Apostolico Vaticano, Collect. 393, ff.166-181	1379 manual stratum	Aloys Meister 1906, printed p.173, key 13	alphabet plus nomenclator	Aloys Meister, Die Geheimschrift im Dienste der paepstlichen Kurie (1906), p.173	https://archive.org/download/diegeheimschrift00meisgoog/diegeheimschrift00meisgoog.pdf	138d77ec5be897ac80540dfc60066146091f9952e3f91c9a49ccaf474fd3c6e1	FROZEN_BEFORE_CARD_CONTEXT_COMPARISON
9	LAVINDE_1379_KEY13	9	Sicilia	fa	Gabriel de Lavinde, Zifera 13 [Anonymi]	Archivio Apostolico Vaticano, Collect. 393, ff.166-181	1379 manual stratum	Aloys Meister 1906, printed p.173, key 13	alphabet plus nomenclator	Aloys Meister, Die Geheimschrift im Dienste der paepstlichen Kurie (1906), p.173	https://archive.org/download/diegeheimschrift00meisgoog/diegeheimschrift00meisgoog.pdf	138d77ec5be897ac80540dfc60066146091f9952e3f91c9a49ccaf474fd3c6e1	FROZEN_BEFORE_CARD_CONTEXT_COMPARISON
10	LAVINDE_1379_KEY13	10	Florentini	pe	Gabriel de Lavinde, Zifera 13 [Anonymi]	Archivio Apostolico Vaticano, Collect. 393, ff.166-181	1379 manual stratum	Aloys Meister 1906, printed p.173, key 13	alphabet plus nomenclator	Aloys Meister, Die Geheimschrift im Dienste der paepstlichen Kurie (1906), p.173	https://archive.org/download/diegeheimschrift00meisgoog/diegeheimschrift00meisgoog.pdf	138d77ec5be897ac80540dfc60066146091f9952e3f91c9a49ccaf474fd3c6e1	FROZEN_BEFORE_CARD_CONTEXT_COMPARISON
