withdrawal_id	joint_tuple_id	channel_type	legacy_handle_or_prompt	old_portable_status	atomic_minimal_gloss_tested	source_match_ids	occurrence_result	action	replacement	reason	future_print_rule
W01	0275fbf14e07935b0a45	LEGACY_MNEMONIC	TEMPERIEREN?	PROVISIONAL_UNATTESTED_MNEMONIC	TEMPER_OR_ADJUST_CONDITION?	NONE	NOT_TESTABLE_CROSS_SECTION__BIO_ONLY	WITHDRAW_AS_PORTABLE_WORD	EXEMPLAR_VALUE_UNKNOWN	Exact contemporary entry absent; structural recurrence and legacy exemplar prose cannot substitute for documentary attestation.	BRACKET_OCCURRENCE_EXPANSION_OR_PRINT_UNKNOWN
W02	276a7c2d74d1143446f4	LEGACY_MNEMONIC	ANWENDEN?	PROVISIONAL_UNATTESTED_MNEMONIC	APPLY_OR_USE?	NONE	APPARENT_CROSS_HERBAL_BIO_CONSISTENCY__LEGACY_EXPANSIONS_ARE_CIRCULAR	WITHDRAW_AS_PORTABLE_WORD	EXEMPLAR_VALUE_UNKNOWN	Exact contemporary entry absent; structural recurrence and legacy exemplar prose cannot substitute for documentary attestation.	BRACKET_OCCURRENCE_EXPANSION_OR_PRINT_UNKNOWN
W03	2f1c5e56e8f0ff459065	LEGACY_MNEMONIC	MASS?	PROVISIONAL_UNATTESTED_MNEMONIC	QUANTITY_OR_PARAMETER?	NONE	APPARENT_CROSS_HERBAL_BIO_CONSISTENCY__LEGACY_EXPANSIONS_ARE_CIRCULAR	WITHDRAW_AS_PORTABLE_WORD	EXEMPLAR_VALUE_UNKNOWN	Exact contemporary entry absent; structural recurrence and legacy exemplar prose cannot substitute for documentary attestation.	BRACKET_OCCURRENCE_EXPANSION_OR_PRINT_UNKNOWN
W04	2f1c5e56e8f0ff459065	FORMAL_PROMPT	SURFACE_DAIIN_ONLY:VORGABEPARAMETER?	FORMAL_CHANNEL_NEVER_A_WORD	NONE__FORMAL_OPERATION	NONE	APPARENT_CROSS_HERBAL_BIO_CONSISTENCY__LEGACY_EXPANSIONS_ARE_CIRCULAR	RETAIN_ONLY_AS_FORMAL_NONWORD_LABEL	FORMAL_LABEL_NOT_WORD	The prompt is an editorial execution label; codebook attestation is neither present nor a license to lexicalize it.	ALWAYS_PREFIX_FORMAL_AND_STATE_NOT_A_WORD
W05	308e8ea2d5d190c498e8	FORMAL_PROMPT	LOKALEN_RELATIONSSLOT_SETZEN	FORMAL_CHANNEL_NEVER_A_WORD	NONE__FORMAL_OPERATION	NONE	FORMAL_CHANNEL_REPEATS_CROSS_SECTION__NO_WORD_TEST	RETAIN_ONLY_AS_FORMAL_NONWORD_LABEL	FORMAL_LABEL_NOT_WORD	The prompt is an editorial execution label; codebook attestation is neither present nor a license to lexicalize it.	ALWAYS_PREFIX_FORMAL_AND_STATE_NOT_A_WORD
W06	7a4bb8136330ee4e6e56	LEGACY_MNEMONIC	ANSATZ?	PROVISIONAL_UNATTESTED_MNEMONIC	CURRENT_WORKING_ITEM?	NONE	PARTIAL_CROSS_HERBAL_BIO__OPEN_SET_REPEAT_AND_CONTINUATION_NOT_ATOMICALLY_SEPARATED	WITHDRAW_AS_PORTABLE_WORD	EXEMPLAR_VALUE_UNKNOWN	Exact contemporary entry absent; structural recurrence and legacy exemplar prose cannot substitute for documentary attestation.	BRACKET_OCCURRENCE_EXPANSION_OR_PRINT_UNKNOWN
W07	7db18b2f0fb7ed0fcfd3	LEGACY_MNEMONIC	SPÜLEN?	PROVISIONAL_UNATTESTED_MNEMONIC	FLUSH_OR_WASH?	NONE	NOT_TESTABLE_CROSS_SECTION__BIO_ONLY_AND_8_OF_8_TERMINAL	WITHDRAW_AS_PORTABLE_WORD	EXEMPLAR_VALUE_UNKNOWN	Exact contemporary entry absent; structural recurrence and legacy exemplar prose cannot substitute for documentary attestation.	BRACKET_OCCURRENCE_EXPANSION_OR_PRINT_UNKNOWN
W08	b5df9126607030b95175	LEGACY_MNEMONIC	KLAR?	PROVISIONAL_UNATTESTED_MNEMONIC	CLEAR_OR_ENDPOINT_STATE?	NONE	FAIL_NARROW_INVARIANCE__H3_CLEAR_FILTRATE_VS_BIO_GENERIC_TEST_STATE	WITHDRAW_AS_PORTABLE_WORD	EXEMPLAR_VALUE_UNKNOWN	Exact contemporary entry absent; structural recurrence and legacy exemplar prose cannot substitute for documentary attestation.	BRACKET_OCCURRENCE_EXPANSION_OR_PRINT_UNKNOWN
W09	b5fcea1eaed06b2f2291	FORMAL_PROMPT	STANDARDSLOT_SETZEN	FORMAL_CHANNEL_NEVER_A_WORD	NONE__FORMAL_OPERATION	NONE	FORMAL_CHANNEL_REPEATS_CROSS_SECTION__NO_WORD_TEST	RETAIN_ONLY_AS_FORMAL_NONWORD_LABEL	FORMAL_LABEL_NOT_WORD	The prompt is an editorial execution label; codebook attestation is neither present nor a license to lexicalize it.	ALWAYS_PREFIX_FORMAL_AND_STATE_NOT_A_WORD
W10	dcda95c81a5460feb191	FORMAL_PROMPT	AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	FORMAL_CHANNEL_NEVER_A_WORD	NONE__FORMAL_OPERATION	NONE	FORMAL_CHANNEL_REPEATS_CROSS_SECTION__NO_WORD_TEST	RETAIN_ONLY_AS_FORMAL_NONWORD_LABEL	FORMAL_LABEL_NOT_WORD	The prompt is an editorial execution label; codebook attestation is neither present nor a license to lexicalize it.	ALWAYS_PREFIX_FORMAL_AND_STATE_NOT_A_WORD
W11	dd0ecaf5e27d81befffc	LEGACY_MNEMONIC	ZIEL?	PROVISIONAL_UNATTESTED_MNEMONIC	TARGET_OR_DESTINATION?	NONE	APPARENT_CROSS_HERBAL_BIO_CONSISTENCY__TARGETS_WERE_SUPPLIED_BY_LEGACY_REGISTER_MODEL	WITHDRAW_AS_PORTABLE_WORD	EXEMPLAR_VALUE_UNKNOWN	Exact contemporary entry absent; structural recurrence and legacy exemplar prose cannot substitute for documentary attestation.	BRACKET_OCCURRENCE_EXPANSION_OR_PRINT_UNKNOWN
W12	de7321bface5628e35d6	LEGACY_MNEMONIC	ABLASSEN?	PROVISIONAL_UNATTESTED_MNEMONIC	DRAIN_OR_DISCHARGE?	NONE	NOT_TESTABLE_CROSS_SECTION__BIO_ONLY_AND_8_OF_8_TERMINAL	WITHDRAW_AS_PORTABLE_WORD	EXEMPLAR_VALUE_UNKNOWN	Exact contemporary entry absent; structural recurrence and legacy exemplar prose cannot substitute for documentary attestation.	BRACKET_OCCURRENCE_EXPANSION_OR_PRINT_UNKNOWN
W13	dec401773c1f0347793d	LEGACY_MNEMONIC	VORIGES?	PROVISIONAL_UNATTESTED_MNEMONIC	PREVIOUS_ITEM?	NONE	TWO_CROSS_SECTION_OCCURRENCES_ONLY__LEGACY_REGISTER_EXPANSION_CONSISTENT_BUT_UNPOWERED	WITHDRAW_AS_PORTABLE_WORD	EXEMPLAR_VALUE_UNKNOWN	Exact contemporary entry absent; structural recurrence and legacy exemplar prose cannot substitute for documentary attestation.	BRACKET_OCCURRENCE_EXPANSION_OR_PRINT_UNKNOWN
W14	e0b630cb1b5df5e7105b	LEGACY_MNEMONIC	BEREIT?	PROVISIONAL_UNATTESTED_MNEMONIC	READY_OR_RELEASED_STATE?	NONE	FAIL_NARROW_INVARIANCE__H2_PHENOLOGICAL_OPENING_VS_CHARGE_TEST_STATE	WITHDRAW_AS_PORTABLE_WORD	EXEMPLAR_VALUE_UNKNOWN	Exact contemporary entry absent; structural recurrence and legacy exemplar prose cannot substitute for documentary attestation.	BRACKET_OCCURRENCE_EXPANSION_OR_PRINT_UNKNOWN
W15	faf321940aed922846a9	LEGACY_MNEMONIC	ANTEIL?	PROVISIONAL_UNATTESTED_MNEMONIC	SELECTED_PORTION?	NONE	TWO_CROSS_SECTION_OCCURRENCES_ONLY__LEGACY_EXPANSION_CONSISTENT_BUT_UNPOWERED	WITHDRAW_AS_PORTABLE_WORD	EXEMPLAR_VALUE_UNKNOWN	Exact contemporary entry absent; structural recurrence and legacy exemplar prose cannot substitute for documentary attestation.	BRACKET_OCCURRENCE_EXPANSION_OR_PRINT_UNKNOWN
