target_rank	selection_class	anonymous_exact_card_id	surface_examples_display_only	occurrences_audited	pages	records	sections	pre_audit_editorial_value	proposed_value_kind	preexisting_formal_prompt	formal_channel_final_status	event_templates_in_exposed_ledger	occurrence_invariance_result	occurrence_invariance_reason	historical_inventory_match	matched_inventory_entry_id	exact_source_language_entry	historical_key_identity	archive_shelfmark	date_or_dated_correspondence	edition_location	codebook_type	opaque_code_or_sign	citation_and_locator	attestation_confidence	final_decision	decision_reason	interpretation_ceiling
1	V69_REUSABLE_CONTROL	0275fbf14e07935b0a45	okeey|qokeey	7	f81v|f82r|f83r	B1|B2|B3|B4	BIOLOGICAL	TEMPERIEREN?	EXPOSED_CREATIVE_WORKING_MNEMONIC	NONE	NONE	ACTION_TEMPER	TEMPLATE_STABLE_NOT_INDEPENDENT	ACTION_TEMPER is repeated in four Biological records, but that template was written using the exposed mnemonic.	NONE_IN_FROZEN_48_ENTRY_INVENTORY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NO_ATTESTATION	EXEMPLAR_VALUE_UNKNOWN	No exact historical codebook entry supplies the proposed category with all mandatory documentary fields.	NO_WORD_LEXEME_SOUND_LANGUAGE_PLAINTEXT_OR_SEMANTIC_IDENTITY_CLAIM
2	V69_REUSABLE_CONTROL	276a7c2d74d1143446f4	choky|oky|qoky	10	f10r|f56r|f81v|f82r|f83r	B1|B2|B3|B4|H1|H5	BIOLOGICAL|HERBAL	ANWENDEN?	EXPOSED_CREATIVE_WORKING_MNEMONIC	NONE	NONE	ACTION_APPLY	TEMPLATE_STABLE_NOT_INDEPENDENT	ACTION_APPLY is repeated in Herbal and Biological records; this is internal consistency of the creative ledger, not documentary attestation.	NONE_IN_FROZEN_48_ENTRY_INVENTORY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NO_ATTESTATION	EXEMPLAR_VALUE_UNKNOWN	No exact historical codebook entry supplies the proposed category with all mandatory documentary fields.	NO_WORD_LEXEME_SOUND_LANGUAGE_PLAINTEXT_OR_SEMANTIC_IDENTITY_CLAIM
3	V69_REUSABLE_CONTROL	2f1c5e56e8f0ff459065	aiin|chaiin|daiin|saiin|taiin	20	f10r|f11r|f55v|f56r|f81v|f82r|f83r	B1|B2|B3|B4|B5|B6|H1|H2|H3|H4|H5	BIOLOGICAL|HERBAL	MASS?	EXPOSED_CREATIVE_WORKING_MNEMONIC	SURFACE_DAIIN_ONLY:VORGABEPARAMETER?	FORMAL_LABEL_NOT_WORD	PARAMETER_ASSIGN	TEMPLATE_STABLE_NOT_INDEPENDENT	PARAMETER_ASSIGN recurs in all eleven prose records; the formal channel may remain a nonword, but MASS is unattested.	NONE_IN_FROZEN_48_ENTRY_INVENTORY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NO_ATTESTATION	EXEMPLAR_VALUE_UNKNOWN	No exact historical codebook entry supplies the proposed category with all mandatory documentary fields.	NO_WORD_LEXEME_SOUND_LANGUAGE_PLAINTEXT_OR_SEMANTIC_IDENTITY_CLAIM
4	V69_REUSABLE_CONTROL	308e8ea2d5d190c498e8	okal|qokal	6	f55v|f81v|f82r|f83r	B1|B2|B3|H4	BIOLOGICAL|HERBAL	[FORMAL:LOKALEN_RELATIONSSLOT_SETZEN]	FORMAL_PROMPT_EXPLICITLY_NOT_WORD	LOKALEN_RELATIONSSLOT_SETZEN	FORMAL_LABEL_NOT_WORD	TARGET_ASSIGN	FORMAL_ONLY_BY_DEFINITION	The retained local relation-slot prompt is explicitly not a word value.	NONE_IN_FROZEN_48_ENTRY_INVENTORY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NO_ATTESTATION	FORMAL_LABEL_NOT_WORD	Formal operation remains usable only as an editorial nonword label.	NO_WORD_LEXEME_SOUND_LANGUAGE_PLAINTEXT_OR_SEMANTIC_IDENTITY_CLAIM
5	V69_REUSABLE_CONTROL	7a4bb8136330ee4e6e56	chor|or|shor|sor	7	f10r|f55v|f83r	B3|B4|H2|H4	BIOLOGICAL|HERBAL	ANSATZ?	EXPOSED_CREATIVE_WORKING_MNEMONIC	NONE	NONE	LINK_ACTIVE	BROAD_TEMPLATE_STABLE_NOT_INDEPENDENT	LINK_ACTIVE spans fresh mixture, salve mixture and generic record-local active item; ANSATZ is therefore broader than a stable object noun.	NONE_IN_FROZEN_48_ENTRY_INVENTORY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NO_ATTESTATION	EXEMPLAR_VALUE_UNKNOWN	No exact historical codebook entry supplies the proposed category with all mandatory documentary fields.	NO_WORD_LEXEME_SOUND_LANGUAGE_PLAINTEXT_OR_SEMANTIC_IDENTITY_CLAIM
6	V69_REUSABLE_CONTROL	7db18b2f0fb7ed0fcfd3	qokedy	8	f81v|f83r	B1|B3|B4	BIOLOGICAL	SPÜLEN?	EXPOSED_CREATIVE_WORKING_MNEMONIC	NONE	NONE	TERMINAL_FLUSH	TEMPLATE_STABLE_NOT_INDEPENDENT	TERMINAL_FLUSH repeats in three Biological records, but the entries were authored under SPUELEN.	NONE_IN_FROZEN_48_ENTRY_INVENTORY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NO_ATTESTATION	EXEMPLAR_VALUE_UNKNOWN	No exact historical codebook entry supplies the proposed category with all mandatory documentary fields.	NO_WORD_LEXEME_SOUND_LANGUAGE_PLAINTEXT_OR_SEMANTIC_IDENTITY_CLAIM
7	V69_REUSABLE_CONTROL	b5df9126607030b95175	cheey|shey	4	f11r|f82r|f83r	B2|B4|H3	BIOLOGICAL|HERBAL	KLAR?	EXPOSED_CREATIVE_WORKING_MNEMONIC	NONE	NONE	STATE_GATE	CONTEXT_DRIFT	One Herbal context says clear condition while Biological contexts collapse to an unspecified local test state.	NONE_IN_FROZEN_48_ENTRY_INVENTORY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NO_ATTESTATION	EXEMPLAR_VALUE_UNKNOWN	No exact historical codebook entry supplies the proposed category with all mandatory documentary fields.	NO_WORD_LEXEME_SOUND_LANGUAGE_PLAINTEXT_OR_SEMANTIC_IDENTITY_CLAIM
8	V69_REUSABLE_CONTROL	b5fcea1eaed06b2f2291	okaiin|qokaiin	9	f55v|f81v|f82r|f83r	B1|B2|B3|H4	BIOLOGICAL|HERBAL	[FORMAL:STANDARDSLOT_SETZEN]	FORMAL_PROMPT_EXPLICITLY_NOT_WORD	STANDARDSLOT_SETZEN	FORMAL_LABEL_NOT_WORD	PARAMETER_ASSIGN	FORMAL_ONLY_BY_DEFINITION	The retained standard-slot prompt is explicitly not a word value.	NONE_IN_FROZEN_48_ENTRY_INVENTORY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NO_ATTESTATION	FORMAL_LABEL_NOT_WORD	Formal operation remains usable only as an editorial nonword label.	NO_WORD_LEXEME_SOUND_LANGUAGE_PLAINTEXT_OR_SEMANTIC_IDENTITY_CLAIM
9	V69_REUSABLE_CONTROL	dcda95c81a5460feb191	cheol|chol|ol|qol|sol|tol	19	f10r|f81v|f83r	B1|B3|B4|B5|B6|H1|H2	BIOLOGICAL|HERBAL	[FORMAL:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN]	FORMAL_PROMPT_EXPLICITLY_NOT_WORD	AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	FORMAL_LABEL_NOT_WORD	LINK_ACTIVE	FORMAL_ONLY_BY_DEFINITION	The retained active-work-state linking prompt is explicitly not a word value.	NONE_IN_FROZEN_48_ENTRY_INVENTORY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NO_ATTESTATION	FORMAL_LABEL_NOT_WORD	Formal operation remains usable only as an editorial nonword label.	NO_WORD_LEXEME_SOUND_LANGUAGE_PLAINTEXT_OR_SEMANTIC_IDENTITY_CLAIM
10	V69_REUSABLE_CONTROL	dd0ecaf5e27d81befffc	al|chal|cheal|dal|sal|tal	10	f56r|f81v|f82r|f83r	B1|B2|B3|B4|B5|H5	BIOLOGICAL|HERBAL	ZIEL?	EXPOSED_CREATIVE_WORKING_MNEMONIC	NONE	NONE	TARGET_ASSIGN	TEMPLATE_STABLE_NOT_INDEPENDENT	TARGET_ASSIGN recurs in Herbal and Biological records, but the template was authored under ZIEL.	NONE_IN_FROZEN_48_ENTRY_INVENTORY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NO_ATTESTATION	EXEMPLAR_VALUE_UNKNOWN	No exact historical codebook entry supplies the proposed category with all mandatory documentary fields.	NO_WORD_LEXEME_SOUND_LANGUAGE_PLAINTEXT_OR_SEMANTIC_IDENTITY_CLAIM
