target_rank	selection_class	joint_tuple_id	surface_examples_display_only	occurrences	pages	decision	minimal_editorial_gloss	exact_source_language_entry	historical_attestation	confidence	decision_reason	licence_ceiling
1	V69_REUSABLE_CONTROL	0275fbf14e07935b0a45	okeey|qokeey	7	f81v|f82r|f83r	EXEMPLAR_VALUE_UNKNOWN	UNKNOWN	NONE	NO_EXACT_PERIOD_CODEBOOK_CATEGORY_PLUS_CONTEXT_MATCH	UNKNOWN	No source-first entry supplies an atomic context-invariant value; former mnemonic is withdrawn.	PERIOD_CATEGORY_GRANULARITY_ONLY__NOT_VOYNICH_IDENTIFICATION_SOUND_LANGUAGE_OR_TRANSLATION
2	V69_REUSABLE_CONTROL	276a7c2d74d1143446f4	choky|oky|qoky	10	f10r|f56r|f81v|f82r|f83r	EXEMPLAR_VALUE_UNKNOWN	UNKNOWN	NONE	NO_EXACT_PERIOD_CODEBOOK_CATEGORY_PLUS_CONTEXT_MATCH	UNKNOWN	No source-first entry supplies an atomic context-invariant value; former mnemonic is withdrawn.	PERIOD_CATEGORY_GRANULARITY_ONLY__NOT_VOYNICH_IDENTIFICATION_SOUND_LANGUAGE_OR_TRANSLATION
3	V69_REUSABLE_CONTROL	2f1c5e56e8f0ff459065	aiin|chaiin|daiin|saiin|taiin	20	f10r|f11r|f55v|f56r|f81v|f82r|f83r	FORMAL_LABEL_NOT_WORD	FORMAL_PARAMETER_CHANNEL__NOT_A_WORD	NONE__NONWORD	NOT_APPLICABLE__STRUCTURAL_EDITORIAL_LABEL	STRUCTURAL_ONLY	Retained solely as a formal prompt; it is barred from the historical word dictionary.	PERIOD_CATEGORY_GRANULARITY_ONLY__NOT_VOYNICH_IDENTIFICATION_SOUND_LANGUAGE_OR_TRANSLATION
4	V69_REUSABLE_CONTROL	308e8ea2d5d190c498e8	okal|qokal	6	f55v|f81v|f82r|f83r	FORMAL_LABEL_NOT_WORD	FORMAL_RELATION_SLOT_CHANNEL__NOT_A_WORD	NONE__NONWORD	NOT_APPLICABLE__STRUCTURAL_EDITORIAL_LABEL	STRUCTURAL_ONLY	Retained solely as a formal prompt; it is barred from the historical word dictionary.	PERIOD_CATEGORY_GRANULARITY_ONLY__NOT_VOYNICH_IDENTIFICATION_SOUND_LANGUAGE_OR_TRANSLATION
5	V69_REUSABLE_CONTROL	7a4bb8136330ee4e6e56	chor|or|shor|sor	7	f10r|f55v|f83r	EXEMPLAR_VALUE_UNKNOWN	UNKNOWN	NONE	NO_EXACT_PERIOD_CODEBOOK_CATEGORY_PLUS_CONTEXT_MATCH	UNKNOWN	No source-first entry supplies an atomic context-invariant value; former mnemonic is withdrawn.	PERIOD_CATEGORY_GRANULARITY_ONLY__NOT_VOYNICH_IDENTIFICATION_SOUND_LANGUAGE_OR_TRANSLATION
6	V69_REUSABLE_CONTROL	7db18b2f0fb7ed0fcfd3	qokedy	8	f81v|f83r	EXEMPLAR_VALUE_UNKNOWN	UNKNOWN	NONE	NO_EXACT_PERIOD_CODEBOOK_CATEGORY_PLUS_CONTEXT_MATCH	UNKNOWN	No source-first entry supplies an atomic context-invariant value; former mnemonic is withdrawn.	PERIOD_CATEGORY_GRANULARITY_ONLY__NOT_VOYNICH_IDENTIFICATION_SOUND_LANGUAGE_OR_TRANSLATION
7	V69_REUSABLE_CONTROL	b5df9126607030b95175	cheey|shey	4	f11r|f82r|f83r	EXEMPLAR_VALUE_UNKNOWN	UNKNOWN	NONE	NO_EXACT_PERIOD_CODEBOOK_CATEGORY_PLUS_CONTEXT_MATCH	UNKNOWN	No source-first entry supplies an atomic context-invariant value; former mnemonic is withdrawn.	PERIOD_CATEGORY_GRANULARITY_ONLY__NOT_VOYNICH_IDENTIFICATION_SOUND_LANGUAGE_OR_TRANSLATION
8	V69_REUSABLE_CONTROL	b5fcea1eaed06b2f2291	okaiin|qokaiin	9	f55v|f81v|f82r|f83r	CODEBOOK_ATTESTED_CATEGORY	PER?__DURCH_ODER_GEMAESS?	per	FLORENCE_FI1_1414::per::Archivio di Stato di Firenze, Chiavi delle cifre II, Pars 3, Nr.1; Lettere della Signoria responsive, filza Nr.1::1414::Aloys Meister 1902, printed pp.49-50; Somogyi 2016 Fi1/table 3	0.44_EXPLORATORY	Seven of nine occurrences open a field; the line-final occurrence is repeated at the next physical line inside one statement. A prepositional/instruction-entry category is coherent but not uniquely selected.	PERIOD_CATEGORY_GRANULARITY_ONLY__NOT_VOYNICH_IDENTIFICATION_SOUND_LANGUAGE_OR_TRANSLATION
9	V69_REUSABLE_CONTROL	dcda95c81a5460feb191	cheol|chol|ol|qol|sol|tol	19	f10r|f81v|f83r	CODEBOOK_ATTESTED_CATEGORY	ET?__UND_ODER_AUCH?	et	FLORENCE_FI1_1414::et::Archivio di Stato di Firenze, Chiavi delle cifre II, Pars 3, Nr.1; Lettere della Signoria responsive, filza Nr.1::1414::Aloys Meister 1902, printed pp.49-50; Somogyi 2016 Fi1/table 3	0.58_EXPLORATORY	19 occurrences are predominantly medial; two A-card-B-card-C chains and field-edge uses admit additive continuation. The simple category beats the former sentence-sized process gloss.	PERIOD_CATEGORY_GRANULARITY_ONLY__NOT_VOYNICH_IDENTIFICATION_SOUND_LANGUAGE_OR_TRANSLATION
10	V69_REUSABLE_CONTROL	dd0ecaf5e27d81befffc	al|chal|cheal|dal|sal|tal	10	f56r|f81v|f82r|f83r	EXEMPLAR_VALUE_UNKNOWN	UNKNOWN	NONE	NO_EXACT_PERIOD_CODEBOOK_CATEGORY_PLUS_CONTEXT_MATCH	UNKNOWN	No source-first entry supplies an atomic context-invariant value; former mnemonic is withdrawn.	PERIOD_CATEGORY_GRANULARITY_ONLY__NOT_VOYNICH_IDENTIFICATION_SOUND_LANGUAGE_OR_TRANSLATION
