target_rank	selection_class	selection_rule	joint_tuple_id	surface_examples_display_only	occurrences	pages	records	fields	herbal_occurrences	biological_occurrences	cross_section_power	terminal_occurrences	terminal_fraction	distinct_surface_renderings	legacy_mnemonic_handle	strict_formal_prompt	atomic_minimal_gloss_tested	exact_source_match_ids	exact_source_entry	exact_source_code	documentary_match_result	occurrence_invariance_result	occurrence_assessment_counts	close_or_placement_confound	whole_card_polyfunctionality_stress	false_friend_audit	portable_dictionary_decision	formal_channel_decision	codebook_attested_category	decision_reason	semantic_ceiling
1	V69_REUSABLE_CONTROL	ALL_14_V69_CONTROL_IDENTITIES	0275fbf14e07935b0a45	okeey|qokeey	7	f81v|f82r|f83r	B1|B2|B3|B4	7	0	7	BIO_ONLY	0	0.000000	2	TEMPERIEREN?	NONE	TEMPER_OR_ADJUST_CONDITION?	NONE	NONE	NONE	NO_EXACT_SOURCE_CATEGORY_MATCH	NOT_TESTABLE_CROSS_SECTION__BIO_ONLY	BIO_ONLY_LEGACY_EXPANSION_CONSISTENT_BUT_CIRCULAR:7	BIO_REGISTER_AND_ASSUMED_HEAT_STATION	BROAD_CONDITION_ADJUSTMENT_IS_NOT_DISTINGUISHED_FROM_HEATING	No heat/temperature/condition-adjustment entry occurs in the frozen source inventory.	EXEMPLAR_VALUE_UNKNOWN	NONE	NO	No frozen 1379 nomenclator entry matches the proposed minimal category; occurrence regularity alone cannot satisfy documentary attestation.	NO_WORD_STEM_SOUND_LANGUAGE_PAGE_HOST_OR_DECIPHERMENT
2	V69_REUSABLE_CONTROL	ALL_14_V69_CONTROL_IDENTITIES	276a7c2d74d1143446f4	choky|oky|qoky	10	f10r|f56r|f81v|f82r|f83r	B1|B2|B3|B4|H1|H5	10	3	7	BOTH	0	0.000000	3	ANWENDEN?	NONE	APPLY_OR_USE?	NONE	NONE	NONE	NO_EXACT_SOURCE_CATEGORY_MATCH	APPARENT_CROSS_HERBAL_BIO_CONSISTENCY__LEGACY_EXPANSIONS_ARE_CIRCULAR	LEGACY_EXPANSION_CONSISTENT_BUT_CIRCULAR:10	TARGET_ADJACENCY_AND_BROAD_ACTION_DEFAULT	INTERNAL_USE_TOPICAL_USE_REPEAT_AND_STATION_USE_COLLAPSED_BY_BROAD_HANDLE	No facere/uti/applicare or comparable operation entry occurs in the frozen source inventory.	EXEMPLAR_VALUE_UNKNOWN	NONE	NO	No frozen 1379 nomenclator entry matches the proposed minimal category; occurrence regularity alone cannot satisfy documentary attestation.	NO_WORD_STEM_SOUND_LANGUAGE_PAGE_HOST_OR_DECIPHERMENT
3	V69_REUSABLE_CONTROL	ALL_14_V69_CONTROL_IDENTITIES	2f1c5e56e8f0ff459065	aiin|chaiin|daiin|saiin|taiin	20	f10r|f11r|f55v|f56r|f81v|f82r|f83r	B1|B2|B3|B4|B5|B6|H1|H2|H3|H4|H5	19	9	11	BOTH	0	0.000000	5	MASS?	SURFACE_DAIIN_ONLY:VORGABEPARAMETER?	QUANTITY_OR_PARAMETER?	NONE	NONE	NONE	NO_EXACT_SOURCE_CATEGORY_MATCH	APPARENT_CROSS_HERBAL_BIO_CONSISTENCY__LEGACY_EXPANSIONS_ARE_CIRCULAR	LEGACY_EXPANSION_CONSISTENT_BUT_CIRCULAR:20	PARAMETER_PLACEMENT_PLUS_SURFACE_DAIIN_FORMAL_SUBSET	ONE_EXACT_CARD_HAS_MNEMONIC_AND_SURFACE_SPECIFIC_FORMAL_CHANNEL	SRC037 uses numeric code 10 for the place Mediolanum; a numeric code is not an entry meaning quantity. No quantitas/mensura entry occurs in the frozen inventory.	EXEMPLAR_VALUE_UNKNOWN	FORMAL_LABEL_NOT_WORD	NO	No frozen 1379 nomenclator entry matches the proposed minimal category; occurrence regularity alone cannot satisfy documentary attestation.	NO_WORD_STEM_SOUND_LANGUAGE_PAGE_HOST_OR_DECIPHERMENT
4	V69_REUSABLE_CONTROL	ALL_14_V69_CONTROL_IDENTITIES	308e8ea2d5d190c498e8	okal|qokal	6	f55v|f81v|f82r|f83r	B1|B2|B3|H4	6	1	5	BOTH	0	0.000000	2	UNKNOWN	LOKALEN_RELATIONSSLOT_SETZEN	NONE__FORMAL_OPERATION	NONE	NONE	NONE	NO_EXACT_SOURCE_CATEGORY_MATCH	FORMAL_CHANNEL_REPEATS_CROSS_SECTION__NO_WORD_TEST	FORMAL_REPETITION_ONLY__NOT_A_WORD_TEST:6	TARGET_PLACEMENT_AND_RELATION_CONTEXT	FORMAL_PROMPT_ONLY	Place/person nomenclator entries are stored values, not evidence for an abstract relation-slot operation.	FORMAL_LABEL_NOT_WORD	FORMAL_LABEL_NOT_WORD	NO	No frozen 1379 nomenclator entry matches the proposed minimal category; occurrence regularity alone cannot satisfy documentary attestation.	NO_WORD_STEM_SOUND_LANGUAGE_PAGE_HOST_OR_DECIPHERMENT
5	V69_REUSABLE_CONTROL	ALL_14_V69_CONTROL_IDENTITIES	7a4bb8136330ee4e6e56	chor|or|shor|sor	7	f10r|f55v|f83r	B3|B4|H2|H4	6	5	2	BOTH	0	0.000000	4	ANSATZ?	NONE	CURRENT_WORKING_ITEM?	NONE	NONE	NONE	NO_EXACT_SOURCE_CATEGORY_MATCH	PARTIAL_CROSS_HERBAL_BIO__OPEN_SET_REPEAT_AND_CONTINUATION_NOT_ATOMICALLY_SEPARATED	LEGACY_EXPANSION_CONSISTENT_BUT_CIRCULAR:7	ACTIVE_REGISTER_PLACEMENT	OPEN_NEW_ITEM_REPEAT_ITEM_AND_CONTINUE_ITEM_COLLAPSED	No preparation/stock/current-item entry occurs in the frozen source inventory.	EXEMPLAR_VALUE_UNKNOWN	NONE	NO	No frozen 1379 nomenclator entry matches the proposed minimal category; occurrence regularity alone cannot satisfy documentary attestation.	NO_WORD_STEM_SOUND_LANGUAGE_PAGE_HOST_OR_DECIPHERMENT
6	V69_REUSABLE_CONTROL	ALL_14_V69_CONTROL_IDENTITIES	7db18b2f0fb7ed0fcfd3	qokedy	8	f81v|f83r	B1|B3|B4	8	0	8	BIO_ONLY	8	1.000000	1	SPÜLEN?	NONE	FLUSH_OR_WASH?	NONE	NONE	NONE	NO_EXACT_SOURCE_CATEGORY_MATCH	NOT_TESTABLE_CROSS_SECTION__BIO_ONLY_AND_8_OF_8_TERMINAL	TERMINAL_CLOSE_CONFOUND__ACTION_NOT_IDENTIFIED:8	PERFECT_TERMINAL_CLOSE_CONFOUND	ACTION_CANNOT_BE_SEPARATED_FROM_GENERIC_TERMINAL_OPERATION	No lavare/flush/wash entry occurs in the frozen source inventory.	EXEMPLAR_VALUE_UNKNOWN	NONE	NO	No frozen 1379 nomenclator entry matches the proposed minimal category; occurrence regularity alone cannot satisfy documentary attestation.	NO_WORD_STEM_SOUND_LANGUAGE_PAGE_HOST_OR_DECIPHERMENT
7	V69_REUSABLE_CONTROL	ALL_14_V69_CONTROL_IDENTITIES	b5df9126607030b95175	cheey|shey	4	f11r|f82r|f83r	B2|B4|H3	4	1	3	BOTH	0	0.000000	2	KLAR?	NONE	CLEAR_OR_ENDPOINT_STATE?	NONE	NONE	NONE	NO_EXACT_SOURCE_CATEGORY_MATCH	FAIL_NARROW_INVARIANCE__H3_CLEAR_FILTRATE_VS_BIO_GENERIC_TEST_STATE	BIO_GENERIC_TEST_STATE__STRAINS_CLEAR_GLOSS:3|LEGACY_CLEAR_CONTEXT:1	PRE_TERMINAL_STATE_CHECK_AND_FILTER_CONTEXT	SPECIFIC_CLARITY_AND_GENERIC_READINESS_COLLAPSED	No clarus/clear/endpoint entry occurs in the frozen source inventory.	EXEMPLAR_VALUE_UNKNOWN	NONE	NO	No frozen 1379 nomenclator entry matches the proposed minimal category; occurrence regularity alone cannot satisfy documentary attestation.	NO_WORD_STEM_SOUND_LANGUAGE_PAGE_HOST_OR_DECIPHERMENT
8	V69_REUSABLE_CONTROL	ALL_14_V69_CONTROL_IDENTITIES	b5fcea1eaed06b2f2291	okaiin|qokaiin	9	f55v|f81v|f82r|f83r	B1|B2|B3|H4	9	1	8	BOTH	0	0.000000	2	UNKNOWN	STANDARDSLOT_SETZEN	NONE__FORMAL_OPERATION	NONE	NONE	NONE	NO_EXACT_SOURCE_CATEGORY_MATCH	FORMAL_CHANNEL_REPEATS_CROSS_SECTION__NO_WORD_TEST	FORMAL_REPETITION_ONLY__NOT_A_WORD_TEST:9	PARAMETER_PLACEMENT_AND_ACTIVE_ITEM_CONTEXT	FORMAL_PROMPT_ONLY	A diplomatic nomenclator entry cannot attest an editorial slot-setting label without an exact matching entry; none exists.	FORMAL_LABEL_NOT_WORD	FORMAL_LABEL_NOT_WORD	NO	No frozen 1379 nomenclator entry matches the proposed minimal category; occurrence regularity alone cannot satisfy documentary attestation.	NO_WORD_STEM_SOUND_LANGUAGE_PAGE_HOST_OR_DECIPHERMENT
9	V69_REUSABLE_CONTROL	ALL_14_V69_CONTROL_IDENTITIES	dcda95c81a5460feb191	cheol|chol|ol|qol|sol|tol	19	f10r|f81v|f83r	B1|B3|B4|B5|B6|H1|H2	16	3	16	BOTH	0	0.000000	6	UNKNOWN	AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	NONE__FORMAL_OPERATION	NONE	NONE	NONE	NO_EXACT_SOURCE_CATEGORY_MATCH	FORMAL_CHANNEL_REPEATS_CROSS_SECTION__NO_WORD_TEST	FORMAL_REPETITION_ONLY__NOT_A_WORD_TEST:19	HIGH_FREQUENCY_ACTIVE_PREVIOUS_REGISTER_CONTEXT	FORMAL_PROMPT_ONLY	No link/current-state operation entry occurs in the frozen source inventory.	FORMAL_LABEL_NOT_WORD	FORMAL_LABEL_NOT_WORD	NO	No frozen 1379 nomenclator entry matches the proposed minimal category; occurrence regularity alone cannot satisfy documentary attestation.	NO_WORD_STEM_SOUND_LANGUAGE_PAGE_HOST_OR_DECIPHERMENT
10	V69_REUSABLE_CONTROL	ALL_14_V69_CONTROL_IDENTITIES	dd0ecaf5e27d81befffc	al|chal|cheal|dal|sal|tal	10	f56r|f81v|f82r|f83r	B1|B2|B3|B4|B5|H5	10	1	9	BOTH	0	0.000000	6	ZIEL?	NONE	TARGET_OR_DESTINATION?	NONE	NONE	NONE	NO_EXACT_SOURCE_CATEGORY_MATCH	APPARENT_CROSS_HERBAL_BIO_CONSISTENCY__TARGETS_WERE_SUPPLIED_BY_LEGACY_REGISTER_MODEL	LEGACY_EXPANSION_CONSISTENT_BUT_CIRCULAR:10	RELATION_SLOT_AND_LOCAL_PLACEMENT_SHORTCUT	BODY_SITE_STATION_AND_ABSTRACT_TARGET_COLLAPSED	Place entries SRC021/SRC022/SRC036/SRC037 name external places; they do not attest an abstract destination-slot word.	EXEMPLAR_VALUE_UNKNOWN	NONE	NO	No frozen 1379 nomenclator entry matches the proposed minimal category; occurrence regularity alone cannot satisfy documentary attestation.	NO_WORD_STEM_SOUND_LANGUAGE_PAGE_HOST_OR_DECIPHERMENT
