target_rank	selection_class	joint_tuple_id	surface_examples	occurrences	pages	selection_rule
1	V69_REUSABLE_CONTROL	0275fbf14e07935b0a45	okeey|qokeey	7	f81v|f82r|f83r	ALL_14_V69_CONTROL_IDENTITIES
2	V69_REUSABLE_CONTROL	276a7c2d74d1143446f4	choky|oky|qoky	10	f10r|f56r|f81v|f82r|f83r	ALL_14_V69_CONTROL_IDENTITIES
3	V69_REUSABLE_CONTROL	2f1c5e56e8f0ff459065	aiin|chaiin|daiin|saiin|taiin	20	f10r|f11r|f55v|f56r|f81v|f82r|f83r	ALL_14_V69_CONTROL_IDENTITIES
4	V69_REUSABLE_CONTROL	308e8ea2d5d190c498e8	okal|qokal	6	f55v|f81v|f82r|f83r	ALL_14_V69_CONTROL_IDENTITIES
5	V69_REUSABLE_CONTROL	7a4bb8136330ee4e6e56	chor|or|shor|sor	7	f10r|f55v|f83r	ALL_14_V69_CONTROL_IDENTITIES
6	V69_REUSABLE_CONTROL	7db18b2f0fb7ed0fcfd3	qokedy	8	f81v|f83r	ALL_14_V69_CONTROL_IDENTITIES
7	V69_REUSABLE_CONTROL	b5df9126607030b95175	cheey|shey	4	f11r|f82r|f83r	ALL_14_V69_CONTROL_IDENTITIES
8	V69_REUSABLE_CONTROL	b5fcea1eaed06b2f2291	okaiin|qokaiin	9	f55v|f81v|f82r|f83r	ALL_14_V69_CONTROL_IDENTITIES
9	V69_REUSABLE_CONTROL	dcda95c81a5460feb191	cheol|chol|ol|qol|sol|tol	19	f10r|f81v|f83r	ALL_14_V69_CONTROL_IDENTITIES
10	V69_REUSABLE_CONTROL	dd0ecaf5e27d81befffc	al|chal|cheal|dal|sal|tal	10	f56r|f81v|f82r|f83r	ALL_14_V69_CONTROL_IDENTITIES
11	V69_REUSABLE_CONTROL	de7321bface5628e35d6	lchedy	8	f82r|f83r	ALL_14_V69_CONTROL_IDENTITIES
12	V69_REUSABLE_CONTROL	dec401773c1f0347793d	cholor|olor	2	f10r|f81v	ALL_14_V69_CONTROL_IDENTITIES
13	V69_REUSABLE_CONTROL	e0b630cb1b5df5e7105b	checthy|cthy|shcthy	7	f10r|f11r|f83r	ALL_14_V69_CONTROL_IDENTITIES
14	V69_REUSABLE_CONTROL	faf321940aed922846a9	otchey	2	f56r|f83r	ALL_14_V69_CONTROL_IDENTITIES
15	TOP10_RECURRENT_NONCONTROL	b921a237be883a820352	chey|chy|dy|shy|sy|y	18	f10r|f11r|f55v|f81v|f82r|f83r	DESC_OCCURRENCES_THEN_ASC_ID
16	TOP10_RECURRENT_NONCONTROL	bc4f1f5c006c74a4d26d	cheedy|shedy|tedy	12	f81v|f82r|f83r	DESC_OCCURRENCES_THEN_ASC_ID
17	TOP10_RECURRENT_NONCONTROL	6f7ff8287eddf4da9fdb	chdy|chedy	11	f55v|f81v|f83r	DESC_OCCURRENCES_THEN_ASC_ID
18	TOP10_RECURRENT_NONCONTROL	7d25241b0e56c836372a	qokeedy	10	f82r|f83r	DESC_OCCURRENCES_THEN_ASC_ID
19	TOP10_RECURRENT_NONCONTROL	1645e612504fcef59ced	okain|qokain	7	f81v|f82r|f83r	DESC_OCCURRENCES_THEN_ASC_ID
20	TOP10_RECURRENT_NONCONTROL	4d4559019a961b834aa1	char|dar|sar	5	f10r|f81v|f82r|f83r	DESC_OCCURRENCES_THEN_ASC_ID
21	TOP10_RECURRENT_NONCONTROL	259b2b3b0bf859882e2c	dchedy|schedy|tchedy	4	f81v|f82r|f83r	DESC_OCCURRENCES_THEN_ASC_ID
22	TOP10_RECURRENT_NONCONTROL	2cc054357a929df85f64	cho|sho	4	f56r	DESC_OCCURRENCES_THEN_ASC_ID
23	TOP10_RECURRENT_NONCONTROL	2cc8bb3c2af19607888f	chckhy|shckhy	4	f81v|f82r	DESC_OCCURRENCES_THEN_ASC_ID
24	TOP10_RECURRENT_NONCONTROL	28ffbc88b97772a75f1e	olchedy|qolchedy	3	f81v|f82r|f83r	DESC_OCCURRENCES_THEN_ASC_ID
