event_serial	page	locus	record_unit_id	field_id	statement_id	event_index_in_record	joint_tuple_id	surface_display_only	position_in_field	field_length	complete_field_surface_display_only	terminal_status	v77_r4_decision	v77_r4_gloss	occurrence_reading	semantic_ceiling
3	f10r	f10r.2	H1	F001	H1-S001	3	4d4559019a961b834aa1	char	3	10	dchey cthoor char chty os chair otytchol oky daiin etyd	NONCLOSE	EXEMPLAR_VALUE_UNKNOWN	UNKNOWN	[EXEMPLAR_VALUE_UNKNOWN]	CREATIVE_TEN_PAGE_DEFAULT_ONLY__NOT_TRANSLATION
8	f10r	f10r.2	H1	F001	H1-S001	8	276a7c2d74d1143446f4	oky	8	10	dchey cthoor char chty os chair otytchol oky daiin etyd	NONCLOSE	EXEMPLAR_VALUE_UNKNOWN	UNKNOWN	[EXEMPLAR_VALUE_UNKNOWN]	CREATIVE_TEN_PAGE_DEFAULT_ONLY__NOT_TRANSLATION
9	f10r	f10r.2	H1	F001	H1-S001	9	2f1c5e56e8f0ff459065	daiin	9	10	dchey cthoor char chty os chair otytchol oky daiin etyd	NONCLOSE	FORMAL_LABEL_NOT_WORD	FORMAL_PARAMETER_CHANNEL__NOT_A_WORD	[FORMAL_LABEL_NOT_WORD]	CREATIVE_TEN_PAGE_DEFAULT_ONLY__NOT_TRANSLATION
13	f10r	f10r.5	H1	F002	H1-S002	13	dcda95c81a5460feb191	chol	3	4	qokchy qotchol chol cthy	NONCLOSE	CODEBOOK_ATTESTED_CATEGORY	ET?__UND_ODER_AUCH?	[ET?__UND_ODER_AUCH?]	CREATIVE_TEN_PAGE_DEFAULT_ONLY__NOT_TRANSLATION
14	f10r	f10r.5	H1	F002	H1-S002	14	e0b630cb1b5df5e7105b	cthy	4	4	qokchy qotchol chol cthy	NONCLOSE	EXEMPLAR_VALUE_UNKNOWN	UNKNOWN	[EXEMPLAR_VALUE_UNKNOWN]	CREATIVE_TEN_PAGE_DEFAULT_ONLY__NOT_TRANSLATION
16	f10r	f10r.6	H2	F003	H2-S001	2	e0b630cb1b5df5e7105b	cthy	2	9	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	NONCLOSE	EXEMPLAR_VALUE_UNKNOWN	UNKNOWN	[EXEMPLAR_VALUE_UNKNOWN]	CREATIVE_TEN_PAGE_DEFAULT_ONLY__NOT_TRANSLATION
17	f10r	f10r.6	H2	F003	H2-S001	3	7a4bb8136330ee4e6e56	chor	3	9	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	NONCLOSE	EXEMPLAR_VALUE_UNKNOWN	UNKNOWN	[EXEMPLAR_VALUE_UNKNOWN]	CREATIVE_TEN_PAGE_DEFAULT_ONLY__NOT_TRANSLATION
20	f10r	f10r.6	H2	F003	H2-S001	6	b921a237be883a820352	dy	6	9	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	NONCLOSE	EXEMPLAR_VALUE_UNKNOWN	UNKNOWN	[EXEMPLAR_VALUE_UNKNOWN]	CREATIVE_TEN_PAGE_DEFAULT_ONLY__NOT_TRANSLATION
21	f10r	f10r.6	H2	F003	H2-S001	7	b921a237be883a820352	chy	7	9	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	NONCLOSE	EXEMPLAR_VALUE_UNKNOWN	UNKNOWN	[EXEMPLAR_VALUE_UNKNOWN]	CREATIVE_TEN_PAGE_DEFAULT_ONLY__NOT_TRANSLATION
22	f10r	f10r.6	H2	F003	H2-S001	8	2f1c5e56e8f0ff459065	taiin	8	9	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	NONCLOSE	FORMAL_LABEL_NOT_WORD	FORMAL_PARAMETER_CHANNEL__NOT_A_WORD	[FORMAL_LABEL_NOT_WORD]	CREATIVE_TEN_PAGE_DEFAULT_ONLY__NOT_TRANSLATION
