source_group_id	edition	page	locus	kind	block	source_group_index	ivtff_group_raw	left_separator	right_separator	model	reading	role
ZL3b|f77r.1|G001	ZL3b	f77r	f77r.1	L	f77r.1:LABEL	1	darchdar	LINE_START	LINE_END	M	⟦darchdar⟧	UNREAD
ZL3b|f77r.2|G001	ZL3b	f77r	f77r.2	L	f77r.2:LABEL	1	olkchs	LINE_START	LINE_END	M	⟦olkchs⟧	UNREAD
ZL3b|f77r.3|G001	ZL3b	f77r	f77r.3	L	f77r.3:LABEL	1	otedy	LINE_START	LINE_END	M	Mündung?	PLACE
ZL3b|f77r.4|G001	ZL3b	f77r	f77r.4	L	f77r.4:LABEL	1	otork	LINE_START	LINE_END	M	⟦otork⟧	UNREAD
ZL3b|f77r.5|G001	ZL3b	f77r	f77r.5	L	f77r.5:LABEL	1	otol	LINE_START	LINE_END	M	⟦otol⟧	UNREAD
ZL3b|f77r.6|G001	ZL3b	f77r	f77r.6	L	f77r.6:LABEL	1	dchdy	LINE_START	LINE_END	M	⟦dchdy⟧	UNREAD
ZL3b|f77r.7|G001	ZL3b	f77r	f77r.7	L	f77r.7:LABEL	1	soral	LINE_START	LINE_END	M	⟦soral⟧	UNREAD
ZL3b|f77r.8|G001	ZL3b	f77r	f77r.8	L	f77r.8:LABEL	1	dotedy	LINE_START	LINE_END	M	⟦dotedy⟧	UNREAD
ZL3b|f77r.9|G001	ZL3b	f77r	f77r.9	P	f77r:P1	1	poldarais	LINE_START	UNCERTAIN_SMALL_SPACE	M	⟦poldarais⟧	UNREAD
ZL3b|f77r.9|G002	ZL3b	f77r	f77r.9	P	f77r:P1	2	ol	UNCERTAIN_SMALL_SPACE	DEFINITE_SPACE	M	⟦ol⟧	UNREAD
ZL3b|f77r.9|G003	ZL3b	f77r	f77r.9	P	f77r:P1	3	qokol	DEFINITE_SPACE	DEFINITE_SPACE	M	⟦qokol⟧	UNREAD
ZL3b|f77r.9|G004	ZL3b	f77r	f77r.9	P	f77r:P1	4	chey	DEFINITE_SPACE	DEFINITE_SPACE	M	⟦chey⟧	UNREAD
ZL3b|f77r.9|G005	ZL3b	f77r	f77r.9	P	f77r:P1	5	qopchedy	DEFINITE_SPACE	DEFINITE_SPACE	M	⟦qopchedy⟧	UNREAD
ZL3b|f77r.9|G006	ZL3b	f77r	f77r.9	P	f77r:P1	6	qopchedy	DEFINITE_SPACE	DEFINITE_SPACE	M	⟦qopchedy⟧	UNREAD
ZL3b|f77r.9|G007	ZL3b	f77r	f77r.9	P	f77r:P1	7	dylches	DEFINITE_SPACE	DEFINITE_SPACE	M	⟦dylches⟧	UNREAD
ZL3b|f77r.9|G008	ZL3b	f77r	f77r.9	P	f77r:P1	8	olkedy	DEFINITE_SPACE	DEFINITE_SPACE	M	⟦olkedy⟧	UNREAD
ZL3b|f77r.9|G009	ZL3b	f77r	f77r.9	P	f77r:P1	9	loly	DEFINITE_SPACE	LINE_END	M	⟦loly⟧	UNREAD
ZL3b|f77r.10|G001	ZL3b	f77r	f77r.10	P	f77r:P1	1	tolchd	LINE_START	UNCERTAIN_SMALL_SPACE	M	⟦tolchd⟧	UNREAD
ZL3b|f77r.10|G002	ZL3b	f77r	f77r.10	P	f77r:P1	2	ar	UNCERTAIN_SMALL_SPACE	DEFINITE_SPACE	M	⟦ar⟧	UNREAD
ZL3b|f77r.10|G003	ZL3b	f77r	f77r.10	P	f77r:P1	3	shey	DEFINITE_SPACE	DEFINITE_SPACE	M	⟦shey⟧	UNREAD
ZL3b|f77r.10|G004	ZL3b	f77r	f77r.10	P	f77r:P1	4	qotaiin	DEFINITE_SPACE	DEFINITE_SPACE	M	⟦qotaiin⟧	UNREAD
ZL3b|f77r.10|G005	ZL3b	f77r	f77r.10	P	f77r:P1	5	qotedy	DEFINITE_SPACE	DEFINITE_SPACE	M	aus der Mündung?	SOURCE
ZL3b|f77r.10|G006	ZL3b	f77r	f77r.10	P	f77r:P1	6	qokol	DEFINITE_SPACE	DEFINITE_SPACE	M	⟦qokol⟧	UNREAD
ZL3b|f77r.10|G007	ZL3b	f77r	f77r.10	P	f77r:P1	7	chdy	DEFINITE_SPACE	DEFINITE_SPACE	M	⟦chdy⟧	UNREAD
ZL3b|f77r.10|G008	ZL3b	f77r	f77r.10	P	f77r:P1	8	qokain	DEFINITE_SPACE	DEFINITE_SPACE	M	ist?	COPULA
ZL3b|f77r.10|G009	ZL3b	f77r	f77r.10	P	f77r:P1	9	chetey	DEFINITE_SPACE	DEFINITE_SPACE	M	⟦chetey⟧	UNREAD
ZL3b|f77r.10|G010	ZL3b	f77r	f77r.10	P	f77r:P1	10	sal	DEFINITE_SPACE	LINE_END	M	⟦sal⟧	UNREAD
ZL3b|f77r.11|G001	ZL3b	f77r	f77r.11	P	f77r:P1	1	qoteedy	LINE_START	DEFINITE_SPACE	M	warm?	QUALITY
ZL3b|f77r.11|G002	ZL3b	f77r	f77r.11	P	f77r:P1	2	qokaiin	DEFINITE_SPACE	DEFINITE_SPACE	M	aus dem Rohr?	SOURCE
