model	edition	first_id	second_id	role	run_id	interpretation
M	ZL3b	ZL3b|f77r.19|G004	ZL3b|f77r.19|G005	FLOW	ZL3b|f77r.19|G004	two written positions; construction and event identity unresolved
M	ZL3b	ZL3b|f77r.29|G003	ZL3b|f77r.29|G004	FLOW	ZL3b|f77r.29|G003	two written positions; construction and event identity unresolved
M	ZL3b	ZL3b|f77r.42|G003	ZL3b|f77r.42|G004	FLOW	ZL3b|f77r.42|G001	two written positions; construction and event identity unresolved
M	IT2a	IT2a|f77r.19|G004	IT2a|f77r.19|G005	FLOW	IT2a|f77r.19|G004	two written positions; construction and event identity unresolved
M	IT2a	IT2a|f77r.29|G003	IT2a|f77r.29|G004	FLOW	IT2a|f77r.29|G003	two written positions; construction and event identity unresolved
M	IT2a	IT2a|f77r.42|G003	IT2a|f77r.42|G004	FLOW	IT2a|f77r.42|G001	two written positions; construction and event identity unresolved
M	RF1b	RF1b|f77r.19|G004	RF1b|f77r.19|G005	FLOW	RF1b|f77r.19|G004	two written positions; construction and event identity unresolved
M	RF1b	RF1b|f77r.29|G003	RF1b|f77r.29|G004	FLOW	RF1b|f77r.29|G003	two written positions; construction and event identity unresolved
M	RF1b	RF1b|f77r.42|G003	RF1b|f77r.42|G004	FLOW	RF1b|f77r.42|G003	two written positions; construction and event identity unresolved
V	ZL3b	ZL3b|f77r.19|G004	ZL3b|f77r.19|G005	CONTINUATION	ZL3b|f77r.19|G004	two written positions; construction and event identity unresolved
V	ZL3b	ZL3b|f77r.29|G003	ZL3b|f77r.29|G004	CONTINUATION	ZL3b|f77r.29|G003	two written positions; construction and event identity unresolved
V	ZL3b	ZL3b|f77r.42|G003	ZL3b|f77r.42|G004	CONTINUATION	ZL3b|f77r.42|G001	two written positions; construction and event identity unresolved
V	IT2a	IT2a|f77r.19|G004	IT2a|f77r.19|G005	CONTINUATION	IT2a|f77r.19|G004	two written positions; construction and event identity unresolved
V	IT2a	IT2a|f77r.29|G003	IT2a|f77r.29|G004	CONTINUATION	IT2a|f77r.29|G003	two written positions; construction and event identity unresolved
V	IT2a	IT2a|f77r.42|G003	IT2a|f77r.42|G004	CONTINUATION	IT2a|f77r.42|G001	two written positions; construction and event identity unresolved
V	RF1b	RF1b|f77r.19|G004	RF1b|f77r.19|G005	CONTINUATION	RF1b|f77r.19|G004	two written positions; construction and event identity unresolved
V	RF1b	RF1b|f77r.29|G003	RF1b|f77r.29|G004	CONTINUATION	RF1b|f77r.29|G003	two written positions; construction and event identity unresolved
V	RF1b	RF1b|f77r.42|G003	RF1b|f77r.42|G004	CONTINUATION	RF1b|f77r.42|G003	two written positions; construction and event identity unresolved
