model	edition	source_group_id	locus	group_index	raw	role	run_id	head_id	head_raw	status	head_cross_line	meaning_confirmed
M	ZL3b	ZL3b|f77r.11|G007	f77r.11	7	qokeedy	FLOW	ZL3b|f77r.11|G007			UNRESOLVED_IN_KNOWN_RUN	False	False
M	ZL3b	ZL3b|f77r.13|G001	f77r.13	1	qokeedy	FLOW	ZL3b|f77r.13|G001			UNRESOLVED_IN_KNOWN_RUN	False	False
M	ZL3b	ZL3b|f77r.14|G007	f77r.14	7	qokeedy	FLOW	ZL3b|f77r.14|G004	ZL3b|f77r.14|G006	shedy	HYPOTHETICAL_HEAD_BOUND	False	False
M	ZL3b	ZL3b|f77r.15|G001	f77r.15	1	qokeedy	FLOW	ZL3b|f77r.14|G004	ZL3b|f77r.14|G006	shedy	HYPOTHETICAL_HEAD_BOUND	True	False
M	ZL3b	ZL3b|f77r.16|G007	f77r.16	7	qokeedy	FLOW	ZL3b|f77r.16|G007			UNRESOLVED_IN_KNOWN_RUN	False	False
M	ZL3b	ZL3b|f77r.17|G008	f77r.17	8	qokeedy	FLOW	ZL3b|f77r.17|G008			UNRESOLVED_IN_KNOWN_RUN	False	False
M	ZL3b	ZL3b|f77r.19|G001	f77r.19	1	qokeedy	FLOW	ZL3b|f77r.19|G001			UNRESOLVED_IN_KNOWN_RUN	False	False
M	ZL3b	ZL3b|f77r.19|G004	f77r.19	4	qokeedy	FLOW	ZL3b|f77r.19|G004			UNRESOLVED_IN_KNOWN_RUN	False	False
M	ZL3b	ZL3b|f77r.19|G005	f77r.19	5	qokeedy	FLOW	ZL3b|f77r.19|G004			UNRESOLVED_IN_KNOWN_RUN	False	False
M	ZL3b	ZL3b|f77r.20|G003	f77r.20	3	qokeedy	FLOW	ZL3b|f77r.20|G003			UNRESOLVED_IN_KNOWN_RUN	False	False
M	ZL3b	ZL3b|f77r.21|G003	f77r.21	3	qokeedy	FLOW	ZL3b|f77r.21|G002	ZL3b|f77r.21|G002	shedy	HYPOTHETICAL_HEAD_BOUND	False	False
