model	edition	block	run_id	source_ids	raw	boundary_meaning
M	ZL3b	f77r:P1	ZL3b|f77r.10|G005	"[""ZL3b|f77r.10|G005""]"	qotedy	lexical-censoring, not sentence boundary
M	ZL3b	f77r:P1	ZL3b|f77r.10|G008	"[""ZL3b|f77r.10|G008""]"	qokain	lexical-censoring, not sentence boundary
M	ZL3b	f77r:P1	ZL3b|f77r.11|G001	"[""ZL3b|f77r.11|G001"", ""ZL3b|f77r.11|G002"", ""ZL3b|f77r.11|G003""]"	qoteedy qokaiin shedy	lexical-censoring, not sentence boundary
M	ZL3b	f77r:P1	ZL3b|f77r.11|G005	"[""ZL3b|f77r.11|G005""]"	shedy	lexical-censoring, not sentence boundary
M	ZL3b	f77r:P1	ZL3b|f77r.11|G007	"[""ZL3b|f77r.11|G007""]"	qokeedy	lexical-censoring, not sentence boundary
M	ZL3b	f77r:P1	ZL3b|f77r.12|G002	"[""ZL3b|f77r.12|G002""]"	qoteedy	lexical-censoring, not sentence boundary
M	ZL3b	f77r:P1	ZL3b|f77r.13|G001	"[""ZL3b|f77r.13|G001""]"	qokeedy	lexical-censoring, not sentence boundary
M	ZL3b	f77r:P1	ZL3b|f77r.14|G004	"[""ZL3b|f77r.14|G004"", ""ZL3b|f77r.14|G005"", ""ZL3b|f77r.14|G006"", ""ZL3b|f77r.14|G007"", ""ZL3b|f77r.14|G008"", ""ZL3b|f77r.15|G001"", ""ZL3b|f77r.15|G002""]"	qoteedy qokaiin shedy qokeedy qotedy qokeedy shedy	lexical-censoring, not sentence boundary
M	ZL3b	f77r:P1	ZL3b|f77r.15|G004	"[""ZL3b|f77r.15|G004"", ""ZL3b|f77r.15|G005""]"	shedy qokaiin	lexical-censoring, not sentence boundary
M	ZL3b	f77r:P1	ZL3b|f77r.16|G004	"[""ZL3b|f77r.16|G004"", ""ZL3b|f77r.16|G005""]"	qokaiin shedy	lexical-censoring, not sentence boundary
M	ZL3b	f77r:P1	ZL3b|f77r.16|G007	"[""ZL3b|f77r.16|G007""]"	qokeedy	lexical-censoring, not sentence boundary
M	ZL3b	f77r:P1	ZL3b|f77r.17|G001	"[""ZL3b|f77r.17|G001"", ""ZL3b|f77r.17|G002""]"	qoteedy qoteedy	lexical-censoring, not sentence boundary
M	ZL3b	f77r:P1	ZL3b|f77r.17|G008	"[""ZL3b|f77r.17|G008""]"	qokeedy	lexical-censoring, not sentence boundary
M	ZL3b	f77r:P1	ZL3b|f77r.19|G001	"[""ZL3b|f77r.19|G001""]"	qokeedy	lexical-censoring, not sentence boundary
M	ZL3b	f77r:P1	ZL3b|f77r.19|G004	"[""ZL3b|f77r.19|G004"", ""ZL3b|f77r.19|G005""]"	qokeedy qokeedy	lexical-censoring, not sentence boundary
M	ZL3b	f77r:P1	ZL3b|f77r.20|G003	"[""ZL3b|f77r.20|G003""]"	qokeedy	lexical-censoring, not sentence boundary
M	ZL3b	f77r:P1	ZL3b|f77r.20|G005	"[""ZL3b|f77r.20|G005""]"	qokain	lexical-censoring, not sentence boundary
M	ZL3b	f77r:P1	ZL3b|f77r.20|G007	"[""ZL3b|f77r.20|G007""]"	qotedy	lexical-censoring, not sentence boundary
M	ZL3b	f77r:P1	ZL3b|f77r.21|G002	"[""ZL3b|f77r.21|G002"", ""ZL3b|f77r.21|G003""]"	shedy qokeedy	lexical-censoring, not sentence boundary
M	ZL3b	f77r:P1	ZL3b|f77r.22|G001	"[""ZL3b|f77r.22|G001""]"	qoteedy	lexical-censoring, not sentence boundary
M	ZL3b	f77r:P1	ZL3b|f77r.23|G002	"[""ZL3b|f77r.23|G002""]"	qokaiin	lexical-censoring, not sentence boundary
M	ZL3b	f77r:P1	ZL3b|f77r.23|G006	"[""ZL3b|f77r.23|G006""]"	qokeedy	lexical-censoring, not sentence boundary
M	ZL3b	f77r:P2	ZL3b|f77r.25|G001	"[""ZL3b|f77r.25|G001""]"	otedy	lexical-censoring, not sentence boundary
M	ZL3b	f77r:P2	ZL3b|f77r.25|G003	"[""ZL3b|f77r.25|G003""]"	shedy	lexical-censoring, not sentence boundary
M	ZL3b	f77r:P2	ZL3b|f77r.26|G001	"[""ZL3b|f77r.26|G001"", ""ZL3b|f77r.26|G002"", ""ZL3b|f77r.26|G003""]"	qoteedy qokeedy qokaiin	lexical-censoring, not sentence boundary
M	ZL3b	f77r:P2	ZL3b|f77r.27|G001	"[""ZL3b|f77r.27|G001"", ""ZL3b|f77r.27|G002"", ""ZL3b|f77r.27|G003"", ""ZL3b|f77r.27|G004"", ""ZL3b|f77r.27|G005"", ""ZL3b|f77r.27|G006""]"	solchedy qokain okaiin shedy qokeedy qotedy	lexical-censoring, not sentence boundary
M	ZL3b	f77r:P2	ZL3b|f77r.28|G003	"[""ZL3b|f77r.28|G003""]"	qokain	lexical-censoring, not sentence boundary
M	ZL3b	f77r:P2	ZL3b|f77r.29|G003	"[""ZL3b|f77r.29|G003"", ""ZL3b|f77r.29|G004""]"	qokeedy qokeedy	lexical-censoring, not sentence boundary
M	ZL3b	f77r:P2	ZL3b|f77r.30|G001	"[""ZL3b|f77r.30|G001""]"	qokaiin	lexical-censoring, not sentence boundary
M	ZL3b	f77r:P2	ZL3b|f77r.31|G001	"[""ZL3b|f77r.31|G001""]"	qokain	lexical-censoring, not sentence boundary
M	ZL3b	f77r:P2	ZL3b|f77r.31|G004	"[""ZL3b|f77r.31|G004"", ""ZL3b|f77r.31|G005""]"	qotedy qotedy	lexical-censoring, not sentence boundary
