target_ordinal	surface	reader_decision	final_recipe	observed_requirement_modes	neutral_component_reading_de	known_contextual_readings_de	primary_structural_formula	primary_visible_formula	primary_anchor_recipe	primary_anchor_start_atom	primary_anchor_atom_count	primary_anchor_old_event_count	primary_anchor_old_surfaces	primary_visible_stem_status	primary_visible_stem_surface	extension_direction	left_extension_recipe	left_visible_affix	left_channel_class	left_channel_observation_count	left_channel_recipe_variants	left_interface_pair	left_interface_old_event_count	right_extension_recipe	right_visible_affix	right_channel_class	right_channel_observation_count	right_channel_recipe_variants	right_interface_pair	right_interface_old_event_count	primary_old_supported_interfaces	primary_interface_count	primary_full_arm_joint_count	primary_repeated_invariant_channel_count	primary_anchor_context_modes	primary_anchor_context_relation	primary_context_compatible	old_supercard_recipe_count	old_supercard_recipes	old_supercard_context_relation	primary_structural_support_class	recurrent_primary_anchor_family_target_count	initial_flag_reasons	secondary_bridge_present	secondary_structural_formula	secondary_anchor_recipe	secondary_visible_stem_status	secondary_visible_stem_surface	secondary_context_relation	secondary_supported_interfaces	secondary_interface_count	secondary_repaired_dimension	flag_resolution	current_caution	working_default	reading_scope	guard
1	aiicthy	READ_KNOWN_FRAGMENT_WORKING_CARD	AIIN+CH+T+Y	SELF_CONTAINED	Den Wert und den Posten nehmen und einstellen.	Nimm den Arbeitswert und den Pflanzenposten und stelle den Arbeitswert und den Pflanzenposten ein.	AIIN+[CH+T+Y]	aii+[cthy]	CH+T+Y	2	3	19	checthy|chty|cthy	ALIGNED_EXACT_OLD_SURFACE_STEM	cthy	LEFT_EXTENSION	AIIN	aii	SINGLETON_VISIBLE_CHANNEL	1	AIIN	AIIN>CH	0	NONE	NONE	NONE	0	NONE	NONE	0	0	1	0	0	SELF_CONTAINED	TARGET_MODE_SET_EQUAL	YES	0	NONE	NO_OLD_SUPERCARD	ALIGNED_VISIBLE_STEM_WITH_NEW_INTERFACE	1	NEW_ATOM_INTERFACE	NO	NONE	NONE	NONE	NONE	NONE	0	0	NONE	EXPLICIT_WORKING_DEFAULT__NO_QUALIFIED_SECONDARY	NEW_ATOM_INTERFACE	KEEP_COMPOSITION_WITH_NAMED_OLD_FRAGMENT_AND_DIRECTIONAL_EXTENSIONS	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_SURFACE_KEY_ONLY__NO_FUZZY_EXTENSION_OR_NEW_MEANING
2	akar	READ_KNOWN_FRAGMENT_WORKING_CARD	A_ADDR+K+AR	REQUIRES_ACTIVE_ARGUMENT	Hier; geben; vom Ausgang.	Ordne die Eintragseinheit [wie zuvor] zu; von der Ausgangszeile; an der bezeichneten Stelle.	A_ADDR+[K+AR]	a+[kar]	K+AR	2	2	6	kar|skar	ALIGNED_EXACT_OLD_SURFACE_STEM	kar	LEFT_EXTENSION	A_ADDR	a	SINGLETON_VISIBLE_CHANNEL	1	A_ADDR	A_ADDR>K	2	NONE	NONE	NONE	0	NONE	NONE	0	1	1	0	0	REQUIRES_ACTIVE_ARGUMENT	TARGET_MODE_SET_EQUAL	YES	0	NONE	NO_OLD_SUPERCARD	ALIGNED_VISIBLE_STEM_ALL_INTERFACES_OLD	3	NONE	NO	NONE	NONE	NONE	NONE	NONE	0	0	NONE	NOT_FLAGGED	NONE	KEEP_COMPOSITION_WITH_NAMED_OLD_FRAGMENT_AND_DIRECTIONAL_EXTENSIONS	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_SURFACE_KEY_ONLY__NO_FUZZY_EXTENSION_OR_NEW_MEANING
3	alkey	READ_KNOWN_FRAGMENT_WORKING_CARD	AL+K+E+Y	SELF_CONTAINED	Am Zielort; den Posten geben; auf Grad I.	Ordne den laufenden Eintrag zu; zur Zielspalte; auf Grad I.	AL+[K+E+Y]	al+[key]	K+E+Y	2	3	1	key	ALIGNED_EXACT_OLD_SURFACE_STEM	key	LEFT_EXTENSION	AL	al	SINGLETON_VISIBLE_CHANNEL	1	AL	AL>K	1	NONE	NONE	NONE	0	NONE	NONE	0	1	1	0	0	SELF_CONTAINED	TARGET_MODE_SET_EQUAL	YES	0	NONE	NO_OLD_SUPERCARD	ALIGNED_VISIBLE_STEM_ALL_INTERFACES_OLD	1	NONE	NO	NONE	NONE	NONE	NONE	NONE	0	0	NONE	NOT_FLAGGED	NONE	KEEP_COMPOSITION_WITH_NAMED_OLD_FRAGMENT_AND_DIRECTIONAL_EXTENSIONS	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_SURFACE_KEY_ONLY__NO_FUZZY_EXTENSION_OR_NEW_MEANING
5	chady	READ_KNOWN_FRAGMENT_WORKING_CARD	CH+A_ADDR+DY	SELF_CONTAINED	Nehmen; hier; abschließen.	Entnimm; an der bezeichneten Stelle; schließe den Schritt.	[CH+A_ADDR]+DY	[cha]+dy	CH+A_ADDR	1	2	1	cha	ALIGNED_EXACT_OLD_SURFACE_STEM	cha	RIGHT_EXTENSION	NONE	NONE	NONE	0	NONE	NONE	0	DY	dy	REPEATED_AMBIGUOUS_VISIBLE_CHANNEL	6	DY|D_ADDR+Y	A_ADDR>DY	0	0	1	0	0	REQUIRES_ACTIVE_ARGUMENT	TARGET_MODE_SET_DISJOINT	NO	0	NONE	NO_OLD_SUPERCARD	ALIGNED_VISIBLE_STEM_WITH_NEW_INTERFACE	2	ANCHOR_CONTEXT_MODE_DIFFERENCE|NEW_ATOM_INTERFACE	NO	NONE	NONE	NONE	NONE	NONE	0	0	NONE	EXPLICIT_WORKING_DEFAULT__NO_QUALIFIED_SECONDARY	ANCHOR_CONTEXT_MODE_DIFFERENCE|NEW_ATOM_INTERFACE	KEEP_COMPOSITION_WITH_NAMED_OLD_FRAGMENT_AND_DIRECTIONAL_EXTENSIONS	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_SURFACE_KEY_ONLY__NO_FUZZY_EXTENSION_OR_NEW_MEANING
6	chap	READ_KNOWN_FRAGMENT_WORKING_CARD	CH+A_ADDR+P	SELF_CONTAINED	Nehmen und einsetzen; hier.	Entnimm und setze ein; an der bezeichneten Stelle.	[CH+A_ADDR]+P	[cha]+p	CH+A_ADDR	1	2	1	cha	ALIGNED_EXACT_OLD_SURFACE_STEM	cha	RIGHT_EXTENSION	NONE	NONE	NONE	0	NONE	NONE	0	P	p	SINGLETON_VISIBLE_CHANNEL	1	P	A_ADDR>P	0	0	1	0	0	REQUIRES_ACTIVE_ARGUMENT	TARGET_MODE_SET_DISJOINT	NO	0	NONE	NO_OLD_SUPERCARD	ALIGNED_VISIBLE_STEM_WITH_NEW_INTERFACE	2	ANCHOR_CONTEXT_MODE_DIFFERENCE|NEW_ATOM_INTERFACE	NO	NONE	NONE	NONE	NONE	NONE	0	0	NONE	EXPLICIT_WORKING_DEFAULT__NO_QUALIFIED_SECONDARY	ANCHOR_CONTEXT_MODE_DIFFERENCE|NEW_ATOM_INTERFACE	KEEP_COMPOSITION_WITH_NAMED_OLD_FRAGMENT_AND_DIRECTIONAL_EXTENSIONS	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_SURFACE_KEY_ONLY__NO_FUZZY_EXTENSION_OR_NEW_MEANING
7	chckhedy	READ_KNOWN_FRAGMENT_WORKING_CARD	CH+CH+K+E+DY	REQUIRES_ACTIVE_ARGUMENT	Nehmen, erneut nehmen und geben; auf Grad I; abschließen.	Entnimm den laufenden Eintrag [wie zuvor], entnimm den laufenden Eintrag [wie zuvor] und ordne den laufenden Eintrag [wie zuvor] zu; auf Grad I; schließe den Schritt.	CH+CH+[K+E+DY]	[NO_EXACT_OLD_VISIBLE_STEM]	K+E+DY	3	3	1	kedy	NO_EXACT_OLD_SURFACE_STEM	NONE	LEFT_EXTENSION	CH+CH	NONE	NO_ALIGNED_VISIBLE_CHANNEL	0	NONE	CH>K	166	NONE	NONE	NONE	0	NONE	NONE	0	1	1	0	0	SELF_CONTAINED	TARGET_MODE_SET_DISJOINT	NO	0	NONE	NO_OLD_SUPERCARD	RECIPE_ANCHOR_ALL_INTERFACES_OLD	2	ANCHOR_CONTEXT_MODE_DIFFERENCE	YES	CH+[CH+K]+E+DY	CH+K	DIRECTION_MISMATCH_EXACT_OLD_SURFACE_STEM	chckh	TARGET_MODE_SET_EQUAL	2	2	CONTEXT	SECONDARY_BRIDGE_ADDED__PRIMARY_RETAINED	SECONDARY_DIRECTION_MISMATCH__KEEP_PRIMARY	KEEP_COMPOSITION_WITH_NAMED_OLD_FRAGMENT_AND_DIRECTIONAL_EXTENSIONS	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_SURFACE_KEY_ONLY__NO_FUZZY_EXTENSION_OR_NEW_MEANING
9	chctho	READ_KNOWN_FRAGMENT_WORKING_CARD	CH+CH+T+O	REQUIRES_ACTIVE_ARGUMENT	Nehmen, erneut nehmen und einstellen; zur Ausführung.	Entnimm den laufenden Eintrag [wie zuvor], entnimm den laufenden Eintrag [wie zuvor] und lege den laufenden Eintrag [wie zuvor] fest; zur Ausführung.	CH+[CH+T+O]	ch+[ctho]	CH+T+O	2	3	2	ctho	ALIGNED_EXACT_OLD_SURFACE_STEM	ctho	LEFT_EXTENSION	CH	ch	REPEATED_INVARIANT_VISIBLE_CHANNEL	2	CH	CH>CH	36	NONE	NONE	NONE	0	NONE	NONE	0	1	1	0	1	REQUIRES_ACTIVE_ARGUMENT	TARGET_MODE_SET_EQUAL	YES	0	NONE	NO_OLD_SUPERCARD	REPEATED_INVARIANT_VISIBLE_EXTENSION_CHANNEL	2	NONE	NO	NONE	NONE	NONE	NONE	NONE	0	0	NONE	NOT_FLAGGED	NONE	KEEP_COMPOSITION_WITH_NAMED_OLD_FRAGMENT_AND_DIRECTIONAL_EXTENSIONS	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_SURFACE_KEY_ONLY__NO_FUZZY_EXTENSION_OR_NEW_MEANING
13	chefchy	READ_KNOWN_FRAGMENT_WORKING_CARD	CH+E+LOCAL_CHAR_F+CH+Y	SELF_CONTAINED	Den Posten zweimal nehmen; auf Grad I; hier.	Entnimm den laufenden Eintrag und entnimm den laufenden Eintrag; auf Grad I; an der bezeichneten Stelle.	[CH+E]+LOCAL_CHAR_F+CH+Y	[che]+fchy	CH+E	1	2	1	che	ALIGNED_EXACT_OLD_SURFACE_STEM	che	RIGHT_EXTENSION	NONE	NONE	NONE	0	NONE	NONE	0	LOCAL_CHAR_F+CH+Y	fchy	SINGLETON_VISIBLE_CHANNEL	1	LOCAL_CHAR_F+CH+Y	E>LOCAL_CHAR_F	1	1	1	0	0	SELF_CONTAINED	TARGET_MODE_SET_EQUAL	YES	0	NONE	NO_OLD_SUPERCARD	ALIGNED_VISIBLE_STEM_ALL_INTERFACES_OLD	2	NONE	NO	NONE	NONE	NONE	NONE	NONE	0	0	NONE	NOT_FLAGGED	NONE	KEEP_COMPOSITION_WITH_NAMED_OLD_FRAGMENT_AND_DIRECTIONAL_EXTENSIONS	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_SURFACE_KEY_ONLY__NO_FUZZY_EXTENSION_OR_NEW_MEANING
16	chekeody	READ_KNOWN_FRAGMENT_WORKING_CARD	CH+K+E+O+DY	REQUIRES_ACTIVE_ARGUMENT	Nehmen und geben; auf Grad I; zur Ausführung; abschließen.	Entnimm den laufenden Eintrag [wie zuvor] und ordne den laufenden Eintrag [wie zuvor] zu; auf Grad I und zur Ausführung; schließe den Schritt.	CH+K+[E+O]+DY	chek+[eo]+dy	E+O	3	2	2	eo	ALIGNED_EXACT_OLD_SURFACE_STEM	eo	BOTH_SIDES	CH+K	chek	SINGLETON_VISIBLE_CHANNEL	1	CH+K	K>E	91	DY	dy	REPEATED_AMBIGUOUS_VISIBLE_CHANNEL	6	DY|D_ADDR+Y	O>DY	46	2	2	1	0	REQUIRES_ACTIVE_ARGUMENT	TARGET_MODE_SET_EQUAL	YES	0	NONE	NO_OLD_SUPERCARD	ALIGNED_VISIBLE_STEM_ALL_INTERFACES_OLD	2	NONE	NO	NONE	NONE	NONE	NONE	NONE	0	0	NONE	NOT_FLAGGED	NONE	KEEP_COMPOSITION_WITH_NAMED_OLD_FRAGMENT_AND_DIRECTIONAL_EXTENSIONS	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_SURFACE_KEY_ONLY__NO_FUZZY_EXTENSION_OR_NEW_MEANING
17	cheod	READ_KNOWN_FRAGMENT_WORKING_CARD	CH+E+O+D_ADDR	SELF_CONTAINED	Nehmen; auf Grad I; zur Ausführung; hier.	Nimm; auf Grad I und zur Ausführung; an der bezeichneten Stelle.	[CH+E+O]+D_ADDR	[cheo]+d	CH+E+O	1	3	6	cheo	ALIGNED_EXACT_OLD_SURFACE_STEM	cheo	RIGHT_EXTENSION	NONE	NONE	NONE	0	NONE	NONE	0	D_ADDR	d	REPEATED_INVARIANT_VISIBLE_CHANNEL	5	D_ADDR	O>D_ADDR	114	1	1	1	1	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	TARGET_MODE_SET_INCLUDED	YES	3	CH+E+O+D_ADDR+AIN|OT+CH+E+O+D_ADDR+AL|Y+CH+E+O+D_ADDR+Y	TARGET_MODE_SET_DISJOINT	EXACT_TARGET_SEQUENCE_INSIDE_OLD_SUPERCARD	3	NONE	NO	NONE	NONE	NONE	NONE	NONE	0	0	NONE	NOT_FLAGGED	NONE	KEEP_COMPOSITION_WITH_NAMED_OLD_FRAGMENT_AND_DIRECTIONAL_EXTENSIONS	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_SURFACE_KEY_ONLY__NO_FUZZY_EXTENSION_OR_NEW_MEANING
