metric	value
reader_card_count	81
exact_surface_key_count	81
directional_arm_count	93
aligned_primary_visible_stem_count	72
direction_mismatch_primary_visible_stem_count	1
no_exact_primary_visible_stem_count	8
primary_context_compatible_count	69
primary_context_default_count	12
primary_old_supported_interface_count	87
primary_interface_count	93
targets_with_recurrent_invariant_channel_count	34
targets_in_recurrent_primary_anchor_family_count	34
old_supercard_target_count	8
initial_flagged_card_count	16
secondary_bridge_card_count	4
unresolved_explicit_default_count	12
known_surface_read_count	81
unknown_surface_policy	STOP_UNKNOWN_FRAGMENT_SURFACE
primary_anchor_changes	0
recipe_changes	0
root_meaning_changes	0
new_pages	0
