passage_id	manual_visual_verdict	manual_reason
G739-R01	KEEP_FIRST_TARGET_ONLY	Direct cheal-lain supports the first target; the later lkain must not borrow it.
G739-R02	KEEP_CARRIER_ONLY	Direct ols-lain plausibly supplies a broad material carrier but no scalar axis.
G739-R03	KEEP_CARRIER_ONLY	Direct preparation carrier is coherent; result/end is not independently attached and returns to state.
G739-R04	KEEP_OPEN	Hot neighbors do not license the favored dry axis.
G739-R05	DOWNGRADE_RADIUS_TWO	The dry host lies behind an independently emitted intervening cell.
G739-R06	KEEP_OPEN	Moist direct context and hot radius-two context do not select a clean axis.
G739-R07	KEEP_OPEN	No selecting host reaches the target.
G739-R08	KEEP_CARRIER_ONLY	Direct material carrier survives; the amount cue lies behind another unit.
G739-R09	KEEP_OPEN	Quality amount and part cues do not form one target microentry.
G739-R10	KEEP_DIRECT	The immediate scalar-to-material contact is locally coherent but remains reverse-order provisional.
G739-R11	DOWNGRADE_MODE_ONLY	Endpoint best-fit has no attached result host and returns to state with open axis and carrier.
G739-R12	KEEP_OPEN	Thermal context supplies neither moist axis nor carrier.
G739-R13	KEEP_OPEN_ENTRY	Line-initial status form has no eligible attached payload.
G739-R14	KEEP_OPEN_ENTRY	Measure and heat context supplies neither favored dry axis nor direct carrier.
G739-R15	KEEP_RAIN_ONLY	Direct qokeey-rain quality-grade contact survives; later lkain remains open.
G739-R16	DOWNGRADE_RADIUS_TWO_AND_RESULT	Moist material lies beyond a separate token and endpoint best-fit does not independently support result mode.
G739-R17	KEEP_OPEN	Dry-dominated context does not justify automatic moist speech.
G739-R18	BOUNDARY_HOLD	The radius-two amount cue and direct preparation cue both terminate at the intervening closure field.
G739-R19	KEEP_DIRECT_HEADER_PAYLOAD	Direct line-initial target and following host form a plausible header-payload pair.
G739-R20	KEEP_OPEN	Weak and unclear neighbors leave the scalar dimension open.
