dispatch_id	role_effect	mode_effect	tier_override	manual_reason
G739-D0003	RETAIN_R2_AXIS	KEEP	RELAY_R2_MANUAL	qokeey-okeey-lain continues one hot axis across the middle cell
G739-D0126	RETAIN_R2_CARRIER	KEEP	RELAY_R2_MANUAL	pcheol-sholoiin-cthor continues one broad material carrier across the middle cell
G739-D0013	DROP_AXIS	KEEP	KEEP_CARRIER_ONLY	dry left and heat right compete while the direct preparation carrier survives
G739-D0163	DROP_AXIS	KEEP	KEEP_CARRIER_ONLY	direct material carrier survives but neighboring counted material owns its own amount value
G739-D0158	DROP_CARRIER	KEEP	DIRECT_BOUNDARY_HOLD	direct otydy is a closure boundary rather than a preparation carrier for sain
G739-D0195	DROP_BOTH	KEEP	DIRECT_FLANK_CONFLICT_OPEN	separate left carrier and right dry axis must not fuse into one microentry
G739-D0006	KEEP	QUALITY_STATE	KEEP_CARRIER_ONLY	soaked preparation supports state carrier but not an ordinal result stage
G739-D0009	KEEP	QUALITY_STATE	MODE_DOWNGRADED_OPEN	endpoint best-fit has no attached process-result host
G739-D0010	KEEP	QUALITY_STATE	MODE_DOWNGRADED_OPEN	endpoint best-fit has no attached process-result host
G739-D0117	KEEP	QUALITY_STATE	MODE_DOWNGRADED_OPEN	endpoint best-fit has no attached process-result host
G739-D0118	KEEP	QUALITY_STATE	MODE_DOWNGRADED_OPEN	endpoint best-fit has no attached process-result host
G739-D0120	KEEP	QUALITY_STATE	MODE_DOWNGRADED_OPEN	endpoint best-fit has no attached process-result host
G739-D0145	KEEP	QUALITY_STATE	NEAR_ONLY_HOLD	endpoint best-fit is not independent of the held radius-two moist carrier
