bridge	form	edition	page	physical_leaf	locus	source_ids	raw_groups	start	end	eligible	internal_boundary	meaning_status
CONTENT	WHOLE	ZL3b	f111v	111	f111v.17	ZL3b|f111v.17|G001	solkain	0	1	True	INTERNAL_TO_WHOLE	PROPOSED_CORRESPONDENCE_NOT_CONFIRMED
CONTENT	WHOLE	IT2a	f111v	111	f111v.17	IT2a|f111v.17|G001	solkain	0	1	True	INTERNAL_TO_WHOLE	PROPOSED_CORRESPONDENCE_NOT_CONFIRMED
CONTENT	WHOLE	RF1b	f111v	111	f111v.17	RF1b|f111v.17|G001	solkain	0	1	True	INTERNAL_TO_WHOLE	PROPOSED_CORRESPONDENCE_NOT_CONFIRMED
CONTENT	WHOLE	ZL3b	f80r	80	f80r.14	ZL3b|f80r.14|G001	solkain	0	1	True	INTERNAL_TO_WHOLE	PROPOSED_CORRESPONDENCE_NOT_CONFIRMED
CONTENT	SPLIT	ZL3b	f80v	80	f80v.32	ZL3b|f80v.32|G001|ZL3b|f80v.32|G002	s olkain	0	2	True	UNCERTAIN_SMALL_SPACE	PROPOSED_CORRESPONDENCE_NOT_CONFIRMED
PASSIVE	WHOLE	ZL3b	f80v	80	f80v.32	ZL3b|f80v.32|G006	arolkeedy	5	6	True	INTERNAL_TO_WHOLE	PROPOSED_CORRESPONDENCE_NOT_CONFIRMED
CONTENT	WHOLE	IT2a	f80r	80	f80r.14	IT2a|f80r.14|G001	solkain	0	1	True	INTERNAL_TO_WHOLE	PROPOSED_CORRESPONDENCE_NOT_CONFIRMED
CONTENT	WHOLE	IT2a	f80v	80	f80v.32	IT2a|f80v.32|G001	solkain	0	1	True	INTERNAL_TO_WHOLE	PROPOSED_CORRESPONDENCE_NOT_CONFIRMED
PASSIVE	SPLIT	IT2a	f80v	80	f80v.32	IT2a|f80v.32|G005|IT2a|f80v.32|G006	arol keedy	4	6	True	DEFINITE_SPACE	PROPOSED_CORRESPONDENCE_NOT_CONFIRMED
CONTENT	WHOLE	RF1b	f80r	80	f80r.14	RF1b|f80r.14|G001	solkain	0	1	True	INTERNAL_TO_WHOLE	PROPOSED_CORRESPONDENCE_NOT_CONFIRMED
CONTENT	WHOLE	RF1b	f80v	80	f80v.32	RF1b|f80v.32|G001	solkain	0	1	True	INTERNAL_TO_WHOLE	PROPOSED_CORRESPONDENCE_NOT_CONFIRMED
PASSIVE	WHOLE	RF1b	f80v	80	f80v.32	RF1b|f80v.32|G005	arolkeedy	4	5	True	INTERNAL_TO_WHOLE	PROPOSED_CORRESPONDENCE_NOT_CONFIRMED
