candidate	edition	locus	source_id	raw	left_separator	right_separator	literal_gloss	lexical_role	bridge_role	origin
R_C_REL_F	ZL3b	f80v.32	ZL3b|f80v.32|G001	s	LINE_START	UNCERTAIN_SMALL_SPACE	⟦s⟧	UNREAD	NOMINAL_MARKER_HYPOTHESIS_NOT_WORD_TRANSLATION	STRUCTURAL_PHRASE_HYPOTHESIS
R_C_REL_F	ZL3b	f80v.32	ZL3b|f80v.32|G002	olkain	UNCERTAIN_SMALL_SPACE	DEFINITE_SPACE	Inhalt	CONTENT_MATERIAL		NEW_WHOLE_HYPOTHESIS
R_C_REL_F	ZL3b	f80v.32	ZL3b|f80v.32|G003	shol	DEFINITE_SPACE	DEFINITE_SPACE	zerfällt	DISINTEGRATION		NEW_WHOLE_HYPOTHESIS
R_C_REL_F	ZL3b	f80v.32	ZL3b|f80v.32|G004	kair	DEFINITE_SPACE	DEFINITE_SPACE	allmählich	RATE		NEW_WHOLE_HYPOTHESIS
R_C_REL_F	ZL3b	f80v.32	ZL3b|f80v.32|G005	or	DEFINITE_SPACE	DEFINITE_SPACE	und	COORDINATION		NEW_WHOLE_HYPOTHESIS
R_C_REL_F	ZL3b	f80v.32	ZL3b|f80v.32|G006	arolkeedy	DEFINITE_SPACE	DEFINITE_SPACE	wird gebildet	FORMATION_EVENT		NEW_WHOLE_HYPOTHESIS
R_C_REL_F	ZL3b	f80v.32	ZL3b|f80v.32|G007	olky	DEFINITE_SPACE	DEFINITE_SPACE	dabei	SIMULTANEITY		NEW_WHOLE_HYPOTHESIS
R_C_REL_F	ZL3b	f80v.32	ZL3b|f80v.32|G008	qolkain	DEFINITE_SPACE	DEFINITE_SPACE	aus dem Inhalt	CONTENT_SOURCE		NEW_WHOLE_HYPOTHESIS
R_C_REL_F	ZL3b	f80v.32	ZL3b|f80v.32|G009	shedy	DEFINITE_SPACE	LINE_END	Flüssigkeit	MATERIAL		OLD41_HYPOTHESIS
R_C_REL_F	IT2a	f80v.32	IT2a|f80v.32|G001	solkain	LINE_START	DEFINITE_SPACE	Inhalt	CONTENT_MATERIAL		OLD41_HYPOTHESIS
R_C_REL_F	IT2a	f80v.32	IT2a|f80v.32|G002	shol	DEFINITE_SPACE	DEFINITE_SPACE	zerfällt	DISINTEGRATION		NEW_WHOLE_HYPOTHESIS
R_C_REL_F	IT2a	f80v.32	IT2a|f80v.32|G003	kair	DEFINITE_SPACE	DEFINITE_SPACE	allmählich	RATE		NEW_WHOLE_HYPOTHESIS
R_C_REL_F	IT2a	f80v.32	IT2a|f80v.32|G004	or	DEFINITE_SPACE	DEFINITE_SPACE	und	COORDINATION		NEW_WHOLE_HYPOTHESIS
R_C_REL_F	IT2a	f80v.32	IT2a|f80v.32|G005	arol	DEFINITE_SPACE	DEFINITE_SPACE	wird	PASSIVE_AUX		NEW_WHOLE_HYPOTHESIS
