component_recipe	intake_tier	reachable_state_count	register_count	transition_cell_count	order_repaired_cell_count	state_sensitivity_per_register	transition_signature_sha256
AIIN+AIN	T2_FUTURE_STRONG	49	5	245	0	SOURCE_SECTION_T:10|HERBAL:10|BIOLOGICAL:10|CELESTIAL:10|PHARMA:10	4f75a0a55852ffd9ee2939ff3ab6107da8d5ce65fc55667d5cb2a6f819175581
AIN+Y	T2_FUTURE_STRONG	49	5	245	0	SOURCE_SECTION_T:10|HERBAL:10|BIOLOGICAL:10|CELESTIAL:10|PHARMA:10	6444bf3aa285b1634d5f0dbc99fdecaa19064704dbd28826f6fe847ca4dfae61
AIR+AIIN	T2_FUTURE_STRONG	49	5	245	245	SOURCE_SECTION_T:10|HERBAL:10|BIOLOGICAL:10|CELESTIAL:10|PHARMA:10	af435acf351678b87a07a575f3250906dcd1da9be53dc18c94ae140d9a433215
AIR+AIN	T3_SECOND_RING_AMBER	49	5	245	245	SOURCE_SECTION_T:10|HERBAL:10|BIOLOGICAL:10|CELESTIAL:10|PHARMA:10	924d6616b2bf9834862ed99bef15301eb71a34941e433dfc18d8d2f9fe5f41d2
AIR+OL	T2_FUTURE_STRONG	49	5	245	0	SOURCE_SECTION_T:49|HERBAL:49|BIOLOGICAL:49|CELESTIAL:49|PHARMA:49	1f2d8f357fe295a4609bebe4c7bbcd6763cf18a6dc6656c9c6f60999bb5db3ed
AIR+Y	T2_FUTURE_STRONG	49	5	245	245	SOURCE_SECTION_T:10|HERBAL:10|BIOLOGICAL:10|CELESTIAL:10|PHARMA:10	4ad303d88cd58f8b9cf8309201da62552b6fd5793519824f8bd99952395396f4
AL+AIN	T1_FUTURE_HIGH	49	5	245	245	SOURCE_SECTION_T:10|HERBAL:10|BIOLOGICAL:10|CELESTIAL:10|PHARMA:10	60175b1a96e4f03fcadcc530ffbfdee71594eccb4d313eafad3b324e2f498fae
AR+AIN	T2_FUTURE_STRONG	49	5	245	245	SOURCE_SECTION_T:10|HERBAL:10|BIOLOGICAL:10|CELESTIAL:10|PHARMA:10	9e5b2c9421bdaf094e67ac48b2855466102bcd32f6e500e575da72fcb2caf827
AR+OR	T1_FUTURE_HIGH	49	5	245	245	SOURCE_SECTION_T:10|HERBAL:10|BIOLOGICAL:10|CELESTIAL:10|PHARMA:10	c47e51fe3f2fff277ad3ef94c4efa864044d66c493f34c4f8f329a62a802ceb6
CARRIER_Q+O+Y	T2_FUTURE_STRONG	49	5	245	0	SOURCE_SECTION_T:10|HERBAL:10|BIOLOGICAL:10|CELESTIAL:10|PHARMA:10	903897742a73ffe111547e07cc65c1c7677bcb8ab15755da2f56cc56f71c2eac
CH+AIN	T2_FUTURE_STRONG	49	5	245	0	SOURCE_SECTION_T:1|HERBAL:1|BIOLOGICAL:1|CELESTIAL:1|PHARMA:1	ff5b119ca42307866c433178264de69b84ec85081b39363d278f108189544e40
