component_recipe	intake_tier	register	incoming_action	incoming_argument	explicit_action_roots	explicit_argument_roots	inherited_action_root	inherited_argument_root	outgoing_action	outgoing_argument	baseline_clause_de	order_safe_clause_de	order_repair_rule	clause_changed_by_order_repair
AIIN+AIN	T2_FUTURE_STRONG	SOURCE_SECTION_T	CH	AIIN	NONE	AIIN|AIN	CH	NONE	CH	AIN	Im laufenden Gang entnimm den Kennwert und den Teilwert.	Im laufenden Gang entnimm den Kennwert und den Teilwert.	BASELINE_ORDER_ALREADY_SAFE	NO
AIIN+AIN	T2_FUTURE_STRONG	HERBAL	CH	AIIN	NONE	AIIN|AIN	CH	NONE	CH	AIN	Im laufenden Gang nimm den Arbeitswert und den Materialanteil.	Im laufenden Gang nimm den Arbeitswert und den Materialanteil.	BASELINE_ORDER_ALREADY_SAFE	NO
AIIN+AIN	T2_FUTURE_STRONG	BIOLOGICAL	CH	AIIN	NONE	AIIN|AIN	CH	NONE	CH	AIN	Im laufenden Gang entnimm den Stationswert und den Stationsanteil.	Im laufenden Gang entnimm den Stationswert und den Stationsanteil.	BASELINE_ORDER_ALREADY_SAFE	NO
AIIN+AIN	T2_FUTURE_STRONG	CELESTIAL	CH	AIIN	NONE	AIIN|AIN	CH	NONE	CH	AIN	Im laufenden Gang nimm den Positionswert und den Sektoranteil auf.	Im laufenden Gang nimm den Positionswert und den Sektoranteil auf.	BASELINE_ORDER_ALREADY_SAFE	NO
AIIN+AIN	T2_FUTURE_STRONG	PHARMA	CH	AIIN	NONE	AIIN|AIN	CH	NONE	CH	AIN	Im laufenden Gang nimm den Mengenwert und den Drogenanteil.	Im laufenden Gang nimm den Mengenwert und den Drogenanteil.	BASELINE_ORDER_ALREADY_SAFE	NO
AIIN+AIN	T2_FUTURE_STRONG	SOURCE_SECTION_T	CH	AIN	NONE	AIIN|AIN	CH	NONE	CH	AIN	Im laufenden Gang entnimm den Kennwert und den Teilwert.	Im laufenden Gang entnimm den Kennwert und den Teilwert.	BASELINE_ORDER_ALREADY_SAFE	NO
AIIN+AIN	T2_FUTURE_STRONG	HERBAL	CH	AIN	NONE	AIIN|AIN	CH	NONE	CH	AIN	Im laufenden Gang nimm den Arbeitswert und den Materialanteil.	Im laufenden Gang nimm den Arbeitswert und den Materialanteil.	BASELINE_ORDER_ALREADY_SAFE	NO
AIIN+AIN	T2_FUTURE_STRONG	BIOLOGICAL	CH	AIN	NONE	AIIN|AIN	CH	NONE	CH	AIN	Im laufenden Gang entnimm den Stationswert und den Stationsanteil.	Im laufenden Gang entnimm den Stationswert und den Stationsanteil.	BASELINE_ORDER_ALREADY_SAFE	NO
AIIN+AIN	T2_FUTURE_STRONG	CELESTIAL	CH	AIN	NONE	AIIN|AIN	CH	NONE	CH	AIN	Im laufenden Gang nimm den Positionswert und den Sektoranteil auf.	Im laufenden Gang nimm den Positionswert und den Sektoranteil auf.	BASELINE_ORDER_ALREADY_SAFE	NO
AIIN+AIN	T2_FUTURE_STRONG	PHARMA	CH	AIN	NONE	AIIN|AIN	CH	NONE	CH	AIN	Im laufenden Gang nimm den Mengenwert und den Drogenanteil.	Im laufenden Gang nimm den Mengenwert und den Drogenanteil.	BASELINE_ORDER_ALREADY_SAFE	NO
