collision_id	register	incoming_action	incoming_argument	outgoing_action	outgoing_argument	baseline_clause_de	colliding_recipes	collision_recipe_count	repaired_clause_count	repair_status
BC001	BIOLOGICAL	CH	AIIN	CH	Y	Im laufenden Gang entnimm den Stationsposten; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC002	BIOLOGICAL	CH	AIN	CH	Y	Im laufenden Gang entnimm den Stationsposten; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC003	BIOLOGICAL	CH	NONE	CH	Y	Im laufenden Gang entnimm den Stationsposten; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC004	BIOLOGICAL	CH	OR	CH	Y	Im laufenden Gang entnimm den Stationsposten; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC005	BIOLOGICAL	CH	Y	CH	Y	Im laufenden Gang entnimm den Stationsposten; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC006	BIOLOGICAL	CHD	AIIN	CHD	Y	Im laufenden Gang bearbeite den Stationsposten; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC007	BIOLOGICAL	CHD	AIN	CHD	Y	Im laufenden Gang bearbeite den Stationsposten; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC008	BIOLOGICAL	CHD	NONE	CHD	Y	Im laufenden Gang bearbeite den Stationsposten; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC009	BIOLOGICAL	CHD	OR	CHD	Y	Im laufenden Gang bearbeite den Stationsposten; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC010	BIOLOGICAL	CHD	Y	CHD	Y	Im laufenden Gang bearbeite den Stationsposten; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC011	BIOLOGICAL	K	AIIN	K	Y	Im laufenden Gang führe den Stationsposten zu; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC012	BIOLOGICAL	K	AIN	K	Y	Im laufenden Gang führe den Stationsposten zu; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC013	BIOLOGICAL	K	NONE	K	Y	Im laufenden Gang führe den Stationsposten zu; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC014	BIOLOGICAL	K	OR	K	Y	Im laufenden Gang führe den Stationsposten zu; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC015	BIOLOGICAL	K	Y	K	Y	Im laufenden Gang führe den Stationsposten zu; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC016	BIOLOGICAL	NONE	AIIN	NONE	Y	Bezug: den Stationsposten; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC017	BIOLOGICAL	NONE	AIN	NONE	Y	Bezug: den Stationsposten; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC018	BIOLOGICAL	NONE	NONE	NONE	Y	Bezug: den Stationsposten; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC019	BIOLOGICAL	NONE	Y	NONE	Y	Bezug: den Stationsposten; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC020	BIOLOGICAL	OK	AIIN	OK	Y	Im laufenden Gang setze den Stationsposten im Stationsgang an; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC021	BIOLOGICAL	OK	AIN	OK	Y	Im laufenden Gang setze den Stationsposten im Stationsgang an; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC022	BIOLOGICAL	OK	NONE	OK	Y	Im laufenden Gang setze den Stationsposten im Stationsgang an; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC023	BIOLOGICAL	OK	OR	OK	Y	Im laufenden Gang setze den Stationsposten im Stationsgang an; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC024	BIOLOGICAL	OK	Y	OK	Y	Im laufenden Gang setze den Stationsposten im Stationsgang an; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC025	BIOLOGICAL	P	AIIN	P	Y	Im laufenden Gang setze den Stationsposten ein; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC026	BIOLOGICAL	P	AIN	P	Y	Im laufenden Gang setze den Stationsposten ein; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC027	BIOLOGICAL	P	NONE	P	Y	Im laufenden Gang setze den Stationsposten ein; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC028	BIOLOGICAL	P	OR	P	Y	Im laufenden Gang setze den Stationsposten ein; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC029	BIOLOGICAL	P	Y	P	Y	Im laufenden Gang setze den Stationsposten ein; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC030	BIOLOGICAL	R	AIIN	R	Y	Im laufenden Gang markiere den Stationsposten; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC031	BIOLOGICAL	R	AIN	R	Y	Im laufenden Gang markiere den Stationsposten; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC032	BIOLOGICAL	R	NONE	R	Y	Im laufenden Gang markiere den Stationsposten; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC033	BIOLOGICAL	R	OR	R	Y	Im laufenden Gang markiere den Stationsposten; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC034	BIOLOGICAL	R	Y	R	Y	Im laufenden Gang markiere den Stationsposten; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC035	BIOLOGICAL	S	AIIN	S	Y	Im laufenden Gang wähle den Stationsposten; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC036	BIOLOGICAL	S	AIN	S	Y	Im laufenden Gang wähle den Stationsposten; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC037	BIOLOGICAL	S	NONE	S	Y	Im laufenden Gang wähle den Stationsposten; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC038	BIOLOGICAL	S	OR	S	Y	Im laufenden Gang wähle den Stationsposten; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC039	BIOLOGICAL	S	Y	S	Y	Im laufenden Gang wähle den Stationsposten; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC040	BIOLOGICAL	SH	AIIN	SH	Y	Im laufenden Gang halte den Stationsposten; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC041	BIOLOGICAL	SH	AIN	SH	Y	Im laufenden Gang halte den Stationsposten; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC042	BIOLOGICAL	SH	NONE	SH	Y	Im laufenden Gang halte den Stationsposten; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC043	BIOLOGICAL	SH	OR	SH	Y	Im laufenden Gang halte den Stationsposten; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC044	BIOLOGICAL	SH	Y	SH	Y	Im laufenden Gang halte den Stationsposten; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC045	BIOLOGICAL	T	AIIN	T	Y	Im laufenden Gang stelle den Stationsposten ein; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC046	BIOLOGICAL	T	AIN	T	Y	Im laufenden Gang stelle den Stationsposten ein; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC047	BIOLOGICAL	T	NONE	T	Y	Im laufenden Gang stelle den Stationsposten ein; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC048	BIOLOGICAL	T	OR	T	Y	Im laufenden Gang stelle den Stationsposten ein; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC049	BIOLOGICAL	T	Y	T	Y	Im laufenden Gang stelle den Stationsposten ein; entlang der Stationsbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
BC050	CELESTIAL	CH	AIIN	CH	Y	Im laufenden Gang nimm den Positionsposten auf; entlang der Ringbahn.	AIR+Y|Y+AIR	2	2	RESOLVED
