statement_id	page	record	copied_y	applied_small_rules	applied_exemplar	forward_recipe_sequence	forward_cards	clean_instruction_de
H1-S001	f10r	H1	2	NONE	EXEMPLAR_H1-S001	CH+E+Y | CTH+O+OR | AR | T+Y | OS | CH+AIR | OT+Y+T+CH+OL | OK+Y | AIIN | E+T+Y	10	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten und aus der Quelle anwenden; Wasser entnehmen, danach den Posten weiterfuehren, nach Sollmass ansetzen und kurz anwenden.
H1-S002	f10r	H1	1	NONE	NONE	OK+Y | OT+CH+OL | OL | CTH+Y	4	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten ansetzen, danach entnehmen und weiterfuehren, weiterarbeiten und ihn bereitet halten.
H2-S001	f10r	H2	1	NONE	EXEMPLAR_H2-S001	Y+CH+E+OR | CTH+Y | OR | CTH+AIIN | O+CTH+OL+Y | Y | Y | AIIN | Y	9	Bei der breiten gezahnten Bluetenpflanze: Vom laufenden Ansatz kurz entnehmen; den Posten bereitet halten, den Ansatz nach Sollmass weiterbearbeiten und als aktuellen Posten verfuegbar lassen.
H2-S002	f10r	H2	0	P752:R1_PREPARATION_CONTINUATION_BRIDGE	NONE	OT+CH+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	8	Bei der breiten gezahnten Bluetenpflanze: Danach vom Ansatz entnehmen; denselben Ansatz in mehreren weiteren Arbeitsschritten nach Sollmass aus der Quelle weiterfuehren.
H2-S003	f10r	H2	1	P750:R1_REPEAT_PREPARATION_AROUND_STAGE	NONE	O+Y+K+OR | OR | OR | Y | K+IIN | Y | CH+O+AIIN	7	Bei der breiten gezahnten Bluetenpflanze: Im Arbeitsgang den aktuellen Ansatz zugeben; denselben Ansatz als laufenden Posten beibehalten, bis zur Arbeitsstufe weiter zugeben und anschliessend im Arbeitsgang nach Sollmass entnehmen.
H3-S001	f11r	H3	5	NONE	EXEMPLAR_H3-S001	T+SH+OL | SH+O+AL | CFH+Y | SH+Y+AIIN | P+Y | SH+EE+Y | T+CH+O+DY	7	Bei der dicht bluehenden Kronenpflanze: Den Ansatz an der Zielstelle weiter halten; auswringen, bis zum Sollmass halten, in den Empfaenger fuellen, laenger halten, entnehmen und den Schritt schliessen.
H3-S002	f11r	H3	1	NONE	NONE	SH+O+Y+T+Y	1	Bei der dicht bluehenden Kronenpflanze: Den laufenden Posten im Arbeitsgang halten und anwenden.
H3-S003	f11r	H3	0	P751:R1_RESUMED_MEASURED_ADDITION	NONE	RESUME_CARD | Y | K+Y | Y | AIIN	5	Bei der dicht bluehenden Kronenpflanze: Den vorigen Vorgang wiederaufnehmen, den aktuellen Posten beibehalten, ihm zugeben und ihn bis zum Sollmass weiterfuehren.
H3-S004	f11r	H3	1	P754:R1_APPEND_CURRENT_ITEM_AFTER_READY	NONE	OT+Y | OK+OL | CTH+Y | Y	4	Bei der dicht bluehenden Kronenpflanze: Danach den laufenden Posten; dann weiter ansetzen; dann ihn bereitet halten; dann ihn beibehalten.
H4-S001	f55v	H4	1	P756:R1_MEASURE_PORTION_SERIES	NONE	OK+AIIN | AIIN | Y+K+AIN | Y+K+AN | O+DY	5	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass ansetzen; dem laufenden Posten eine Portion und danach eine Nachgabe zugeben; den Arbeitsgang schliessen.
H4-S002	f55v	H4	0	NONE	NONE	AIIN | CHD+Y | TALAM	3	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass den laufenden Posten umsetzen und anschliessend verwahren.
H4-S003	f55v	H4	1	NONE	NONE	Y+K+AIIN | CH+E+O+AR | CHK+EE+Y | OL+DY	4	Bei der breitblaettrigen rispigen Pflanze: Den laufenden Posten nach Sollmass zugeben; dann kurz im Arbeitsgang aus der Quelle entnehmen; dann ihn laenger erwaermen; dann weiterarbeiten; den Schritt schliessen.
H4-S004	f55v	H4	0	P750:R2_PREPARATION_BEFORE_PORTION	NONE	AIIN | OK+AL | OL+T+Y | OR | Y | OR+AIN	6	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass an der Zielstelle ansetzen, den laufenden Posten weiter anwenden, als Ansatz beibehalten und als Ansatzportion fuehren.
H5-S001	f56r	H5	0	NONE	EXEMPLAR_H5-S001	HO+CH+OR | HO | HO+AL+Y | AIIN | HO | K+OL | OT+CH+OR | OK+Y | AL	9	Bei der mehrkoepfigen stacheligen Pflanze: Eine Zutat fuer den Ansatz entnehmen, zur Zielstelle bringen und nach Sollmass weiter zugeben; danach vom Ansatz entnehmen und den Posten an der Zielstelle ansetzen.
H5-S002	f56r	H5	0	P754:R2_PACK_INGREDIENT_WITH_ITEM_AFTER_RESUME	NONE	RESUME_CARD | HO+Y | OK+Y | CH+EE+CKH+O+DY	4	Bei der mehrkoepfigen stacheligen Pflanze: Den vorigen Vorgang wiederaufnehmen, die Zutat als laufenden Posten fuehren und ansetzen; laenger im Arbeitsgang durch den Durchlass entnehmen und schliessen.
H5-S003	f56r	H5	1	P756:R2_HOLD_INGREDIENT_REPEAT_ACTIVATION	NONE	SH | HO | K+E+Y | OK+OK+Y	4	Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat halten, dem laufenden Posten kurz zugeben und ihn zweimal ansetzen.
H5-S004	f56r	H5	0	NONE	NONE	OK+Y | OK+CH+E+O | K+AL	3	Bei der mehrkoepfigen stacheligen Pflanze: Den laufenden Posten ansetzen; dann kurz im Arbeitsgang ansetzen und entnehmen; dann zur Zielstelle zugeben.
H5-S005	f56r	H5	0	NONE	NONE	HO | OK+Y | K+HO+AR | OT+O+AIN	4	Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat bereiten, den laufenden Posten ansetzen und die Zutat aus der Quelle zugeben; danach eine Portion in den Arbeitsgang nehmen.
H5-S006	f56r	H5	0	NONE	NONE	OT+Y | K+E+OL | AIIN	3	Bei der mehrkoepfigen stacheligen Pflanze: Danach den laufenden Posten kurz weiter zugeben, bis das Sollmass erreicht ist.
B1-S001	f81v	B1	0	NONE	NONE	OK+E+DY	1	Am gemeinsamen zweireihigen Becken: Kurz ansetzen und den Schritt schliessen.
B1-S002	f81v	B1	1	NONE	EXEMPLAR_B1-S002	OK+AIIN | K+AIR | OK+AL | AR | OL | K+AIN | OL+K+AIN | AL | OL | R+OL | L | OL+OR | OL | SH+E+CKH+AL | AIIN | OK+EE+AL | AIIN | CKH+Y | CHD+DY	19	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und die laufende Fluessigkeit zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.
B1-S003	f81v	B1	0	NONE	NONE	OL | SH+K+CHD+DY	2	Am gemeinsamen zweireihigen Becken: Weiterarbeiten; dann halten, zugeben und umsetzen; den Schritt schliessen.
B1-S004	f81v	B1	0	NONE	NONE	CHD+Y | OL | SHED+DY	3	Am gemeinsamen zweireihigen Becken: Den laufenden Posten umsetzen; dann weiterarbeiten; dann absetzen lassen; den Schritt schliessen.
B1-S005	f81v	B1	0	NONE	NONE	OL+CHD+DY	1	Am gemeinsamen zweireihigen Becken: Weiter umsetzen; den Schritt schliessen.
B1-S006	f81v	B1	0	P755:R1_SPLIT_PASSAGE_AND_TRANSFER	NONE	OK+AIN | CKH+Y | L | R+AL	4	Am gemeinsamen zweireihigen Becken: Als Portion ansetzen; dann den laufenden Posten durch den Durchlass; dann leiten; dann zur Zielstelle kuehlen.
B1-S007	f81v	B1	0	NONE	NONE	OK+CHD+DY	1	Am gemeinsamen zweireihigen Becken: Ansetzen und umsetzen; den Schritt schliessen.
B1-S008	f81v	B1	1	P752:R2_CURRENT_ITEM_CONTINUATION_CADENCE	NONE	Y | OL | CHK+E+Y | OL | SHED+DY	5	Am gemeinsamen zweireihigen Becken: Den Posten beibehalten und weiterarbeiten, kurz erwaermen, weiterfuehren, absetzen lassen und den Schritt schliessen.
B1-S009	f81v	B1	0	NONE	NONE	OK+E+DY	1	Am gemeinsamen zweireihigen Becken: Kurz ansetzen; den Schritt schliessen.
B1-S010	f81v	B1	0	NONE	NONE	OK+E+DY	1	Am gemeinsamen zweireihigen Becken: Kurz ansetzen; den Schritt schliessen.
B1-S011	f81v	B1	1	NONE	NONE	CKH+Y | OK+Y	2	Am gemeinsamen zweireihigen Becken: Den laufenden Posten durch den Durchlass; dann ihn ansetzen.
B1-S012	f81v	B1	0	NONE	NONE	LSH+O | OK+E+Y | LSH+E+DY	3	Am gemeinsamen zweireihigen Becken: Den Arbeitsgang waschen, den Posten kurz ansetzen, nochmals kurz waschen und den Schritt schliessen.
B1-S013	f81v	B1	0	NONE	NONE	LSH+E+DY	1	Am gemeinsamen zweireihigen Becken: Kurz waschen und den Schritt schliessen.
B1-S014	f81v	B1	1	NONE	NONE	CHD+Y | SOLK+Y | L+CHD+AL | OL | OT+AR	5	Am gemeinsamen zweireihigen Becken: Den Posten umsetzen und an der Sammelstelle halten; zur Zielstelle leiten und umsetzen, dort weiterarbeiten und danach zur Quelle wechseln.
B1-S015	f81v	B1	0	P754:R3_USE_ATTESTED_T_E_Y_ORDER	NONE	T+E+Y | OK+CHD+DY	2	Am gemeinsamen zweireihigen Becken: Kurz den laufenden Posten anwenden; dann ansetzen und umsetzen; den Schritt schliessen.
B1-S016	f81v	B1	0	NONE	NONE	OK+AL | OK+EE+Y | OL | SHED+DY	4	Am gemeinsamen zweireihigen Becken: Zur Zielstelle ansetzen; dann laenger den laufenden Posten ansetzen; dann weiterarbeiten; dann absetzen lassen; den Schritt schliessen.
B1-S017	f81v	B1	0	NONE	NONE	AL | E+OL | CHD+DY	3	Am gemeinsamen zweireihigen Becken: An der Zielstelle kurz weiterarbeiten, umsetzen und den Schritt schliessen.
B1-S018	f81v	B1	0	NONE	NONE	L+Y | SH+E+OL | O+IIN | SOLK+EE+DY	4	Am gemeinsamen zweireihigen Becken: Den laufenden Posten leiten; dann kurz weiter halten; dann im Arbeitsgang bis zur Arbeitsstufe; dann laenger an der Sammelstelle halten; den Schritt schliessen.
B1-S019	f81v	B1	0	NONE	NONE	SHED+DY	1	Am gemeinsamen zweireihigen Becken: Absetzen lassen; den Schritt schliessen.
B1-S020	f81v	B1	0	NONE	NONE	CHK+E+Y | SH+CKH+E+DY	2	Am gemeinsamen zweireihigen Becken: Kurz den laufenden Posten erwaermen; dann kurz durch den Durchlass halten; den Schritt schliessen.
B1-S021	f81v	B1	0	NONE	NONE	AL	1	Am gemeinsamen zweireihigen Becken: Die Zielstelle festlegen.
B2-S001	f82r	B2	0	NONE	NONE	CHD+DY	1	An den oberen Paarbecken mit Zylinder: Umsetzen und den Schritt schliessen.
B2-S002	f82r	B2	0	NONE	NONE	OL+CHD+DY	1	An den oberen Paarbecken mit Zylinder: Weiter umsetzen; den Schritt schliessen.
B2-S003	f82r	B2	0	NONE	NONE	OK+AIN | Y | OK+EE+DY	3	An den oberen Paarbecken mit Zylinder: Als Portion ansetzen; dann den laufenden Posten beibehalten; dann laenger ansetzen; den Schritt schliessen.
B2-S004	f82r	B2	1	P754:R4_PACK_L_WITH_PASSAGE_ITEM	NONE	OK+AL | L+CKH+Y | L+CHD | OK+EE+Y | L+CKH+E+DY	5	An den oberen Paarbecken mit Zylinder: An der Zielstelle ansetzen; den Posten durch den Durchlass leiten und umsetzen, laenger ansetzen, danach kurz durch den Durchlass leiten und schliessen.
B2-S005	f82r	B2	2	P754:R5_REPEAT_MEASURED_ACTIVATION	NONE	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | OK+AIIN | O+CTH+E+OL | CHK+EE+Y | L+DY	8	An den oberen Paarbecken mit Zylinder: Den Posten an der Zielstelle ansetzen und bis zum Sollmass an der Sammelstelle halten. Ihn durch den Durchlass fuehren, zweimal nach Sollmass ansetzen, im Arbeitsgang kurz bis zur Bereitschaft weiterarbeiten, laenger erwaermen, leiten und schliessen.
B2-S006	f82r	B2	2	NONE	NONE	OT+EE+Y | OK+AL | SH+E+CKH+Y | OK+Y	4	An den oberen Paarbecken mit Zylinder: Danach laenger den laufenden Posten; dann zur Zielstelle ansetzen; dann ihn kurz durch den Durchlass halten; dann ihn ansetzen.
B2-S007	f82r	B2	0	NONE	NONE	SH+E+DY	1	An der linken Mittelstation mit Zwischenknoten: Kurz halten; den Schritt schliessen.
B2-S008	f82r	B2	0	NONE	NONE	OT+AIIN | OK+AR | SHED+DY	3	An der linken Mittelstation mit Zwischenknoten: Danach nach Sollmass; dann aus der Quelle ansetzen; dann absetzen lassen; den Schritt schliessen.
B2-S009	f82r	B2	0	NONE	NONE	OL+SH+E+DY	1	An der linken Mittelstation mit Zwischenknoten: Kurz weiter halten; den Schritt schliessen.
B2-S010	f82r	B2	0	P748:R2_STAGED_ACTIVATION_BEFORE_HOLD	NONE	OK+EE+Y | OK+Y | OL | SH+EE+Y	4	An der linken Mittelstation mit Zwischenknoten: Laenger den laufenden Posten ansetzen; dann ihn ansetzen; dann weiterarbeiten; dann ihn laenger halten.
B2-S011	f82r	B2	0	NONE	NONE	OK+AIN | AR | OK+AIN | OK+EE+DY	4	An der rechten unklaren Mittelstation: Eine Portion ansetzen, aus der Quelle eine zweite Portion ansetzen, laenger ansetzen und schliessen.
B2-S012	f82r	B2	4	P751:R2_MEASURED_ITEM_BEFORE_FULL_CLOSE	NONE	L+CH+Y | SH+EE+Y | CTH+E+Y | OK+EE+Y | L+EE+Y | AIIN | Y | OK+EEE+DY	8	An der rechten unklaren Mittelstation und am unteren gruenen Figurenbecken: Den Posten leiten und entnehmen; laenger halten, kurz bereitet halten, laenger ansetzen und laenger leiten; nach Sollmass beibehalten, vollstaendig ansetzen und schliessen.
B2-S013	f82r	B2	0	NONE	NONE	L+CHD+DY	1	Am unteren gruenen Figurenbecken: Leiten und umsetzen; den Schritt schliessen.
B2-S014	f82r	B2	0	NONE	NONE	L+AR	1	Am unteren gruenen Figurenbecken: Aus der Quelle leiten.
B2-S015	f82r	B2	0	NONE	NONE	SH+E+Y | OK+EE+DY	2	An den Randstationen des unteren Beckens: Kurz den laufenden Posten halten; dann laenger ansetzen; den Schritt schliessen.
B2-S016	f82r	B2	1	P754:R6_PACK_OK_WITH_MEASURE	NONE	AL | L+CHD+AR | CH+E+S | AIIN | OT+EE+Y | OK+AIIN | OK+E+Y | P+CHD+DY	8	An den Randstationen des unteren Beckens: An der Zielstelle aus der Quelle leiten und umsetzen. Kurz entnehmen und teilen; nach Sollmass den naechsten Posten laenger fuehren, nach Sollmass und kurz ansetzen, fuellen, umsetzen und schliessen.
B2-S017	f82r	B2	0	NONE	NONE	R+SH+E+AL | AL+DY	2	An den Randstationen des unteren Beckens: An der Zielstelle kurz kuehlen und halten, dann den Schritt an der Zielstelle schliessen.
B2-S018	f82r	B2	0	NONE	NONE	OK+EE+DY	1	An den Randstationen des unteren Beckens: Laenger ansetzen; den Schritt schliessen.
B2-S019	f82r	B2	0	NONE	NONE	R+SHED+DY	1	An den Randstationen des unteren Beckens: Kuehlen und absetzen lassen; den Schritt schliessen.
B2-S020	f82r	B2	0	NONE	NONE	OT+EE+DY	1	An den Randstationen des unteren Beckens: Danach laenger; den Schritt schliessen.
B2-S021	f82r	B2	0	NONE	NONE	OK+EE+DY	1	An den Randstationen des unteren Beckens: Laenger ansetzen; den Schritt schliessen.
B2-S022	f82r	B2	0	NONE	NONE	L+O+CHD+DY	1	An den Randstationen des unteren Beckens: Im Arbeitsgang leiten und umsetzen; den Schritt schliessen.
B3-S001	f83r	B3	0	NONE	NONE	SOLK+EE+DY	1	An der oberen offenen Faecherstation: Laenger an der Sammelstelle halten und den Schritt schliessen.
B3-S002	f83r	B3	0	NONE	NONE	OT+AL | CHK+EE+DY	2	An der oberen offenen Faecherstation: Danach zur Zielstelle; dann laenger erwaermen; den Schritt schliessen.
B3-S003	f83r	B3	0	P748:R1_MEASURED_ITEM_BEFORE_CLOSED_TRANSFER	NONE	Y | AIIN | Y | L+CHD+DY	4	An der oberen offenen Faecherstation: Den laufenden Posten nach Sollmass beibehalten, anschliessend leiten und umsetzen, dann schliessen.
B3-S004	f83r	B3	0	NONE	NONE	OK+AIIN | OT+AL | AR	3	An der oberen offenen Faecherstation: Nach Sollmass ansetzen; danach zur Zielstelle wechseln und aus der Quelle weiterarbeiten.
B3-S005	f83r	B3	0	NONE	NONE	CHD+DY	1	Am runden Mittelgefaess: Umsetzen; den Schritt schliessen.
B3-S006	f83r	B3	0	NONE	NONE	CHD+Y | OK+AL | OL+CHD+DY	3	Am runden Mittelgefaess: Den laufenden Posten umsetzen; dann zur Zielstelle ansetzen; dann weiter umsetzen; den Schritt schliessen.
