statement_id	page	record	clean_instruction_de	refined_component_sequence
H1-S001	f10r	H1	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten und aus der Quelle anwenden; Wasser entnehmen, danach den Posten weiterfuehren, nach Sollmass ansetzen und kurz anwenden.	Y+E+CH+OR+O+CTH+AR+T+AIR+CH+OT+Y+OL+AIIN+OK+E+T
H1-S002	f10r	H1	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten ansetzen, danach entnehmen und weiterfuehren, weiterarbeiten und ihn bereitet halten.	Y+OK+OT+CH+OL+OL+CTH
H2-S001	f10r	H2	Bei der breiten gezahnten Bluetenpflanze: Vom laufenden Ansatz kurz entnehmen; den Posten bereitet halten, den Ansatz nach Sollmass weiterbearbeiten und als aktuellen Posten verfuegbar lassen.	OR+E+CH+Y+CTH+OR+AIIN+OL+Y
H2-S002	f10r	H2	Bei der breiten gezahnten Bluetenpflanze: Danach vom Ansatz entnehmen; denselben Ansatz in mehreren weiteren Arbeitsschritten nach Sollmass aus der Quelle weiterfuehren.	OT+OR+CH+OR+OL+AIIN+AR+OL
H2-S003	f10r	H2	Bei der breiten gezahnten Bluetenpflanze: Im Arbeitsgang den aktuellen Ansatz zugeben; denselben Ansatz als laufenden Posten beibehalten, bis zur Arbeitsstufe weiter zugeben und anschliessend im Arbeitsgang nach Sollmass entnehmen.	O+OR+K+OR+Y+IIN+K+O+AIIN+CH
H3-S001	f11r	H3	Bei der dicht bluehenden Kronenpflanze: Den Ansatz an der Zielstelle weiter halten; auswringen, bis zum Sollmass halten, in den Empfaenger fuellen, laenger halten, entnehmen und den Schritt schliessen.	AL+OL+SH+CFH+AIIN+SH+P+EE+SH+CH+DY
H3-S002	f11r	H3	Bei der dicht bluehenden Kronenpflanze: Den laufenden Posten im Arbeitsgang halten und anwenden.	Y+O+SH+T
H3-S003	f11r	H3	Bei der dicht bluehenden Kronenpflanze: Den vorigen Vorgang wiederaufnehmen, den aktuellen Posten beibehalten, ihm zugeben und ihn bis zum Sollmass weiterfuehren.	RESUME_CARD+Y+K+AIIN
H3-S004	f11r	H3	Bei der dicht bluehenden Kronenpflanze: Danach den laufenden Posten; dann weiter ansetzen; dann ihn bereitet halten; dann ihn beibehalten.	OT+Y+OL+OK+CTH
H4-S001	f55v	H4	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass ansetzen; dem laufenden Posten eine Portion und danach eine Nachgabe zugeben; den Arbeitsgang schliessen.	AIIN+OK+Y+AIN+AN+K+O+DY
H4-S002	f55v	H4	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass den laufenden Posten umsetzen und anschliessend verwahren.	AIIN+Y+CHD+TALAM
