rule_id	trigger_recipe_sequence	replacement_recipe_sequence	forward_uses
P748:R1_MEASURED_ITEM_BEFORE_CLOSED_TRANSFER	Y | AIIN | L+CHD+DY	Y | AIIN | Y | L+CHD+DY	1
P748:R2_STAGED_ACTIVATION_BEFORE_HOLD	OK+EE+Y | OK+EE+OL | SH	OK+EE+Y | OK+Y | OL | SH+EE+Y	1
P748:R3_STAGED_ACTIVATION_AFTER_NEXT_TARGET	OT+EE+Y | OK+OL | OK+OL | SHED+DY	OT+Y | OK+EE+Y | OK+Y | OL | SHED+DY	1
P750:R1_REPEAT_PREPARATION_AROUND_STAGE	O+Y+K+OR | OR | Y | K+IIN | CH+O+AIIN	O+Y+K+OR | OR | OR | Y | K+IIN | Y | CH+O+AIIN	1
P750:R2_PREPARATION_BEFORE_PORTION	OL+T+Y | OR+AIN	OL+T+Y | OR | Y | OR+AIN	1
P750:R3_PREPARATION_BEFORE_PASSAGE	OR | O+CKH+E+Y | AIR+Y+DY	OR | Y | O+CKH+E+Y | AIR+Y+DY	1
P751:R1_RESUMED_MEASURED_ADDITION	RESUME_CARD | Y+K+AIIN	RESUME_CARD | Y | K+Y | Y | AIIN	1
P751:R2_MEASURED_ITEM_BEFORE_FULL_CLOSE	AIIN | OK+EEE+DY	AIIN | Y | OK+EEE+DY	1
P751:R3_ACTIVATE_THEN_MEASURE_BEFORE_WATER_TRANSFER	Y | OK+AIIN | CHD+AIR | OT+CHD+DY	OK+Y | AIIN | CHD+AIR | OT+CHD+DY	1
P752:R1_PREPARATION_CONTINUATION_BRIDGE	OT+CH+OR | OL+OR | AIIN | AR | OL	OT+CH+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	1
P752:R2_CURRENT_ITEM_CONTINUATION_CADENCE	OL+Y | CHK+E+Y | OL | SHED+DY	Y | OL | CHK+E+Y | OL | SHED+DY	1
P752:R3_PORTION_TARGET_SOURCE_BRIDGE	OL+K+AIN | AL | AR | SHED+DY	OL+K+AIN | AL | K+AR | SHED+DY	1
P752:R4_TARGET_CONTINUATION_BEFORE_TRANSFER	SHED+AL | L+OL | OL	SHED+AL | AL | OL | L+OL	1
P754:R1_APPEND_CURRENT_ITEM_AFTER_READY	OT+Y | OK+OL | CTH+Y	OT+Y | OK+OL | CTH+Y | Y	1
P754:R2_PACK_INGREDIENT_WITH_ITEM_AFTER_RESUME	RESUME_CARD | HO | OK+Y | CH+EE+CKH+O+DY	RESUME_CARD | HO+Y | OK+Y | CH+EE+CKH+O+DY	1
P754:R3_USE_ATTESTED_T_E_Y_ORDER	E+T+Y | OK+CHD+DY	T+E+Y | OK+CHD+DY	1
P754:R4_PACK_L_WITH_PASSAGE_ITEM	OK+AL | CKH+Y | L+CHD | OK+EE+Y | L+CKH+E+DY	OK+AL | L+CKH+Y | L+CHD | OK+EE+Y | L+CKH+E+DY	1
P754:R5_REPEAT_MEASURED_ACTIVATION	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | O+CTH+E+OL | CHK+EE+Y | L+DY	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | OK+AIIN | O+CTH+E+OL | CHK+EE+Y | L+DY	1
P754:R6_PACK_OK_WITH_MEASURE	AL | L+CHD+AR | CH+E+S | AIIN | OT+EE+Y | AIIN | OK+E+Y | P+CHD+DY	AL | L+CHD+AR | CH+E+S | AIIN | OT+EE+Y | OK+AIIN | OK+E+Y | P+CHD+DY	1
P754:R7_PACK_SOURCE_WITH_ITEM	SH+E+CTH+CHD+Y | OK+Y | CHD+Y | AR	SH+E+CTH+CHD+Y | OK+Y | CHD+Y | AR+Y	1
P755:R1_SPLIT_PASSAGE_AND_TRANSFER	OK+AIN | L+CKH+Y | R+AL	OK+AIN | CKH+Y | L | R+AL	1
P755:R2_REDISTRIBUTE_CONTINUATION_AND_ACTIVE_ITEM	Y | OK+EE+OL | OK+E+DY	OL+Y | OK+EE+Y | OK+E+DY	1
P756:R1_MEASURE_PORTION_SERIES	AIIN | OK+Y | AIN | Y+K+AN | O+DY	OK+AIIN | AIIN | Y+K+AIN | Y+K+AN | O+DY	1
P756:R2_HOLD_INGREDIENT_REPEAT_ACTIVATION	HO | SH | K+E+Y | OK+Y	SH | HO | K+E+Y | OK+OK+Y	1
P756:R3_ORDERED_TRANSFER_MEASURE_CLOSE	AIN | CHD+Y | OT+E+AIIN | OT+E+AIIN | UNPACKED(DY)	CHD+AIN | CHD+Y | OT+E+AIIN | OT+AIIN | OT+E+DY	1
